'Time','II','PLETH','ABP','III'
'[18:52:21.688]',0.211,0.580,46.875,-
'[18:52:21.696]',0.227,0.576,45.312,-
'[18:52:21.704]',0.227,0.569,44.531,-
'[18:52:21.712]',0.242,0.561,43.750,-
'[18:52:21.720]',0.250,0.553,43.750,-
'[18:52:21.728]',0.258,0.545,44.531,-
'[18:52:21.736]',0.273,0.537,45.312,-
'[18:52:21.744]',0.289,0.533,45.312,-
'[18:52:21.752]',0.312,0.525,45.312,-
'[18:52:21.760]',0.328,0.522,45.312,-
'[18:52:21.768]',0.352,0.518,45.312,-
'[18:52:21.776]',0.391,0.514,46.094,-
'[18:52:21.784]',0.422,0.510,46.875,-
'[18:52:21.792]',0.461,0.506,50.000,-
'[18:52:21.800]',0.492,0.502,54.688,-
'[18:52:21.808]',0.516,0.498,60.938,-
'[18:52:21.816]',0.531,0.494,66.406,-
'[18:52:21.824]',0.516,0.494,70.312,-
'[18:52:21.832]',0.484,0.490,73.438,-
'[18:52:21.840]',0.430,0.486,75.781,-
'[18:52:21.848]',0.375,0.486,77.344,-
'[18:52:21.856]',0.320,0.482,78.125,-
'[18:52:21.864]',0.289,0.482,78.906,-
'[18:52:21.872]',0.250,0.478,78.125,-
'[18:52:21.880]',0.227,0.475,76.562,-
'[18:52:21.888]',0.211,0.471,75.000,-
'[18:52:21.896]',0.211,0.471,72.656,-
'[18:52:21.904]',0.195,0.467,71.094,-
'[18:52:21.912]',0.195,0.463,68.750,-
'[18:52:21.920]',0.188,0.455,67.188,-
'[18:52:21.928]',0.188,0.455,64.844,-
'[18:52:21.936]',0.188,0.451,64.062,-
'[18:52:21.944]',0.188,0.447,62.500,-
'[18:52:21.952]',0.195,0.443,60.156,-
'[18:52:21.960]',0.195,0.439,57.812,-
'[18:52:21.968]',0.227,0.435,55.469,-
'[18:52:21.976]',0.242,0.431,54.688,-
'[18:52:21.984]',0.258,0.427,53.125,-
'[18:52:21.992]',0.281,0.424,52.344,-
'[18:52:22.000]',0.320,0.420,51.562,-
'[18:52:22.008]',0.344,0.420,51.562,-
'[18:52:22.016]',0.336,0.416,52.344,-
'[18:52:22.024]',0.305,0.412,52.344,-
'[18:52:22.032]',0.266,0.412,52.344,-
'[18:52:22.040]',0.227,0.408,52.344,-
'[18:52:22.048]',0.211,0.408,53.125,-
'[18:52:22.056]',0.188,0.404,53.125,-
'[18:52:22.064]',0.188,0.400,53.125,-
'[18:52:22.072]',0.180,0.400,53.906,-
'[18:52:22.080]',0.180,0.400,54.688,-
'[18:52:22.088]',0.180,0.400,55.469,-
'[18:52:22.096]',0.180,0.404,55.469,-
'[18:52:22.104]',0.188,0.408,54.688,-
'[18:52:22.112]',0.172,0.416,54.688,-
'[18:52:22.120]',0.180,0.424,54.688,-
'[18:52:22.128]',0.227,0.435,54.688,-
'[18:52:22.136]',0.406,0.443,53.906,-
'[18:52:22.144]',0.680,0.455,52.344,-
'[18:52:22.152]',0.836,0.471,51.562,-
'[18:52:22.160]',0.852,0.482,50.781,-
'[18:52:22.168]',0.727,0.498,50.781,-
'[18:52:22.176]',0.562,0.514,50.781,-
'[18:52:22.184]',0.391,0.525,50.781,-
'[18:52:22.192]',0.289,0.537,50.781,-
'[18:52:22.200]',0.227,0.549,50.000,-
'[18:52:22.208]',0.195,0.557,50.000,-
'[18:52:22.216]',0.172,0.561,50.000,-
'[18:52:22.224]',0.156,0.565,49.219,-
'[18:52:22.232]',0.141,0.569,48.438,-
'[18:52:22.240]',0.141,0.569,48.438,-
'[18:52:22.248]',0.141,0.569,48.438,-
'[18:52:22.256]',0.141,0.565,48.438,-
'[18:52:22.264]',0.156,0.561,47.656,-
'[18:52:22.272]',0.164,0.557,47.656,-
'[18:52:22.280]',0.172,0.553,46.875,-
'[18:52:22.288]',0.188,0.545,46.094,-
'[18:52:22.296]',0.195,0.537,46.094,-
'[18:52:22.304]',0.211,0.529,46.875,-
'[18:52:22.312]',0.227,0.522,46.875,-
'[18:52:22.320]',0.234,0.514,46.875,-
'[18:52:22.328]',0.250,0.510,46.875,-
'[18:52:22.336]',0.266,0.502,46.094,-
'[18:52:22.344]',0.289,0.498,46.094,-
'[18:52:22.352]',0.312,0.494,46.875,-
'[18:52:22.360]',0.336,0.486,46.875,-
'[18:52:22.368]',0.375,0.482,47.656,-
'[18:52:22.376]',0.422,0.478,50.000,-
'[18:52:22.384]',0.453,0.475,53.125,-
'[18:52:22.392]',0.492,0.471,59.375,-
'[18:52:22.400]',0.516,0.471,66.406,-
'[18:52:22.408]',0.531,0.467,71.094,-
'[18:52:22.416]',0.523,0.463,74.219,-
'[18:52:22.424]',0.492,0.463,76.562,-
'[18:52:22.432]',0.445,0.459,79.688,-
'[18:52:22.440]',0.391,0.459,81.250,-
'[18:52:22.448]',0.336,0.455,82.031,-
'[18:52:22.456]',0.297,0.455,82.031,-
'[18:52:22.464]',0.266,0.451,81.250,-
'[18:52:22.472]',0.242,0.451,79.688,-
'[18:52:22.480]',0.227,0.451,78.125,-
'[18:52:22.488]',0.219,0.447,75.781,-
'[18:52:22.496]',0.211,0.447,73.438,-
'[18:52:22.504]',0.211,0.443,71.875,-
'[18:52:22.512]',0.211,0.443,69.531,-
'[18:52:22.520]',0.211,0.439,67.969,-
'[18:52:22.528]',0.211,0.435,65.625,-
'[18:52:22.536]',0.219,0.431,64.062,-
'[18:52:22.544]',0.227,0.427,62.500,-
'[18:52:22.552]',0.242,0.427,60.938,-
'[18:52:22.560]',0.266,0.424,58.594,-
'[18:52:22.568]',0.281,0.420,57.031,-
'[18:52:22.576]',0.297,0.416,56.250,-
'[18:52:22.584]',0.328,0.416,55.469,-
'[18:52:22.592]',0.367,0.412,55.469,-
'[18:52:22.600]',0.375,0.412,55.469,-
'[18:52:22.608]',0.367,0.412,55.469,-
'[18:52:22.616]',0.328,0.408,55.469,-
'[18:52:22.624]',0.297,0.408,55.469,-
'[18:52:22.632]',0.266,0.404,55.469,-
'[18:52:22.640]',0.242,0.404,56.250,-
'[18:52:22.648]',0.227,0.400,57.031,-
'[18:52:22.656]',0.211,0.400,57.812,-
'[18:52:22.664]',0.211,0.400,57.812,-
'[18:52:22.672]',0.211,0.400,57.812,-
'[18:52:22.680]',0.211,0.404,57.812,-
'[18:52:22.688]',0.211,0.408,57.812,-
'[18:52:22.696]',0.211,0.416,57.812,-
'[18:52:22.704]',0.203,0.424,57.812,-
'[18:52:22.712]',0.219,0.427,57.812,-
'[18:52:22.720]',0.328,0.431,57.031,-
'[18:52:22.728]',0.586,0.443,56.250,-
'[18:52:22.736]',0.852,0.455,56.250,-
'[18:52:22.744]',0.930,0.471,55.469,-
'[18:52:22.752]',0.867,0.490,54.688,-
'[18:52:22.760]',0.734,0.510,53.906,-
'[18:52:22.768]',0.555,0.525,53.125,-
'[18:52:22.776]',0.406,0.545,53.125,-
'[18:52:22.784]',0.312,0.561,53.125,-
'[18:52:22.792]',0.266,0.573,52.344,-
'[18:52:22.800]',0.227,0.580,52.344,-
'[18:52:22.808]',0.211,0.588,51.562,-
'[18:52:22.816]',0.195,0.592,51.562,-
'[18:52:22.824]',0.195,0.596,50.781,-
'[18:52:22.832]',0.195,0.592,50.000,-
'[18:52:22.840]',0.195,0.592,50.000,-
'[18:52:22.848]',0.195,0.588,49.219,-
'[18:52:22.856]',0.203,0.584,49.219,-
'[18:52:22.864]',0.211,0.576,48.438,-
'[18:52:22.872]',0.219,0.573,48.438,-
'[18:52:22.880]',0.227,0.565,48.438,-
'[18:52:22.888]',0.242,0.557,48.438,-
'[18:52:22.896]',0.250,0.549,48.438,-
'[18:52:22.904]',0.266,0.541,47.656,-
'[18:52:22.912]',0.281,0.533,46.875,-
'[18:52:22.920]',0.297,0.525,46.875,-
'[18:52:22.928]',0.312,0.518,46.875,-
'[18:52:22.936]',0.336,0.510,46.094,-
'[18:52:22.944]',0.367,0.506,46.094,-
'[18:52:22.952]',0.398,0.498,46.094,-
'[18:52:22.960]',0.438,0.494,47.656,-
'[18:52:22.968]',0.477,0.490,51.562,-
'[18:52:22.976]',0.508,0.486,57.812,-
'[18:52:22.984]',0.531,0.482,64.062,-
'[18:52:22.992]',0.555,0.478,70.312,-
'[18:52:23.000]',0.562,0.478,73.438,-
'[18:52:23.008]',0.531,0.475,76.562,-
'[18:52:23.016]',0.484,0.475,78.906,-
'[18:52:23.024]',0.430,0.471,81.250,-
'[18:52:23.032]',0.375,0.471,82.031,-
'[18:52:23.040]',0.328,0.471,81.250,-
'[18:52:23.048]',0.297,0.467,80.469,-
'[18:52:23.056]',0.266,0.467,78.906,-
'[18:52:23.064]',0.242,0.463,77.344,-
'[18:52:23.072]',0.227,0.459,76.562,-
'[18:52:23.080]',0.219,0.455,74.219,-
'[18:52:23.088]',0.219,0.455,71.875,-
'[18:52:23.096]',0.211,0.451,69.531,-
'[18:52:23.104]',0.211,0.447,67.188,-
'[18:52:23.112]',0.211,0.443,66.406,-
'[18:52:23.120]',0.211,0.439,64.844,-
'[18:52:23.128]',0.211,0.435,64.062,-
'[18:52:23.136]',0.211,0.431,62.500,-
'[18:52:23.144]',0.227,0.427,60.156,-
'[18:52:23.152]',0.250,0.424,57.812,-
'[18:52:23.160]',0.273,0.420,56.250,-
'[18:52:23.168]',0.289,0.416,53.906,-
'[18:52:23.176]',0.320,0.412,53.125,-
'[18:52:23.184]',0.352,0.408,52.344,-
'[18:52:23.192]',0.367,0.404,53.125,-
'[18:52:23.200]',0.344,0.400,53.906,-
'[18:52:23.208]',0.312,0.396,54.688,-
'[18:52:23.216]',0.266,0.392,54.688,-
'[18:52:23.224]',0.242,0.388,54.688,-
'[18:52:23.232]',0.219,0.384,54.688,-
'[18:52:23.240]',0.203,0.380,55.469,-
'[18:52:23.248]',0.195,0.380,56.250,-
'[18:52:23.256]',0.195,0.376,55.469,-
'[18:52:23.264]',0.195,0.376,55.469,-
'[18:52:23.272]',0.195,0.380,56.250,-
'[18:52:23.280]',0.195,0.384,56.250,-
'[18:52:23.288]',0.195,0.392,56.250,-
'[18:52:23.296]',0.188,0.404,56.250,-
'[18:52:23.304]',0.211,0.420,54.688,-
'[18:52:23.312]',0.320,0.435,53.906,-
'[18:52:23.320]',0.562,0.455,53.906,-
'[18:52:23.328]',0.797,0.471,53.125,-
'[18:52:23.336]',0.867,0.486,53.125,-
'[18:52:23.344]',0.797,0.506,52.344,-
'[18:52:23.352]',0.656,0.522,51.562,-
'[18:52:23.360]',0.492,0.537,50.781,-
'[18:52:23.368]',0.352,0.553,50.000,-
'[18:52:23.376]',0.281,0.565,50.000,-
'[18:52:23.384]',0.234,0.576,49.219,-
'[18:52:23.392]',0.211,0.584,49.219,-
'[18:52:23.400]',0.188,0.588,48.438,-
'[18:52:23.408]',0.172,0.588,48.438,-
'[18:52:23.416]',0.172,0.588,48.438,-
'[18:52:23.424]',0.164,0.588,47.656,-
'[18:52:23.432]',0.172,0.584,47.656,-
'[18:52:23.440]',0.172,0.580,47.656,-
'[18:52:23.448]',0.172,0.573,47.656,-
'[18:52:23.456]',0.188,0.565,46.875,-
'[18:52:23.464]',0.195,0.557,46.875,-
'[18:52:23.472]',0.203,0.549,46.094,-
'[18:52:23.480]',0.211,0.541,46.094,-
'[18:52:23.488]',0.227,0.533,46.094,-
'[18:52:23.496]',0.242,0.525,46.094,-
'[18:52:23.504]',0.250,0.514,46.094,-
'[18:52:23.512]',0.266,0.506,46.094,-
'[18:52:23.520]',0.289,0.498,46.094,-
'[18:52:23.528]',0.312,0.490,45.312,-
'[18:52:23.536]',0.336,0.486,44.531,-
'[18:52:23.544]',0.367,0.478,43.750,-
'[18:52:23.552]',0.406,0.475,45.312,-
'[18:52:23.560]',0.445,0.471,49.219,-
'[18:52:23.568]',0.477,0.467,54.688,-
'[18:52:23.576]',0.500,0.467,60.156,-
'[18:52:23.584]',0.523,0.463,64.844,-
'[18:52:23.592]',0.531,0.459,68.750,-
'[18:52:23.600]',0.508,0.455,71.875,-
'[18:52:23.608]',0.461,0.455,74.219,-
'[18:52:23.616]',0.406,0.451,76.562,-
'[18:52:23.624]',0.352,0.447,78.125,-
'[18:52:23.632]',0.312,0.443,78.906,-
'[18:52:23.640]',0.273,0.439,78.906,-
'[18:52:23.648]',0.250,0.435,78.125,-
'[18:52:23.656]',0.242,0.431,77.344,-
'[18:52:23.664]',0.227,0.427,75.000,-
'[18:52:23.672]',0.219,0.424,72.656,-
'[18:52:23.680]',0.211,0.420,69.531,-
'[18:52:23.688]',0.211,0.416,67.188,-
'[18:52:23.696]',0.211,0.412,64.844,-
'[18:52:23.704]',0.211,0.408,63.281,-
'[18:52:23.712]',0.211,0.404,61.719,-
'[18:52:23.720]',0.211,0.400,60.938,-
'[18:52:23.728]',0.211,0.396,60.156,-
'[18:52:23.736]',0.227,0.392,59.375,-
'[18:52:23.744]',0.250,0.388,58.594,-
'[18:52:23.752]',0.266,0.384,57.031,-
'[18:52:23.760]',0.289,0.380,53.906,-
'[18:52:23.768]',0.320,0.376,51.562,-
'[18:52:23.776]',0.359,0.369,50.000,-
'[18:52:23.784]',0.375,0.365,51.562,-
'[18:52:23.792]',0.352,0.361,53.906,-
'[18:52:23.800]',0.312,0.361,55.469,-
'[18:52:23.808]',0.281,0.357,54.688,-
'[18:52:23.816]',0.250,0.353,51.562,-
'[18:52:23.824]',0.227,0.349,49.219,-
'[18:52:23.832]',0.219,0.349,50.781,-
'[18:52:23.840]',0.211,0.345,53.125,-
'[18:52:23.848]',0.211,0.345,53.906,-
'[18:52:23.856]',0.211,0.345,53.125,-
'[18:52:23.864]',0.211,0.345,52.344,-
'[18:52:23.872]',0.211,0.349,51.562,-
'[18:52:23.880]',0.211,0.357,49.219,-
'[18:52:23.888]',0.211,0.365,45.312,-
'[18:52:23.896]',0.227,0.376,44.531,-
'[18:52:23.904]',0.320,0.388,48.438,-
'[18:52:23.912]',0.562,0.404,57.812,-
'[18:52:23.920]',0.797,0.424,67.969,-
'[18:52:23.928]',0.875,0.439,70.312,-
'[18:52:23.936]',0.820,0.455,61.719,-
'[18:52:23.944]',0.688,0.471,50.781,-
'[18:52:23.952]',0.508,0.486,46.875,-
'[18:52:23.960]',0.367,0.502,49.219,-
'[18:52:23.968]',0.289,0.518,50.781,-
'[18:52:23.976]',0.250,0.529,50.000,-
'[18:52:23.984]',0.219,0.537,50.000,-
'[18:52:23.992]',0.195,0.545,51.562,-
'[18:52:24.000]',0.188,0.553,51.562,-
'[18:52:24.008]',0.172,0.553,49.219,-
'[18:52:24.016]',0.172,0.553,46.094,-
'[18:52:24.024]',0.172,0.553,45.312,-
'[18:52:24.032]',0.180,0.549,46.094,-
'[18:52:24.040]',0.188,0.541,46.094,-
'[18:52:24.048]',0.195,0.537,46.875,-
'[18:52:24.056]',0.203,0.529,47.656,-
'[18:52:24.064]',0.211,0.522,48.438,-
'[18:52:24.072]',0.227,0.510,47.656,-
'[18:52:24.080]',0.234,0.502,46.094,-
'[18:52:24.088]',0.250,0.494,45.312,-
'[18:52:24.096]',0.266,0.486,45.312,-
'[18:52:24.104]',0.281,0.478,45.312,-
'[18:52:24.112]',0.297,0.475,45.312,-
'[18:52:24.120]',0.320,0.467,44.531,-
'[18:52:24.128]',0.344,0.463,44.531,-
'[18:52:24.136]',0.375,0.455,45.312,-
'[18:52:24.144]',0.414,0.451,46.875,-
'[18:52:24.152]',0.453,0.447,49.219,-
'[18:52:24.160]',0.492,0.443,54.688,-
'[18:52:24.168]',0.523,0.439,60.938,-
'[18:52:24.176]',0.547,0.435,66.406,-
'[18:52:24.184]',0.562,0.431,70.312,-
'[18:52:24.192]',0.539,0.427,73.438,-
'[18:52:24.200]',0.500,0.427,75.781,-
'[18:52:24.208]',0.438,0.424,78.125,-
'[18:52:24.216]',0.383,0.424,79.688,-
'[18:52:24.224]',0.336,0.424,80.469,-
'[18:52:24.232]',0.297,0.420,79.688,-
'[18:52:24.240]',0.266,0.420,78.906,-
'[18:52:24.248]',0.250,0.420,77.344,-
'[18:52:24.256]',0.242,0.416,76.562,-
'[18:52:24.264]',0.234,0.412,75.000,-
'[18:52:24.272]',0.227,0.408,72.656,-
'[18:52:24.280]',0.227,0.404,71.094,-
'[18:52:24.288]',0.219,0.400,69.531,-
'[18:52:24.296]',0.211,0.392,67.188,-
'[18:52:24.304]',0.211,0.388,65.625,-
'[18:52:24.312]',0.219,0.384,63.281,-
'[18:52:24.320]',0.227,0.380,60.938,-
'[18:52:24.328]',0.242,0.380,59.375,-
'[18:52:24.336]',0.266,0.376,57.812,-
'[18:52:24.344]',0.289,0.373,57.031,-
'[18:52:24.352]',0.305,0.373,56.250,-
'[18:52:24.360]',0.336,0.369,55.469,-
'[18:52:24.368]',0.367,0.365,55.469,-
'[18:52:24.376]',0.375,0.361,55.469,-
'[18:52:24.384]',0.344,0.357,55.469,-
'[18:52:24.392]',0.312,0.357,54.688,-
'[18:52:24.400]',0.273,0.353,54.688,-
'[18:52:24.408]',0.250,0.349,55.469,-
'[18:52:24.416]',0.227,0.345,55.469,-
'[18:52:24.424]',0.211,0.341,56.250,-
'[18:52:24.432]',0.203,0.341,57.031,-
'[18:52:24.440]',0.203,0.341,57.031,-
'[18:52:24.448]',0.203,0.341,57.812,-
'[18:52:24.456]',0.203,0.345,57.812,-
'[18:52:24.464]',0.203,0.349,57.812,-
'[18:52:24.472]',0.195,0.357,57.031,-
'[18:52:24.480]',0.195,0.365,57.031,-
'[18:52:24.488]',0.234,0.380,57.031,-
'[18:52:24.496]',0.383,0.396,56.250,-
'[18:52:24.504]',0.656,0.412,56.250,-
'[18:52:24.512]',0.875,0.431,55.469,-
'[18:52:24.520]',0.906,0.451,55.469,-
'[18:52:24.528]',0.820,0.467,54.688,-
'[18:52:24.536]',0.664,0.482,53.906,-
'[18:52:24.544]',0.492,0.502,53.906,-
'[18:52:24.552]',0.359,0.518,53.125,-
'[18:52:24.560]',0.281,0.533,52.344,-
'[18:52:24.568]',0.242,0.545,52.344,-
'[18:52:24.576]',0.211,0.557,51.562,-
'[18:52:24.584]',0.188,0.569,51.562,-
'[18:52:24.592]',0.180,0.573,50.781,-
'[18:52:24.600]',0.172,0.576,50.781,-
'[18:52:24.608]',0.172,0.576,50.000,-
'[18:52:24.616]',0.172,0.576,50.000,-
'[18:52:24.624]',0.172,0.573,50.000,-
'[18:52:24.632]',0.188,0.569,49.219,-
'[18:52:24.640]',0.195,0.565,49.219,-
'[18:52:24.648]',0.211,0.557,48.438,-
'[18:52:24.656]',0.211,0.549,48.438,-
'[18:52:24.664]',0.227,0.541,48.438,-
'[18:52:24.672]',0.242,0.533,48.438,-
'[18:52:24.680]',0.250,0.525,48.438,-
'[18:52:24.688]',0.266,0.518,48.438,-
'[18:52:24.696]',0.297,0.510,47.656,-
'[18:52:24.704]',0.312,0.502,47.656,-
'[18:52:24.712]',0.336,0.494,47.656,-
'[18:52:24.720]',0.367,0.486,48.438,-
'[18:52:24.728]',0.398,0.482,48.438,-
'[18:52:24.736]',0.438,0.478,50.781,-
'[18:52:24.744]',0.477,0.475,55.469,-
'[18:52:24.752]',0.516,0.471,62.500,-
'[18:52:24.760]',0.547,0.475,68.750,-
'[18:52:24.768]',0.562,0.486,73.438,-
'[18:52:24.776]',0.570,0.490,76.562,-
'[18:52:24.784]',0.547,0.490,78.906,-
'[18:52:24.792]',0.500,0.490,81.250,-
'[18:52:24.800]',0.438,0.490,83.594,-
'[18:52:24.808]',0.383,0.486,84.375,-
'[18:52:24.816]',0.336,0.486,84.375,-
'[18:52:24.824]',0.297,0.482,82.812,-
'[18:52:24.832]',0.273,0.478,82.031,-
'[18:52:24.840]',0.258,0.475,79.688,-
'[18:52:24.848]',0.250,0.475,78.125,-
'[18:52:24.856]',0.242,0.471,75.781,-
'[18:52:24.864]',0.242,0.467,74.219,-
'[18:52:24.872]',0.234,0.463,71.875,-
'[18:52:24.880]',0.234,0.459,70.312,-
'[18:52:24.888]',0.234,0.451,67.969,-
'[18:52:24.896]',0.234,0.447,65.625,-
'[18:52:24.904]',0.234,0.443,64.062,-
'[18:52:24.912]',0.242,0.439,61.719,-
'[18:52:24.920]',0.250,0.435,60.156,-
'[18:52:24.928]',0.281,0.431,58.594,-
'[18:52:24.936]',0.297,0.427,57.812,-
'[18:52:24.944]',0.320,0.424,57.031,-
'[18:52:24.952]',0.352,0.420,56.250,-
'[18:52:24.960]',0.375,0.416,55.469,-
'[18:52:24.968]',0.367,0.412,55.469,-
'[18:52:24.976]',0.336,0.412,55.469,-
'[18:52:24.984]',0.297,0.408,55.469,-
'[18:52:24.992]',0.266,0.404,56.250,-
'[18:52:25.000]',0.234,0.404,56.250,-
'[18:52:25.008]',0.219,0.400,56.250,-
'[18:52:25.016]',0.211,0.400,57.031,-
'[18:52:25.024]',0.195,0.400,57.031,-
'[18:52:25.032]',0.195,0.400,57.812,-
'[18:52:25.040]',0.188,0.404,57.812,-
'[18:52:25.048]',0.188,0.408,57.812,-
'[18:52:25.056]',0.188,0.416,57.031,-
'[18:52:25.064]',0.188,0.427,57.031,-
'[18:52:25.072]',0.188,0.439,56.250,-
'[18:52:25.080]',0.250,0.459,56.250,-
'[18:52:25.088]',0.445,0.478,55.469,-
'[18:52:25.096]',0.719,0.498,55.469,-
'[18:52:25.104]',0.867,0.522,54.688,-
'[18:52:25.112]',0.867,0.545,53.906,-
'[18:52:25.120]',0.719,0.565,53.125,-
'[18:52:25.128]',0.562,0.584,52.344,-
'[18:52:25.136]',0.406,0.600,52.344,-
'[18:52:25.144]',0.305,0.620,51.562,-
'[18:52:25.152]',0.242,0.631,50.781,-
'[18:52:25.160]',0.203,0.643,50.781,-
'[18:52:25.168]',0.188,0.655,50.000,-
'[18:52:25.176]',0.164,0.659,49.219,-
'[18:52:25.184]',0.156,0.663,49.219,-
'[18:52:25.192]',0.156,0.663,48.438,-
'[18:52:25.200]',0.156,0.659,48.438,-
'[18:52:25.208]',0.156,0.655,47.656,-
'[18:52:25.216]',0.164,0.647,47.656,-
'[18:52:25.224]',0.172,0.639,47.656,-
'[18:52:25.232]',0.188,0.631,46.875,-
'[18:52:25.240]',0.195,0.624,46.875,-
'[18:52:25.248]',0.203,0.616,46.875,-
'[18:52:25.256]',0.211,0.604,46.094,-
'[18:52:25.264]',0.227,0.592,46.094,-
'[18:52:25.272]',0.234,0.580,46.094,-
'[18:52:25.280]',0.250,0.569,46.094,-
'[18:52:25.288]',0.266,0.557,46.094,-
'[18:52:25.296]',0.289,0.549,46.094,-
'[18:52:25.304]',0.312,0.541,45.312,-
'[18:52:25.312]',0.352,0.533,46.094,-
'[18:52:25.320]',0.383,0.525,46.875,-
'[18:52:25.328]',0.422,0.522,48.438,-
'[18:52:25.336]',0.461,0.514,53.125,-
'[18:52:25.344]',0.492,0.510,58.594,-
'[18:52:25.352]',0.516,0.506,64.062,-
'[18:52:25.360]',0.523,0.502,68.750,-
'[18:52:25.368]',0.516,0.498,71.875,-
'[18:52:25.376]',0.477,0.494,74.219,-
'[18:52:25.384]',0.422,0.490,76.562,-
'[18:52:25.392]',0.367,0.486,78.125,-
'[18:52:25.400]',0.312,0.482,79.688,-
'[18:52:25.408]',0.266,0.478,79.688,-
'[18:52:25.416]',0.234,0.475,78.906,-
'[18:52:25.424]',0.211,0.471,77.344,-
'[18:52:25.432]',0.203,0.467,75.781,-
'[18:52:25.440]',0.195,0.459,74.219,-
'[18:52:25.448]',0.195,0.455,71.875,-
'[18:52:25.456]',0.195,0.451,70.312,-
'[18:52:25.464]',0.195,0.447,67.969,-
'[18:52:25.472]',0.195,0.439,65.625,-
'[18:52:25.480]',0.195,0.435,64.062,-
'[18:52:25.488]',0.203,0.431,62.500,-
'[18:52:25.496]',0.203,0.424,60.156,-
'[18:52:25.504]',0.211,0.420,58.594,-
'[18:52:25.512]',0.227,0.412,57.031,-
'[18:52:25.520]',0.250,0.408,55.469,-
'[18:52:25.528]',0.266,0.404,54.688,-
'[18:52:25.536]',0.297,0.400,53.125,-
'[18:52:25.544]',0.328,0.392,53.125,-
'[18:52:25.552]',0.359,0.388,53.125,-
'[18:52:25.560]',0.352,0.380,53.125,-
'[18:52:25.568]',0.320,0.376,53.125,-
'[18:52:25.576]',0.273,0.369,53.125,-
'[18:52:25.584]',0.242,0.365,53.125,-
'[18:52:25.592]',0.211,0.361,53.906,-
'[18:52:25.600]',0.195,0.357,54.688,-
'[18:52:25.608]',0.188,0.353,54.688,-
'[18:52:25.616]',0.188,0.349,54.688,-
'[18:52:25.624]',0.188,0.349,55.469,-
'[18:52:25.632]',0.188,0.353,55.469,-
'[18:52:25.640]',0.180,0.357,55.469,-
'[18:52:25.648]',0.180,0.361,55.469,-
'[18:52:25.656]',0.172,0.369,54.688,-
'[18:52:25.664]',0.172,0.384,54.688,-
'[18:52:25.672]',0.227,0.400,54.688,-
'[18:52:25.680]',0.391,0.416,53.906,-
'[18:52:25.688]',0.656,0.435,53.906,-
'[18:52:25.696]',0.820,0.455,53.125,-
'[18:52:25.704]',0.836,0.478,52.344,-
'[18:52:25.712]',0.727,0.498,51.562,-
'[18:52:25.720]',0.555,0.518,51.562,-
'[18:52:25.728]',0.391,0.529,50.781,-
'[18:52:25.736]',0.281,0.545,50.000,-
'[18:52:25.744]',0.227,0.561,50.000,-
'[18:52:25.752]',0.188,0.569,49.219,-
'[18:52:25.760]',0.172,0.580,49.219,-
'[18:52:25.768]',0.156,0.584,48.438,-
'[18:52:25.776]',0.141,0.592,48.438,-
'[18:52:25.784]',0.141,0.592,47.656,-
'[18:52:25.792]',0.141,0.588,47.656,-
'[18:52:25.800]',0.148,0.584,47.656,-
'[18:52:25.808]',0.156,0.580,46.875,-
'[18:52:25.816]',0.164,0.573,46.875,-
'[18:52:25.824]',0.172,0.565,46.875,-
'[18:52:25.832]',0.188,0.557,46.094,-
'[18:52:25.840]',0.195,0.549,46.094,-
'[18:52:25.848]',0.211,0.541,46.094,-
'[18:52:25.856]',0.227,0.533,46.094,-
'[18:52:25.864]',0.242,0.522,45.312,-
'[18:52:25.872]',0.250,0.514,45.312,-
'[18:52:25.880]',0.266,0.506,45.312,-
'[18:52:25.888]',0.289,0.498,45.312,-
'[18:52:25.896]',0.312,0.494,45.312,-
'[18:52:25.904]',0.344,0.486,45.312,-
'[18:52:25.912]',0.383,0.478,45.312,-
'[18:52:25.920]',0.422,0.475,46.875,-
'[18:52:25.928]',0.461,0.467,50.781,-
'[18:52:25.936]',0.492,0.467,56.250,-
'[18:52:25.944]',0.516,0.463,62.500,-
'[18:52:25.952]',0.539,0.459,67.188,-
'[18:52:25.960]',0.531,0.455,70.312,-
'[18:52:25.968]',0.500,0.455,72.656,-
'[18:52:25.976]',0.445,0.451,75.781,-
'[18:52:25.984]',0.391,0.451,77.344,-
'[18:52:25.992]',0.344,0.447,78.125,-
'[18:52:26.000]',0.297,0.447,78.906,-
'[18:52:26.008]',0.266,0.443,78.125,-
'[18:52:26.016]',0.242,0.439,77.344,-
'[18:52:26.024]',0.227,0.435,75.781,-
'[18:52:26.032]',0.219,0.435,74.219,-
'[18:52:26.040]',0.211,0.431,71.875,-
'[18:52:26.048]',0.211,0.427,70.312,-
'[18:52:26.056]',0.203,0.424,67.969,-
'[18:52:26.064]',0.203,0.420,66.406,-
'[18:52:26.072]',0.195,0.416,64.062,-
'[18:52:26.080]',0.195,0.412,62.500,-
'[18:52:26.088]',0.195,0.408,60.156,-
'[18:52:26.096]',0.203,0.400,58.594,-
'[18:52:26.104]',0.227,0.396,57.031,-
'[18:52:26.112]',0.242,0.392,55.469,-
'[18:52:26.120]',0.258,0.388,54.688,-
'[18:52:26.128]',0.281,0.384,53.125,-
'[18:52:26.136]',0.320,0.380,53.125,-
'[18:52:26.144]',0.336,0.376,53.125,-
'[18:52:26.152]',0.344,0.373,53.125,-
