'Time','II','CVP','V','ABP','PLETH','I'
'[14:11:28.176]',0.453,-,0.906,68.906,-,-
'[14:11:28.184]',0.453,-,0.913,68.906,-,-
'[14:11:28.192]',0.461,-,0.913,67.812,-,-
'[14:11:28.200]',0.469,-,0.913,68.906,-,-
'[14:11:28.208]',0.484,-,0.913,70.365,-,-
'[14:11:28.216]',0.492,-,0.913,73.281,-,-
'[14:11:28.224]',0.500,-,0.913,78.750,-,-
'[14:11:28.232]',0.508,-,0.929,86.771,-,-
'[14:11:28.240]',0.523,-,0.945,96.979,-,-
'[14:11:28.248]',0.531,-,0.961,107.187,-,-
'[14:11:28.256]',0.555,-,0.984,117.031,-,-
'[14:11:28.264]',0.562,-,1.000,126.510,-,-
'[14:11:28.272]',0.562,-,1.016,132.708,-,-
'[14:11:28.280]',0.547,-,1.031,137.448,-,-
'[14:11:28.288]',0.531,-,1.031,138.906,-,-
'[14:11:28.296]',0.516,-,1.031,138.906,-,-
'[14:11:28.304]',0.516,-,1.024,137.448,-,-
'[14:11:28.312]',0.500,-,1.024,135.260,-,-
'[14:11:28.320]',0.492,-,1.024,131.979,-,-
'[14:11:28.328]',0.492,-,1.031,129.792,-,-
'[14:11:28.336]',0.484,-,1.039,127.239,-,-
'[14:11:28.344]',0.477,-,1.047,125.781,-,-
'[14:11:28.352]',0.492,-,1.031,125.052,-,-
'[14:11:28.360]',0.508,-,1.008,125.052,-,-
'[14:11:28.368]',0.500,-,1.000,124.323,-,-
'[14:11:28.376]',0.516,-,0.976,124.323,-,-
'[14:11:28.384]',0.523,-,0.961,124.323,-,-
'[14:11:28.392]',0.531,-,0.945,123.594,-,-
'[14:11:28.400]',0.531,-,0.937,123.594,-,-
'[14:11:28.408]',0.531,-,0.929,121.771,-,-
'[14:11:28.416]',0.531,-,0.929,120.312,-,-
'[14:11:28.424]',0.547,-,0.913,118.125,-,-
'[14:11:28.432]',0.547,-,0.906,116.302,-,-
'[14:11:28.440]',0.555,-,0.906,114.114,-,-
'[14:11:28.448]',0.562,-,0.890,112.656,-,-
'[14:11:28.456]',0.570,-,0.874,110.104,-,-
'[14:11:28.464]',0.562,-,0.850,107.917,-,-
'[14:11:28.472]',0.539,-,0.827,105.364,-,-
'[14:11:28.480]',0.516,-,0.819,102.448,-,-
'[14:11:28.488]',0.500,-,0.803,99.167,-,-
'[14:11:28.496]',0.477,-,0.795,95.156,-,-
'[14:11:28.504]',0.461,-,0.764,91.510,-,-
'[14:11:28.512]',0.461,-,0.748,88.229,-,-
'[14:11:28.520]',0.461,-,0.748,85.312,-,-
'[14:11:28.528]',0.453,-,0.740,82.760,-,-
'[14:11:28.536]',0.461,-,0.732,81.302,-,-
'[14:11:28.544]',0.461,-,0.740,79.844,-,-
'[14:11:28.552]',0.445,-,0.740,78.750,-,-
'[14:11:28.560]',0.445,-,0.748,78.750,-,-
'[14:11:28.568]',0.477,-,0.780,79.844,-,-
'[14:11:28.576]',0.547,-,0.835,80.573,-,-
'[14:11:28.584]',0.734,-,0.929,80.573,-,-
'[14:11:28.592]',0.945,-,1.000,81.302,-,-
'[14:11:28.600]',0.977,-,0.921,82.031,-,-
'[14:11:28.608]',0.812,-,0.811,82.031,-,-
'[14:11:28.616]',0.641,-,0.740,82.031,-,-
'[14:11:28.624]',0.531,-,0.724,82.031,-,-
'[14:11:28.632]',0.469,-,0.764,82.031,-,-
'[14:11:28.640]',0.430,-,0.780,81.302,-,-
'[14:11:28.648]',0.406,-,0.787,80.573,-,-
'[14:11:28.656]',0.406,-,0.787,79.844,-,-
'[14:11:28.664]',0.398,-,0.795,78.750,-,-
'[14:11:28.672]',0.398,-,0.795,78.021,-,-
'[14:11:28.680]',0.391,-,0.803,77.292,-,-
'[14:11:28.688]',0.398,-,0.803,76.562,-,-
'[14:11:28.696]',0.398,-,0.811,75.833,-,-
'[14:11:28.704]',0.406,-,0.811,75.104,-,-
'[14:11:28.712]',0.406,-,0.811,74.375,-,-
'[14:11:28.720]',0.406,-,0.811,73.281,-,-
'[14:11:28.728]',0.414,-,0.819,72.552,-,-
'[14:11:28.736]',0.414,-,0.835,71.823,-,-
'[14:11:28.744]',0.414,-,0.835,71.823,-,-
'[14:11:28.752]',0.422,-,0.835,71.094,-,-
'[14:11:28.760]',0.422,-,0.843,70.365,-,-
'[14:11:28.768]',0.438,-,0.843,70.365,-,-
'[14:11:28.776]',0.438,-,0.850,69.635,-,-
'[14:11:28.784]',0.445,-,0.850,68.906,-,-
'[14:11:28.792]',0.461,-,0.850,68.906,-,-
'[14:11:28.800]',0.461,-,0.866,67.812,-,-
'[14:11:28.808]',0.469,-,0.866,68.906,-,-
'[14:11:28.816]',0.484,-,0.874,68.906,-,-
'[14:11:28.824]',0.492,-,0.890,70.365,-,-
'[14:11:28.832]',0.500,-,0.906,74.375,-,-
'[14:11:28.840]',0.516,-,0.921,79.844,-,-
'[14:11:28.848]',0.516,-,0.937,88.229,-,-
'[14:11:28.856]',0.539,-,0.953,97.708,-,-
'[14:11:28.864]',0.547,-,0.961,108.646,-,-
'[14:11:28.872]',0.562,-,0.961,118.854,-,-
'[14:11:28.880]',0.562,-,0.969,127.239,-,-
'[14:11:28.888]',0.562,-,0.961,134.531,-,-
'[14:11:28.896]',0.547,-,0.961,138.177,-,-
'[14:11:28.904]',0.539,-,0.953,140.000,-,-
'[14:11:28.912]',0.516,-,0.937,140.000,-,-
'[14:11:28.920]',0.516,-,0.921,138.177,-,-
'[14:11:28.928]',0.500,-,0.921,135.989,-,-
'[14:11:28.936]',0.500,-,0.921,132.708,-,-
'[14:11:28.944]',0.492,-,0.913,130.521,-,-
'[14:11:28.952]',0.492,-,0.890,127.969,-,-
'[14:11:28.960]',0.492,-,0.874,127.239,-,-
'[14:11:28.968]',0.492,-,0.866,125.781,-,-
'[14:11:28.976]',0.492,-,0.866,125.781,-,-
'[14:11:28.984]',0.492,-,0.850,125.781,-,-
'[14:11:28.992]',0.500,-,0.850,125.052,-,-
'[14:11:29.000]',0.516,-,0.858,125.052,-,-
'[14:11:29.008]',0.523,-,0.858,124.323,-,-
'[14:11:29.016]',0.531,-,0.866,123.594,-,-
'[14:11:29.024]',0.539,-,0.866,122.500,-,-
'[14:11:29.032]',0.547,-,0.874,121.042,-,-
'[14:11:29.040]',0.555,-,0.866,119.583,-,-
'[14:11:29.048]',0.562,-,0.850,117.031,-,-
'[14:11:29.056]',0.562,-,0.835,115.573,-,-
'[14:11:29.064]',0.562,-,0.835,113.385,-,-
'[14:11:29.072]',0.570,-,0.835,111.562,-,-
'[14:11:29.080]',0.562,-,0.827,109.375,-,-
'[14:11:29.088]',0.539,-,0.803,107.187,-,-
'[14:11:29.096]',0.516,-,0.795,103.906,-,-
'[14:11:29.104]',0.492,-,0.780,100.625,-,-
'[14:11:29.112]',0.461,-,0.780,96.979,-,-
'[14:11:29.120]',0.461,-,0.787,92.969,-,-
'[14:11:29.128]',0.445,-,0.780,88.958,-,-
'[14:11:29.136]',0.445,-,0.772,86.042,-,-
'[14:11:29.144]',0.445,-,0.780,83.489,-,-
'[14:11:29.152]',0.445,-,0.780,81.302,-,-
'[14:11:29.160]',0.445,-,0.787,79.844,-,-
'[14:11:29.168]',0.438,-,0.780,78.750,-,-
'[14:11:29.176]',0.430,-,0.787,78.750,-,-
'[14:11:29.184]',0.461,-,0.803,78.750,-,-
'[14:11:29.192]',0.547,-,0.850,79.844,-,-
'[14:11:29.200]',0.750,-,0.945,80.573,-,-
'[14:11:29.208]',0.938,-,1.000,81.302,-,-
'[14:11:29.216]',0.977,-,0.906,82.031,-,-
'[14:11:29.224]',0.805,-,0.795,82.760,-,-
'[14:11:29.232]',0.633,-,0.724,82.760,-,-
'[14:11:29.240]',0.531,-,0.701,82.760,-,-
'[14:11:29.248]',0.477,-,0.724,82.031,-,-
'[14:11:29.256]',0.438,-,0.740,82.031,-,-
'[14:11:29.264]',0.414,-,0.740,81.302,-,-
'[14:11:29.272]',0.406,-,0.740,80.573,-,-
'[14:11:29.280]',0.398,-,0.740,78.750,-,-
'[14:11:29.288]',0.398,-,0.748,78.021,-,-
'[14:11:29.296]',0.398,-,0.748,77.292,-,-
'[14:11:29.304]',0.398,-,0.764,75.833,-,-
'[14:11:29.312]',0.398,-,0.764,75.104,-,-
'[14:11:29.320]',0.406,-,0.764,74.375,-,-
'[14:11:29.328]',0.406,-,0.756,73.281,-,-
'[14:11:29.336]',0.406,-,0.764,73.281,-,-
'[14:11:29.344]',0.422,-,0.764,72.552,-,-
'[14:11:29.352]',0.422,-,0.764,71.823,-,-
'[14:11:29.360]',0.422,-,0.756,71.823,-,-
'[14:11:29.368]',0.438,-,0.764,71.094,-,-
'[14:11:29.376]',0.438,-,0.756,71.094,-,-
'[14:11:29.384]',0.438,-,0.764,70.365,-,-
'[14:11:29.392]',0.445,-,0.756,70.365,-,-
'[14:11:29.400]',0.445,-,0.764,69.635,-,-
'[14:11:29.408]',0.445,-,0.756,69.635,-,-
'[14:11:29.416]',0.453,-,0.772,68.906,-,-
'[14:11:29.424]',0.469,-,0.780,68.906,-,-
'[14:11:29.432]',0.469,-,0.795,69.635,-,-
'[14:11:29.440]',0.477,-,0.795,71.094,-,-
'[14:11:29.448]',0.492,-,0.811,75.104,-,-
'[14:11:29.456]',0.500,-,0.811,80.573,-,-
'[14:11:29.464]',0.508,-,0.827,88.958,-,-
'[14:11:29.472]',0.523,-,0.835,98.437,-,-
'[14:11:29.480]',0.531,-,0.850,109.375,-,-
'[14:11:29.488]',0.547,-,0.850,119.583,-,-
'[14:11:29.496]',0.547,-,0.866,127.969,-,-
'[14:11:29.504]',0.547,-,0.866,134.531,-,-
'[14:11:29.512]',0.531,-,0.866,138.906,-,-
'[14:11:29.520]',0.516,-,0.866,140.729,-,-
'[14:11:29.528]',0.516,-,0.850,140.000,-,-
'[14:11:29.536]',0.508,-,0.850,138.177,-,-
'[14:11:29.544]',0.492,-,0.850,135.989,-,-
'[14:11:29.552]',0.492,-,0.850,133.437,-,-
'[14:11:29.560]',0.484,-,0.843,131.250,-,-
'[14:11:29.568]',0.484,-,0.850,129.062,-,-
'[14:11:29.576]',0.484,-,0.850,127.969,-,-
'[14:11:29.584]',0.492,-,0.843,126.510,-,-
'[14:11:29.592]',0.492,-,0.835,126.510,-,-
'[14:11:29.600]',0.492,-,0.835,125.781,-,-
'[14:11:29.608]',0.492,-,0.835,125.781,-,-
'[14:11:29.616]',0.500,-,0.843,125.781,-,-
'[14:11:29.624]',0.516,-,0.850,125.052,-,-
'[14:11:29.632]',0.516,-,0.866,124.323,-,-
'[14:11:29.640]',0.516,-,0.866,122.500,-,-
'[14:11:29.648]',0.516,-,0.882,121.042,-,-
'[14:11:29.656]',0.531,-,0.890,119.583,-,-
'[14:11:29.664]',0.531,-,0.898,118.125,-,-
'[14:11:29.672]',0.539,-,0.898,115.573,-,-
'[14:11:29.680]',0.547,-,0.906,114.114,-,-
'[14:11:29.688]',0.562,-,0.906,111.562,-,-
'[14:11:29.696]',0.539,-,0.890,109.375,-,-
'[14:11:29.704]',0.516,-,0.890,107.187,-,-
'[14:11:29.712]',0.508,-,0.890,103.906,-,-
'[14:11:29.720]',0.492,-,0.850,100.625,-,-
'[14:11:29.728]',0.461,-,0.811,97.708,-,-
'[14:11:29.736]',0.453,-,0.811,93.698,-,-
'[14:11:29.744]',0.445,-,0.835,89.687,-,-
'[14:11:29.752]',0.445,-,0.850,86.771,-,-
'[14:11:29.760]',0.438,-,0.858,83.489,-,-
'[14:11:29.768]',0.438,-,0.850,81.302,-,-
'[14:11:29.776]',0.438,-,0.850,79.844,-,-
'[14:11:29.784]',0.430,-,0.858,78.750,-,-
'[14:11:29.792]',0.422,-,0.874,78.750,-,-
'[14:11:29.800]',0.461,-,0.898,78.750,-,-
'[14:11:29.808]',0.555,-,0.953,79.844,-,-
'[14:11:29.816]',0.742,-,1.039,80.573,-,-
'[14:11:29.824]',0.945,-,1.094,81.302,-,-
'[14:11:29.832]',0.977,-,0.992,82.031,-,-
'[14:11:29.840]',0.805,-,0.866,82.760,-,-
'[14:11:29.848]',0.633,-,0.780,82.760,-,-
'[14:11:29.856]',0.531,-,0.756,82.760,-,-
'[14:11:29.864]',0.477,-,0.787,82.031,-,-
'[14:11:29.872]',0.438,-,0.795,82.031,-,-
'[14:11:29.880]',0.422,-,0.795,81.302,-,-
'[14:11:29.888]',0.422,-,0.795,80.573,-,-
'[14:11:29.896]',0.414,-,0.787,79.844,-,-
'[14:11:29.904]',0.406,-,0.780,78.021,-,-
'[14:11:29.912]',0.422,-,0.772,77.292,-,-
'[14:11:29.920]',0.422,-,0.764,76.562,-,-
'[14:11:29.928]',0.422,-,0.764,75.833,-,-
'[14:11:29.936]',0.422,-,0.756,75.104,-,-
'[14:11:29.944]',0.422,-,0.748,74.375,-,-
'[14:11:29.952]',0.422,-,0.748,73.281,-,-
'[14:11:29.960]',0.422,-,0.748,73.281,-,-
'[14:11:29.968]',0.422,-,0.748,72.552,-,-
'[14:11:29.976]',0.438,-,0.748,71.823,-,-
'[14:11:29.984]',0.438,-,0.748,71.094,-,-
'[14:11:29.992]',0.445,-,0.748,70.365,-,-
'[14:11:30.000]',0.453,-,0.748,70.365,-,-
'[14:11:30.008]',0.461,-,0.740,69.635,-,-
'[14:11:30.016]',0.461,-,0.740,69.635,-,-
'[14:11:30.024]',0.469,-,0.724,68.906,-,-
'[14:11:30.032]',0.469,-,0.724,68.906,-,-
'[14:11:30.040]',0.477,-,0.717,68.906,-,-
'[14:11:30.048]',0.484,-,0.724,69.635,-,-
'[14:11:30.056]',0.492,-,0.724,71.094,-,-
'[14:11:30.064]',0.500,-,0.724,75.104,-,-
'[14:11:30.072]',0.508,-,0.732,81.302,-,-
'[14:11:30.080]',0.516,-,0.740,89.687,-,-
'[14:11:30.088]',0.523,-,0.748,99.896,-,-
'[14:11:30.096]',0.539,-,0.764,110.833,-,-
'[14:11:30.104]',0.555,-,0.764,121.042,-,-
'[14:11:30.112]',0.547,-,0.780,129.792,-,-
'[14:11:30.120]',0.539,-,0.787,135.989,-,-
'[14:11:30.128]',0.531,-,0.795,140.000,-,-
'[14:11:30.136]',0.516,-,0.787,141.458,-,-
'[14:11:30.144]',0.500,-,0.780,140.729,-,-
'[14:11:30.152]',0.492,-,0.795,138.906,-,-
'[14:11:30.160]',0.477,-,0.795,136.719,-,-
'[14:11:30.168]',0.477,-,0.795,134.531,-,-
'[14:11:30.176]',0.477,-,0.795,131.979,-,-
'[14:11:30.184]',0.469,-,0.803,130.521,-,-
'[14:11:30.192]',0.461,-,0.811,129.062,-,-
'[14:11:30.200]',0.461,-,0.850,127.969,-,-
'[14:11:30.208]',0.469,-,0.858,127.239,-,-
'[14:11:30.216]',0.469,-,0.835,127.239,-,-
'[14:11:30.224]',0.477,-,0.811,126.510,-,-
'[14:11:30.232]',0.492,-,0.819,126.510,-,-
'[14:11:30.240]',0.500,-,0.827,125.781,-,-
'[14:11:30.248]',0.500,-,0.835,125.052,-,-
'[14:11:30.256]',0.508,-,0.850,123.594,-,-
'[14:11:30.264]',0.516,-,0.866,121.771,-,-
'[14:11:30.272]',0.523,-,0.866,120.312,-,-
'[14:11:30.280]',0.531,-,0.866,118.854,-,-
'[14:11:30.288]',0.539,-,0.858,116.302,-,-
'[14:11:30.296]',0.539,-,0.850,114.844,-,-
'[14:11:30.304]',0.547,-,0.835,113.385,-,-
'[14:11:30.312]',0.523,-,0.835,110.833,-,-
'[14:11:30.320]',0.516,-,0.827,108.646,-,-
'[14:11:30.328]',0.492,-,0.827,105.364,-,-
'[14:11:30.336]',0.469,-,0.835,102.448,-,-
'[14:11:30.344]',0.445,-,0.835,99.167,-,-
'[14:11:30.352]',0.438,-,0.835,95.156,-,-
'[14:11:30.360]',0.438,-,0.850,91.510,-,-
'[14:11:30.368]',0.422,-,0.882,88.229,-,-
'[14:11:30.376]',0.422,-,0.890,85.312,-,-
'[14:11:30.384]',0.422,-,0.898,82.760,-,-
'[14:11:30.392]',0.422,-,0.906,81.302,-,-
'[14:11:30.400]',0.414,-,0.929,80.573,-,-
'[14:11:30.408]',0.422,-,0.953,80.573,-,-
'[14:11:30.416]',0.469,-,1.000,80.573,-,-
'[14:11:30.424]',0.586,-,1.087,81.302,-,-
'[14:11:30.432]',0.805,-,1.205,82.031,-,-
'[14:11:30.440]',0.961,-,1.244,82.760,-,-
'[14:11:30.448]',0.875,-,1.087,83.489,-,-
'[14:11:30.456]',0.688,-,0.945,84.219,-,-
'[14:11:30.464]',0.516,-,0.850,84.219,-,-
'[14:11:30.472]',0.453,-,0.874,84.219,-,-
'[14:11:30.480]',0.422,-,0.906,84.219,-,-
'[14:11:30.488]',0.398,-,0.929,83.489,-,-
'[14:11:30.496]',0.383,-,0.929,83.489,-,-
'[14:11:30.504]',0.383,-,0.929,82.760,-,-
'[14:11:30.512]',0.375,-,0.945,82.031,-,-
'[14:11:30.520]',0.375,-,0.945,81.302,-,-
'[14:11:30.528]',0.383,-,0.945,79.844,-,-
'[14:11:30.536]',0.391,-,0.929,78.750,-,-
'[14:11:30.544]',0.398,-,0.929,77.292,-,-
'[14:11:30.552]',0.398,-,0.921,76.562,-,-
'[14:11:30.560]',0.406,-,0.921,75.833,-,-
'[14:11:30.568]',0.406,-,0.921,75.833,-,-
'[14:11:30.576]',0.414,-,0.913,75.104,-,-
'[14:11:30.584]',0.414,-,0.913,75.104,-,-
'[14:11:30.592]',0.422,-,0.921,74.375,-,-
'[14:11:30.600]',0.414,-,0.913,74.375,-,-
'[14:11:30.608]',0.422,-,0.906,73.281,-,-
'[14:11:30.616]',0.430,-,0.913,73.281,-,-
'[14:11:30.624]',0.438,-,0.906,72.552,-,-
'[14:11:30.632]',0.445,-,0.906,72.552,-,-
'[14:11:30.640]',0.445,-,0.906,72.552,-,-
'[14:11:30.648]',0.445,-,0.906,71.823,-,-
'[14:11:30.656]',0.461,-,0.906,72.552,-,-
'[14:11:30.664]',0.469,-,0.913,73.281,-,-
'[14:11:30.672]',0.477,-,0.906,76.562,-,-
'[14:11:30.680]',0.477,-,0.913,81.302,-,-
'[14:11:30.688]',0.492,-,0.921,88.958,-,-
'[14:11:30.696]',0.500,-,0.921,98.437,-,-
'[14:11:30.704]',0.516,-,0.929,109.375,-,-
'[14:11:30.712]',0.531,-,0.929,120.312,-,-
'[14:11:30.720]',0.531,-,0.929,129.792,-,-
'[14:11:30.728]',0.523,-,0.929,137.448,-,-
'[14:11:30.736]',0.516,-,0.921,142.187,-,-
'[14:11:30.744]',0.508,-,0.906,145.469,-,-
'[14:11:30.752]',0.492,-,0.906,145.469,-,-
'[14:11:30.760]',0.492,-,0.906,144.375,-,-
'[14:11:30.768]',0.477,-,0.890,142.187,-,-
'[14:11:30.776]',0.477,-,0.890,140.000,-,-
'[14:11:30.784]',0.477,-,0.882,137.448,-,-
'[14:11:30.792]',0.469,-,0.874,135.260,-,-
'[14:11:30.800]',0.469,-,0.874,132.708,-,-
'[14:11:30.808]',0.469,-,0.874,131.979,-,-
'[14:11:30.816]',0.469,-,0.874,131.250,-,-
'[14:11:30.824]',0.469,-,0.874,130.521,-,-
'[14:11:30.832]',0.477,-,0.890,130.521,-,-
'[14:11:30.840]',0.484,-,0.890,129.792,-,-
'[14:11:30.848]',0.500,-,0.890,129.062,-,-
'[14:11:30.856]',0.500,-,0.906,127.239,-,-
'[14:11:30.864]',0.500,-,0.906,126.510,-,-
'[14:11:30.872]',0.516,-,0.906,125.052,-,-
'[14:11:30.880]',0.516,-,0.898,123.594,-,-
'[14:11:30.888]',0.531,-,0.890,121.042,-,-
'[14:11:30.896]',0.523,-,0.890,119.583,-,-
'[14:11:30.904]',0.531,-,0.890,118.125,-,-
'[14:11:30.912]',0.539,-,0.890,115.573,-,-
'[14:11:30.920]',0.516,-,0.866,113.385,-,-
'[14:11:30.928]',0.500,-,0.850,111.562,-,-
'[14:11:30.936]',0.492,-,0.835,108.646,-,-
'[14:11:30.944]',0.477,-,0.819,106.094,-,-
'[14:11:30.952]',0.461,-,0.795,102.448,-,-
'[14:11:30.960]',0.445,-,0.780,98.437,-,-
'[14:11:30.968]',0.438,-,0.772,94.427,-,-
'[14:11:30.976]',0.438,-,0.780,90.781,-,-
'[14:11:30.984]',0.438,-,0.780,87.500,-,-
'[14:11:30.992]',0.438,-,0.780,84.219,-,-
'[14:11:31.000]',0.438,-,0.795,82.760,-,-
'[14:11:31.008]',0.422,-,0.795,81.302,-,-
'[14:11:31.016]',0.414,-,0.819,80.573,-,-
'[14:11:31.024]',0.461,-,0.866,80.573,-,-
'[14:11:31.032]',0.570,-,0.937,80.573,-,-
'[14:11:31.040]',0.797,-,1.039,81.302,-,-
'[14:11:31.048]',0.961,-,1.079,82.031,-,-
'[14:11:31.056]',0.977,-,0.953,82.760,-,-
'[14:11:31.064]',0.758,-,0.827,82.760,-,-
'[14:11:31.072]',0.586,-,0.740,83.489,-,-
'[14:11:31.080]',0.500,-,0.724,83.489,-,-
'[14:11:31.088]',0.445,-,0.772,83.489,-,-
'[14:11:31.096]',0.406,-,0.787,83.489,-,-
'[14:11:31.104]',0.391,-,0.795,82.760,-,-
'[14:11:31.112]',0.375,-,0.795,82.031,-,-
'[14:11:31.120]',0.375,-,0.803,81.302,-,-
'[14:11:31.128]',0.367,-,0.811,80.573,-,-
'[14:11:31.136]',0.375,-,0.819,79.844,-,-
'[14:11:31.144]',0.375,-,0.835,78.021,-,-
'[14:11:31.152]',0.375,-,0.835,77.292,-,-
'[14:11:31.160]',0.383,-,0.835,76.562,-,-
'[14:11:31.168]',0.391,-,0.835,75.833,-,-
'[14:11:31.176]',0.398,-,0.835,75.104,-,-
'[14:11:31.184]',0.398,-,0.835,74.375,-,-
'[14:11:31.192]',0.406,-,0.819,73.281,-,-
'[14:11:31.200]',0.414,-,0.819,72.552,-,-
'[14:11:31.208]',0.422,-,0.819,71.823,-,-
'[14:11:31.216]',0.422,-,0.811,71.823,-,-
'[14:11:31.224]',0.430,-,0.811,71.823,-,-
'[14:11:31.232]',0.430,-,0.811,71.094,-,-
'[14:11:31.240]',0.445,-,0.811,71.094,-,-
'[14:11:31.248]',0.445,-,0.819,70.365,-,-
'[14:11:31.256]',0.445,-,0.827,70.365,-,-
'[14:11:31.264]',0.453,-,0.827,70.365,-,-
'[14:11:31.272]',0.469,-,0.835,70.365,-,-
'[14:11:31.280]',0.477,-,0.850,72.552,-,-
'[14:11:31.288]',0.492,-,0.866,76.562,-,-
'[14:11:31.296]',0.492,-,0.874,83.489,-,-
'[14:11:31.304]',0.500,-,0.882,92.239,-,-
'[14:11:31.312]',0.516,-,0.890,102.448,-,-
'[14:11:31.320]',0.523,-,0.890,113.385,-,-
'[14:11:31.328]',0.539,-,0.890,123.594,-,-
'[14:11:31.336]',0.547,-,0.898,131.979,-,-
'[14:11:31.344]',0.539,-,0.890,137.448,-,-
'[14:11:31.352]',0.531,-,0.890,141.458,-,-
'[14:11:31.360]',0.516,-,0.890,142.187,-,-
'[14:11:31.368]',0.508,-,0.874,141.458,-,-
'[14:11:31.376]',0.500,-,0.866,138.906,-,-
'[14:11:31.384]',0.492,-,0.866,136.719,-,-
'[14:11:31.392]',0.492,-,0.858,133.437,-,-
'[14:11:31.400]',0.484,-,0.850,131.250,-,-
'[14:11:31.408]',0.484,-,0.850,129.792,-,-
'[14:11:31.416]',0.484,-,0.843,127.969,-,-
'[14:11:31.424]',0.484,-,0.843,127.239,-,-
'[14:11:31.432]',0.484,-,0.843,126.510,-,-
'[14:11:31.440]',0.492,-,0.843,126.510,-,-
'[14:11:31.448]',0.492,-,0.850,125.781,-,-
'[14:11:31.456]',0.516,-,0.858,125.781,-,-
'[14:11:31.464]',0.516,-,0.866,125.052,-,-
'[14:11:31.472]',0.516,-,0.866,123.594,-,-
'[14:11:31.480]',0.516,-,0.866,122.500,-,-
'[14:11:31.488]',0.531,-,0.874,121.042,-,-
'[14:11:31.496]',0.539,-,0.874,118.854,-,-
'[14:11:31.504]',0.547,-,0.874,117.031,-,-
'[14:11:31.512]',0.547,-,0.866,114.844,-,-
'[14:11:31.520]',0.562,-,0.866,113.385,-,-
'[14:11:31.528]',0.562,-,0.866,110.833,-,-
'[14:11:31.536]',0.547,-,0.850,108.646,-,-
'[14:11:31.544]',0.523,-,0.835,106.094,-,-
'[14:11:31.552]',0.508,-,0.835,103.177,-,-
'[14:11:31.560]',0.492,-,0.819,99.167,-,-
'[14:11:31.568]',0.461,-,0.811,95.156,-,-
'[14:11:31.576]',0.453,-,0.811,91.510,-,-
'[14:11:31.584]',0.453,-,0.811,88.229,-,-
'[14:11:31.592]',0.445,-,0.811,85.312,-,-
'[14:11:31.600]',0.445,-,0.819,82.760,-,-
'[14:11:31.608]',0.445,-,0.819,80.573,-,-
'[14:11:31.616]',0.445,-,0.827,79.844,-,-
'[14:11:31.624]',0.445,-,0.819,78.750,-,-
'[14:11:31.632]',0.430,-,0.850,78.750,-,-
'[14:11:31.640]',0.484,-,0.882,79.844,-,-
'[14:11:31.648]',0.570,-,0.945,80.573,-,-
'[14:11:31.656]',0.781,-,1.039,81.302,-,-
'[14:11:31.664]',0.961,-,1.087,82.031,-,-
'[14:11:31.672]',0.984,-,0.976,82.031,-,-
'[14:11:31.680]',0.797,-,0.866,82.760,-,-
'[14:11:31.688]',0.625,-,0.780,82.760,-,-
'[14:11:31.696]',0.523,-,0.764,82.760,-,-
'[14:11:31.704]',0.469,-,0.803,82.031,-,-
'[14:11:31.712]',0.438,-,0.811,82.031,-,-
'[14:11:31.720]',0.414,-,0.811,81.302,-,-
'[14:11:31.728]',0.406,-,0.811,79.844,-,-
'[14:11:31.736]',0.414,-,0.811,78.750,-,-
'[14:11:31.744]',0.406,-,0.819,78.021,-,-
'[14:11:31.752]',0.406,-,0.819,77.292,-,-
'[14:11:31.760]',0.414,-,0.819,75.833,-,-
'[14:11:31.768]',0.406,-,0.811,75.104,-,-
'[14:11:31.776]',0.414,-,0.803,74.375,-,-
'[14:11:31.784]',0.414,-,0.795,73.281,-,-
'[14:11:31.792]',0.422,-,0.795,73.281,-,-
'[14:11:31.800]',0.422,-,0.787,72.552,-,-
'[14:11:31.808]',0.422,-,0.780,71.823,-,-
'[14:11:31.816]',0.422,-,0.780,71.823,-,-
'[14:11:31.824]',0.422,-,0.787,71.094,-,-
'[14:11:31.832]',0.430,-,0.787,71.094,-,-
'[14:11:31.840]',0.438,-,0.787,70.365,-,-
'[14:11:31.848]',0.438,-,0.795,70.365,-,-
'[14:11:31.856]',0.445,-,0.795,69.635,-,-
'[14:11:31.864]',0.445,-,0.795,69.635,-,-
'[14:11:31.872]',0.453,-,0.803,68.906,-,-
'[14:11:31.880]',0.461,-,0.811,68.906,-,-
'[14:11:31.888]',0.469,-,0.811,69.635,-,-
'[14:11:31.896]',0.477,-,0.819,71.094,-,-
'[14:11:31.904]',0.492,-,0.827,75.104,-,-
'[14:11:31.912]',0.492,-,0.835,80.573,-,-
'[14:11:31.920]',0.508,-,0.835,88.958,-,-
'[14:11:31.928]',0.516,-,0.835,99.167,-,-
'[14:11:31.936]',0.523,-,0.850,110.104,-,-
'[14:11:31.944]',0.539,-,0.850,120.312,-,-
'[14:11:31.952]',0.539,-,0.866,129.062,-,-
'[14:11:31.960]',0.531,-,0.866,135.260,-,-
'[14:11:31.968]',0.516,-,0.866,140.000,-,-
'[14:11:31.976]',0.516,-,0.858,141.458,-,-
'[14:11:31.984]',0.508,-,0.850,140.729,-,-
'[14:11:31.992]',0.492,-,0.850,138.177,-,-
'[14:11:32.000]',0.492,-,0.850,135.260,-,-
'[14:11:32.008]',0.484,-,0.858,131.979,-,-
'[14:11:32.016]',0.477,-,0.866,129.062,-,-
