'Time','II','AVR','V','RESP','PLETH','ABP','CVP','UAP'
'[14:03:18.024]',0.440,0.510,0.480,-0.014,2.928,67.991,37.004,110.825
'[14:03:18.032]',0.450,0.505,0.480,-0.013,2.918,67.678,37.004,110.825
'[14:03:18.040]',0.435,0.520,0.485,-0.012,2.902,67.248,37.004,110.825
'[14:03:18.048]',0.425,0.515,0.475,-0.011,2.881,66.858,37.004,110.876
'[14:03:18.056]',0.445,0.510,0.490,-0.010,2.854,66.428,37.004,110.825
'[14:03:18.064]',0.435,0.515,0.475,-0.009,2.823,65.998,37.004,110.825
'[14:03:18.072]',0.430,0.520,0.485,-0.007,2.786,65.412,37.004,110.825
'[14:03:18.080]',0.470,0.510,0.475,-0.006,2.743,64.865,37.004,110.825
'[14:03:18.088]',0.600,0.450,0.515,-0.004,2.694,64.318,37.004,110.825
'[14:03:18.096]',0.905,0.245,0.460,-0.003,2.637,63.693,37.004,110.825
'[14:03:18.104]',1.240,-0.060,0.445,-0.002,2.575,63.067,37.004,110.825
'[14:03:18.112]',1.280,-0.230,0.425,-0.001,2.514,62.442,37.004,110.825
'[14:03:18.120]',0.880,-0.060,0.410,0.000,2.453,61.856,37.004,110.825
'[14:03:18.128]',0.145,0.490,0.700,0.000,2.382,61.231,37.004,110.825
'[14:03:18.136]',-0.035,0.700,0.740,0.001,2.307,60.684,37.004,110.825
'[14:03:18.144]',0.075,0.720,0.600,0.001,2.230,60.059,37.004,110.825
'[14:03:18.152]',0.225,0.635,0.535,0.002,2.153,59.472,37.004,110.825
'[14:03:18.160]',0.315,0.600,0.490,0.002,2.078,59.004,37.004,110.825
'[14:03:18.168]',0.355,0.590,0.480,0.003,2.007,58.417,37.004,110.825
'[14:03:18.176]',0.370,0.585,0.470,0.003,1.939,57.988,37.004,110.825
'[14:03:18.184]',0.385,0.570,0.475,0.003,1.879,57.558,37.004,110.825
'[14:03:18.192]',0.395,0.570,0.470,0.003,1.824,57.128,37.004,110.730
'[14:03:18.200]',0.400,0.560,0.470,0.003,1.776,56.659,37.004,110.825
'[14:03:18.208]',0.395,0.565,0.460,0.003,1.739,56.229,37.004,110.825
'[14:03:18.216]',0.400,0.570,0.465,0.003,1.709,55.877,37.004,110.825
'[14:03:18.224]',0.400,0.560,0.470,0.002,1.680,55.487,37.004,110.825
'[14:03:18.232]',0.410,0.555,0.465,0.002,1.654,55.057,37.004,110.730
'[14:03:18.240]',0.415,0.555,0.470,0.001,1.630,54.666,37.004,110.730
'[14:03:18.248]',0.420,0.550,0.470,0.000,1.609,54.314,37.004,110.679
'[14:03:18.256]',0.420,0.545,0.475,0.000,1.589,54.002,37.004,110.679
'[14:03:18.264]',0.430,0.545,0.470,-0.000,1.571,53.728,37.004,110.679
'[14:03:18.272]',0.435,0.540,0.480,-0.001,1.553,53.494,37.004,110.679
'[14:03:18.280]',0.430,0.545,0.470,-0.001,1.537,53.220,37.004,110.730
'[14:03:18.288]',0.445,0.530,0.485,-0.002,1.520,52.986,37.004,110.825
'[14:03:18.296]',0.450,0.535,0.475,-0.003,1.503,52.673,37.004,110.825
'[14:03:18.304]',0.455,0.530,0.485,-0.005,1.487,52.283,37.004,110.825
'[14:03:18.312]',0.460,0.530,0.475,-0.006,1.473,52.009,37.004,110.825
'[14:03:18.320]',0.485,0.510,0.490,-0.007,1.460,51.618,37.004,110.825
'[14:03:18.328]',0.495,0.510,0.490,-0.009,1.445,51.384,37.004,110.825
'[14:03:18.336]',0.500,0.505,0.495,-0.010,1.428,51.384,37.004,110.730
'[14:03:18.344]',0.510,0.500,0.495,-0.012,1.411,52.048,37.004,110.730
'[14:03:18.352]',0.525,0.485,0.500,-0.013,1.393,54.041,37.004,110.825
'[14:03:18.360]',0.540,0.480,0.505,-0.015,1.374,58.300,37.004,110.825
'[14:03:18.368]',0.540,0.485,0.510,-0.016,1.356,65.060,37.004,110.730
'[14:03:18.376]',0.545,0.475,0.505,-0.017,1.337,73.383,37.004,110.730
'[14:03:18.384]',0.540,0.480,0.500,-0.019,1.318,81.198,37.004,110.730
'[14:03:18.392]',0.545,0.470,0.515,-0.020,1.298,86.942,37.004,110.730
'[14:03:18.400]',0.550,0.465,0.505,-0.021,1.280,90.498,37.004,110.730
'[14:03:18.408]',0.550,0.465,0.515,-0.022,1.265,93.116,37.004,110.825
'[14:03:18.416]',0.540,0.465,0.500,-0.023,1.252,96.125,37.004,110.825
'[14:03:18.424]',0.530,0.470,0.510,-0.024,1.236,99.915,37.004,110.825
'[14:03:18.432]',0.515,0.480,0.500,-0.025,1.219,103.940,37.004,110.825
'[14:03:18.440]',0.510,0.485,0.495,-0.026,1.201,107.300,37.004,110.825
'[14:03:18.448]',0.505,0.480,0.495,-0.028,1.185,109.606,37.004,110.825
'[14:03:18.456]',0.485,0.490,0.500,-0.030,1.169,111.130,37.004,110.825
'[14:03:18.464]',0.470,0.495,0.495,-0.032,1.153,112.263,37.004,110.730
'[14:03:18.472]',0.465,0.500,0.495,-0.034,1.139,113.318,37.004,110.825
'[14:03:18.480]',0.465,0.510,0.490,-0.037,1.124,114.256,37.004,110.825
'[14:03:18.488]',0.460,0.500,0.500,-0.039,1.110,114.998,37.004,110.825
'[14:03:18.496]',0.460,0.515,0.495,-0.041,1.097,115.428,37.004,110.730
'[14:03:18.504]',0.450,0.515,0.495,-0.043,1.083,115.389,37.004,110.730
'[14:03:18.512]',0.450,0.510,0.495,-0.044,1.075,115.076,37.004,110.730
'[14:03:18.520]',0.455,0.505,0.495,-0.045,1.070,114.568,37.004,110.825
'[14:03:18.528]',0.455,0.510,0.495,-0.046,1.064,113.943,37.004,110.825
'[14:03:18.536]',0.460,0.505,0.500,-0.047,1.055,113.044,37.004,110.825
'[14:03:18.544]',0.470,0.500,0.495,-0.048,1.047,111.989,37.004,110.825
'[14:03:18.552]',0.470,0.495,0.500,-0.048,1.038,110.739,37.004,110.825
'[14:03:18.560]',0.470,0.505,0.495,-0.048,1.028,109.293,37.004,110.825
'[14:03:18.568]',0.470,0.500,0.495,-0.048,1.018,107.691,37.004,110.825
'[14:03:18.576]',0.470,0.500,0.490,-0.048,1.008,105.855,37.004,110.730
'[14:03:18.584]',0.480,0.495,0.495,-0.047,1.000,103.823,37.004,110.730
'[14:03:18.592]',0.470,0.495,0.490,-0.046,1.000,101.478,37.004,110.730
'[14:03:18.600]',0.470,0.505,0.495,-0.044,1.014,98.860,37.004,110.825
'[14:03:18.608]',0.470,0.500,0.490,-0.043,1.041,95.930,37.004,110.825
'[14:03:18.616]',0.475,0.495,0.495,-0.041,1.088,92.608,37.004,110.825
'[14:03:18.624]',0.465,0.510,0.485,-0.039,1.166,89.130,37.004,110.825
'[14:03:18.632]',0.470,0.505,0.490,-0.037,1.277,85.536,37.004,110.825
'[14:03:18.640]',0.460,0.510,0.495,-0.034,1.422,82.175,37.004,110.825
'[14:03:18.648]',0.455,0.510,0.485,-0.032,1.594,79.166,37.004,110.825
'[14:03:18.656]',0.450,0.510,0.495,-0.029,1.776,76.822,37.004,110.825
'[14:03:18.664]',0.445,0.515,0.480,-0.026,1.959,74.985,37.004,110.825
'[14:03:18.672]',0.465,0.505,0.490,-0.023,2.133,73.618,37.004,110.825
'[14:03:18.680]',0.470,0.510,0.485,-0.020,2.292,72.563,37.004,110.825
'[14:03:18.688]',0.470,0.505,0.495,-0.018,2.433,71.664,37.004,110.825
'[14:03:18.696]',0.485,0.490,0.495,-0.017,2.554,70.921,37.004,110.825
'[14:03:18.704]',0.500,0.475,0.510,-0.014,2.656,70.296,37.004,110.825
'[14:03:18.712]',0.505,0.475,0.510,-0.011,2.729,69.866,37.004,110.825
'[14:03:18.720]',0.510,0.465,0.520,-0.008,2.784,69.476,37.004,110.825
'[14:03:18.728]',0.495,0.480,0.520,-0.005,2.837,69.241,37.004,110.876
'[14:03:18.736]',0.480,0.490,0.535,-0.002,2.883,69.124,37.004,110.876
'[14:03:18.744]',0.465,0.500,0.530,0.000,2.920,68.929,37.004,110.825
'[14:03:18.752]',0.465,0.495,0.525,0.003,2.949,68.733,37.004,110.825
'[14:03:18.760]',0.470,0.490,0.510,0.006,2.971,68.538,37.004,110.825
'[14:03:18.768]',0.470,0.490,0.500,0.009,2.984,68.382,37.004,110.825
'[14:03:18.776]',0.450,0.500,0.475,0.011,2.990,68.108,37.004,110.825
'[14:03:18.784]',0.445,0.510,0.470,0.014,2.987,67.795,37.004,110.730
'[14:03:18.792]',0.435,0.520,0.475,0.017,2.978,67.483,37.004,110.730
'[14:03:18.800]',0.440,0.515,0.470,0.018,2.962,67.131,37.004,110.825
'[14:03:18.808]',0.425,0.525,0.465,0.020,2.939,66.662,37.004,110.825
'[14:03:18.816]',0.425,0.530,0.465,0.022,2.913,66.232,37.004,110.825
'[14:03:18.824]',0.420,0.525,0.470,0.023,2.882,65.724,37.004,110.825
'[14:03:18.832]',0.425,0.530,0.460,0.024,2.846,65.295,37.004,110.876
'[14:03:18.840]',0.440,0.515,0.475,0.026,2.804,64.748,37.004,110.876
'[14:03:18.848]',0.510,0.500,0.495,0.027,2.757,64.240,37.004,110.876
'[14:03:18.856]',0.710,0.380,0.480,0.028,2.703,63.614,37.004,110.876
'[14:03:18.864]',1.100,0.090,0.425,0.028,2.642,62.911,37.004,110.876
'[14:03:18.872]',1.290,-0.175,0.410,0.029,2.576,62.286,37.004,110.876
'[14:03:18.880]',1.145,-0.250,0.370,0.029,2.503,61.622,37.004,110.876
'[14:03:18.888]',0.500,0.210,0.555,0.030,2.427,60.996,37.004,110.876
'[14:03:18.896]',0.015,0.615,0.725,0.030,2.348,60.371,37.004,110.876
'[14:03:18.904]',-0.020,0.700,0.640,0.030,2.268,59.863,37.004,110.876
'[14:03:18.912]',0.160,0.665,0.555,0.030,2.197,59.316,37.004,110.876
'[14:03:18.920]',0.275,0.610,0.500,0.030,2.133,58.730,37.004,110.876
'[14:03:18.928]',0.340,0.595,0.465,0.030,2.065,58.222,37.004,110.876
'[14:03:18.936]',0.375,0.580,0.460,0.030,1.997,57.753,37.004,110.876
'[14:03:18.944]',0.375,0.585,0.445,0.030,1.934,57.284,37.004,110.876
'[14:03:18.952]',0.395,0.565,0.460,0.030,1.876,56.854,37.004,110.825
'[14:03:18.960]',0.395,0.570,0.455,0.030,1.825,56.425,37.004,110.825
'[14:03:18.968]',0.395,0.570,0.450,0.030,1.780,55.917,37.004,110.825
'[14:03:18.976]',0.400,0.570,0.445,0.030,1.741,55.487,37.004,110.825
'[14:03:18.984]',0.400,0.560,0.450,0.030,1.708,55.096,37.004,110.876
'[14:03:18.992]',0.410,0.560,0.455,0.030,1.678,54.666,37.004,110.876
'[14:03:19.000]',0.410,0.560,0.445,0.030,1.653,54.314,37.004,110.876
'[14:03:19.008]',0.420,0.550,0.445,0.030,1.634,53.924,37.004,110.876
'[14:03:19.016]',0.420,0.550,0.445,0.030,1.619,53.533,37.004,110.876
'[14:03:19.024]',0.415,0.555,0.455,0.030,1.602,53.220,37.004,110.876
'[14:03:19.032]',0.420,0.560,0.450,0.030,1.586,52.986,37.004,110.876
'[14:03:19.040]',0.420,0.555,0.440,0.030,1.568,52.751,37.004,110.876
'[14:03:19.048]',0.435,0.540,0.435,0.030,1.551,52.439,37.004,110.876
'[14:03:19.056]',0.445,0.530,0.455,0.030,1.535,52.165,37.004,110.876
'[14:03:19.064]',0.450,0.530,0.460,0.030,1.518,51.814,37.004,110.876
'[14:03:19.072]',0.465,0.525,0.465,0.030,1.500,51.501,37.004,110.876
'[14:03:19.080]',0.470,0.515,0.450,0.030,1.484,51.188,37.004,110.876
'[14:03:19.088]',0.480,0.515,0.455,0.030,1.466,50.876,37.004,110.876
'[14:03:19.096]',0.495,0.505,0.455,0.030,1.448,50.759,37.004,110.876
'[14:03:19.104]',0.510,0.490,0.465,0.030,1.428,50.915,37.004,110.876
'[14:03:19.112]',0.510,0.490,0.450,0.030,1.413,52.048,37.004,110.876
'[14:03:19.120]',0.530,0.480,0.465,0.029,1.400,54.744,37.004,110.876
'[14:03:19.128]',0.550,0.475,0.465,0.028,1.383,59.863,37.004,110.876
'[14:03:19.136]',0.550,0.470,0.470,0.027,1.364,67.287,37.004,110.876
'[14:03:19.144]',0.540,0.480,0.465,0.026,1.344,75.571,37.004,110.927
'[14:03:19.152]',0.555,0.465,0.475,0.025,1.324,82.566,37.004,110.927
'[14:03:19.160]',0.560,0.465,0.470,0.024,1.303,87.255,37.004,110.927
'[14:03:19.168]',0.550,0.460,0.465,0.023,1.283,90.107,37.004,110.876
'[14:03:19.176]',0.545,0.465,0.460,0.022,1.262,92.686,37.004,110.876
'[14:03:19.184]',0.540,0.460,0.470,0.021,1.242,95.851,37.004,110.876
'[14:03:19.192]',0.530,0.465,0.450,0.020,1.223,99.759,37.004,110.876
'[14:03:19.200]',0.515,0.480,0.445,0.019,1.203,103.510,37.004,110.876
'[14:03:19.208]',0.510,0.485,0.445,0.017,1.189,106.558,37.004,110.876
'[14:03:19.216]',0.495,0.490,0.445,0.017,1.177,108.668,37.004,110.876
'[14:03:19.224]',0.490,0.485,0.450,0.016,1.163,110.075,37.004,110.927
'[14:03:19.232]',0.480,0.495,0.435,0.015,1.150,111.130,37.004,110.876
'[14:03:19.240]',0.470,0.490,0.445,0.014,1.135,111.989,37.004,110.876
'[14:03:19.248]',0.465,0.510,0.430,0.013,1.121,112.810,37.004,110.876
'[14:03:19.256]',0.460,0.505,0.445,0.012,1.108,113.435,37.004,110.876
'[14:03:19.264]',0.450,0.515,0.440,0.012,1.094,113.748,37.004,110.876
'[14:03:19.272]',0.450,0.515,0.430,0.011,1.080,113.670,37.004,110.876
'[14:03:19.280]',0.455,0.510,0.425,0.012,1.067,113.357,37.004,110.876
'[14:03:19.288]',0.465,0.505,0.450,0.013,1.056,112.888,37.004,110.876
'[14:03:19.296]',0.460,0.515,0.440,0.014,1.045,112.185,37.004,110.876
'[14:03:19.304]',0.460,0.510,0.445,0.016,1.039,111.325,37.004,110.876
'[14:03:19.312]',0.465,0.515,0.430,0.017,1.036,110.231,37.004,110.927
'[14:03:19.320]',0.475,0.490,0.445,0.019,1.030,108.942,37.004,110.927
'[14:03:19.328]',0.470,0.505,0.445,0.021,1.022,107.496,37.004,110.927
'[14:03:19.336]',0.480,0.490,0.445,0.024,1.014,105.855,37.004,110.927
'[14:03:19.344]',0.480,0.495,0.425,0.027,1.004,104.057,37.004,110.927
'[14:03:19.352]',0.490,0.490,0.440,0.031,0.998,101.947,37.004,110.927
'[14:03:19.360]',0.485,0.490,0.440,0.036,0.999,99.485,37.004,110.927
'[14:03:19.368]',0.485,0.490,0.445,0.041,1.015,96.672,37.004,110.927
'[14:03:19.376]',0.495,0.490,0.430,0.046,1.053,93.546,37.004,110.927
'[14:03:19.384]',0.480,0.495,0.445,0.050,1.119,90.107,37.004,110.927
'[14:03:19.392]',0.480,0.490,0.440,0.055,1.219,86.473,37.004,110.927
'[14:03:19.400]',0.470,0.495,0.445,0.061,1.351,82.996,37.004,110.927
'[14:03:19.408]',0.480,0.490,0.435,0.067,1.486,79.791,37.004,110.927
'[14:03:19.416]',0.475,0.500,0.430,0.073,1.627,77.173,37.004,110.927
'[14:03:19.424]',0.470,0.505,0.435,0.080,1.794,75.102,37.004,110.927
'[14:03:19.432]',0.470,0.500,0.445,0.087,1.969,73.696,37.004,110.927
'[14:03:19.440]',0.485,0.490,0.450,0.096,2.140,72.563,37.004,110.927
'[14:03:19.448]',0.500,0.480,0.455,0.104,2.296,71.664,37.004,110.927
'[14:03:19.456]',0.505,0.470,0.470,0.114,2.434,70.921,37.004,110.927
'[14:03:19.464]',0.515,0.470,0.465,0.124,2.552,70.179,37.004,110.927
'[14:03:19.472]',0.510,0.470,0.460,0.133,2.652,69.632,37.004,110.927
'[14:03:19.480]',0.495,0.480,0.480,0.143,2.733,69.241,37.004,110.927
'[14:03:19.488]',0.490,0.475,0.495,0.151,2.800,69.007,37.004,110.927
'[14:03:19.496]',0.470,0.490,0.480,0.160,2.852,68.811,37.004,110.927
'[14:03:19.504]',0.470,0.490,0.475,0.169,2.887,68.694,37.004,110.927
'[14:03:19.512]',0.475,0.490,0.455,0.179,2.908,68.538,37.004,110.927
'[14:03:19.520]',0.475,0.480,0.445,0.189,2.929,68.382,37.004,110.927
'[14:03:19.528]',0.455,0.495,0.425,0.199,2.944,68.108,37.004,110.971
'[14:03:19.536]',0.445,0.510,0.430,0.208,2.954,67.874,37.004,110.971
'[14:03:19.544]',0.440,0.515,0.425,0.217,2.958,67.600,37.004,110.971
'[14:03:19.552]',0.440,0.515,0.440,0.224,2.956,67.287,37.004,110.971
'[14:03:19.560]',0.435,0.520,0.425,0.232,2.947,66.936,37.004,110.927
'[14:03:19.568]',0.435,0.520,0.425,0.239,2.933,66.545,37.004,110.971
'[14:03:19.576]',0.430,0.525,0.415,0.247,2.912,66.037,37.004,110.971
'[14:03:19.584]',0.445,0.515,0.430,0.254,2.886,65.568,37.004,110.971
'[14:03:19.592]',0.455,0.515,0.430,0.261,2.853,65.060,37.004,110.927
'[14:03:19.600]',0.555,0.480,0.450,0.267,2.815,64.474,37.004,110.971
'[14:03:19.608]',0.795,0.320,0.410,0.274,2.774,63.927,37.004,110.971
'[14:03:19.616]',1.175,0.020,0.370,0.280,2.729,63.419,37.004,110.971
'[14:03:19.624]',1.275,-0.200,0.350,0.286,2.676,62.911,37.004,110.971
'[14:03:19.632]',1.045,-0.225,0.325,0.291,2.616,62.364,37.004,110.927
'[14:03:19.640]',0.380,0.350,0.575,0.297,2.549,61.817,37.004,110.971
'[14:03:19.648]',0.020,0.675,0.715,0.300,2.477,61.231,37.004,110.971
'[14:03:19.656]',0.000,0.725,0.590,0.305,2.401,60.684,37.004,110.971
'[14:03:19.664]',0.175,0.665,0.515,0.308,2.322,60.098,37.004,110.927
'[14:03:19.672]',0.295,0.610,0.455,0.312,2.241,59.472,37.004,110.927
'[14:03:19.680]',0.360,0.580,0.425,0.315,2.162,58.925,37.004,110.971
'[14:03:19.688]',0.375,0.575,0.415,0.318,2.087,58.417,37.004,110.971
'[14:03:19.696]',0.385,0.570,0.405,0.320,2.016,57.909,37.004,110.971
'[14:03:19.704]',0.390,0.565,0.420,0.323,1.956,57.440,37.004,110.971
'[14:03:19.712]',0.395,0.565,0.400,0.325,1.905,56.854,37.004,110.971
'[14:03:19.720]',0.400,0.560,0.415,0.327,1.855,56.307,37.004,110.971
'[14:03:19.728]',0.395,0.570,0.405,0.329,1.810,55.721,37.004,110.971
'[14:03:19.736]',0.405,0.555,0.415,0.331,1.770,55.252,37.004,110.971
'[14:03:19.744]',0.405,0.560,0.410,0.333,1.735,54.783,37.004,111.073
'[14:03:19.752]',0.410,0.545,0.420,0.336,1.704,54.471,37.004,111.073
'[14:03:19.760]',0.405,0.555,0.420,0.338,1.677,54.158,37.004,110.971
'[14:03:19.768]',0.415,0.550,0.430,0.340,1.654,53.807,37.004,110.971
'[14:03:19.776]',0.420,0.545,0.410,0.341,1.633,53.494,37.004,110.971
'[14:03:19.784]',0.415,0.550,0.425,0.343,1.616,53.181,37.004,110.971
'[14:03:19.792]',0.430,0.535,0.425,0.344,1.599,52.791,37.004,110.971
'[14:03:19.800]',0.430,0.540,0.440,0.346,1.584,52.478,37.004,110.971
'[14:03:19.808]',0.430,0.540,0.430,0.347,1.571,52.165,37.004,110.971
'[14:03:19.816]',0.445,0.525,0.440,0.349,1.559,51.814,37.004,110.971
'[14:03:19.824]',0.450,0.525,0.425,0.350,1.545,51.501,37.004,110.971
'[14:03:19.832]',0.460,0.515,0.435,0.350,1.531,51.110,37.004,110.971
'[14:03:19.840]',0.465,0.520,0.440,0.351,1.515,50.798,37.004,110.971
'[14:03:19.848]',0.475,0.510,0.435,0.351,1.499,50.602,37.004,110.971
'[14:03:19.856]',0.495,0.500,0.445,0.351,1.481,50.759,37.004,110.971
'[14:03:19.864]',0.495,0.505,0.450,0.352,1.462,51.696,37.004,110.971
'[14:03:19.872]',0.505,0.490,0.455,0.352,1.444,54.236,37.004,110.971
'[14:03:19.880]',0.520,0.485,0.445,0.352,1.424,59.121,37.004,110.971
'[14:03:19.888]',0.525,0.490,0.455,0.352,1.405,66.311,37.004,110.971
'[14:03:19.896]',0.525,0.480,0.455,0.352,1.385,74.477,37.004,110.971
'[14:03:19.904]',0.535,0.475,0.475,0.353,1.370,81.550,37.004,110.971
'[14:03:19.912]',0.525,0.485,0.480,0.353,1.357,86.434,37.004,110.971
'[14:03:19.920]',0.535,0.470,0.485,0.353,1.339,89.443,37.004,110.971
'[14:03:19.928]',0.520,0.480,0.470,0.353,1.321,91.944,37.004,110.971
'[14:03:19.936]',0.520,0.475,0.475,0.352,1.302,94.914,37.004,110.971
'[14:03:19.944]',0.515,0.480,0.460,0.351,1.283,98.626,37.004,110.971
'[14:03:19.952]',0.505,0.480,0.470,0.350,1.262,102.260,37.004,110.971
'[14:03:19.960]',0.495,0.490,0.460,0.350,1.242,105.190,37.004,110.971
'[14:03:19.968]',0.475,0.495,0.460,0.349,1.223,107.183,37.004,110.971
'[14:03:19.976]',0.470,0.505,0.455,0.348,1.205,108.434,37.004,110.971
'[14:03:19.984]',0.470,0.500,0.470,0.346,1.188,109.371,37.004,110.971
'[14:03:19.992]',0.460,0.515,0.455,0.345,1.171,110.192,37.004,110.971
'[14:03:20.000]',0.460,0.510,0.470,0.343,1.155,110.934,37.004,110.971
'[14:03:20.008]',0.455,0.515,0.455,0.342,1.145,111.442,37.004,110.971
'[14:03:20.016]',0.460,0.515,0.480,0.340,1.137,111.677,37.004,110.971
'[14:03:20.024]',0.445,0.525,0.470,0.339,1.126,111.638,37.004,110.971
'[14:03:20.032]',0.465,0.510,0.475,0.337,1.115,111.247,37.004,110.971
'[14:03:20.040]',0.460,0.515,0.480,0.336,1.105,110.622,37.004,110.971
'[14:03:20.048]',0.460,0.510,0.470,0.335,1.095,109.801,37.004,110.971
'[14:03:20.056]',0.455,0.515,0.465,0.335,1.085,108.863,37.004,110.971
'[14:03:20.064]',0.460,0.505,0.465,0.335,1.074,107.808,37.004,110.971
'[14:03:20.072]',0.465,0.500,0.470,0.335,1.063,106.480,37.004,110.971
'[14:03:20.080]',0.460,0.505,0.475,0.335,1.051,104.995,37.004,110.971
'[14:03:20.088]',0.470,0.495,0.480,0.336,1.039,103.237,37.004,110.927
'[14:03:20.096]',0.455,0.510,0.470,0.338,1.026,101.244,37.004,110.927
'[14:03:20.104]',0.460,0.500,0.470,0.340,1.021,98.977,37.004,110.927
'[14:03:20.112]',0.460,0.505,0.470,0.342,1.022,96.320,37.004,110.927
'[14:03:20.120]',0.470,0.495,0.470,0.344,1.029,93.312,37.004,110.927
'[14:03:20.128]',0.465,0.500,0.465,0.347,1.055,89.990,37.004,110.971
'[14:03:20.136]',0.460,0.500,0.470,0.350,1.105,86.473,37.004,110.971
'[14:03:20.144]',0.460,0.505,0.470,0.355,1.184,83.074,37.004,110.971
'[14:03:20.152]',0.460,0.505,0.480,0.360,1.296,79.987,37.004,110.971
'[14:03:20.160]',0.470,0.500,0.480,0.367,1.439,77.486,37.004,110.971
'[14:03:20.168]',0.465,0.500,0.485,0.373,1.604,75.571,37.004,110.971
'[14:03:20.176]',0.465,0.505,0.475,0.379,1.782,74.126,37.004,110.971
'[14:03:20.184]',0.470,0.500,0.495,0.384,1.962,73.071,37.004,110.971
'[14:03:20.192]',0.480,0.490,0.495,0.390,2.134,72.172,37.004,110.971
'[14:03:20.200]',0.490,0.485,0.510,0.396,2.291,71.429,37.004,110.971
'[14:03:20.208]',0.500,0.480,0.520,0.402,2.414,70.687,37.004,110.971
'[14:03:20.216]',0.510,0.470,0.525,0.408,2.511,70.062,37.004,110.971
'[14:03:20.224]',0.495,0.465,0.530,0.415,2.603,69.632,37.004,110.971
'[14:03:20.232]',0.470,0.490,0.545,0.422,2.683,69.358,37.004,110.927
'[14:03:20.240]',0.460,0.500,0.550,0.429,2.750,69.319,37.004,110.927
'[14:03:20.248]',0.450,0.505,0.545,0.435,2.803,69.241,37.004,110.927
'[14:03:20.256]',0.460,0.500,0.530,0.442,2.845,69.124,37.004,110.971
'[14:03:20.264]',0.450,0.495,0.525,0.449,2.876,68.850,37.004,110.971
'[14:03:20.272]',0.445,0.505,0.515,0.453,2.898,68.616,37.004,110.971
'[14:03:20.280]',0.435,0.515,0.505,0.458,2.912,68.303,37.004,110.971
'[14:03:20.288]',0.430,0.525,0.510,0.462,2.919,68.069,37.004,110.927
'[14:03:20.296]',0.430,0.530,0.500,0.466,2.919,67.795,37.004,110.927
'[14:03:20.304]',0.420,0.530,0.515,0.468,2.910,67.483,37.004,110.927
'[14:03:20.312]',0.410,0.535,0.505,0.471,2.895,67.170,37.004,110.927
'[14:03:20.320]',0.415,0.535,0.515,0.474,2.879,66.740,37.004,110.927
'[14:03:20.328]',0.420,0.535,0.505,0.477,2.858,66.311,37.004,110.927
'[14:03:20.336]',0.420,0.530,0.515,0.478,2.832,65.803,37.004,110.971
'[14:03:20.344]',0.460,0.535,0.530,0.479,2.800,65.295,37.004,110.971
'[14:03:20.352]',0.615,0.445,0.540,0.479,2.761,64.748,37.004,110.971
'[14:03:20.360]',0.985,0.195,0.505,0.480,2.717,64.122,37.004,110.971
'[14:03:20.368]',1.250,-0.080,0.535,0.479,2.665,63.536,37.004,110.971
'[14:03:20.376]',1.265,-0.195,0.515,0.478,2.606,62.989,37.004,110.971
'[14:03:20.384]',0.715,0.105,0.600,0.477,2.542,62.442,37.004,110.971
'[14:03:20.392]',0.070,0.585,0.770,0.476,2.472,61.856,37.004,110.927
'[14:03:20.400]',-0.020,0.715,0.695,0.473,2.399,61.231,37.004,110.927
'[14:03:20.408]',0.120,0.685,0.600,0.471,2.330,60.684,37.004,110.927
'[14:03:20.416]',0.260,0.620,0.545,0.467,2.266,60.098,37.004,110.927
'[14:03:20.424]',0.330,0.590,0.515,0.465,2.196,59.629,37.004,110.927
'[14:03:20.432]',0.360,0.585,0.510,0.461,2.124,59.121,37.004,110.927
'[14:03:20.440]',0.375,0.575,0.520,0.458,2.055,58.613,37.004,110.927
'[14:03:20.448]',0.375,0.580,0.515,0.454,1.990,58.183,37.004,110.927
'[14:03:20.456]',0.380,0.570,0.510,0.451,1.932,57.753,37.004,110.927
'[14:03:20.464]',0.390,0.575,0.515,0.447,1.880,57.245,37.004,110.927
'[14:03:20.472]',0.390,0.565,0.520,0.443,1.835,56.815,37.004,110.927
'[14:03:20.480]',0.400,0.560,0.510,0.439,1.796,56.346,37.004,110.927
'[14:03:20.488]',0.400,0.560,0.520,0.434,1.762,55.917,37.004,110.927
'[14:03:20.496]',0.400,0.565,0.510,0.431,1.735,55.565,37.004,110.927
'[14:03:20.504]',0.405,0.555,0.520,0.427,1.714,55.252,37.004,110.876
'[14:03:20.512]',0.405,0.560,0.515,0.423,1.697,54.862,37.004,110.876
'[14:03:20.520]',0.415,0.550,0.520,0.419,1.679,54.471,37.004,110.876
'[14:03:20.528]',0.405,0.560,0.520,0.415,1.663,54.158,37.004,110.876
'[14:03:20.536]',0.415,0.550,0.530,0.410,1.646,53.846,37.004,110.876
'[14:03:20.544]',0.420,0.555,0.520,0.405,1.630,53.533,37.004,110.876
'[14:03:20.552]',0.430,0.545,0.540,0.401,1.615,53.220,37.004,110.876
'[14:03:20.560]',0.440,0.535,0.530,0.395,1.599,52.869,37.004,110.876
'[14:03:20.568]',0.445,0.530,0.540,0.390,1.585,52.478,37.004,110.876
'[14:03:20.576]',0.455,0.525,0.530,0.384,1.569,52.126,37.004,110.876
'[14:03:20.584]',0.465,0.530,0.540,0.378,1.553,51.814,37.004,110.927
'[14:03:20.592]',0.480,0.515,0.540,0.373,1.537,51.618,37.004,110.927
