'Time','I','II','III','AVR','V','RESP','PLETH','ABP','CVP','IC1','ICP'
'[15:26:46.440]',-,0.405,-,0.705,0.940,0.242,2.174,86.806,-,6.750,-
'[15:26:46.448]',-,0.375,-,0.730,0.960,0.245,2.188,85.868,-,6.623,-
'[15:26:46.456]',-,0.380,-,0.735,0.970,0.247,2.200,84.871,-,6.496,-
'[15:26:46.464]',-,0.365,-,0.725,0.950,0.250,2.213,83.875,-,6.369,-
'[15:26:46.472]',-,0.375,-,0.735,0.975,0.253,2.226,82.996,-,6.311,-
'[15:26:46.480]',-,0.365,-,0.725,0.960,0.256,2.239,82.117,-,6.242,-
'[15:26:46.488]',-,0.360,-,0.740,0.975,0.259,2.251,81.296,-,6.184,-
'[15:26:46.496]',-,0.395,-,0.730,0.960,0.262,2.260,80.593,-,6.125,-
'[15:26:46.504]',-,0.405,-,0.745,1.055,0.266,2.268,80.065,-,6.057,-
'[15:26:46.512]',-,0.515,-,0.610,0.890,0.270,2.272,79.479,-,6.125,-
'[15:26:46.520]',-,0.665,-,0.440,0.615,0.275,2.268,79.010,-,6.242,-
'[15:26:46.528]',-,0.610,-,0.430,0.430,0.282,2.259,78.424,-,6.438,-
'[15:26:46.536]',-,0.455,-,0.655,0.365,0.289,2.248,77.897,-,6.623,-
'[15:26:46.544]',-,0.360,-,0.720,0.680,0.295,2.237,77.369,-,6.809,-
'[15:26:46.552]',-,0.350,-,0.735,0.870,0.302,2.222,76.900,-,6.936,-
'[15:26:46.560]',-,0.345,-,0.750,0.955,0.310,2.202,76.431,-,6.994,-
'[15:26:46.568]',-,0.330,-,0.770,0.995,0.317,2.183,76.021,-,6.994,-
'[15:26:46.576]',-,0.325,-,0.765,0.995,0.327,2.167,75.669,-,7.063,-
'[15:26:46.584]',-,0.310,-,0.780,1.020,0.337,2.156,75.376,-,7.121,-
'[15:26:46.592]',-,0.330,-,0.770,1.010,0.349,2.148,74.966,-,7.180,-
'[15:26:46.600]',-,0.330,-,0.780,1.030,0.361,2.137,74.614,-,7.307,-
'[15:26:46.608]',-,0.330,-,0.770,1.015,0.374,2.128,74.263,-,7.434,-
'[15:26:46.616]',-,0.330,-,0.775,1.040,0.387,2.124,73.794,-,7.561,-
'[15:26:46.624]',-,0.340,-,0.755,1.045,0.401,2.118,73.383,-,7.747,-
'[15:26:46.632]',-,0.330,-,0.770,1.030,0.415,2.109,72.914,-,7.932,-
'[15:26:46.640]',-,0.345,-,0.755,1.045,0.428,2.102,72.504,-,8.059,-
'[15:26:46.648]',-,0.335,-,0.765,1.035,0.441,2.098,71.977,-,8.245,-
'[15:26:46.656]',-,0.345,-,0.755,1.045,0.453,2.096,71.566,-,8.313,-
'[15:26:46.664]',-,0.335,-,0.765,1.030,0.466,2.095,71.039,-,8.313,-
'[15:26:46.672]',-,0.345,-,0.755,1.045,0.479,2.088,70.570,-,8.313,-
'[15:26:46.680]',-,0.350,-,0.760,1.020,0.493,2.079,70.042,-,8.186,-
'[15:26:46.688]',-,0.340,-,0.765,1.040,0.508,2.071,69.573,-,8.059,-
'[15:26:46.696]',-,0.350,-,0.755,1.020,0.523,2.061,69.105,-,7.932,-
'[15:26:46.704]',-,0.345,-,0.765,1.035,0.536,2.053,68.753,-,7.805,-
'[15:26:46.712]',-,0.350,-,0.755,1.020,0.550,2.042,68.284,-,7.747,-
'[15:26:46.720]',-,0.350,-,0.760,1.030,0.563,2.031,68.050,-,7.805,-
'[15:26:46.728]',-,0.360,-,0.750,1.020,0.576,2.025,68.050,-,7.932,-
'[15:26:46.736]',-,0.355,-,0.760,1.035,0.589,2.020,68.812,-,8.186,-
'[15:26:46.744]',-,0.370,-,0.750,1.020,0.602,2.010,71.039,-,8.557,-
'[15:26:46.752]',-,0.365,-,0.755,1.045,0.617,1.996,75.493,-,8.938,-
'[15:26:46.760]',-,0.375,-,0.750,1.020,0.631,1.977,82.351,-,9.368,-
'[15:26:46.768]',-,0.375,-,0.760,1.035,0.646,1.954,90.791,-,9.749,-
'[15:26:46.776]',-,0.395,-,0.750,1.015,0.661,1.931,99.232,-,9.993,-
'[15:26:46.784]',-,0.395,-,0.760,1.020,0.675,1.909,106.148,-,10.120,-
'[15:26:46.792]',-,0.420,-,0.745,0.990,0.690,1.892,111.306,-,10.120,-
'[15:26:46.800]',-,0.425,-,0.755,0.995,0.704,1.878,114.998,-,10.062,-
'[15:26:46.808]',-,0.445,-,0.755,0.970,0.718,1.864,117.695,-,10.062,-
'[15:26:46.816]',-,0.445,-,0.770,0.975,0.730,1.854,119.981,-,10.120,-
'[15:26:46.824]',-,0.460,-,0.765,0.955,0.743,1.843,122.032,-,10.247,-
'[15:26:46.832]',-,0.450,-,0.780,0.965,0.755,1.828,124.201,-,10.374,-
'[15:26:46.840]',-,0.460,-,0.775,0.945,0.768,1.814,126.311,-,10.501,-
'[15:26:46.848]',-,0.450,-,0.790,0.935,0.781,1.802,128.362,-,10.501,-
'[15:26:46.856]',-,0.460,-,0.775,0.950,0.794,1.792,130.121,-,10.433,-
'[15:26:46.864]',-,0.440,-,0.790,0.935,0.805,1.784,131.527,-,10.247,-
'[15:26:46.872]',-,0.435,-,0.795,0.960,0.815,1.780,132.524,-,9.993,-
'[15:26:46.880]',-,0.425,-,0.785,0.950,0.825,1.781,133.286,-,9.749,-
'[15:26:46.888]',-,0.425,-,0.790,0.965,0.834,1.782,133.872,-,9.564,-
'[15:26:46.896]',-,0.415,-,0.775,0.955,0.843,1.782,134.341,-,9.437,-
'[15:26:46.904]',-,0.405,-,0.780,0.975,0.852,1.779,134.927,-,9.310,-
'[15:26:46.912]',-,0.400,-,0.765,0.970,0.861,1.775,135.454,-,9.251,-
'[15:26:46.920]',-,0.395,-,0.775,0.990,0.870,1.773,135.923,-,9.183,-
'[15:26:46.928]',-,0.400,-,0.755,0.975,0.878,1.768,136.392,-,9.124,-
'[15:26:46.936]',-,0.390,-,0.760,1.000,0.886,1.760,136.568,-,9.056,-
'[15:26:46.944]',-,0.395,-,0.740,0.990,0.894,1.749,136.568,-,8.997,-
'[15:26:46.952]',-,0.390,-,0.750,1.000,0.902,1.738,136.216,-,8.938,-
'[15:26:46.960]',-,0.400,-,0.730,0.985,0.908,1.729,135.572,-,8.870,-
'[15:26:46.968]',-,0.400,-,0.735,1.010,0.915,1.725,134.517,-,8.743,-
'[15:26:46.976]',-,0.415,-,0.720,0.995,0.921,1.723,132.993,-,8.684,-
'[15:26:46.984]',-,0.405,-,0.720,1.015,0.927,1.722,131.058,-,8.626,-
'[15:26:46.992]',-,0.430,-,0.705,1.020,0.935,1.724,128.479,-,8.557,-
'[15:26:47.000]',-,0.425,-,0.705,1.005,0.942,1.728,125.373,-,8.430,-
'[15:26:47.008]',-,0.435,-,0.695,0.975,0.949,1.730,121.622,-,8.313,-
'[15:26:47.016]',-,0.435,-,0.700,0.980,0.957,1.734,117.226,-,8.245,-
'[15:26:47.024]',-,0.445,-,0.680,0.970,0.965,1.743,112.419,-,8.186,-
'[15:26:47.032]',-,0.435,-,0.690,0.980,0.972,1.754,107.437,-,8.118,-
'[15:26:47.040]',-,0.445,-,0.680,0.975,0.979,1.765,102.924,-,8.118,-
'[15:26:47.048]',-,0.430,-,0.695,0.985,0.987,1.780,99.525,-,8.245,-
'[15:26:47.056]',-,0.440,-,0.680,0.990,0.993,1.800,97.649,-,8.372,-
'[15:26:47.064]',-,0.425,-,0.690,0.975,1.000,1.822,97.122,-,8.430,-
'[15:26:47.072]',-,0.435,-,0.685,0.965,1.000,1.846,97.297,-,8.430,-
'[15:26:47.080]',-,0.425,-,0.690,0.955,1.000,1.870,97.590,-,8.430,-
'[15:26:47.088]',-,0.425,-,0.695,0.975,1.000,1.894,97.649,-,8.499,-
'[15:26:47.096]',-,0.425,-,0.680,0.955,1.000,1.920,97.297,-,8.743,-
'[15:26:47.104]',-,0.430,-,0.685,0.975,1.000,1.944,96.653,-,9.183,-
'[15:26:47.112]',-,0.445,-,0.675,0.970,1.000,1.970,95.773,-,9.564,-
'[15:26:47.120]',-,0.470,-,0.660,0.995,1.000,1.991,94.777,-,9.681,-
'[15:26:47.128]',-,0.480,-,0.650,0.985,1.000,2.012,93.781,-,9.310,-
'[15:26:47.136]',-,0.490,-,0.660,1.000,1.000,2.034,92.901,-,8.684,-
'[15:26:47.144]',-,0.500,-,0.635,0.930,1.000,2.058,92.315,-,8.118,-
'[15:26:47.152]',-,0.495,-,0.650,0.915,1.000,2.082,91.788,-,8.001,-
'[15:26:47.160]',-,0.490,-,0.645,0.895,1.000,2.108,91.436,-,8.186,-
'[15:26:47.168]',-,0.485,-,0.655,0.910,1.000,2.132,90.909,-,8.557,-
'[15:26:47.176]',-,0.500,-,0.635,0.885,1.000,2.153,90.381,-,8.811,-
'[15:26:47.184]',-,0.470,-,0.660,0.925,1.000,2.171,89.678,-,8.743,-
'[15:26:47.192]',-,0.450,-,0.675,0.920,1.000,2.186,88.857,-,8.557,-
'[15:26:47.200]',-,0.420,-,0.700,0.945,1.000,2.199,88.037,-,8.245,-
'[15:26:47.208]',-,0.405,-,0.705,0.950,1.000,2.212,87.099,-,8.059,-
'[15:26:47.216]',-,0.375,-,0.735,0.970,1.000,2.222,86.161,-,7.805,-
'[15:26:47.224]',-,0.375,-,0.730,0.955,1.000,2.234,85.223,-,7.493,-
'[15:26:47.232]',-,0.365,-,0.740,0.950,1.000,2.248,84.285,-,6.994,-
'[15:26:47.240]',-,0.375,-,0.730,0.965,1.000,2.262,83.406,-,6.438,-
'[15:26:47.248]',-,0.355,-,0.750,0.950,1.000,2.275,82.586,-,5.998,-
'[15:26:47.256]',-,0.380,-,0.740,0.965,1.000,2.287,81.941,-,5.871,-
'[15:26:47.264]',-,0.390,-,0.750,1.010,1.000,2.297,81.296,-,6.125,-
'[15:26:47.272]',-,0.440,-,0.690,1.045,1.000,2.299,80.710,-,6.623,-
'[15:26:47.280]',-,0.600,-,0.520,0.715,1.000,2.293,80.182,-,7.248,-
'[15:26:47.288]',-,0.650,-,0.445,0.530,1.000,2.284,79.538,-,7.620,-
'[15:26:47.296]',-,0.550,-,0.585,0.355,1.000,2.274,78.834,-,7.620,-
'[15:26:47.304]',-,0.395,-,0.705,0.560,1.000,2.262,78.248,-,7.375,-
'[15:26:47.312]',-,0.355,-,0.725,0.770,1.000,2.250,77.662,-,7.063,-
'[15:26:47.320]',-,0.340,-,0.755,0.915,1.000,2.238,77.252,-,6.750,-
'[15:26:47.328]',-,0.330,-,0.770,0.960,1.000,2.226,76.783,-,6.623,-
'[15:26:47.336]',-,0.315,-,0.780,1.000,1.000,2.213,76.431,-,6.682,-
'[15:26:47.344]',-,0.320,-,0.775,0.995,1.000,2.200,76.021,-,6.867,-
'[15:26:47.352]',-,0.310,-,0.790,1.010,1.000,2.188,75.669,-,7.180,-
'[15:26:47.360]',-,0.315,-,0.775,0.990,0.998,2.175,75.318,-,7.620,-
'[15:26:47.368]',-,0.320,-,0.785,1.020,0.996,2.163,74.849,-,8.186,-
'[15:26:47.376]',-,0.325,-,0.770,1.000,0.982,2.148,74.438,-,8.684,-
'[15:26:47.384]',-,0.320,-,0.775,1.010,0.968,2.130,73.852,-,9.183,-
'[15:26:47.392]',-,0.330,-,0.770,0.990,0.954,2.112,73.383,-,9.495,-
'[15:26:47.400]',-,0.325,-,0.775,1.005,0.941,2.098,72.856,-,9.622,-
'[15:26:47.408]',-,0.335,-,0.770,0.990,0.927,2.084,72.387,-,9.564,-
'[15:26:47.416]',-,0.325,-,0.780,1.005,0.914,2.070,71.801,-,9.368,-
'[15:26:47.424]',-,0.330,-,0.775,0.995,0.901,2.064,71.215,-,9.056,-
'[15:26:47.432]',-,0.325,-,0.780,1.010,0.889,2.061,70.687,-,8.743,-
'[15:26:47.440]',-,0.330,-,0.775,1.000,0.878,2.059,70.160,-,8.430,-
'[15:26:47.448]',-,0.320,-,0.785,1.005,0.868,2.058,69.691,-,8.118,-
'[15:26:47.456]',-,0.330,-,0.775,0.990,0.859,2.058,69.163,-,7.874,-
'[15:26:47.464]',-,0.325,-,0.785,0.985,0.850,2.054,68.753,-,7.620,-
'[15:26:47.472]',-,0.335,-,0.775,1.005,0.841,2.046,68.225,-,7.493,-
'[15:26:47.480]',-,0.330,-,0.780,0.990,0.832,2.036,67.874,-,7.434,-
'[15:26:47.488]',-,0.340,-,0.770,1.005,0.823,2.024,67.581,-,7.434,-
'[15:26:47.496]',-,0.350,-,0.775,0.990,0.815,2.010,67.815,-,7.493,-
'[15:26:47.504]',-,0.340,-,0.780,0.995,0.806,1.992,69.105,-,7.620,-
'[15:26:47.512]',-,0.355,-,0.770,0.985,0.798,1.978,72.270,-,7.932,-
'[15:26:47.520]',-,0.350,-,0.785,1.005,0.791,1.961,78.014,-,8.313,-
'[15:26:47.528]',-,0.375,-,0.775,0.990,0.783,1.946,85.751,-,8.684,-
'[15:26:47.536]',-,0.370,-,0.775,1.005,0.774,1.933,94.367,-,9.056,-
'[15:26:47.544]',-,0.390,-,0.770,0.985,0.765,1.920,102.221,-,9.310,-
'[15:26:47.552]',-,0.390,-,0.780,1.000,0.755,1.907,108.317,-,9.437,-
'[15:26:47.560]',-,0.405,-,0.770,0.975,0.745,1.891,112.654,-,9.495,-
'[15:26:47.568]',-,0.400,-,0.790,0.980,0.734,1.874,115.819,-,9.437,-
'[15:26:47.576]',-,0.425,-,0.780,0.950,0.722,1.856,118.222,-,9.368,-
'[15:26:47.584]',-,0.425,-,0.800,0.955,0.710,1.838,120.274,-,9.310,-
'[15:26:47.592]',-,0.445,-,0.790,0.925,0.698,1.822,122.325,-,9.310,-
'[15:26:47.600]',-,0.440,-,0.805,0.940,0.687,1.814,124.377,-,9.310,-
'[15:26:47.608]',-,0.450,-,0.800,0.910,0.676,1.810,126.487,-,9.368,-
'[15:26:47.616]',-,0.435,-,0.820,0.925,0.665,1.808,128.479,-,9.368,-
'[15:26:47.624]',-,0.435,-,0.805,0.910,0.654,1.807,130.121,-,9.368,-
'[15:26:47.632]',-,0.415,-,0.825,0.930,0.642,1.801,131.410,-,9.310,-
'[15:26:47.640]',-,0.415,-,0.815,0.935,0.630,1.789,132.348,-,9.251,-
'[15:26:47.648]',-,0.395,-,0.825,0.930,0.618,1.776,133.051,-,9.124,-
'[15:26:47.656]',-,0.395,-,0.810,0.955,0.606,1.767,133.579,-,8.938,-
'[15:26:47.664]',-,0.370,-,0.820,0.940,0.594,1.762,133.989,-,8.743,-
'[15:26:47.672]',-,0.375,-,0.800,0.965,0.583,1.763,134.341,-,8.557,-
'[15:26:47.680]',-,0.360,-,0.805,0.950,0.572,1.763,134.810,-,8.313,-
'[15:26:47.688]',-,0.365,-,0.790,0.975,0.561,1.763,135.161,-,8.118,-
'[15:26:47.696]',-,0.355,-,0.780,0.960,0.550,1.767,135.513,-,7.932,-
'[15:26:47.704]',-,0.360,-,0.770,0.975,0.539,1.769,135.630,-,7.805,-
'[15:26:47.712]',-,0.370,-,0.765,0.960,0.527,1.770,135.513,-,7.747,-
'[15:26:47.720]',-,0.360,-,0.770,0.980,0.516,1.767,134.985,-,7.688,-
'[15:26:47.728]',-,0.380,-,0.750,0.965,0.504,1.760,134.165,-,7.688,-
'[15:26:47.736]',-,0.375,-,0.755,0.975,0.493,1.749,132.875,-,7.620,-
'[15:26:47.744]',-,0.395,-,0.735,0.955,0.482,1.738,131.000,-,7.561,-
'[15:26:47.752]',-,0.400,-,0.730,0.970,0.471,1.729,128.597,-,7.493,-
'[15:26:47.760]',-,0.410,-,0.715,0.950,0.462,1.725,125.666,-,7.434,-
'[15:26:47.768]',-,0.405,-,0.725,0.960,0.453,1.723,122.091,-,7.307,-
'[15:26:47.776]',-,0.415,-,0.710,0.940,0.445,1.725,117.929,-,7.121,-
'[15:26:47.784]',-,0.415,-,0.720,0.955,0.437,1.732,113.181,-,6.936,-
'[15:26:47.792]',-,0.420,-,0.705,0.935,0.430,1.742,108.024,-,6.750,-
'[15:26:47.800]',-,0.415,-,0.710,0.950,0.422,1.756,102.983,-,6.555,-
'[15:26:47.808]',-,0.425,-,0.700,0.930,0.415,1.775,98.645,-,6.555,-
'[15:26:47.816]',-,0.410,-,0.710,0.940,0.407,1.794,95.715,-,6.555,-
'[15:26:47.824]',-,0.420,-,0.700,0.925,0.401,1.809,94.308,-,6.750,-
'[15:26:47.832]',-,0.405,-,0.705,0.945,0.394,1.827,94.191,-,6.936,-
'[15:26:47.840]',-,0.420,-,0.695,0.930,0.388,1.848,94.601,-,7.063,-
'[15:26:47.848]',-,0.410,-,0.705,0.925,0.383,1.871,95.129,-,7.180,-
'[15:26:47.856]',-,0.415,-,0.695,0.940,0.378,1.895,95.246,-,7.180,-
'[15:26:47.864]',-,0.405,-,0.705,0.925,0.373,1.920,95.011,-,7.121,-
'[15:26:47.872]',-,0.415,-,0.695,0.945,0.369,1.944,94.425,-,6.994,-
'[15:26:47.880]',-,0.430,-,0.685,0.940,0.364,1.970,93.546,-,6.936,-
'[15:26:47.888]',-,0.465,-,0.665,0.965,0.360,1.994,92.550,-,6.936,-
'[15:26:47.896]',-,0.475,-,0.660,0.950,0.355,2.020,91.553,-,6.994,-
'[15:26:47.904]',-,0.490,-,0.645,0.970,0.350,2.045,90.733,-,7.063,-
'[15:26:47.912]',-,0.495,-,0.650,0.885,0.346,2.066,90.147,-,7.063,-
'[15:26:47.920]',-,0.495,-,0.655,0.875,0.342,2.087,89.795,-,7.121,-
'[15:26:47.928]',-,0.480,-,0.650,0.865,0.337,2.109,89.502,-,7.121,-
'[15:26:47.936]',-,0.495,-,0.660,0.880,0.333,2.133,89.209,-,7.063,-
'[15:26:47.944]',-,0.480,-,0.645,0.865,0.330,2.154,88.740,-,6.867,-
'[15:26:47.952]',-,0.455,-,0.665,0.900,0.325,2.175,88.095,-,6.750,-
'[15:26:47.960]',-,0.435,-,0.685,0.890,0.320,2.197,87.333,-,6.496,-
'[15:26:47.968]',-,0.400,-,0.715,0.925,0.315,2.221,86.395,-,6.311,-
'[15:26:47.976]',-,0.385,-,0.730,0.920,0.310,2.242,85.340,-,6.184,-
'[15:26:47.984]',-,0.365,-,0.750,0.945,0.305,2.259,84.285,-,6.057,-
'[15:26:47.992]',-,0.360,-,0.740,0.925,0.301,2.274,83.289,-,5.998,-
'[15:26:48.000]',-,0.355,-,0.755,0.950,0.296,2.287,82.351,-,5.930,-
'[15:26:48.008]',-,0.360,-,0.745,0.940,0.292,2.294,81.589,-,5.871,-
'[15:26:48.016]',-,0.350,-,0.760,0.955,0.286,2.291,80.886,-,5.812,-
'[15:26:48.024]',-,0.385,-,0.755,0.950,0.281,2.286,80.241,-,5.744,-
'[15:26:48.032]',-,0.390,-,0.760,1.030,0.274,2.284,79.596,-,5.744,-
'[15:26:48.040]',-,0.480,-,0.655,0.895,0.268,2.281,79.069,-,5.744,-
'[15:26:48.048]',-,0.625,-,0.485,0.620,0.262,2.272,78.483,-,5.744,-
'[15:26:48.056]',-,0.580,-,0.455,0.445,0.256,2.261,77.897,-,5.744,-
'[15:26:48.064]',-,0.440,-,0.670,0.345,0.250,2.249,77.369,-,5.812,-
'[15:26:48.072]',-,0.335,-,0.735,0.610,0.245,2.238,76.841,-,5.871,-
'[15:26:48.080]',-,0.330,-,0.745,0.805,0.240,2.222,76.373,-,5.930,-
'[15:26:48.088]',-,0.330,-,0.755,0.930,0.236,2.205,75.845,-,6.057,-
'[15:26:48.096]',-,0.325,-,0.770,0.965,0.232,2.188,75.493,-,6.125,-
'[15:26:48.104]',-,0.320,-,0.775,0.985,0.228,2.172,75.083,-,6.242,-
'[15:26:48.112]',-,0.315,-,0.780,0.980,0.224,2.164,74.731,-,6.438,-
'[15:26:48.120]',-,0.325,-,0.775,0.995,0.221,2.160,74.380,-,6.555,-
'[15:26:48.128]',-,0.330,-,0.770,0.985,0.218,2.158,73.911,-,6.750,-
'[15:26:48.136]',-,0.330,-,0.775,1.005,0.215,2.154,73.501,-,6.936,-
'[15:26:48.144]',-,0.340,-,0.765,0.995,0.213,2.147,73.032,-,7.121,-
'[15:26:48.152]',-,0.330,-,0.775,1.005,0.211,2.136,72.563,-,7.248,-
'[15:26:48.160]',-,0.340,-,0.765,0.995,0.209,2.124,72.035,-,7.375,-
'[15:26:48.168]',-,0.330,-,0.775,1.010,0.208,2.109,71.566,-,7.434,-
'[15:26:48.176]',-,0.340,-,0.755,0.990,0.208,2.093,71.097,-,7.493,-
'[15:26:48.184]',-,0.330,-,0.770,1.010,0.207,2.078,70.687,-,7.561,-
'[15:26:48.192]',-,0.345,-,0.760,0.990,0.208,2.067,70.160,-,7.561,-
'[15:26:48.200]',-,0.335,-,0.770,1.015,0.208,2.056,69.691,-,7.493,-
'[15:26:48.208]',-,0.335,-,0.765,0.990,0.209,2.044,69.163,-,7.375,-
'[15:26:48.216]',-,0.335,-,0.775,1.005,0.211,2.038,68.636,-,7.180,-
'[15:26:48.224]',-,0.345,-,0.760,0.990,0.212,2.035,68.108,-,6.994,-
'[15:26:48.232]',-,0.340,-,0.770,1.005,0.214,2.033,67.522,-,6.867,-
'[15:26:48.240]',-,0.350,-,0.760,0.985,0.215,2.029,67.112,-,6.750,-
'[15:26:48.248]',-,0.345,-,0.775,0.995,0.216,2.022,66.760,-,6.682,-
'[15:26:48.256]',-,0.355,-,0.770,1.005,0.217,2.008,66.643,-,6.750,-
'[15:26:48.264]',-,0.350,-,0.775,0.990,0.218,1.988,67.229,-,6.867,-
'[15:26:48.272]',-,0.355,-,0.770,1.010,0.219,1.970,69.046,-,7.121,-
'[15:26:48.280]',-,0.360,-,0.775,0.990,0.221,1.954,73.032,-,7.493,-
'[15:26:48.288]',-,0.370,-,0.770,1.020,0.222,1.936,79.362,-,7.874,-
'[15:26:48.296]',-,0.375,-,0.775,1.000,0.224,1.922,87.568,-,8.245,-
'[15:26:48.304]',-,0.370,-,0.780,1.015,0.225,1.914,95.949,-,8.557,-
'[15:26:48.312]',-,0.385,-,0.770,0.990,0.226,1.907,103.159,-,8.684,-
'[15:26:48.320]',-,0.405,-,0.780,1.000,0.226,1.897,108.610,-,8.684,-
'[15:26:48.328]',-,0.415,-,0.765,0.975,0.226,1.887,112.537,-,8.626,-
'[15:26:48.336]',-,0.425,-,0.780,0.980,0.226,1.875,115.467,-,8.557,-
'[15:26:48.344]',-,0.440,-,0.775,0.950,0.225,1.862,117.870,-,8.557,-
'[15:26:48.352]',-,0.435,-,0.790,0.960,0.224,1.847,120.039,-,8.557,-
'[15:26:48.360]',-,0.450,-,0.780,0.935,0.224,1.830,122.149,-,8.684,-
'[15:26:48.368]',-,0.445,-,0.800,0.940,0.221,1.812,124.435,-,8.811,-
'[15:26:48.376]',-,0.450,-,0.795,0.920,0.219,1.798,126.545,-,8.870,-
'[15:26:48.384]',-,0.440,-,0.800,0.930,0.216,1.790,128.479,-,8.870,-
'[15:26:48.392]',-,0.445,-,0.795,0.910,0.213,1.783,130.003,-,8.870,-
'[15:26:48.400]',-,0.425,-,0.805,0.935,0.210,1.780,131.117,-,8.743,-
'[15:26:48.408]',-,0.425,-,0.795,0.925,0.207,1.781,131.938,-,8.626,-
'[15:26:48.416]',-,0.405,-,0.800,0.950,0.203,1.782,132.524,-,8.430,-
'[15:26:48.424]',-,0.405,-,0.790,0.945,0.200,1.779,132.993,-,8.245,-
'[15:26:48.432]',-,0.390,-,0.795,0.965,0.195,1.778,133.462,-,8.059,-
'[15:26:48.440]',-,0.390,-,0.775,0.960,0.191,1.777,133.989,-,7.874,-
'[15:26:48.448]',-,0.375,-,0.785,0.975,0.186,1.774,134.399,-,7.747,-
'[15:26:48.456]',-,0.380,-,0.760,0.965,0.181,1.769,134.810,-,7.688,-
'[15:26:48.464]',-,0.375,-,0.765,0.960,0.176,1.761,135.044,-,7.688,-
'[15:26:48.472]',-,0.380,-,0.745,0.980,0.172,1.753,135.044,-,7.620,-
'[15:26:48.480]',-,0.375,-,0.750,0.970,0.169,1.746,134.810,-,7.620,-
'[15:26:48.488]',-,0.385,-,0.730,0.985,0.165,1.739,134.165,-,7.620,-
'[15:26:48.496]',-,0.380,-,0.740,0.970,0.162,1.736,133.168,-,7.561,-
'[15:26:48.504]',-,0.395,-,0.725,0.980,0.159,1.731,131.762,-,7.434,-
'[15:26:48.512]',-,0.400,-,0.720,0.965,0.155,1.729,129.828,-,7.375,-
'[15:26:48.520]',-,0.395,-,0.725,0.980,0.152,1.728,127.249,-,7.248,-
'[15:26:48.528]',-,0.410,-,0.705,0.960,0.150,1.724,124.201,-,7.121,-
'[15:26:48.536]',-,0.415,-,0.710,0.975,0.147,1.722,120.391,-,6.936,-
'[15:26:48.544]',-,0.425,-,0.705,0.955,0.145,1.724,115.995,-,6.809,-
'[15:26:48.552]',-,0.420,-,0.700,0.975,0.143,1.728,111.013,-,6.682,-
'[15:26:48.560]',-,0.430,-,0.690,0.950,0.143,1.733,105.738,-,6.555,-
'[15:26:48.568]',-,0.425,-,0.695,0.965,0.142,1.742,100.873,-,6.438,-
'[15:26:48.576]',-,0.430,-,0.685,0.950,0.142,1.753,97.063,-,6.369,-
'[15:26:48.584]',-,0.420,-,0.700,0.965,0.143,1.767,94.718,-,6.438,-
'[15:26:48.592]',-,0.425,-,0.690,0.945,0.144,1.787,93.898,-,6.496,-
'[15:26:48.600]',-,0.415,-,0.700,0.955,0.144,1.809,94.132,-,6.623,-
'[15:26:48.608]',-,0.425,-,0.690,0.935,0.145,1.833,94.601,-,6.750,-
'[15:26:48.616]',-,0.410,-,0.705,0.950,0.146,1.854,95.011,-,6.809,-
'[15:26:48.624]',-,0.420,-,0.690,0.940,0.147,1.874,94.836,-,6.809,-
'[15:26:48.632]',-,0.410,-,0.700,0.960,0.149,1.896,94.367,-,6.750,-
'[15:26:48.640]',-,0.430,-,0.680,0.950,0.150,1.920,93.546,-,6.750,-
'[15:26:48.648]',-,0.445,-,0.675,0.975,0.151,1.944,92.550,-,6.682,-
'[15:26:48.656]',-,0.475,-,0.655,0.965,0.153,1.970,91.553,-,6.750,-
'[15:26:48.664]',-,0.475,-,0.660,0.975,0.155,1.994,90.674,-,6.809,-
'[15:26:48.672]',-,0.495,-,0.635,0.935,0.157,2.020,90.088,-,6.867,-
'[15:26:48.680]',-,0.495,-,0.650,0.900,0.159,2.044,89.678,-,6.936,-
'[15:26:48.688]',-,0.495,-,0.650,0.905,0.161,2.069,89.443,-,6.936,-
'[15:26:48.696]',-,0.485,-,0.650,0.895,0.162,2.095,89.150,-,6.867,-
'[15:26:48.704]',-,0.495,-,0.640,0.900,0.163,2.119,88.798,-,6.750,-
'[15:26:48.712]',-,0.470,-,0.655,0.880,0.164,2.138,88.212,-,6.682,-
'[15:26:48.720]',-,0.455,-,0.665,0.915,0.165,2.151,87.568,-,6.555,-
'[15:26:48.728]',-,0.430,-,0.690,0.910,0.166,2.166,86.688,-,6.369,-
'[15:26:48.736]',-,0.405,-,0.710,0.945,0.167,2.187,85.692,-,6.242,-
'[15:26:48.744]',-,0.390,-,0.705,0.935,0.168,2.206,84.696,-,6.057,-
'[15:26:48.752]',-,0.375,-,0.730,0.955,0.168,2.222,83.699,-,5.930,-
'[15:26:48.760]',-,0.380,-,0.730,0.940,0.169,2.237,82.761,-,5.871,-
'[15:26:48.768]',-,0.360,-,0.740,0.955,0.169,2.250,81.882,-,5.744,-
'[15:26:48.776]',-,0.375,-,0.730,0.940,0.170,2.263,81.120,-,5.685,-
'[15:26:48.784]',-,0.365,-,0.740,0.965,0.170,2.269,80.358,-,5.617,-
'[15:26:48.792]',-,0.400,-,0.730,0.955,0.170,2.266,79.714,-,5.617,-
'[15:26:48.800]',-,0.415,-,0.740,1.040,0.171,2.258,79.127,-,5.617,-
