'Time','II','III','AVR','V','RESP','PLETH','ABP','CVP'
'[17:51:35.136]',0.760,-,0.125,1.030,-0.229,3.073,61.544,12.563
'[17:51:35.144]',0.895,-,0.010,0.820,-0.233,3.026,61.153,12.563
'[17:51:35.152]',0.310,-,0.525,0.575,-0.238,2.971,60.616,12.494
'[17:51:35.160]',-0.045,-,0.860,0.540,-0.242,2.908,59.883,12.309
'[17:51:35.168]',-0.065,-,0.895,0.740,-0.246,2.840,59.004,12.123
'[17:51:35.176]',-0.035,-,0.880,0.845,-0.250,2.766,58.173,11.869
'[17:51:35.184]',-0.025,-,0.885,0.870,-0.255,2.690,57.441,11.625
'[17:51:35.192]',0.004,-,0.850,0.875,-0.259,2.611,56.806,11.498
'[17:51:35.200]',0.015,-,0.840,0.865,-0.263,2.539,56.122,11.371
'[17:51:35.208]',0.004,-,0.855,0.875,-0.266,2.468,55.487,11.312
'[17:51:35.216]',0.015,-,0.840,0.880,-0.269,2.390,54.803,11.244
'[17:51:35.224]',0.010,-,0.850,0.885,-0.272,2.309,54.168,11.244
'[17:51:35.232]',0.024,-,0.845,0.890,-0.274,2.226,53.533,11.312
'[17:51:35.240]',0.020,-,0.825,0.875,-0.277,2.143,52.849,11.312
'[17:51:35.248]',0.035,-,0.830,0.875,-0.279,2.061,52.214,11.371
'[17:51:35.256]',0.030,-,0.815,0.885,-0.282,1.981,51.628,11.371
'[17:51:35.264]',0.060,-,0.820,0.900,-0.283,1.906,50.993,11.439
'[17:51:35.272]',0.050,-,0.825,0.890,-0.285,1.837,50.309,11.498
'[17:51:35.280]',0.080,-,0.790,0.885,-0.286,1.774,49.674,11.625
'[17:51:35.288]',0.100,-,0.770,0.900,-0.288,1.720,49.039,11.752
'[17:51:35.296]',0.125,-,0.755,0.900,-0.288,1.674,48.405,11.869
'[17:51:35.304]',0.105,-,0.770,0.910,-0.289,1.642,47.818,11.810
'[17:51:35.312]',0.160,-,0.725,0.910,-0.289,1.621,47.232,11.683
'[17:51:35.320]',0.185,-,0.715,0.935,-0.288,1.603,46.695,11.439
'[17:51:35.328]',0.215,-,0.695,0.945,-0.288,1.591,46.158,11.058
'[17:51:35.336]',0.235,-,0.660,0.950,-0.286,1.586,45.718,10.619
'[17:51:35.344]',0.280,-,0.630,0.960,-0.283,1.585,45.376,10.189
'[17:51:35.352]',0.305,-,0.600,0.970,-0.280,1.587,45.132,9.808
'[17:51:35.360]',0.315,-,0.600,0.975,-0.277,1.592,45.034,9.495
'[17:51:35.368]',0.315,-,0.605,0.980,-0.274,1.598,45.572,9.310
'[17:51:35.376]',0.325,-,0.600,0.970,-0.271,1.605,47.135,9.251
'[17:51:35.384]',0.325,-,0.595,0.970,-0.268,1.612,50.309,9.310
'[17:51:35.392]',0.320,-,0.600,0.975,-0.265,1.616,55.780,9.437
'[17:51:35.400]',0.285,-,0.625,0.970,-0.262,1.618,63.986,9.622
'[17:51:35.408]',0.280,-,0.625,0.950,-0.259,1.618,74.634,9.808
'[17:51:35.416]',0.235,-,0.670,0.945,-0.256,1.613,86.503,9.935
'[17:51:35.424]',0.195,-,0.695,0.925,-0.253,1.604,98.128,10.120
'[17:51:35.432]',0.200,-,0.710,0.915,-0.250,1.591,108.190,10.189
'[17:51:35.440]',0.160,-,0.740,0.905,-0.248,1.577,116.102,10.247
'[17:51:35.448]',0.120,-,0.765,0.895,-0.246,1.559,121.817,10.306
'[17:51:35.456]',0.115,-,0.755,0.890,-0.244,1.541,125.285,10.247
'[17:51:35.464]',0.130,-,0.765,0.885,-0.243,1.521,126.799,10.189
'[17:51:35.472]',0.120,-,0.770,0.900,-0.241,1.500,126.409,10.062
'[17:51:35.480]',0.109,-,0.775,0.880,-0.239,1.481,124.601,9.935
'[17:51:35.488]',0.109,-,0.760,0.880,-0.238,1.462,121.573,9.935
'[17:51:35.496]',0.115,-,0.760,0.880,-0.236,1.443,117.617,9.993
'[17:51:35.504]',0.095,-,0.785,0.885,-0.235,1.426,112.879,10.062
'[17:51:35.512]',0.080,-,0.790,0.875,-0.235,1.412,107.848,10.189
'[17:51:35.520]',0.070,-,0.800,0.875,-0.234,1.394,103.061,10.247
'[17:51:35.528]',0.075,-,0.805,0.875,-0.233,1.374,98.763,10.374
'[17:51:35.536]',0.070,-,0.795,0.875,-0.231,1.354,94.855,10.433
'[17:51:35.544]',0.085,-,0.790,0.870,-0.229,1.333,91.045,10.560
'[17:51:35.552]',0.085,-,0.775,0.865,-0.227,1.312,87.382,10.687
'[17:51:35.560]',0.075,-,0.770,0.850,-0.224,1.289,83.621,10.746
'[17:51:35.568]',0.055,-,0.815,0.865,-0.222,1.268,80.055,10.814
'[17:51:35.576]',0.075,-,0.790,0.850,-0.219,1.247,76.636,10.931
'[17:51:35.584]',0.075,-,0.790,0.860,-0.217,1.228,73.315,11.000
'[17:51:35.592]',0.075,-,0.795,0.870,-0.214,1.207,70.042,11.000
'[17:51:35.600]',0.060,-,0.810,0.875,-0.211,1.193,66.868,11.058
'[17:51:35.608]',0.115,-,0.760,0.895,-0.208,1.179,63.790,11.127
'[17:51:35.616]',0.140,-,0.740,0.910,-0.205,1.160,60.909,11.127
'[17:51:35.624]',0.155,-,0.725,0.920,-0.202,1.142,58.418,11.127
'[17:51:35.632]',0.130,-,0.745,0.910,-0.200,1.124,56.220,11.127
'[17:51:35.640]',0.125,-,0.745,0.900,-0.198,1.112,54.363,11.185
'[17:51:35.648]',0.105,-,0.760,0.865,-0.195,1.114,52.947,11.185
'[17:51:35.656]',0.090,-,0.770,0.850,-0.194,1.136,51.775,11.185
'[17:51:35.664]',0.080,-,0.775,0.840,-0.192,1.187,51.042,11.185
'[17:51:35.672]',0.060,-,0.785,0.845,-0.191,1.271,50.798,11.185
'[17:51:35.680]',0.085,-,0.775,0.840,-0.189,1.389,51.042,11.127
'[17:51:35.688]',0.070,-,0.800,0.850,-0.188,1.539,51.726,11.058
'[17:51:35.696]',0.055,-,0.815,0.840,-0.187,1.713,52.605,11.058
'[17:51:35.704]',0.040,-,0.815,0.840,-0.187,1.877,53.533,11.058
'[17:51:35.712]',0.044,-,0.825,0.830,-0.186,2.036,54.608,11.058
'[17:51:35.720]',0.010,-,0.845,0.840,-0.188,2.214,55.780,11.058
'[17:51:35.728]',0.030,-,0.830,0.825,-0.188,2.344,56.903,11.127
'[17:51:35.736]',0.035,-,0.815,0.830,-0.191,2.435,57.929,11.244
'[17:51:35.744]',0.030,-,0.820,0.835,-0.192,2.539,58.808,11.439
'[17:51:35.752]',0.035,-,0.830,0.850,-0.195,2.634,59.541,11.683
'[17:51:35.760]',0.030,-,0.825,0.830,-0.199,2.713,60.127,11.937
'[17:51:35.768]',0.024,-,0.830,0.835,-0.202,2.769,60.567,12.182
'[17:51:35.776]',0.030,-,0.830,0.845,-0.206,2.803,60.811,12.377
'[17:51:35.784]',0.035,-,0.840,0.855,-0.209,2.815,60.909,12.494
'[17:51:35.792]',0.040,-,0.825,0.860,-0.212,2.809,61.006,12.563
'[17:51:35.800]',0.190,-,0.690,0.895,-0.214,2.790,61.006,12.621
'[17:51:35.808]',0.495,-,0.365,1.000,-0.217,2.760,60.860,12.748
'[17:51:35.816]',0.805,-,0.070,1.010,-0.220,2.719,60.616,12.875
'[17:51:35.824]',0.830,-,0.250,0.725,-0.223,2.672,60.176,12.875
'[17:51:35.832]',0.105,-,0.725,0.535,-0.227,2.617,59.590,12.748
'[17:51:35.840]',-0.050,-,0.880,0.615,-0.230,2.556,58.808,12.494
'[17:51:35.848]',-0.025,-,0.870,0.790,-0.234,2.491,57.880,12.250
'[17:51:35.856]',-0.010,-,0.860,0.850,-0.238,2.420,56.903,11.937
'[17:51:35.864]',-0.000,-,0.855,0.850,-0.241,2.347,56.171,11.625
'[17:51:35.872]',-0.005,-,0.845,0.865,-0.244,2.270,55.487,11.439
'[17:51:35.880]',0.020,-,0.850,0.870,-0.247,2.190,54.852,11.312
'[17:51:35.888]',-0.000,-,0.860,0.870,-0.250,2.108,54.315,11.185
'[17:51:35.896]',0.010,-,0.860,0.865,-0.253,2.024,53.777,11.127
'[17:51:35.904]',0.030,-,0.825,0.875,-0.256,1.952,53.240,11.127
'[17:51:35.912]',0.044,-,0.815,0.885,-0.258,1.887,52.654,11.127
'[17:51:35.920]',0.015,-,0.835,0.875,-0.261,1.817,52.068,11.127
'[17:51:35.928]',0.040,-,0.820,0.880,-0.264,1.748,51.433,11.185
'[17:51:35.936]',0.050,-,0.815,0.890,-0.266,1.680,50.798,11.244
'[17:51:35.944]',0.070,-,0.795,0.885,-0.268,1.617,50.163,11.312
'[17:51:35.952]',0.080,-,0.805,0.900,-0.269,1.559,49.528,11.371
'[17:51:35.960]',0.109,-,0.765,0.890,-0.270,1.509,48.942,11.439
'[17:51:35.968]',0.095,-,0.790,0.895,-0.271,1.468,48.356,11.498
'[17:51:35.976]',0.109,-,0.775,0.900,-0.271,1.437,47.818,11.556
'[17:51:35.984]',0.140,-,0.745,0.905,-0.271,1.414,47.232,11.498
'[17:51:35.992]',0.165,-,0.720,0.915,-0.270,1.400,46.695,11.312
'[17:51:36.000]',0.180,-,0.700,0.935,-0.269,1.394,46.060,11.000
'[17:51:36.008]',0.225,-,0.675,0.945,-0.269,1.395,45.572,10.619
'[17:51:36.016]',0.255,-,0.650,0.940,-0.268,1.402,45.132,10.247
'[17:51:36.024]',0.285,-,0.625,0.965,-0.266,1.412,44.741,9.808
'[17:51:36.032]',0.295,-,0.605,0.960,-0.265,1.421,44.546,9.495
'[17:51:36.040]',0.320,-,0.575,0.955,-0.262,1.430,44.595,9.251
'[17:51:36.048]',0.335,-,0.565,0.965,-0.259,1.438,45.278,9.183
'[17:51:36.056]',0.355,-,0.560,0.975,-0.256,1.445,47.135,9.251
'[17:51:36.064]',0.330,-,0.590,0.970,-0.252,1.448,50.505,9.368
'[17:51:36.072]',0.305,-,0.610,0.970,-0.249,1.448,56.171,9.495
'[17:51:36.080]',0.295,-,0.625,0.965,-0.245,1.445,64.572,9.681
'[17:51:36.088]',0.265,-,0.640,0.950,-0.241,1.438,75.122,9.876
'[17:51:36.096]',0.240,-,0.670,0.945,-0.238,1.429,86.698,9.993
'[17:51:36.104]',0.210,-,0.680,0.935,-0.235,1.420,97.737,10.062
'[17:51:36.112]',0.195,-,0.695,0.920,-0.232,1.413,107.262,10.189
'[17:51:36.120]',0.160,-,0.725,0.915,-0.229,1.400,114.686,10.247
'[17:51:36.128]',0.135,-,0.740,0.895,-0.226,1.384,119.863,10.247
'[17:51:36.136]',0.115,-,0.770,0.905,-0.224,1.367,122.941,10.189
'[17:51:36.144]',0.115,-,0.780,0.895,-0.222,1.349,123.917,10.120
'[17:51:36.152]',0.100,-,0.770,0.895,-0.221,1.330,123.038,10.062
'[17:51:36.160]',0.100,-,0.780,0.880,-0.220,1.310,120.791,9.993
'[17:51:36.168]',0.095,-,0.775,0.900,-0.219,1.289,117.421,9.993
'[17:51:36.176]',0.100,-,0.770,0.895,-0.217,1.270,113.221,9.993
'[17:51:36.184]',0.095,-,0.775,0.885,-0.216,1.250,108.385,10.062
'[17:51:36.192]',0.100,-,0.770,0.875,-0.215,1.231,103.256,10.120
'[17:51:36.200]',0.075,-,0.795,0.880,-0.214,1.216,98.372,10.247
'[17:51:36.208]',0.085,-,0.805,0.885,-0.213,1.203,93.878,10.374
'[17:51:36.216]',0.090,-,0.785,0.875,-0.211,1.189,89.727,10.560
'[17:51:36.224]',0.070,-,0.800,0.870,-0.210,1.171,85.673,10.746
'[17:51:36.232]',0.075,-,0.790,0.860,-0.208,1.152,81.716,10.873
'[17:51:36.240]',0.060,-,0.790,0.855,-0.206,1.134,77.906,11.000
'[17:51:36.248]',0.050,-,0.810,0.860,-0.204,1.115,74.341,11.058
'[17:51:36.256]',0.060,-,0.805,0.865,-0.202,1.097,70.873,11.058
'[17:51:36.264]',0.075,-,0.790,0.860,-0.199,1.077,67.503,11.058
'[17:51:36.272]',0.060,-,0.810,0.875,-0.197,1.059,64.279,11.058
'[17:51:36.280]',0.080,-,0.785,0.860,-0.194,1.041,61.251,11.000
'[17:51:36.288]',0.100,-,0.790,0.900,-0.192,1.023,58.418,11.000
'[17:51:36.296]',0.130,-,0.740,0.900,-0.189,1.005,55.926,11.000
'[17:51:36.304]',0.120,-,0.750,0.915,-0.186,0.992,53.777,11.058
'[17:51:36.312]',0.125,-,0.750,0.915,-0.184,0.983,52.068,11.127
'[17:51:36.320]',0.125,-,0.755,0.920,-0.181,0.978,50.749,11.185
'[17:51:36.328]',0.115,-,0.745,0.880,-0.178,0.981,49.870,11.185
'[17:51:36.336]',0.080,-,0.780,0.860,-0.176,1.003,49.430,11.185
'[17:51:36.344]',0.075,-,0.785,0.850,-0.174,1.047,49.381,11.127
'[17:51:36.352]',0.065,-,0.790,0.845,-0.172,1.121,49.674,11.058
'[17:51:36.360]',0.080,-,0.770,0.825,-0.172,1.228,50.309,11.000
'[17:51:36.368]',0.065,-,0.785,0.840,-0.170,1.364,51.189,11.000
'[17:51:36.376]',0.090,-,0.770,0.850,-0.170,1.523,52.214,11.000
'[17:51:36.384]',0.040,-,0.830,0.845,-0.170,1.698,53.484,11.000
'[17:51:36.392]',0.024,-,0.840,0.830,-0.170,1.878,54.754,11.058
'[17:51:36.400]',0.004,-,0.855,0.840,-0.170,2.031,55.975,11.058
'[17:51:36.408]',0.020,-,0.845,0.845,-0.172,2.165,57.001,11.058
'[17:51:36.416]',0.030,-,0.815,0.830,-0.173,2.301,57.880,11.185
'[17:51:36.424]',0.015,-,0.830,0.845,-0.174,2.422,58.466,11.371
'[17:51:36.432]',0.020,-,0.835,0.835,-0.175,2.523,58.906,11.556
'[17:51:36.440]',0.030,-,0.825,0.835,-0.177,2.600,59.297,11.869
'[17:51:36.448]',0.040,-,0.830,0.845,-0.178,2.652,59.590,12.123
'[17:51:36.456]',0.030,-,0.825,0.855,-0.181,2.680,59.883,12.377
'[17:51:36.464]',0.055,-,0.815,0.870,-0.183,2.688,59.981,12.563
'[17:51:36.472]',0.030,-,0.835,0.875,-0.186,2.677,60.127,12.690
'[17:51:36.480]',0.175,-,0.705,0.870,-0.189,2.652,60.029,12.807
'[17:51:36.488]',0.435,-,0.415,0.980,-0.192,2.614,59.932,12.934
'[17:51:36.496]',0.745,-,0.100,0.990,-0.195,2.570,59.590,13.002
'[17:51:36.504]',0.790,-,0.080,0.740,-0.197,2.521,59.053,13.002
'[17:51:36.512]',0.140,-,0.715,0.565,-0.200,2.462,58.320,12.807
'[17:51:36.520]',-0.061,-,0.915,0.635,-0.203,2.397,57.343,12.494
'[17:51:36.528]',-0.041,-,0.900,0.790,-0.206,2.327,56.317,12.182
'[17:51:36.536]',-0.025,-,0.875,0.860,-0.210,2.253,55.340,11.810
'[17:51:36.544]',-0.000,-,0.850,0.870,-0.213,2.177,54.608,11.498
'[17:51:36.552]',0.004,-,0.840,0.875,-0.216,2.099,54.070,11.244
'[17:51:36.560]',0.015,-,0.845,0.870,-0.219,2.019,53.484,11.127
'[17:51:36.568]',0.004,-,0.855,0.875,-0.222,1.937,52.947,11.000
'[17:51:36.576]',0.010,-,0.845,0.885,-0.224,1.856,52.410,11.000
'[17:51:36.584]',0.020,-,0.845,0.880,-0.226,1.778,51.921,11.000
'[17:51:36.592]',0.030,-,0.840,0.890,-0.227,1.704,51.384,11.000
'[17:51:36.600]',0.024,-,0.845,0.900,-0.228,1.642,50.847,11.000
'[17:51:36.608]',0.044,-,0.815,0.880,-0.229,1.589,50.309,11.000
'[17:51:36.616]',0.050,-,0.810,0.885,-0.229,1.536,49.723,11.058
'[17:51:36.624]',0.044,-,0.820,0.880,-0.229,1.485,49.186,11.127
'[17:51:36.632]',0.060,-,0.810,0.890,-0.228,1.440,48.600,11.185
'[17:51:36.640]',0.075,-,0.790,0.895,-0.227,1.402,48.111,11.244
'[17:51:36.648]',0.100,-,0.770,0.885,-0.226,1.372,47.623,11.244
'[17:51:36.656]',0.125,-,0.770,0.905,-0.225,1.352,47.037,11.244
'[17:51:36.664]',0.145,-,0.745,0.910,-0.223,1.339,46.500,11.185
'[17:51:36.672]',0.160,-,0.720,0.915,-0.221,1.334,45.962,11.000
'[17:51:36.680]',0.190,-,0.700,0.920,-0.219,1.336,45.425,10.746
'[17:51:36.688]',0.225,-,0.670,0.940,-0.216,1.343,44.937,10.374
'[17:51:36.696]',0.260,-,0.635,0.945,-0.213,1.353,44.497,9.935
'[17:51:36.704]',0.265,-,0.630,0.950,-0.210,1.364,44.106,9.495
'[17:51:36.712]',0.285,-,0.620,0.955,-0.206,1.376,43.911,9.124
'[17:51:36.720]',0.315,-,0.600,0.960,-0.203,1.388,44.009,8.938
'[17:51:36.728]',0.335,-,0.580,0.960,-0.199,1.399,44.546,8.870
'[17:51:36.736]',0.330,-,0.585,0.970,-0.194,1.408,46.060,8.938
'[17:51:36.744]',0.335,-,0.580,0.965,-0.190,1.413,49.039,9.124
'[17:51:36.752]',0.330,-,0.575,0.970,-0.186,1.414,54.217,9.310
'[17:51:36.760]',0.315,-,0.595,0.960,-0.182,1.412,61.934,9.495
'[17:51:36.768]',0.280,-,0.630,0.955,-0.178,1.405,71.947,9.681
'[17:51:36.776]',0.250,-,0.650,0.940,-0.175,1.395,83.035,9.749
'[17:51:36.784]',0.210,-,0.675,0.925,-0.172,1.381,93.927,9.808
'[17:51:36.792]',0.170,-,0.710,0.910,-0.170,1.366,103.452,9.876
'[17:51:36.800]',0.135,-,0.745,0.905,-0.167,1.353,110.925,9.808
'[17:51:36.808]',0.135,-,0.750,0.920,-0.165,1.341,116.298,9.808
'[17:51:36.816]',0.115,-,0.765,0.900,-0.162,1.326,119.619,9.622
'[17:51:36.824]',0.095,-,0.785,0.910,-0.161,1.307,120.938,9.437
'[17:51:36.832]',0.095,-,0.785,0.895,-0.159,1.287,120.303,9.251
'[17:51:36.840]',0.100,-,0.775,0.900,-0.158,1.268,118.056,9.056
'[17:51:36.848]',0.100,-,0.770,0.875,-0.156,1.248,114.539,8.938
'[17:51:36.856]',0.090,-,0.770,0.880,-0.155,1.229,110.046,8.870
'[17:51:36.864]',0.095,-,0.785,0.885,-0.153,1.210,104.917,8.811
'[17:51:36.872]',0.085,-,0.775,0.890,-0.152,1.193,99.740,8.811
'[17:51:36.880]',0.090,-,0.770,0.885,-0.151,1.175,94.806,8.684
'[17:51:36.888]',0.055,-,0.815,0.885,-0.150,1.157,90.362,8.626
'[17:51:36.896]',0.060,-,0.815,0.875,-0.148,1.144,86.259,8.557
'[17:51:36.904]',0.065,-,0.805,0.885,-0.147,1.132,82.302,8.557
'[17:51:36.912]',0.060,-,0.790,0.860,-0.146,1.118,78.444,8.557
'[17:51:36.920]',0.055,-,0.800,0.865,-0.144,1.103,74.683,8.557
'[17:51:36.928]',0.055,-,0.810,0.855,-0.142,1.086,71.068,8.499
'[17:51:36.936]',0.050,-,0.815,0.875,-0.140,1.070,67.551,8.430
'[17:51:36.944]',0.055,-,0.810,0.855,-0.137,1.054,64.132,8.372
'[17:51:36.952]',0.044,-,0.815,0.870,-0.135,1.037,60.860,8.313
'[17:51:36.960]',0.065,-,0.805,0.875,-0.133,1.021,57.783,8.186
'[17:51:36.968]',0.080,-,0.810,0.895,-0.130,1.004,54.998,8.118
'[17:51:36.976]',0.120,-,0.750,0.900,-0.128,0.988,52.507,8.001
'[17:51:36.984]',0.130,-,0.745,0.920,-0.125,0.974,50.309,8.001
'[17:51:36.992]',0.125,-,0.745,0.920,-0.122,0.961,48.600,8.059
'[17:51:37.000]',0.120,-,0.755,0.920,-0.119,0.957,47.281,8.186
'[17:51:37.008]',0.115,-,0.745,0.895,-0.114,0.963,46.353,8.186
'[17:51:37.016]',0.100,-,0.760,0.875,-0.110,0.980,45.865,8.059
'[17:51:37.024]',0.090,-,0.770,0.860,-0.105,1.019,45.718,7.932
'[17:51:37.032]',0.075,-,0.795,0.870,-0.100,1.082,46.060,7.688
'[17:51:37.040]',0.075,-,0.790,0.860,-0.093,1.174,46.695,7.493
'[17:51:37.048]',0.055,-,0.790,0.825,-0.087,1.294,47.476,7.307
'[17:51:37.056]',0.080,-,0.770,0.845,-0.080,1.439,48.405,7.121
'[17:51:37.064]',0.090,-,0.780,0.850,-0.074,1.603,49.479,7.063
'[17:51:37.072]',0.055,-,0.800,0.845,-0.068,1.775,50.651,6.936
'[17:51:37.080]',0.040,-,0.820,0.835,-0.062,1.945,51.775,6.867
'[17:51:37.088]',0.015,-,0.840,0.840,-0.056,2.105,52.849,6.809
'[17:51:37.096]',0.020,-,0.840,0.835,-0.047,2.230,53.729,6.809
'[17:51:37.104]',0.015,-,0.845,0.850,-0.038,2.328,54.510,6.867
'[17:51:37.112]',0.030,-,0.850,0.850,-0.029,2.418,55.047,7.063
'[17:51:37.120]',0.044,-,0.805,0.850,-0.018,2.490,55.438,7.434
'[17:51:37.128]',0.055,-,0.790,0.850,-0.009,2.540,55.731,7.874
'[17:51:37.136]',0.024,-,0.825,0.850,0.001,2.568,55.878,8.245
'[17:51:37.144]',0.040,-,0.820,0.850,0.010,2.575,55.975,8.626
'[17:51:37.152]',0.044,-,0.840,0.880,0.019,2.564,55.975,8.938
'[17:51:37.160]',0.040,-,0.825,0.875,0.028,2.538,55.926,9.251
'[17:51:37.168]',0.245,-,0.640,0.915,0.038,2.499,55.682,9.495
'[17:51:37.176]',0.515,-,0.315,0.995,0.048,2.450,55.194,9.622
'[17:51:37.184]',0.780,-,0.060,0.920,0.057,2.394,54.510,9.622
'[17:51:37.192]',0.570,-,0.320,0.740,0.067,2.331,53.631,9.495
'[17:51:37.200]',0.075,-,0.800,0.605,0.076,2.271,52.654,9.251
'[17:51:37.208]',-0.035,-,0.910,0.670,0.085,2.210,51.775,8.938
'[17:51:37.216]',-0.025,-,0.880,0.795,0.094,2.141,51.042,8.626
'[17:51:37.224]',-0.030,-,0.860,0.850,0.101,2.065,50.358,8.313
'[17:51:37.232]',-0.000,-,0.855,0.875,0.108,1.987,49.821,8.001
'[17:51:37.240]',0.004,-,0.850,0.875,0.114,1.907,49.235,7.805
'[17:51:37.248]',0.004,-,0.840,0.885,0.120,1.828,48.746,7.688
'[17:51:37.256]',0.030,-,0.820,0.880,0.126,1.751,48.258,7.493
'[17:51:37.264]',0.030,-,0.815,0.875,0.131,1.675,47.721,7.307
'[17:51:37.272]',0.020,-,0.830,0.885,0.136,1.602,47.281,7.063
'[17:51:37.280]',0.024,-,0.840,0.880,0.142,1.533,46.841,6.867
'[17:51:37.288]',0.020,-,0.840,0.890,0.145,1.467,46.353,6.682
'[17:51:37.296]',0.030,-,0.845,0.885,0.150,1.415,45.865,6.496
'[17:51:37.304]',0.044,-,0.820,0.890,0.153,1.372,45.376,6.369
'[17:51:37.312]',0.075,-,0.790,0.880,0.156,1.329,44.790,6.311
'[17:51:37.320]',0.075,-,0.805,0.895,0.159,1.291,44.155,6.311
'[17:51:37.328]',0.080,-,0.800,0.885,0.162,1.259,43.618,6.311
'[17:51:37.336]',0.105,-,0.765,0.885,0.165,1.234,43.032,6.184
'[17:51:37.344]',0.125,-,0.750,0.885,0.169,1.215,42.543,6.057
'[17:51:37.352]',0.125,-,0.770,0.900,0.172,1.205,42.006,5.744
'[17:51:37.360]',0.175,-,0.725,0.900,0.177,1.200,41.420,5.304
'[17:51:37.368]',0.200,-,0.680,0.905,0.181,1.201,40.931,4.875
'[17:51:37.376]',0.225,-,0.680,0.915,0.186,1.206,40.492,4.435
'[17:51:37.384]',0.240,-,0.655,0.920,0.191,1.215,40.052,3.995
'[17:51:37.392]',0.280,-,0.615,0.910,0.195,1.226,39.759,3.624
'[17:51:37.400]',0.295,-,0.605,0.920,0.200,1.238,39.466,3.370
'[17:51:37.408]',0.325,-,0.585,0.930,0.205,1.248,39.417,3.185
'[17:51:37.416]',0.335,-,0.580,0.920,0.210,1.256,39.857,2.999
'[17:51:37.424]',0.330,-,0.590,0.920,0.216,1.260,41.127,2.931
'[17:51:37.432]',0.335,-,0.600,0.920,0.222,1.260,43.813,2.931
'[17:51:37.440]',0.330,-,0.585,0.945,0.228,1.256,48.600,2.999
'[17:51:37.448]',0.300,-,0.615,0.935,0.233,1.249,55.975,3.126
'[17:51:37.456]',0.265,-,0.645,0.940,0.239,1.239,65.695,3.243
'[17:51:37.464]',0.240,-,0.670,0.925,0.245,1.227,76.636,3.439
'[17:51:37.472]',0.205,-,0.705,0.935,0.250,1.214,87.382,3.556
'[17:51:37.480]',0.170,-,0.725,0.920,0.256,1.201,96.858,3.624
'[17:51:37.488]',0.150,-,0.740,0.920,0.261,1.187,104.575,3.556
'[17:51:37.496]',0.140,-,0.745,0.905,0.268,1.175,110.290,3.439
'[17:51:37.504]',0.125,-,0.755,0.905,0.274,1.164,114.100,3.312
'[17:51:37.512]',0.120,-,0.765,0.900,0.280,1.150,116.054,3.312
'[17:51:37.520]',0.125,-,0.770,0.915,0.286,1.133,116.005,3.370
'[17:51:37.528]',0.100,-,0.780,0.895,0.292,1.116,114.246,3.624
'[17:51:37.536]',0.095,-,0.775,0.900,0.298,1.100,111.169,3.868
'[17:51:37.544]',0.095,-,0.790,0.895,0.304,1.084,107.066,4.181
'[17:51:37.552]',0.090,-,0.790,0.895,0.309,1.068,102.182,4.435
'[17:51:37.560]',0.095,-,0.775,0.885,0.315,1.052,96.907,4.621
'[17:51:37.568]',0.075,-,0.790,0.880,0.320,1.035,91.778,4.621
'[17:51:37.576]',0.080,-,0.790,0.885,0.326,1.019,87.040,4.621
'[17:51:37.584]',0.075,-,0.795,0.880,0.333,1.002,82.595,4.562
'[17:51:37.592]',0.080,-,0.780,0.875,0.340,0.985,78.297,4.621
'[17:51:37.600]',0.055,-,0.820,0.875,0.348,0.976,74.097,4.806
'[17:51:37.608]',0.060,-,0.800,0.860,0.355,0.970,70.091,5.060
'[17:51:37.616]',0.044,-,0.815,0.860,0.362,0.960,66.281,5.373
'[17:51:37.624]',0.050,-,0.815,0.870,0.370,0.948,62.667,5.558
'[17:51:37.632]',0.060,-,0.805,0.870,0.377,0.935,59.297,5.685
'[17:51:37.640]',0.055,-,0.800,0.875,0.385,0.921,55.975,5.685
'[17:51:37.648]',0.070,-,0.800,0.875,0.393,0.906,52.800,5.685
'[17:51:37.656]',0.055,-,0.805,0.875,0.401,0.891,49.870,5.558
'[17:51:37.664]',0.100,-,0.775,0.910,0.411,0.874,47.379,5.373
'[17:51:37.672]',0.109,-,0.770,0.920,0.420,0.857,45.474,5.246
'[17:51:37.680]',0.109,-,0.765,0.920,0.429,0.843,44.057,5.246
'[17:51:37.688]',0.120,-,0.750,0.915,0.438,0.834,43.129,5.246
'[17:51:37.696]',0.109,-,0.745,0.890,0.448,0.835,42.494,5.187
'[17:51:37.704]',0.090,-,0.770,0.875,0.456,0.848,42.299,5.119
'[17:51:37.712]',0.080,-,0.775,0.850,0.464,0.877,42.494,5.060
'[17:51:37.720]',0.065,-,0.800,0.850,0.471,0.930,42.983,4.933
'[17:51:37.728]',0.070,-,0.805,0.845,0.478,1.012,43.715,4.806
'[17:51:37.736]',0.055,-,0.795,0.845,0.484,1.124,44.741,4.689
'[17:51:37.744]',0.075,-,0.785,0.850,0.491,1.264,45.865,4.494
'[17:51:37.752]',0.070,-,0.790,0.850,0.497,1.424,46.988,4.376
'[17:51:37.760]',0.055,-,0.805,0.840,0.503,1.596,48.258,4.249
'[17:51:37.768]',0.010,-,0.845,0.830,0.507,1.769,49.381,4.122
'[17:51:37.776]',-0.010,-,0.865,0.825,0.512,1.977,50.358,3.995
'[17:51:37.784]',-0.005,-,0.845,0.830,0.516,2.190,51.189,3.937
'[17:51:37.792]',0.015,-,0.840,0.845,0.519,2.350,51.726,3.995
'[17:51:37.800]',0.010,-,0.845,0.850,0.522,2.460,52.214,4.249
