'Time','II','ABP','PLETH','I'
'[00:17:40.520]',-0.219,0.000,-,-
'[00:17:40.528]',-0.211,0.000,-,-
'[00:17:40.536]',-0.250,0.000,-,-
'[00:17:40.544]',-0.203,0.000,-,-
'[00:17:40.552]',-0.188,0.000,-,-
'[00:17:40.560]',-0.172,0.000,-,-
'[00:17:40.568]',-0.203,0.000,-,-
'[00:17:40.576]',-0.133,0.000,-,-
'[00:17:40.584]',-0.102,0.000,-,-
'[00:17:40.592]',0.008,0.000,-,-
'[00:17:40.600]',-0.047,0.000,-,-
'[00:17:40.608]',-0.094,0.000,-,-
'[00:17:40.616]',-0.078,0.000,-,-
'[00:17:40.624]',-0.133,0.000,-,-
'[00:17:40.632]',-0.125,0.000,-,-
'[00:17:40.640]',-0.234,0.000,-,-
'[00:17:40.648]',-0.258,0.000,-,-
'[00:17:40.656]',-0.211,0.000,-,-
'[00:17:40.664]',-0.195,0.000,-,-
'[00:17:40.672]',-0.180,0.000,-,-
'[00:17:40.680]',-0.203,0.000,-,-
'[00:17:40.688]',-0.289,0.000,-,-
'[00:17:40.696]',-0.305,0.000,-,-
'[00:17:40.704]',-0.148,0.000,-,-
'[00:17:40.712]',0.070,0.000,-,-
'[00:17:40.720]',0.445,0.000,-,-
'[00:17:40.728]',0.727,0.000,-,-
'[00:17:40.736]',0.789,0.000,-,-
'[00:17:40.744]',-0.336,0.000,-,-
'[00:17:40.752]',-0.484,0.000,-,-
'[00:17:40.760]',-0.336,0.000,-,-
'[00:17:40.768]',-0.242,0.000,-,-
'[00:17:40.776]',-0.234,0.000,-,-
'[00:17:40.784]',-0.227,0.000,-,-
'[00:17:40.792]',-0.219,0.000,-,-
'[00:17:40.800]',-0.234,0.000,-,-
'[00:17:40.808]',-0.219,0.000,-,-
'[00:17:40.816]',-0.234,0.000,-,-
'[00:17:40.824]',-0.164,0.000,-,-
'[00:17:40.832]',-0.102,0.000,-,-
'[00:17:40.840]',-0.078,0.000,-,-
'[00:17:40.848]',-0.133,0.000,-,-
'[00:17:40.856]',-0.125,0.000,-,-
'[00:17:40.864]',-0.117,0.000,-,-
'[00:17:40.872]',-0.133,0.000,-,-
'[00:17:40.880]',-0.102,0.000,-,-
'[00:17:40.888]',-0.023,0.000,-,-
'[00:17:40.896]',-0.023,0.000,-,-
'[00:17:40.904]',0.016,0.000,-,-
'[00:17:40.912]',0.141,0.000,-,-
'[00:17:40.920]',0.039,0.000,-,-
'[00:17:40.928]',0.023,0.000,-,-
'[00:17:40.936]',0.156,0.000,-,-
'[00:17:40.944]',0.250,0.000,-,-
'[00:17:40.952]',0.352,0.000,-,-
'[00:17:40.960]',0.344,0.000,-,-
'[00:17:40.968]',0.375,0.000,-,-
'[00:17:40.976]',0.344,0.000,-,-
'[00:17:40.984]',0.336,0.000,-,-
'[00:17:40.992]',0.352,0.000,-,-
'[00:17:41.000]',0.336,0.000,-,-
'[00:17:41.008]',0.312,0.000,-,-
'[00:17:41.016]',0.305,0.000,-,-
'[00:17:41.024]',0.281,0.000,-,-
'[00:17:41.032]',0.297,0.000,-,-
'[00:17:41.040]',0.289,0.000,-,-
'[00:17:41.048]',0.312,0.000,-,-
'[00:17:41.056]',0.516,0.000,-,-
'[00:17:41.064]',0.266,0.000,-,-
'[00:17:41.072]',0.125,0.000,-,-
'[00:17:41.080]',0.172,0.000,-,-
'[00:17:41.088]',0.211,0.000,-,-
'[00:17:41.096]',0.273,0.000,-,-
'[00:17:41.104]',0.320,0.000,-,-
'[00:17:41.112]',0.336,0.000,-,-
'[00:17:41.120]',0.352,0.000,-,-
'[00:17:41.128]',0.297,0.000,-,-
'[00:17:41.136]',0.305,0.000,-,-
'[00:17:41.144]',0.281,0.000,-,-
'[00:17:41.152]',0.391,0.000,-,-
'[00:17:41.160]',0.570,0.000,-,-
'[00:17:41.168]',0.219,0.000,-,-
'[00:17:41.176]',0.195,0.000,-,-
'[00:17:41.184]',0.297,0.000,-,-
'[00:17:41.192]',0.422,0.000,-,-
'[00:17:41.200]',0.492,0.000,-,-
'[00:17:41.208]',0.492,0.000,-,-
'[00:17:41.216]',0.555,0.000,-,-
'[00:17:41.224]',0.570,0.000,-,-
'[00:17:41.232]',0.570,0.000,-,-
'[00:17:41.240]',0.531,0.000,-,-
'[00:17:41.248]',0.508,0.000,-,-
'[00:17:41.256]',0.477,0.000,-,-
'[00:17:41.264]',0.492,0.000,-,-
'[00:17:41.272]',0.461,0.000,-,-
'[00:17:41.280]',0.500,0.000,-,-
'[00:17:41.288]',0.562,0.000,-,-
'[00:17:41.296]',0.602,0.000,-,-
'[00:17:41.304]',0.648,0.000,-,-
'[00:17:41.312]',0.680,0.000,-,-
'[00:17:41.320]',0.766,0.000,-,-
'[00:17:41.328]',0.625,0.000,-,-
'[00:17:41.336]',0.406,0.000,-,-
'[00:17:41.344]',0.352,0.000,-,-
'[00:17:41.352]',0.320,0.000,-,-
'[00:17:41.360]',0.352,0.000,-,-
'[00:17:41.368]',0.336,0.000,-,-
'[00:17:41.376]',0.312,0.000,-,-
'[00:17:41.384]',0.367,0.000,-,-
'[00:17:41.392]',0.391,0.000,-,-
'[00:17:41.400]',0.359,0.000,-,-
'[00:17:41.408]',0.438,0.000,-,-
'[00:17:41.416]',0.547,0.000,-,-
'[00:17:41.424]',0.688,0.000,-,-
'[00:17:41.432]',1.047,0.000,-,-
'[00:17:41.440]',1.383,0.000,-,-
'[00:17:41.448]',0.742,0.000,-,-
'[00:17:41.456]',0.320,0.000,-,-
'[00:17:41.464]',0.312,0.000,-,-
'[00:17:41.472]',0.352,0.000,-,-
'[00:17:41.480]',0.359,0.000,-,-
'[00:17:41.488]',0.383,0.000,-,-
'[00:17:41.496]',0.430,0.000,-,-
'[00:17:41.504]',0.492,0.000,-,-
'[00:17:41.512]',0.508,0.000,-,-
'[00:17:41.520]',0.516,0.000,-,-
'[00:17:41.528]',0.555,0.000,-,-
'[00:17:41.536]',0.578,0.000,-,-
'[00:17:41.544]',0.562,0.000,-,-
'[00:17:41.552]',0.547,0.000,-,-
'[00:17:41.560]',0.570,0.000,-,-
'[00:17:41.568]',0.609,0.000,-,-
'[00:17:41.576]',0.656,0.000,-,-
'[00:17:41.584]',0.500,0.000,-,-
'[00:17:41.592]',0.422,0.000,-,-
'[00:17:41.600]',0.383,0.000,-,-
'[00:17:41.608]',0.406,0.000,-,-
'[00:17:41.616]',0.383,0.000,-,-
'[00:17:41.624]',0.344,0.000,-,-
'[00:17:41.632]',0.391,0.000,-,-
'[00:17:41.640]',0.461,0.000,-,-
'[00:17:41.648]',0.516,0.000,-,-
'[00:17:41.656]',0.562,0.000,-,-
'[00:17:41.664]',0.602,0.000,-,-
'[00:17:41.672]',0.617,0.000,-,-
'[00:17:41.680]',0.656,0.000,-,-
'[00:17:41.688]',0.672,0.000,-,-
'[00:17:41.696]',0.695,0.000,-,-
'[00:17:41.704]',0.734,0.000,-,-
'[00:17:41.712]',0.977,0.000,-,-
'[00:17:41.720]',0.781,0.000,-,-
'[00:17:41.728]',0.617,0.000,-,-
'[00:17:41.736]',0.523,0.000,-,-
'[00:17:41.744]',0.508,0.000,-,-
'[00:17:41.752]',0.477,0.000,-,-
'[00:17:41.760]',0.422,0.000,-,-
'[00:17:41.768]',0.398,0.000,-,-
'[00:17:41.776]',0.445,0.000,-,-
'[00:17:41.784]',0.438,0.000,-,-
'[00:17:41.792]',0.469,0.000,-,-
'[00:17:41.800]',0.500,0.000,-,-
'[00:17:41.808]',0.422,0.000,-,-
'[00:17:41.816]',0.430,0.000,-,-
'[00:17:41.824]',0.375,0.000,-,-
'[00:17:41.832]',0.359,0.000,-,-
'[00:17:41.840]',0.391,0.000,-,-
'[00:17:41.848]',0.367,0.000,-,-
'[00:17:41.856]',0.344,0.000,-,-
'[00:17:41.864]',0.367,0.000,-,-
'[00:17:41.872]',0.289,0.000,-,-
'[00:17:41.880]',0.234,0.000,-,-
'[00:17:41.888]',0.195,0.000,-,-
'[00:17:41.896]',0.250,0.000,-,-
'[00:17:41.904]',0.117,0.000,-,-
'[00:17:41.912]',0.062,0.000,-,-
'[00:17:41.920]',0.070,0.000,-,-
'[00:17:41.928]',0.102,0.000,-,-
'[00:17:41.936]',0.156,0.000,-,-
'[00:17:41.944]',0.062,0.000,-,-
'[00:17:41.952]',0.039,0.000,-,-
'[00:17:41.960]',0.086,0.000,-,-
'[00:17:41.968]',0.047,0.000,-,-
'[00:17:41.976]',0.117,0.000,-,-
'[00:17:41.984]',0.148,0.000,-,-
'[00:17:41.992]',0.156,0.000,-,-
'[00:17:42.000]',0.148,0.000,-,-
'[00:17:42.008]',0.109,0.000,-,-
'[00:17:42.016]',-0.078,0.000,-,-
'[00:17:42.024]',-0.047,0.000,-,-
'[00:17:42.032]',-0.297,0.000,-,-
'[00:17:42.040]',-0.312,0.000,-,-
'[00:17:42.048]',-0.414,0.000,-,-
'[00:17:42.056]',-,0.000,-,-
'[00:17:42.064]',-,0.000,-,-
'[00:17:42.072]',-0.438,0.000,-,-
'[00:17:42.080]',-0.484,0.000,-,-
'[00:17:42.088]',-,0.000,-,-
'[00:17:42.096]',-,0.000,-,-
'[00:17:42.104]',-0.469,0.000,-,-
'[00:17:42.112]',-0.250,0.000,-,-
'[00:17:42.120]',0.133,0.000,-,-
'[00:17:42.128]',0.445,0.000,-,-
'[00:17:42.136]',-0.203,0.000,-,-
'[00:17:42.144]',-,0.000,-,-
'[00:17:42.152]',-,0.000,-,-
'[00:17:42.160]',-,0.000,-,-
'[00:17:42.168]',-,0.000,-,-
'[00:17:42.176]',-0.461,0.000,-,-
'[00:17:42.184]',-,0.000,-,-
'[00:17:42.192]',-,0.000,-,-
'[00:17:42.200]',-,0.000,-,-
'[00:17:42.208]',-0.414,0.000,-,-
'[00:17:42.216]',-0.328,0.000,-,-
'[00:17:42.224]',-0.344,0.000,-,-
'[00:17:42.232]',-0.281,0.000,-,-
'[00:17:42.240]',-0.180,0.000,-,-
'[00:17:42.248]',-0.227,0.000,-,-
'[00:17:42.256]',-0.133,0.000,-,-
'[00:17:42.264]',-0.078,0.000,-,-
'[00:17:42.272]',0.070,0.000,-,-
'[00:17:42.280]',0.289,0.000,-,-
'[00:17:42.288]',0.586,0.000,-,-
'[00:17:42.296]',0.969,0.000,-,-
'[00:17:42.304]',1.289,0.000,-,-
'[00:17:42.312]',1.500,0.000,-,-
'[00:17:42.320]',1.500,0.000,-,-
'[00:17:42.328]',1.500,0.000,-,-
'[00:17:42.336]',1.500,0.000,-,-
'[00:17:42.344]',1.500,0.000,-,-
'[00:17:42.352]',1.500,0.000,-,-
'[00:17:42.360]',1.500,0.000,-,-
'[00:17:42.368]',1.500,0.000,-,-
'[00:17:42.376]',1.500,0.000,-,-
'[00:17:42.384]',1.500,0.000,-,-
'[00:17:42.392]',1.500,0.000,-,-
'[00:17:42.400]',1.500,0.000,-,-
'[00:17:42.408]',1.500,0.000,-,-
'[00:17:42.416]',1.500,0.000,-,-
'[00:17:42.424]',1.500,0.000,-,-
'[00:17:42.432]',1.297,0.000,-,-
'[00:17:42.440]',1.070,0.000,-,-
'[00:17:42.448]',0.961,0.000,-,-
'[00:17:42.456]',0.773,0.000,-,-
'[00:17:42.464]',0.656,0.000,-,-
'[00:17:42.472]',0.500,0.000,-,-
'[00:17:42.480]',0.445,0.000,-,-
'[00:17:42.488]',0.266,0.000,-,-
'[00:17:42.496]',0.242,0.000,-,-
'[00:17:42.504]',0.172,0.000,-,-
'[00:17:42.512]',0.117,0.000,-,-
'[00:17:42.520]',0.047,0.000,-,-
'[00:17:42.528]',0.016,0.000,-,-
'[00:17:42.536]',-0.062,0.000,-,-
'[00:17:42.544]',-0.148,0.000,-,-
'[00:17:42.552]',-0.133,0.000,-,-
'[00:17:42.560]',-0.250,0.000,-,-
'[00:17:42.568]',-0.258,0.000,-,-
'[00:17:42.576]',-0.234,0.000,-,-
'[00:17:42.584]',-0.273,0.000,-,-
'[00:17:42.592]',-0.328,0.000,-,-
'[00:17:42.600]',-0.344,0.000,-,-
'[00:17:42.608]',-0.367,0.000,-,-
'[00:17:42.616]',-0.250,0.000,-,-
'[00:17:42.624]',-0.312,0.000,-,-
'[00:17:42.632]',-0.312,0.000,-,-
'[00:17:42.640]',-0.312,0.000,-,-
'[00:17:42.648]',-0.219,0.000,-,-
'[00:17:42.656]',-0.258,0.000,-,-
'[00:17:42.664]',-0.281,0.000,-,-
'[00:17:42.672]',-0.148,0.000,-,-
'[00:17:42.680]',-0.211,0.000,-,-
'[00:17:42.688]',-0.234,0.000,-,-
'[00:17:42.696]',-0.250,0.000,-,-
'[00:17:42.704]',-0.234,0.000,-,-
'[00:17:42.712]',-0.211,0.000,-,-
'[00:17:42.720]',-0.203,0.000,-,-
'[00:17:42.728]',-0.312,0.000,-,-
'[00:17:42.736]',-0.375,0.000,-,-
'[00:17:42.744]',-0.289,0.000,-,-
'[00:17:42.752]',-0.383,0.000,-,-
'[00:17:42.760]',-,0.000,-,-
'[00:17:42.768]',-0.477,0.000,-,-
'[00:17:42.776]',-0.453,0.000,-,-
'[00:17:42.784]',-0.461,0.000,-,-
'[00:17:42.792]',-0.469,0.000,-,-
'[00:17:42.800]',-,0.000,-,-
'[00:17:42.808]',-,0.000,-,-
'[00:17:42.816]',-,0.000,-,-
'[00:17:42.824]',-0.375,0.000,-,-
'[00:17:42.832]',-0.055,0.000,-,-
'[00:17:42.840]',0.242,0.000,-,-
'[00:17:42.848]',0.312,0.000,-,-
'[00:17:42.856]',-,0.000,-,-
'[00:17:42.864]',-,0.000,-,-
'[00:17:42.872]',-,0.000,-,-
'[00:17:42.880]',-,0.000,-,-
'[00:17:42.888]',-,0.000,-,-
'[00:17:42.896]',-,0.000,-,-
'[00:17:42.904]',-,0.000,-,-
'[00:17:42.912]',-,0.000,-,-
'[00:17:42.920]',-,0.000,-,-
'[00:17:42.928]',-,0.000,-,-
'[00:17:42.936]',-,0.000,-,-
'[00:17:42.944]',-,0.000,-,-
'[00:17:42.952]',-,0.000,-,-
'[00:17:42.960]',-,0.000,-,-
'[00:17:42.968]',-,0.000,-,-
'[00:17:42.976]',-,0.000,-,-
'[00:17:42.984]',-,0.000,-,-
'[00:17:42.992]',-,0.000,-,-
'[00:17:43.000]',-,0.000,-,-
'[00:17:43.008]',-,0.000,-,-
'[00:17:43.016]',-,0.000,-,-
'[00:17:43.024]',-,0.000,-,-
'[00:17:43.032]',-,0.000,-,-
'[00:17:43.040]',-,0.000,-,-
'[00:17:43.048]',-0.438,0.000,-,-
'[00:17:43.056]',-0.383,0.000,-,-
'[00:17:43.064]',-0.320,0.000,-,-
'[00:17:43.072]',-0.344,0.000,-,-
'[00:17:43.080]',-0.289,0.000,-,-
'[00:17:43.088]',-0.156,0.000,-,-
'[00:17:43.096]',-0.125,0.000,-,-
'[00:17:43.104]',-0.023,0.000,-,-
'[00:17:43.112]',0.016,0.000,-,-
'[00:17:43.120]',-0.039,0.000,-,-
'[00:17:43.128]',0.086,0.000,-,-
'[00:17:43.136]',0.156,0.000,-,-
'[00:17:43.144]',0.242,0.000,-,-
'[00:17:43.152]',0.180,0.000,-,-
'[00:17:43.160]',0.195,0.000,-,-
'[00:17:43.168]',0.141,0.000,-,-
'[00:17:43.176]',0.109,0.000,-,-
'[00:17:43.184]',0.055,0.000,-,-
'[00:17:43.192]',-0.062,0.000,-,-
'[00:17:43.200]',-0.172,0.000,-,-
'[00:17:43.208]',-0.289,0.000,-,-
'[00:17:43.216]',-0.375,0.000,-,-
'[00:17:43.224]',-,0.000,-,-
'[00:17:43.232]',-,0.000,-,-
'[00:17:43.240]',-,0.000,-,-
'[00:17:43.248]',-,0.000,-,-
'[00:17:43.256]',-,0.000,-,-
'[00:17:43.264]',-,0.000,-,-
'[00:17:43.272]',-,0.000,-,-
'[00:17:43.280]',-,0.000,-,-
'[00:17:43.288]',-,0.000,-,-
'[00:17:43.296]',-,0.000,-,-
'[00:17:43.304]',-,0.000,-,-
'[00:17:43.312]',-,0.000,-,-
'[00:17:43.320]',-,0.000,-,-
'[00:17:43.328]',-,0.000,-,-
'[00:17:43.336]',-,0.000,-,-
'[00:17:43.344]',-,0.000,-,-
'[00:17:43.352]',-,0.000,-,-
'[00:17:43.360]',-,0.000,-,-
'[00:17:43.368]',-,0.000,-,-
'[00:17:43.376]',-,0.000,-,-
'[00:17:43.384]',-,0.000,-,-
'[00:17:43.392]',-,0.000,-,-
'[00:17:43.400]',-,0.000,-,-
'[00:17:43.408]',-,0.000,-,-
'[00:17:43.416]',-,0.000,-,-
'[00:17:43.424]',-,0.000,-,-
'[00:17:43.432]',-,0.000,-,-
'[00:17:43.440]',-,0.000,-,-
'[00:17:43.448]',-,0.000,-,-
'[00:17:43.456]',-,0.000,-,-
'[00:17:43.464]',-,0.000,-,-
'[00:17:43.472]',-,0.000,-,-
'[00:17:43.480]',-,0.000,-,-
'[00:17:43.488]',-,0.000,-,-
'[00:17:43.496]',-,0.000,-,-
'[00:17:43.504]',-,0.000,-,-
'[00:17:43.512]',-,0.000,-,-
'[00:17:43.520]',-,0.000,-,-
'[00:17:43.528]',-,0.000,-,-
'[00:17:43.536]',-,0.000,-,-
'[00:17:43.544]',-,0.000,-,-
'[00:17:43.552]',-,0.000,-,-
'[00:17:43.560]',-,0.000,-,-
'[00:17:43.568]',-,0.000,-,-
'[00:17:43.576]',-,0.000,-,-
'[00:17:43.584]',-0.359,0.000,-,-
'[00:17:43.592]',0.578,0.000,-,-
'[00:17:43.600]',1.500,0.000,-,-
'[00:17:43.608]',1.500,0.000,-,-
'[00:17:43.616]',1.500,0.000,-,-
'[00:17:43.624]',1.500,0.000,-,-
'[00:17:43.632]',1.500,0.000,-,-
'[00:17:43.640]',1.500,0.000,-,-
'[00:17:43.648]',1.500,0.000,-,-
'[00:17:43.656]',1.500,0.000,-,-
'[00:17:43.664]',1.500,0.000,-,-
'[00:17:43.672]',1.500,0.000,-,-
'[00:17:43.680]',1.500,0.000,-,-
'[00:17:43.688]',1.500,0.000,-,-
'[00:17:43.696]',1.500,0.000,-,-
'[00:17:43.704]',1.500,0.000,-,-
'[00:17:43.712]',1.500,0.000,-,-
'[00:17:43.720]',1.500,0.000,-,-
'[00:17:43.728]',1.500,0.000,-,-
'[00:17:43.736]',1.500,0.000,-,-
'[00:17:43.744]',1.500,0.000,-,-
'[00:17:43.752]',1.500,0.000,-,-
'[00:17:43.760]',1.500,0.000,-,-
'[00:17:43.768]',1.500,0.000,-,-
'[00:17:43.776]',1.500,0.000,-,-
'[00:17:43.784]',1.500,0.000,-,-
'[00:17:43.792]',1.500,0.000,-,-
'[00:17:43.800]',1.500,0.000,-,-
'[00:17:43.808]',1.500,0.000,-,-
'[00:17:43.816]',1.500,0.000,-,-
'[00:17:43.824]',1.500,0.000,-,-
'[00:17:43.832]',1.500,0.000,-,-
'[00:17:43.840]',1.500,0.000,-,-
'[00:17:43.848]',1.500,0.000,-,-
'[00:17:43.856]',1.500,0.000,-,-
'[00:17:43.864]',1.500,0.000,-,-
'[00:17:43.872]',1.500,0.000,-,-
'[00:17:43.880]',1.500,0.000,-,-
'[00:17:43.888]',1.500,0.000,-,-
'[00:17:43.896]',1.500,0.000,-,-
'[00:17:43.904]',1.500,0.000,-,-
'[00:17:43.912]',1.500,0.000,-,-
'[00:17:43.920]',1.500,0.000,-,-
'[00:17:43.928]',1.500,0.000,-,-
'[00:17:43.936]',1.500,0.000,-,-
'[00:17:43.944]',1.500,0.000,-,-
'[00:17:43.952]',1.500,0.000,-,-
'[00:17:43.960]',1.500,0.000,-,-
'[00:17:43.968]',1.500,0.000,-,-
'[00:17:43.976]',1.445,0.000,-,-
'[00:17:43.984]',1.492,0.000,-,-
'[00:17:43.992]',1.367,0.000,-,-
'[00:17:44.000]',1.367,0.000,-,-
'[00:17:44.008]',1.477,0.000,-,-
'[00:17:44.016]',1.375,0.000,-,-
'[00:17:44.024]',1.422,0.000,-,-
'[00:17:44.032]',1.461,0.000,-,-
'[00:17:44.040]',1.406,0.000,-,-
'[00:17:44.048]',1.422,0.000,-,-
'[00:17:44.056]',1.430,0.000,-,-
'[00:17:44.064]',1.242,0.000,-,-
'[00:17:44.072]',1.133,0.000,-,-
'[00:17:44.080]',1.125,0.000,-,-
'[00:17:44.088]',1.242,0.000,-,-
'[00:17:44.096]',1.094,0.000,-,-
'[00:17:44.104]',1.281,0.000,-,-
'[00:17:44.112]',1.297,0.000,-,-
'[00:17:44.120]',1.258,0.000,-,-
'[00:17:44.128]',1.195,0.000,-,-
'[00:17:44.136]',1.180,0.000,-,-
'[00:17:44.144]',1.125,0.000,-,-
'[00:17:44.152]',1.141,0.000,-,-
'[00:17:44.160]',1.055,0.000,-,-
'[00:17:44.168]',1.070,0.000,-,-
'[00:17:44.176]',0.914,0.000,-,-
'[00:17:44.184]',0.977,0.000,-,-
'[00:17:44.192]',0.812,0.000,-,-
'[00:17:44.200]',0.758,0.000,-,-
'[00:17:44.208]',0.797,0.000,-,-
'[00:17:44.216]',0.570,0.000,-,-
'[00:17:44.224]',0.555,0.000,-,-
'[00:17:44.232]',0.727,0.000,-,-
'[00:17:44.240]',0.953,0.000,-,-
'[00:17:44.248]',1.414,0.000,-,-
'[00:17:44.256]',1.500,0.000,-,-
'[00:17:44.264]',1.078,0.000,-,-
'[00:17:44.272]',0.328,0.000,-,-
'[00:17:44.280]',0.305,0.000,-,-
'[00:17:44.288]',0.445,0.000,-,-
'[00:17:44.296]',0.398,0.000,-,-
'[00:17:44.304]',0.344,0.000,-,-
'[00:17:44.312]',0.258,0.000,-,-
'[00:17:44.320]',0.180,0.000,-,-
'[00:17:44.328]',0.242,0.000,-,-
'[00:17:44.336]',0.234,0.000,-,-
'[00:17:44.344]',0.164,0.000,-,-
'[00:17:44.352]',0.125,0.000,-,-
'[00:17:44.360]',0.250,0.000,-,-
'[00:17:44.368]',0.289,0.000,-,-
'[00:17:44.376]',-0.023,0.000,-,-
'[00:17:44.384]',-0.148,0.000,-,-
'[00:17:44.392]',-0.234,0.000,-,-
'[00:17:44.400]',-0.180,0.000,-,-
'[00:17:44.408]',-0.227,0.000,-,-
'[00:17:44.416]',-0.266,0.000,-,-
'[00:17:44.424]',-0.180,0.000,-,-
'[00:17:44.432]',-0.055,0.000,-,-
'[00:17:44.440]',0.031,0.000,-,-
'[00:17:44.448]',0.062,0.000,-,-
'[00:17:44.456]',-0.039,0.000,-,-
'[00:17:44.464]',-0.047,0.000,-,-
'[00:17:44.472]',0.000,0.000,-,-
'[00:17:44.480]',0.008,0.000,-,-
'[00:17:44.488]',-0.125,0.000,-,-
'[00:17:44.496]',-0.055,0.000,-,-
'[00:17:44.504]',-0.023,0.000,-,-
'[00:17:44.512]',-0.188,0.000,-,-
'[00:17:44.520]',-0.250,0.000,-,-
'[00:17:44.528]',-0.312,0.000,-,-
'[00:17:44.536]',-0.398,0.000,-,-
'[00:17:44.544]',-0.422,0.000,-,-
'[00:17:44.552]',-0.398,0.000,-,-
'[00:17:44.560]',-,0.000,-,-
'[00:17:44.568]',-0.438,0.000,-,-
'[00:17:44.576]',-,0.000,-,-
'[00:17:44.584]',-,0.000,-,-
'[00:17:44.592]',-0.453,0.000,-,-
'[00:17:44.600]',-0.453,0.000,-,-
'[00:17:44.608]',-,0.000,-,-
'[00:17:44.616]',-,0.000,-,-
'[00:17:44.624]',-,0.000,-,-
'[00:17:44.632]',-,0.000,-,-
'[00:17:44.640]',-,0.000,-,-
'[00:17:44.648]',-0.375,0.000,-,-
'[00:17:44.656]',-,0.000,-,-
'[00:17:44.664]',-,0.000,-,-
'[00:17:44.672]',-,0.000,-,-
'[00:17:44.680]',-0.406,0.000,-,-
'[00:17:44.688]',-0.422,0.000,-,-
'[00:17:44.696]',-0.469,0.000,-,-
'[00:17:44.704]',-0.391,0.000,-,-
'[00:17:44.712]',-0.414,0.000,-,-
'[00:17:44.720]',-0.273,0.000,-,-
'[00:17:44.728]',-0.312,0.000,-,-
'[00:17:44.736]',-0.266,0.000,-,-
'[00:17:44.744]',-0.258,0.000,-,-
'[00:17:44.752]',-0.305,0.000,-,-
'[00:17:44.760]',-0.398,0.000,-,-
'[00:17:44.768]',-0.328,0.000,-,-
'[00:17:44.776]',-0.383,0.000,-,-
'[00:17:44.784]',-0.250,0.000,-,-
'[00:17:44.792]',-,0.000,-,-
'[00:17:44.800]',-0.422,0.000,-,-
'[00:17:44.808]',-0.375,0.000,-,-
'[00:17:44.816]',-,0.000,-,-
'[00:17:44.824]',-,0.000,-,-
'[00:17:44.832]',-,0.000,-,-
'[00:17:44.840]',-0.484,0.000,-,-
'[00:17:44.848]',-,0.000,-,-
'[00:17:44.856]',-,0.000,-,-
'[00:17:44.864]',-,0.000,-,-
'[00:17:44.872]',-,0.000,-,-
'[00:17:44.880]',-,0.000,-,-
'[00:17:44.888]',-,0.000,-,-
'[00:17:44.896]',-,0.000,-,-
'[00:17:44.904]',-,0.000,-,-
'[00:17:44.912]',-,0.000,-,-
'[00:17:44.920]',-,0.000,-,-
'[00:17:44.928]',-,0.000,-,-
'[00:17:44.936]',-,0.000,-,-
'[00:17:44.944]',-,0.000,-,-
'[00:17:44.952]',-,0.000,-,-
'[00:17:44.960]',-,0.000,-,-
'[00:17:44.968]',-,0.000,-,-
'[00:17:44.976]',-,0.000,-,-
'[00:17:44.984]',-0.305,0.000,-,-
'[00:17:44.992]',-0.008,0.000,-,-
'[00:17:45.000]',0.398,0.000,-,-
'[00:17:45.008]',0.562,0.000,-,-
'[00:17:45.016]',-0.203,0.000,-,-
'[00:17:45.024]',-,0.000,-,-
'[00:17:45.032]',-,0.000,-,-
'[00:17:45.040]',-0.398,0.000,-,-
'[00:17:45.048]',-0.297,0.000,-,-
'[00:17:45.056]',-,0.000,-,-
'[00:17:45.064]',-0.453,0.000,-,-
'[00:17:45.072]',-0.391,0.000,-,-
'[00:17:45.080]',-0.328,0.000,-,-
'[00:17:45.088]',-0.273,0.000,-,-
'[00:17:45.096]',-0.328,0.000,-,-
'[00:17:45.104]',-0.234,0.000,-,-
'[00:17:45.112]',-0.180,0.000,-,-
'[00:17:45.120]',-0.102,0.000,-,-
'[00:17:45.128]',-0.078,0.000,-,-
'[00:17:45.136]',0.055,0.000,-,-
'[00:17:45.144]',0.125,0.000,-,-
'[00:17:45.152]',0.156,0.000,-,-
'[00:17:45.160]',0.047,0.000,-,-
'[00:17:45.168]',0.195,0.000,-,-
'[00:17:45.176]',0.312,0.000,-,-
'[00:17:45.184]',0.258,0.000,-,-
'[00:17:45.192]',0.234,0.000,-,-
'[00:17:45.200]',0.367,0.000,-,-
'[00:17:45.208]',0.445,0.000,-,-
'[00:17:45.216]',0.617,0.000,-,-
'[00:17:45.224]',0.680,0.000,-,-
'[00:17:45.232]',0.664,0.000,-,-
'[00:17:45.240]',0.742,0.000,-,-
'[00:17:45.248]',0.914,0.000,-,-
'[00:17:45.256]',1.055,0.000,-,-
'[00:17:45.264]',1.242,0.000,-,-
'[00:17:45.272]',1.500,0.000,-,-
'[00:17:45.280]',-,0.000,-,-
'[00:17:45.288]',1.477,0.000,-,-
'[00:17:45.296]',1.500,0.000,-,-
'[00:17:45.304]',1.117,0.000,-,-
'[00:17:45.312]',0.789,0.000,-,-
'[00:17:45.320]',0.695,0.000,-,-
'[00:17:45.328]',0.805,0.000,-,-
'[00:17:45.336]',0.469,0.000,-,-
'[00:17:45.344]',0.047,0.000,-,-
'[00:17:45.352]',-0.148,0.000,-,-
'[00:17:45.360]',-0.328,0.000,-,-
'[00:17:45.368]',-,0.000,-,-
'[00:17:45.376]',-,0.000,-,-
'[00:17:45.384]',-,0.000,-,-
'[00:17:45.392]',-,0.000,-,-
'[00:17:45.400]',-,0.000,-,-
