'Time','II','PLETH','I','ABP','III'
'[05:38:00.832]',0.024,0.537,-,56.875,-
'[05:38:00.840]',0.024,0.510,-,56.250,-
'[05:38:00.848]',0.024,0.486,-,56.250,-
'[05:38:00.856]',0.016,0.459,-,55.625,-
'[05:38:00.864]',0.008,0.435,-,55.625,-
'[05:38:00.872]',-0.008,0.412,-,55.625,-
'[05:38:00.880]',-0.016,0.388,-,56.875,-
'[05:38:00.888]',-0.024,0.369,-,60.000,-
'[05:38:00.896]',-0.024,0.353,-,64.375,-
'[05:38:00.904]',-0.031,0.341,-,67.500,-
'[05:38:00.912]',-0.031,0.333,-,69.375,-
'[05:38:00.920]',-0.031,0.325,-,71.875,-
'[05:38:00.928]',-0.024,0.325,-,74.375,-
'[05:38:00.936]',-0.031,0.325,-,76.875,-
'[05:38:00.944]',-0.031,0.325,-,78.750,-
'[05:38:00.952]',-0.031,0.329,-,81.250,-
'[05:38:00.960]',-0.031,0.337,-,83.750,-
'[05:38:00.968]',-0.031,0.345,-,86.250,-
'[05:38:00.976]',-0.031,0.349,-,87.500,-
'[05:38:00.984]',-0.031,0.357,-,88.125,-
'[05:38:00.992]',-0.024,0.369,-,89.375,-
'[05:38:01.000]',-0.024,0.376,-,89.375,-
'[05:38:01.008]',-0.031,0.380,-,88.125,-
'[05:38:01.016]',-0.016,0.384,-,87.500,-
'[05:38:01.024]',0.000,0.388,-,86.250,-
'[05:38:01.032]',0.024,0.392,-,84.375,-
'[05:38:01.040]',0.039,0.392,-,81.875,-
'[05:38:01.048]',0.063,0.396,-,80.000,-
'[05:38:01.056]',0.079,0.396,-,77.500,-
'[05:38:01.064]',0.087,0.392,-,75.000,-
'[05:38:01.072]',0.063,0.392,-,71.875,-
'[05:38:01.080]',-0.008,0.388,-,69.375,-
'[05:38:01.088]',-0.039,0.384,-,68.125,-
'[05:38:01.096]',-0.055,0.380,-,65.625,-
'[05:38:01.104]',-0.063,0.373,-,64.375,-
'[05:38:01.112]',-0.071,0.369,-,62.500,-
'[05:38:01.120]',-0.071,0.361,-,61.250,-
'[05:38:01.128]',-0.142,0.357,-,60.000,-
'[05:38:01.136]',-0.197,0.353,-,58.750,-
'[05:38:01.144]',0.441,0.353,-,58.125,-
'[05:38:01.152]',1.213,0.353,-,56.875,-
'[05:38:01.160]',1.299,0.361,-,56.250,-
'[05:38:01.168]',0.244,0.373,-,56.250,-
'[05:38:01.176]',-0.142,0.392,-,56.250,-
'[05:38:01.184]',-0.323,0.416,-,55.625,-
'[05:38:01.192]',-0.331,0.447,-,55.625,-
'[05:38:01.200]',-0.236,0.482,-,55.625,-
'[05:38:01.208]',-0.220,0.518,-,56.250,-
'[05:38:01.216]',-0.213,0.557,-,56.250,-
'[05:38:01.224]',-0.205,0.592,-,56.250,-
'[05:38:01.232]',-0.189,0.624,-,56.250,-
'[05:38:01.240]',-0.189,0.651,-,56.875,-
'[05:38:01.248]',-0.165,0.671,-,56.875,-
'[05:38:01.256]',-0.165,0.686,-,56.875,-
'[05:38:01.264]',-0.150,0.698,-,58.125,-
'[05:38:01.272]',-0.142,0.706,-,58.125,-
'[05:38:01.280]',-0.126,0.710,-,58.125,-
'[05:38:01.288]',-0.118,0.706,-,58.125,-
'[05:38:01.296]',-0.102,0.694,-,58.125,-
'[05:38:01.304]',-0.094,0.682,-,58.125,-
'[05:38:01.312]',-0.071,0.663,-,58.125,-
'[05:38:01.320]',-0.047,0.639,-,58.125,-
'[05:38:01.328]',-0.031,0.616,-,56.875,-
'[05:38:01.336]',-0.016,0.588,-,56.875,-
'[05:38:01.344]',0.008,0.561,-,56.875,-
'[05:38:01.352]',0.024,0.529,-,56.250,-
'[05:38:01.360]',0.024,0.498,-,56.250,-
'[05:38:01.368]',0.031,0.478,-,55.625,-
'[05:38:01.376]',0.024,0.451,-,55.000,-
'[05:38:01.384]',0.008,0.420,-,55.000,-
'[05:38:01.392]',-0.008,0.392,-,53.750,-
'[05:38:01.400]',-0.016,0.373,-,55.000,-
'[05:38:01.408]',-0.024,0.357,-,55.625,-
'[05:38:01.416]',-0.024,0.337,-,58.125,-
'[05:38:01.424]',-0.031,0.325,-,61.250,-
'[05:38:01.432]',-0.031,0.314,-,64.375,-
'[05:38:01.440]',-0.031,0.306,-,66.250,-
'[05:38:01.448]',-0.031,0.302,-,68.750,-
'[05:38:01.456]',-0.039,0.298,-,70.625,-
'[05:38:01.464]',-0.039,0.298,-,72.500,-
'[05:38:01.472]',-0.047,0.298,-,74.375,-
'[05:38:01.480]',-0.039,0.306,-,76.875,-
'[05:38:01.488]',-0.047,0.314,-,78.750,-
'[05:38:01.496]',-0.039,0.318,-,80.625,-
'[05:38:01.504]',-0.047,0.322,-,81.875,-
'[05:38:01.512]',-0.047,0.333,-,83.125,-
'[05:38:01.520]',-0.047,0.341,-,83.750,-
'[05:38:01.528]',-0.055,0.349,-,83.750,-
'[05:38:01.536]',-0.039,0.357,-,83.750,-
'[05:38:01.544]',-0.024,0.361,-,81.875,-
'[05:38:01.552]',-0.008,0.369,-,81.250,-
'[05:38:01.560]',0.024,0.369,-,80.000,-
'[05:38:01.568]',0.047,0.373,-,77.500,-
'[05:38:01.576]',0.063,0.373,-,75.000,-
'[05:38:01.584]',0.071,0.373,-,73.750,-
'[05:38:01.592]',0.047,0.373,-,71.250,-
'[05:38:01.600]',-0.024,0.369,-,68.750,-
'[05:38:01.608]',-0.055,0.369,-,66.250,-
'[05:38:01.616]',-0.071,0.365,-,65.000,-
'[05:38:01.624]',-0.071,0.361,-,63.125,-
'[05:38:01.632]',-0.071,0.357,-,61.875,-
'[05:38:01.640]',-0.079,0.353,-,60.000,-
'[05:38:01.648]',-0.157,0.345,-,58.750,-
'[05:38:01.656]',-0.213,0.341,-,58.125,-
'[05:38:01.664]',0.433,0.337,-,56.250,-
'[05:38:01.672]',1.189,0.337,-,55.625,-
'[05:38:01.680]',1.283,0.341,-,55.000,-
'[05:38:01.688]',0.228,0.353,-,55.000,-
'[05:38:01.696]',-0.173,0.369,-,53.750,-
'[05:38:01.704]',-0.354,0.388,-,53.750,-
'[05:38:01.712]',-0.315,0.416,-,53.750,-
'[05:38:01.720]',-0.260,0.443,-,53.750,-
'[05:38:01.728]',-0.236,0.478,-,53.750,-
'[05:38:01.736]',-0.236,0.506,-,53.750,-
'[05:38:01.744]',-0.220,0.533,-,53.750,-
'[05:38:01.752]',-0.213,0.561,-,55.000,-
'[05:38:01.760]',-0.197,0.588,-,55.000,-
'[05:38:01.768]',-0.189,0.612,-,55.000,-
'[05:38:01.776]',-0.173,0.631,-,55.625,-
'[05:38:01.784]',-0.173,0.647,-,55.625,-
'[05:38:01.792]',-0.157,0.655,-,55.625,-
'[05:38:01.800]',-0.142,0.659,-,56.250,-
'[05:38:01.808]',-0.134,0.655,-,56.250,-
'[05:38:01.816]',-0.118,0.647,-,56.250,-
'[05:38:01.824]',-0.094,0.635,-,56.250,-
'[05:38:01.832]',-0.079,0.620,-,56.250,-
'[05:38:01.840]',-0.063,0.604,-,56.250,-
'[05:38:01.848]',-0.039,0.580,-,56.250,-
'[05:38:01.856]',-0.016,0.557,-,55.625,-
'[05:38:01.864]',-0.008,0.533,-,55.625,-
'[05:38:01.872]',0.008,0.506,-,55.625,-
'[05:38:01.880]',0.024,0.478,-,55.000,-
'[05:38:01.888]',0.024,0.451,-,55.000,-
'[05:38:01.896]',0.024,0.427,-,53.750,-
'[05:38:01.904]',0.000,0.404,-,53.750,-
'[05:38:01.912]',-0.008,0.380,-,53.125,-
'[05:38:01.920]',-0.024,0.357,-,53.750,-
'[05:38:01.928]',-0.031,0.341,-,55.000,-
'[05:38:01.936]',-0.047,0.325,-,56.875,-
'[05:38:01.944]',-0.047,0.314,-,60.000,-
'[05:38:01.952]',-0.047,0.306,-,63.125,-
'[05:38:01.960]',-0.047,0.298,-,65.625,-
'[05:38:01.968]',-0.055,0.290,-,68.125,-
'[05:38:01.976]',-0.047,0.286,-,69.375,-
'[05:38:01.984]',-0.047,0.286,-,71.250,-
'[05:38:01.992]',-0.047,0.290,-,73.750,-
'[05:38:02.000]',-0.047,0.294,-,75.625,-
'[05:38:02.008]',-0.055,0.298,-,77.500,-
'[05:38:02.016]',-0.063,0.306,-,80.000,-
'[05:38:02.024]',-0.063,0.310,-,81.250,-
'[05:38:02.032]',-0.063,0.318,-,81.875,-
'[05:38:02.040]',-0.063,0.325,-,83.125,-
'[05:38:02.048]',-0.047,0.333,-,83.125,-
'[05:38:02.056]',-0.031,0.341,-,83.125,-
'[05:38:02.064]',-0.024,0.345,-,81.250,-
'[05:38:02.072]',-0.008,0.353,-,80.625,-
'[05:38:02.080]',0.024,0.357,-,78.750,-
'[05:38:02.088]',0.047,0.361,-,77.500,-
'[05:38:02.096]',0.055,0.365,-,75.000,-
'[05:38:02.104]',0.055,0.369,-,72.500,-
'[05:38:02.112]',0.008,0.369,-,70.625,-
'[05:38:02.120]',-0.055,0.369,-,68.125,-
'[05:38:02.128]',-0.079,0.369,-,66.250,-
'[05:38:02.136]',-0.087,0.365,-,64.375,-
'[05:38:02.144]',-0.087,0.365,-,62.500,-
'[05:38:02.152]',-0.094,0.361,-,61.250,-
'[05:38:02.160]',-0.118,0.357,-,59.375,-
'[05:38:02.168]',-0.228,0.353,-,58.750,-
'[05:38:02.176]',0.063,0.349,-,56.875,-
'[05:38:02.184]',0.874,0.345,-,56.250,-
'[05:38:02.192]',1.291,0.349,-,55.625,-
'[05:38:02.200]',0.591,0.353,-,55.000,-
'[05:38:02.208]',-0.024,0.361,-,55.000,-
'[05:38:02.216]',-0.307,0.376,-,53.750,-
'[05:38:02.224]',-0.370,0.400,-,53.750,-
'[05:38:02.232]',-0.283,0.420,-,53.750,-
'[05:38:02.240]',-0.260,0.443,-,53.750,-
'[05:38:02.248]',-0.260,0.475,-,53.750,-
'[05:38:02.256]',-0.244,0.506,-,53.750,-
'[05:38:02.264]',-0.228,0.537,-,53.750,-
'[05:38:02.272]',-0.213,0.569,-,55.000,-
'[05:38:02.280]',-0.197,0.596,-,55.000,-
'[05:38:02.288]',-0.189,0.620,-,55.000,-
'[05:38:02.296]',-0.181,0.643,-,55.625,-
'[05:38:02.304]',-0.173,0.655,-,55.625,-
'[05:38:02.312]',-0.157,0.667,-,56.250,-
'[05:38:02.320]',-0.142,0.667,-,56.250,-
'[05:38:02.328]',-0.134,0.667,-,56.250,-
'[05:38:02.336]',-0.118,0.659,-,56.250,-
'[05:38:02.344]',-0.102,0.651,-,56.250,-
'[05:38:02.352]',-0.079,0.635,-,56.250,-
'[05:38:02.360]',-0.055,0.620,-,56.250,-
'[05:38:02.368]',-0.031,0.596,-,56.250,-
'[05:38:02.376]',-0.008,0.573,-,56.250,-
'[05:38:02.384]',0.000,0.549,-,55.625,-
'[05:38:02.392]',0.008,0.522,-,55.625,-
'[05:38:02.400]',0.016,0.494,-,55.625,-
'[05:38:02.408]',0.016,0.467,-,55.000,-
'[05:38:02.416]',0.000,0.443,-,55.000,-
'[05:38:02.424]',-0.016,0.416,-,53.750,-
'[05:38:02.432]',-0.031,0.396,-,53.750,-
'[05:38:02.440]',-0.039,0.380,-,55.625,-
'[05:38:02.448]',-0.047,0.365,-,58.125,-
'[05:38:02.456]',-0.047,0.345,-,61.250,-
'[05:38:02.464]',-0.055,0.333,-,64.375,-
'[05:38:02.472]',-0.055,0.322,-,66.250,-
'[05:38:02.480]',-0.047,0.310,-,68.750,-
'[05:38:02.488]',-0.055,0.306,-,71.250,-
'[05:38:02.496]',-0.063,0.302,-,72.500,-
'[05:38:02.504]',-0.063,0.298,-,75.000,-
'[05:38:02.512]',-0.055,0.302,-,76.875,-
'[05:38:02.520]',-0.063,0.306,-,78.750,-
'[05:38:02.528]',-0.063,0.314,-,81.250,-
'[05:38:02.536]',-0.063,0.318,-,83.125,-
'[05:38:02.544]',-0.063,0.325,-,84.375,-
'[05:38:02.552]',-0.063,0.333,-,85.000,-
'[05:38:02.560]',-0.047,0.341,-,85.000,-
'[05:38:02.568]',-0.039,0.349,-,85.000,-
'[05:38:02.576]',-0.024,0.357,-,84.375,-
'[05:38:02.584]',-0.008,0.361,-,83.125,-
'[05:38:02.592]',0.031,0.369,-,81.250,-
'[05:38:02.600]',0.055,0.373,-,80.000,-
'[05:38:02.608]',0.063,0.376,-,77.500,-
'[05:38:02.616]',0.055,0.380,-,75.625,-
'[05:38:02.624]',0.008,0.384,-,73.750,-
'[05:38:02.632]',-0.047,0.384,-,71.250,-
'[05:38:02.640]',-0.071,0.384,-,68.750,-
'[05:38:02.648]',-0.079,0.384,-,66.250,-
'[05:38:02.656]',-0.087,0.384,-,65.000,-
'[05:38:02.664]',-0.087,0.380,-,63.125,-
'[05:38:02.672]',-0.126,0.376,-,61.875,-
'[05:38:02.680]',-0.228,0.373,-,60.000,-
'[05:38:02.688]',0.118,0.369,-,59.375,-
'[05:38:02.696]',0.929,0.365,-,58.125,-
'[05:38:02.704]',1.276,0.369,-,56.875,-
'[05:38:02.712]',0.535,0.373,-,56.875,-
'[05:38:02.720]',-0.047,0.380,-,56.250,-
'[05:38:02.728]',-0.323,0.396,-,55.625,-
'[05:38:02.736]',-0.370,0.412,-,55.625,-
'[05:38:02.744]',-0.276,0.435,-,55.625,-
'[05:38:02.752]',-0.260,0.463,-,55.625,-
'[05:38:02.760]',-0.252,0.494,-,55.625,-
'[05:38:02.768]',-0.236,0.529,-,55.625,-
'[05:38:02.776]',-0.220,0.565,-,56.250,-
'[05:38:02.784]',-0.213,0.596,-,56.250,-
'[05:38:02.792]',-0.197,0.627,-,56.250,-
'[05:38:02.800]',-0.189,0.655,-,56.875,-
'[05:38:02.808]',-0.189,0.675,-,56.875,-
'[05:38:02.816]',-0.173,0.694,-,58.125,-
'[05:38:02.824]',-0.157,0.702,-,58.125,-
'[05:38:02.832]',-0.150,0.706,-,58.125,-
'[05:38:02.840]',-0.142,0.706,-,58.750,-
'[05:38:02.848]',-0.126,0.702,-,58.750,-
'[05:38:02.856]',-0.110,0.690,-,58.750,-
'[05:38:02.864]',-0.087,0.678,-,58.750,-
'[05:38:02.872]',-0.071,0.659,-,58.750,-
'[05:38:02.880]',-0.047,0.639,-,58.750,-
'[05:38:02.888]',-0.024,0.612,-,58.750,-
'[05:38:02.896]',-0.008,0.588,-,58.750,-
'[05:38:02.904]',0.000,0.561,-,58.125,-
'[05:38:02.912]',0.008,0.529,-,58.125,-
'[05:38:02.920]',0.016,0.502,-,56.875,-
'[05:38:02.928]',0.000,0.475,-,56.875,-
'[05:38:02.936]',-0.016,0.451,-,56.250,-
'[05:38:02.944]',-0.024,0.424,-,56.875,-
'[05:38:02.952]',-0.039,0.396,-,58.750,-
'[05:38:02.960]',-0.047,0.373,-,61.250,-
'[05:38:02.968]',-0.047,0.349,-,64.375,-
'[05:38:02.976]',-0.047,0.329,-,67.500,-
'[05:38:02.984]',-0.047,0.314,-,70.625,-
'[05:38:02.992]',-0.055,0.302,-,72.500,-
'[05:38:03.000]',-0.047,0.294,-,74.375,-
'[05:38:03.008]',-0.047,0.290,-,76.875,-
'[05:38:03.016]',-0.047,0.290,-,78.750,-
'[05:38:03.024]',-0.055,0.290,-,81.250,-
'[05:38:03.032]',-0.047,0.294,-,83.750,-
'[05:38:03.040]',-0.047,0.302,-,86.250,-
'[05:38:03.048]',-0.055,0.310,-,87.500,-
'[05:38:03.056]',-0.047,0.318,-,88.125,-
'[05:38:03.064]',-0.047,0.325,-,89.375,-
'[05:38:03.072]',-0.031,0.337,-,89.375,-
'[05:38:03.080]',-0.024,0.349,-,89.375,-
'[05:38:03.088]',-0.008,0.357,-,87.500,-
'[05:38:03.096]',0.024,0.365,-,86.875,-
'[05:38:03.104]',0.047,0.373,-,85.000,-
'[05:38:03.112]',0.063,0.380,-,83.125,-
'[05:38:03.120]',0.063,0.388,-,81.250,-
'[05:38:03.128]',0.024,0.392,-,78.750,-
'[05:38:03.136]',-0.047,0.392,-,76.875,-
'[05:38:03.144]',-0.071,0.396,-,74.375,-
'[05:38:03.152]',-0.071,0.396,-,71.875,-
'[05:38:03.160]',-0.079,0.396,-,69.375,-
'[05:38:03.168]',-0.087,0.392,-,68.125,-
'[05:38:03.176]',-0.087,0.388,-,66.250,-
'[05:38:03.184]',-0.189,0.384,-,65.000,-
'[05:38:03.192]',-0.220,0.380,-,63.125,-
'[05:38:03.200]',0.543,0.376,-,62.500,-
'[05:38:03.208]',1.323,0.373,-,61.250,-
'[05:38:03.216]',0.961,0.376,-,60.000,-
'[05:38:03.224]',0.181,0.384,-,59.375,-
'[05:38:03.232]',-0.197,0.396,-,59.375,-
'[05:38:03.240]',-0.362,0.416,-,58.750,-
'[05:38:03.248]',-0.299,0.439,-,58.750,-
'[05:38:03.256]',-0.260,0.471,-,58.750,-
'[05:38:03.264]',-0.252,0.506,-,58.750,-
'[05:38:03.272]',-0.236,0.549,-,58.750,-
'[05:38:03.280]',-0.228,0.592,-,58.750,-
'[05:38:03.288]',-0.213,0.631,-,59.375,-
'[05:38:03.296]',-0.205,0.671,-,59.375,-
'[05:38:03.304]',-0.197,0.706,-,59.375,-
'[05:38:03.312]',-0.181,0.737,-,60.000,-
'[05:38:03.320]',-0.173,0.761,-,60.000,-
'[05:38:03.328]',-0.165,0.776,-,61.250,-
'[05:38:03.336]',-0.157,0.784,-,61.250,-
'[05:38:03.344]',-0.142,0.788,-,61.250,-
'[05:38:03.352]',-0.134,0.788,-,61.250,-
'[05:38:03.360]',-0.118,0.780,-,61.250,-
'[05:38:03.368]',-0.094,0.765,-,61.250,-
'[05:38:03.376]',-0.071,0.745,-,61.250,-
'[05:38:03.384]',-0.055,0.722,-,61.250,-
'[05:38:03.392]',-0.031,0.694,-,61.250,-
'[05:38:03.400]',-0.024,0.667,-,61.250,-
'[05:38:03.408]',-0.008,0.631,-,60.000,-
'[05:38:03.416]',0.000,0.600,-,60.000,-
'[05:38:03.424]',0.008,0.565,-,59.375,-
'[05:38:03.432]',0.008,0.537,-,59.375,-
'[05:38:03.440]',-0.008,0.510,-,58.750,-
'[05:38:03.448]',-0.016,0.482,-,59.375,-
'[05:38:03.456]',-0.024,0.451,-,60.000,-
'[05:38:03.464]',-0.031,0.427,-,63.125,-
'[05:38:03.472]',-0.031,0.400,-,66.250,-
'[05:38:03.480]',-0.031,0.380,-,69.375,-
'[05:38:03.488]',-0.039,0.361,-,72.500,-
'[05:38:03.496]',-0.039,0.349,-,75.000,-
'[05:38:03.504]',-0.039,0.337,-,77.500,-
'[05:38:03.512]',-0.039,0.333,-,80.000,-
'[05:38:03.520]',-0.039,0.329,-,81.875,-
'[05:38:03.528]',-0.031,0.329,-,85.000,-
'[05:38:03.536]',-0.031,0.333,-,87.500,-
'[05:38:03.544]',-0.031,0.337,-,90.000,-
'[05:38:03.552]',-0.031,0.345,-,91.250,-
'[05:38:03.560]',-0.039,0.353,-,92.500,-
'[05:38:03.568]',-0.039,0.365,-,93.125,-
'[05:38:03.576]',-0.016,0.373,-,93.750,-
'[05:38:03.584]',0.000,0.384,-,93.125,-
'[05:38:03.592]',0.016,0.396,-,92.500,-
'[05:38:03.600]',0.039,0.404,-,90.625,-
'[05:38:03.608]',0.071,0.412,-,89.375,-
'[05:38:03.616]',0.079,0.420,-,86.875,-
'[05:38:03.624]',0.094,0.424,-,84.375,-
'[05:38:03.632]',0.063,0.427,-,81.875,-
'[05:38:03.640]',-0.008,0.427,-,80.000,-
'[05:38:03.648]',-0.047,0.431,-,77.500,-
'[05:38:03.656]',-0.063,0.431,-,75.000,-
'[05:38:03.664]',-0.071,0.427,-,72.500,-
'[05:38:03.672]',-0.071,0.427,-,71.250,-
'[05:38:03.680]',-0.071,0.420,-,68.750,-
'[05:38:03.688]',-0.165,0.416,-,67.500,-
'[05:38:03.696]',-0.205,0.412,-,65.625,-
'[05:38:03.704]',0.528,0.408,-,65.000,-
'[05:38:03.712]',1.315,0.404,-,63.125,-
'[05:38:03.720]',1.323,0.408,-,62.500,-
'[05:38:03.728]',0.228,0.412,-,62.500,-
'[05:38:03.736]',-0.157,0.424,-,61.875,-
'[05:38:03.744]',-0.323,0.439,-,61.250,-
'[05:38:03.752]',-0.276,0.467,-,61.250,-
'[05:38:03.760]',-0.228,0.498,-,61.250,-
'[05:38:03.768]',-0.228,0.537,-,61.250,-
'[05:38:03.776]',-0.213,0.580,-,61.250,-
'[05:38:03.784]',-0.213,0.624,-,61.250,-
'[05:38:03.792]',-0.197,0.671,-,61.250,-
'[05:38:03.800]',-0.189,0.714,-,61.250,-
'[05:38:03.808]',-0.181,0.749,-,61.875,-
'[05:38:03.816]',-0.165,0.784,-,61.875,-
'[05:38:03.824]',-0.157,0.808,-,62.500,-
'[05:38:03.832]',-0.142,0.824,-,62.500,-
'[05:38:03.840]',-0.134,0.831,-,62.500,-
'[05:38:03.848]',-0.118,0.835,-,62.500,-
'[05:38:03.856]',-0.110,0.835,-,63.125,-
'[05:38:03.864]',-0.094,0.827,-,63.125,-
'[05:38:03.872]',-0.087,0.812,-,63.125,-
'[05:38:03.880]',-0.063,0.792,-,62.500,-
'[05:38:03.888]',-0.039,0.769,-,62.500,-
'[05:38:03.896]',-0.024,0.741,-,62.500,-
'[05:38:03.904]',0.000,0.710,-,62.500,-
'[05:38:03.912]',0.008,0.675,-,61.875,-
'[05:38:03.920]',0.024,0.639,-,61.875,-
'[05:38:03.928]',0.031,0.608,-,61.250,-
'[05:38:03.936]',0.024,0.580,-,60.000,-
'[05:38:03.944]',0.000,0.545,-,60.000,-
'[05:38:03.952]',-0.008,0.514,-,60.000,-
'[05:38:03.960]',-0.016,0.482,-,61.250,-
'[05:38:03.968]',-0.024,0.455,-,62.500,-
'[05:38:03.976]',-0.024,0.427,-,65.625,-
'[05:38:03.984]',-0.031,0.404,-,68.750,-
'[05:38:03.992]',-0.031,0.384,-,71.250,-
'[05:38:04.000]',-0.031,0.369,-,74.375,-
'[05:38:04.008]',-0.024,0.357,-,75.625,-
'[05:38:04.016]',-0.031,0.349,-,78.125,-
'[05:38:04.024]',-0.024,0.345,-,80.625,-
'[05:38:04.032]',-0.031,0.345,-,83.125,-
'[05:38:04.040]',-0.031,0.349,-,85.000,-
'[05:38:04.048]',-0.024,0.353,-,87.500,-
'[05:38:04.056]',-0.031,0.361,-,89.375,-
'[05:38:04.064]',-0.031,0.369,-,90.625,-
'[05:38:04.072]',-0.031,0.376,-,91.250,-
'[05:38:04.080]',-0.016,0.384,-,91.250,-
'[05:38:04.088]',-0.008,0.396,-,91.250,-
'[05:38:04.096]',0.016,0.404,-,90.625,-
'[05:38:04.104]',0.039,0.412,-,89.375,-
'[05:38:04.112]',0.071,0.420,-,87.500,-
'[05:38:04.120]',0.079,0.424,-,86.250,-
'[05:38:04.128]',0.094,0.427,-,83.750,-
'[05:38:04.136]',0.055,0.431,-,81.250,-
'[05:38:04.144]',-0.008,0.431,-,78.750,-
'[05:38:04.152]',-0.047,0.431,-,76.875,-
'[05:38:04.160]',-0.063,0.427,-,74.375,-
'[05:38:04.168]',-0.063,0.427,-,72.500,-
'[05:38:04.176]',-0.071,0.424,-,70.625,-
'[05:38:04.184]',-0.071,0.416,-,68.750,-
'[05:38:04.192]',-0.173,0.412,-,67.500,-
'[05:38:04.200]',-0.197,0.404,-,65.625,-
'[05:38:04.208]',0.583,0.396,-,65.000,-
'[05:38:04.216]',1.283,0.392,-,64.375,-
'[05:38:04.224]',0.882,0.388,-,62.500,-
'[05:38:04.232]',0.134,0.392,-,62.500,-
'[05:38:04.240]',-0.197,0.396,-,61.875,-
'[05:38:04.248]',-0.346,0.408,-,61.875,-
'[05:38:04.256]',-0.283,0.431,-,61.250,-
'[05:38:04.264]',-0.236,0.459,-,61.250,-
'[05:38:04.272]',-0.228,0.490,-,61.250,-
'[05:38:04.280]',-0.213,0.529,-,61.250,-
'[05:38:04.288]',-0.213,0.569,-,61.875,-
'[05:38:04.296]',-0.197,0.612,-,61.875,-
'[05:38:04.304]',-0.189,0.651,-,62.500,-
'[05:38:04.312]',-0.173,0.686,-,62.500,-
'[05:38:04.320]',-0.157,0.722,-,62.500,-
'[05:38:04.328]',-0.142,0.745,-,63.125,-
'[05:38:04.336]',-0.134,0.761,-,63.125,-
'[05:38:04.344]',-0.126,0.773,-,63.125,-
'[05:38:04.352]',-0.110,0.780,-,64.375,-
'[05:38:04.360]',-0.094,0.780,-,64.375,-
'[05:38:04.368]',-0.087,0.773,-,64.375,-
'[05:38:04.376]',-0.071,0.761,-,64.375,-
'[05:38:04.384]',-0.047,0.741,-,64.375,-
'[05:38:04.392]',-0.016,0.718,-,64.375,-
'[05:38:04.400]',0.000,0.690,-,63.125,-
'[05:38:04.408]',0.008,0.663,-,63.125,-
'[05:38:04.416]',0.024,0.627,-,62.500,-
'[05:38:04.424]',0.031,0.600,-,62.500,-
'[05:38:04.432]',0.039,0.569,-,61.875,-
'[05:38:04.440]',0.024,0.537,-,61.250,-
'[05:38:04.448]',0.000,0.506,-,61.250,-
'[05:38:04.456]',-0.016,0.471,-,61.250,-
'[05:38:04.464]',-0.024,0.443,-,61.250,-
'[05:38:04.472]',-0.031,0.412,-,61.875,-
'[05:38:04.480]',-0.031,0.388,-,64.375,-
'[05:38:04.488]',-0.039,0.365,-,66.250,-
'[05:38:04.496]',-0.039,0.349,-,69.375,-
'[05:38:04.504]',-0.039,0.333,-,71.875,-
'[05:38:04.512]',-0.031,0.325,-,73.750,-
'[05:38:04.520]',-0.039,0.318,-,75.625,-
'[05:38:04.528]',-0.039,0.314,-,77.500,-
'[05:38:04.536]',-0.039,0.314,-,80.000,-
'[05:38:04.544]',-0.039,0.318,-,81.875,-
'[05:38:04.552]',-0.031,0.322,-,84.375,-
'[05:38:04.560]',-0.039,0.329,-,86.250,-
'[05:38:04.568]',-0.039,0.337,-,87.500,-
'[05:38:04.576]',-0.031,0.349,-,88.125,-
'[05:38:04.584]',-0.016,0.357,-,89.375,-
'[05:38:04.592]',-0.008,0.369,-,89.375,-
'[05:38:04.600]',0.016,0.376,-,88.125,-
'[05:38:04.608]',0.047,0.384,-,87.500,-
'[05:38:04.616]',0.071,0.392,-,86.250,-
'[05:38:04.624]',0.079,0.400,-,84.375,-
'[05:38:04.632]',0.071,0.404,-,81.875,-
'[05:38:04.640]',0.031,0.404,-,80.000,-
'[05:38:04.648]',-0.031,0.408,-,77.500,-
'[05:38:04.656]',-0.063,0.408,-,75.625,-
'[05:38:04.664]',-0.071,0.404,-,73.750,-
'[05:38:04.672]',-0.071,0.400,-,71.875,-
'[05:38:04.680]',-0.071,0.396,-,69.375,-
'[05:38:04.688]',-0.094,0.392,-,68.125,-
'[05:38:04.696]',-0.205,0.388,-,67.500,-
'[05:38:04.704]',0.024,0.380,-,65.625,-
'[05:38:04.712]',0.803,0.373,-,64.375,-
'[05:38:04.720]',1.307,0.365,-,63.125,-
'[05:38:04.728]',0.654,0.361,-,62.500,-
'[05:38:04.736]',0.024,0.361,-,61.875,-
'[05:38:04.744]',-0.268,0.365,-,61.875,-
'[05:38:04.752]',-0.346,0.373,-,61.250,-
'[05:38:04.760]',-0.260,0.388,-,61.250,-
'[05:38:04.768]',-0.236,0.408,-,61.250,-
'[05:38:04.776]',-0.228,0.435,-,61.250,-
'[05:38:04.784]',-0.228,0.471,-,61.250,-
'[05:38:04.792]',-0.213,0.506,-,61.250,-
'[05:38:04.800]',-0.197,0.545,-,61.875,-
'[05:38:04.808]',-0.189,0.580,-,61.875,-
'[05:38:04.816]',-0.173,0.620,-,62.500,-
'[05:38:04.824]',-0.165,0.647,-,62.500,-
'[05:38:04.832]',-0.157,0.671,-,63.125,-
'[05:38:04.840]',-0.142,0.690,-,63.125,-
'[05:38:04.848]',-0.134,0.706,-,63.125,-
