'Time','II','ABP','PLETH','III'
'[16:38:52.168]',0.498,74.062,0.278,-
'[16:38:52.176]',0.514,72.187,0.275,-
'[16:38:52.184]',0.525,69.375,0.275,-
'[16:38:52.192]',0.533,67.500,0.271,-
'[16:38:52.200]',0.545,64.687,0.267,-
'[16:38:52.208]',0.549,62.812,0.263,-
'[16:38:52.216]',0.541,60.937,0.259,-
'[16:38:52.224]',0.514,59.062,0.259,-
'[16:38:52.232]',0.486,57.187,0.255,-
'[16:38:52.240]',0.451,56.250,0.259,-
'[16:38:52.248]',0.416,54.375,0.259,-
'[16:38:52.256]',0.400,54.375,0.267,-
'[16:38:52.264]',0.400,53.437,0.271,-
'[16:38:52.272]',0.404,52.500,0.278,-
'[16:38:52.280]',0.408,52.500,0.290,-
'[16:38:52.288]',0.416,52.500,0.302,-
'[16:38:52.296]',0.404,52.500,0.314,-
'[16:38:52.304]',0.400,51.562,0.329,-
'[16:38:52.312]',0.475,51.562,0.345,-
'[16:38:52.320]',0.635,51.562,0.361,-
'[16:38:52.328]',0.796,51.562,0.376,-
'[16:38:52.336]',0.851,51.562,0.392,-
'[16:38:52.344]',0.831,51.562,0.404,-
'[16:38:52.352]',0.792,51.562,0.412,-
'[16:38:52.360]',0.710,50.625,0.424,-
'[16:38:52.368]',0.604,50.625,0.435,-
'[16:38:52.376]',0.510,50.625,0.447,-
'[16:38:52.384]',0.443,49.687,0.455,-
'[16:38:52.392]',0.416,49.687,0.463,-
'[16:38:52.400]',0.408,48.750,0.471,-
'[16:38:52.408]',0.404,48.750,0.475,-
'[16:38:52.416]',0.404,47.812,0.482,-
'[16:38:52.424]',0.400,47.812,0.486,-
'[16:38:52.432]',0.400,46.875,0.490,-
'[16:38:52.440]',0.404,46.875,0.490,-
'[16:38:52.448]',0.404,45.937,0.494,-
'[16:38:52.456]',0.408,45.937,0.494,-
'[16:38:52.464]',0.416,45.000,0.490,-
'[16:38:52.472]',0.416,45.000,0.490,-
'[16:38:52.480]',0.420,44.062,0.490,-
'[16:38:52.488]',0.420,44.062,0.486,-
'[16:38:52.496]',0.420,43.125,0.482,-
'[16:38:52.504]',0.420,43.125,0.478,-
'[16:38:52.512]',0.424,42.187,0.471,-
'[16:38:52.520]',0.435,42.187,0.463,-
'[16:38:52.528]',0.435,42.187,0.455,-
'[16:38:52.536]',0.439,41.250,0.447,-
'[16:38:52.544]',0.439,41.250,0.443,-
'[16:38:52.552]',0.443,42.187,0.435,-
'[16:38:52.560]',0.443,45.000,0.427,-
'[16:38:52.568]',0.451,50.625,0.420,-
'[16:38:52.576]',0.459,59.062,0.412,-
'[16:38:52.584]',0.459,68.437,0.404,-
'[16:38:52.592]',0.467,77.812,0.400,-
'[16:38:52.600]',0.467,86.250,0.392,-
'[16:38:52.608]',0.467,92.812,0.384,-
'[16:38:52.616]',0.467,98.437,0.380,-
'[16:38:52.624]',0.467,102.187,0.373,-
'[16:38:52.632]',0.459,104.062,0.369,-
'[16:38:52.640]',0.451,105.000,0.365,-
'[16:38:52.648]',0.451,105.000,0.361,-
'[16:38:52.656]',0.451,103.125,0.357,-
'[16:38:52.664]',0.455,101.250,0.353,-
'[16:38:52.672]',0.451,99.375,0.349,-
'[16:38:52.680]',0.451,96.562,0.341,-
'[16:38:52.688]',0.451,93.750,0.337,-
'[16:38:52.696]',0.443,91.875,0.333,-
'[16:38:52.704]',0.443,89.062,0.329,-
'[16:38:52.712]',0.443,87.187,0.325,-
'[16:38:52.720]',0.439,85.312,0.322,-
'[16:38:52.728]',0.439,83.437,0.318,-
'[16:38:52.736]',0.439,81.562,0.314,-
'[16:38:52.744]',0.435,79.687,0.314,-
'[16:38:52.752]',0.435,77.812,0.310,-
'[16:38:52.760]',0.435,75.937,0.306,-
'[16:38:52.768]',0.435,74.062,0.306,-
'[16:38:52.776]',0.439,72.187,0.302,-
'[16:38:52.784]',0.451,70.312,0.298,-
'[16:38:52.792]',0.459,67.500,0.294,-
'[16:38:52.800]',0.467,65.625,0.290,-
'[16:38:52.808]',0.478,62.812,0.286,-
'[16:38:52.816]',0.490,60.937,0.282,-
'[16:38:52.824]',0.498,59.062,0.278,-
'[16:38:52.832]',0.506,56.250,0.278,-
'[16:38:52.840]',0.486,55.312,0.275,-
'[16:38:52.848]',0.459,53.437,0.275,-
'[16:38:52.856]',0.431,52.500,0.275,-
'[16:38:52.864]',0.396,52.500,0.278,-
'[16:38:52.872]',0.373,51.562,0.278,-
'[16:38:52.880]',0.369,51.562,0.286,-
'[16:38:52.888]',0.373,50.625,0.294,-
'[16:38:52.896]',0.373,50.625,0.302,-
'[16:38:52.904]',0.373,50.625,0.314,-
'[16:38:52.912]',0.369,50.625,0.329,-
'[16:38:52.920]',0.365,51.562,0.345,-
'[16:38:52.928]',0.416,51.562,0.361,-
'[16:38:52.936]',0.561,51.562,0.376,-
'[16:38:52.944]',0.745,51.562,0.392,-
'[16:38:52.952]',0.831,51.562,0.404,-
'[16:38:52.960]',0.796,51.562,0.420,-
'[16:38:52.968]',0.737,50.625,0.435,-
'[16:38:52.976]',0.671,50.625,0.447,-
'[16:38:52.984]',0.580,50.625,0.459,-
'[16:38:52.992]',0.490,50.625,0.471,-
'[16:38:53.000]',0.424,49.687,0.482,-
'[16:38:53.008]',0.388,49.687,0.494,-
'[16:38:53.016]',0.384,48.750,0.502,-
'[16:38:53.024]',0.380,48.750,0.510,-
'[16:38:53.032]',0.380,48.750,0.518,-
'[16:38:53.040]',0.380,47.812,0.522,-
'[16:38:53.048]',0.380,47.812,0.525,-
'[16:38:53.056]',0.373,46.875,0.529,-
'[16:38:53.064]',0.373,46.875,0.533,-
'[16:38:53.072]',0.380,45.937,0.537,-
'[16:38:53.080]',0.384,45.000,0.537,-
'[16:38:53.088]',0.384,45.000,0.541,-
'[16:38:53.096]',0.396,44.062,0.541,-
'[16:38:53.104]',0.396,44.062,0.541,-
'[16:38:53.112]',0.400,43.125,0.537,-
'[16:38:53.120]',0.404,43.125,0.533,-
'[16:38:53.128]',0.416,42.187,0.529,-
'[16:38:53.136]',0.416,42.187,0.525,-
'[16:38:53.144]',0.420,42.187,0.522,-
'[16:38:53.152]',0.420,41.250,0.518,-
'[16:38:53.160]',0.424,41.250,0.514,-
'[16:38:53.168]',0.431,41.250,0.510,-
'[16:38:53.176]',0.435,42.187,0.502,-
'[16:38:53.184]',0.439,45.937,0.498,-
'[16:38:53.192]',0.439,51.562,0.494,-
'[16:38:53.200]',0.443,60.000,0.490,-
'[16:38:53.208]',0.451,69.375,0.486,-
'[16:38:53.216]',0.455,78.750,0.482,-
'[16:38:53.224]',0.459,87.187,0.478,-
'[16:38:53.232]',0.459,93.750,0.475,-
'[16:38:53.240]',0.467,99.375,0.471,-
'[16:38:53.248]',0.467,102.187,0.471,-
'[16:38:53.256]',0.459,104.062,0.467,-
'[16:38:53.264]',0.451,105.000,0.463,-
'[16:38:53.272]',0.443,104.062,0.463,-
'[16:38:53.280]',0.443,102.187,0.459,-
'[16:38:53.288]',0.439,99.375,0.459,-
'[16:38:53.296]',0.443,96.562,0.455,-
'[16:38:53.304]',0.443,93.750,0.455,-
'[16:38:53.312]',0.443,91.875,0.451,-
'[16:38:53.320]',0.443,89.062,0.451,-
'[16:38:53.328]',0.451,86.250,0.451,-
'[16:38:53.336]',0.443,84.375,0.451,-
'[16:38:53.344]',0.443,81.562,0.447,-
'[16:38:53.352]',0.439,79.687,0.447,-
'[16:38:53.360]',0.439,77.812,0.447,-
'[16:38:53.368]',0.443,75.937,0.447,-
'[16:38:53.376]',0.443,74.062,0.443,-
'[16:38:53.384]',0.443,72.187,0.443,-
'[16:38:53.392]',0.443,70.312,0.443,-
'[16:38:53.400]',0.455,68.437,0.439,-
'[16:38:53.408]',0.471,65.625,0.439,-
'[16:38:53.416]',0.478,63.750,0.435,-
'[16:38:53.424]',0.490,60.937,0.435,-
'[16:38:53.432]',0.498,59.062,0.435,-
'[16:38:53.440]',0.514,57.187,0.431,-
'[16:38:53.448]',0.525,55.312,0.431,-
'[16:38:53.456]',0.514,54.375,0.431,-
'[16:38:53.464]',0.494,53.437,0.431,-
'[16:38:53.472]',0.467,52.500,0.431,-
'[16:38:53.480]',0.435,51.562,0.431,-
'[16:38:53.488]',0.404,51.562,0.435,-
'[16:38:53.496]',0.388,51.562,0.439,-
'[16:38:53.504]',0.384,51.562,0.447,-
'[16:38:53.512]',0.388,51.562,0.455,-
'[16:38:53.520]',0.396,51.562,0.467,-
'[16:38:53.528]',0.396,51.562,0.482,-
'[16:38:53.536]',0.388,51.562,0.498,-
'[16:38:53.544]',0.404,51.562,0.510,-
'[16:38:53.552]',0.498,51.562,0.525,-
'[16:38:53.560]',0.682,51.562,0.541,-
'[16:38:53.568]',0.831,51.562,0.557,-
'[16:38:53.576]',0.851,51.562,0.573,-
'[16:38:53.584]',0.780,51.562,0.588,-
'[16:38:53.592]',0.729,51.562,0.604,-
'[16:38:53.600]',0.655,51.562,0.620,-
'[16:38:53.608]',0.561,50.625,0.631,-
'[16:38:53.616]',0.475,50.625,0.643,-
'[16:38:53.624]',0.431,50.625,0.655,-
'[16:38:53.632]',0.404,49.687,0.663,-
'[16:38:53.640]',0.404,49.687,0.671,-
'[16:38:53.648]',0.404,48.750,0.675,-
'[16:38:53.656]',0.404,48.750,0.678,-
'[16:38:53.664]',0.408,47.812,0.682,-
'[16:38:53.672]',0.416,47.812,0.686,-
'[16:38:53.680]',0.416,46.875,0.690,-
'[16:38:53.688]',0.416,46.875,0.690,-
'[16:38:53.696]',0.416,45.937,0.690,-
'[16:38:53.704]',0.416,45.937,0.690,-
'[16:38:53.712]',0.420,45.000,0.686,-
'[16:38:53.720]',0.420,45.000,0.682,-
'[16:38:53.728]',0.420,44.062,0.678,-
'[16:38:53.736]',0.431,44.062,0.675,-
'[16:38:53.744]',0.439,44.062,0.671,-
'[16:38:53.752]',0.443,43.125,0.663,-
'[16:38:53.760]',0.451,43.125,0.659,-
'[16:38:53.768]',0.451,42.187,0.651,-
'[16:38:53.776]',0.455,42.187,0.647,-
'[16:38:53.784]',0.459,42.187,0.639,-
'[16:38:53.792]',0.459,43.125,0.635,-
'[16:38:53.800]',0.467,46.875,0.627,-
'[16:38:53.808]',0.471,52.500,0.620,-
'[16:38:53.816]',0.475,60.937,0.616,-
'[16:38:53.824]',0.478,71.250,0.608,-
'[16:38:53.832]',0.486,80.625,0.600,-
'[16:38:53.840]',0.490,89.062,0.596,-
'[16:38:53.848]',0.490,96.562,0.588,-
'[16:38:53.856]',0.490,101.250,0.588,-
'[16:38:53.864]',0.490,105.000,0.584,-
'[16:38:53.872]',0.490,107.812,0.580,-
'[16:38:53.880]',0.486,108.750,0.576,-
'[16:38:53.888]',0.486,107.812,0.576,-
'[16:38:53.896]',0.486,105.937,0.573,-
'[16:38:53.904]',0.486,104.062,0.573,-
'[16:38:53.912]',0.486,101.250,0.569,-
'[16:38:53.920]',0.478,98.437,0.565,-
'[16:38:53.928]',0.478,95.625,0.565,-
'[16:38:53.936]',0.486,93.750,0.561,-
'[16:38:53.944]',0.486,90.937,0.557,-
'[16:38:53.952]',0.486,89.062,0.553,-
'[16:38:53.960]',0.486,87.187,0.549,-
'[16:38:53.968]',0.486,85.312,0.549,-
'[16:38:53.976]',0.486,83.437,0.545,-
'[16:38:53.984]',0.486,81.562,0.541,-
'[16:38:53.992]',0.486,79.687,0.537,-
'[16:38:54.000]',0.486,77.812,0.533,-
'[16:38:54.008]',0.486,76.875,0.529,-
'[16:38:54.016]',0.490,75.000,0.525,-
'[16:38:54.024]',0.498,72.187,0.522,-
'[16:38:54.032]',0.510,70.312,0.518,-
'[16:38:54.040]',0.522,68.437,0.518,-
'[16:38:54.048]',0.529,65.625,0.514,-
'[16:38:54.056]',0.545,63.750,0.510,-
'[16:38:54.064]',0.549,60.937,0.506,-
'[16:38:54.072]',0.557,59.062,0.502,-
'[16:38:54.080]',0.533,58.125,0.498,-
'[16:38:54.088]',0.506,56.250,0.498,-
'[16:38:54.096]',0.475,55.312,0.498,-
'[16:38:54.104]',0.443,54.375,0.502,-
'[16:38:54.112]',0.435,54.375,0.510,-
'[16:38:54.120]',0.431,53.437,0.518,-
'[16:38:54.128]',0.435,53.437,0.525,-
'[16:38:54.136]',0.435,53.437,0.537,-
'[16:38:54.144]',0.439,53.437,0.557,-
'[16:38:54.152]',0.435,53.437,0.588,-
'[16:38:54.160]',0.431,53.437,0.612,-
'[16:38:54.168]',0.506,53.437,0.635,-
'[16:38:54.176]',0.667,53.437,0.655,-
'[16:38:54.184]',0.835,53.437,0.675,-
'[16:38:54.192]',0.886,53.437,0.690,-
'[16:38:54.200]',0.851,52.500,0.710,-
'[16:38:54.208]',0.800,52.500,0.722,-
'[16:38:54.216]',0.737,52.500,0.733,-
'[16:38:54.224]',0.635,52.500,0.745,-
'[16:38:54.232]',0.545,51.562,0.753,-
'[16:38:54.240]',0.478,51.562,0.757,-
'[16:38:54.248]',0.443,51.562,0.761,-
'[16:38:54.256]',0.439,50.625,0.765,-
'[16:38:54.264]',0.435,50.625,0.769,-
'[16:38:54.272]',0.431,49.687,0.769,-
'[16:38:54.280]',0.431,49.687,0.765,-
'[16:38:54.288]',0.431,48.750,0.765,-
'[16:38:54.296]',0.431,48.750,0.757,-
'[16:38:54.304]',0.435,47.812,0.753,-
'[16:38:54.312]',0.435,47.812,0.745,-
'[16:38:54.320]',0.435,46.875,0.737,-
'[16:38:54.328]',0.439,46.875,0.729,-
'[16:38:54.336]',0.439,46.875,0.714,-
'[16:38:54.344]',0.443,45.937,0.706,-
'[16:38:54.352]',0.451,45.937,0.694,-
'[16:38:54.360]',0.455,45.000,0.682,-
'[16:38:54.368]',0.459,45.000,0.671,-
'[16:38:54.376]',0.467,44.062,0.659,-
'[16:38:54.384]',0.467,44.062,0.647,-
'[16:38:54.392]',0.471,44.062,0.635,-
'[16:38:54.400]',0.475,44.062,0.627,-
'[16:38:54.408]',0.478,45.937,0.616,-
'[16:38:54.416]',0.486,50.625,0.604,-
'[16:38:54.424]',0.490,57.187,0.596,-
'[16:38:54.432]',0.498,66.562,0.584,-
'[16:38:54.440]',0.506,75.937,0.573,-
'[16:38:54.448]',0.506,86.250,0.565,-
'[16:38:54.456]',0.510,93.750,0.553,-
'[16:38:54.464]',0.510,101.250,0.545,-
'[16:38:54.472]',0.510,105.937,0.537,-
'[16:38:54.480]',0.506,109.687,0.529,-
'[16:38:54.488]',0.506,111.562,0.522,-
'[16:38:54.496]',0.506,111.562,0.514,-
'[16:38:54.504]',0.498,110.625,0.506,-
'[16:38:54.512]',0.494,108.750,0.498,-
'[16:38:54.520]',0.490,106.875,0.494,-
'[16:38:54.528]',0.490,104.062,0.486,-
'[16:38:54.536]',0.490,102.187,0.478,-
'[16:38:54.544]',0.490,99.375,0.471,-
'[16:38:54.552]',0.490,97.500,0.463,-
'[16:38:54.560]',0.490,95.625,0.455,-
'[16:38:54.568]',0.490,93.750,0.451,-
'[16:38:54.576]',0.490,91.875,0.443,-
'[16:38:54.584]',0.490,90.937,0.435,-
'[16:38:54.592]',0.494,89.062,0.427,-
'[16:38:54.600]',0.490,87.187,0.420,-
'[16:38:54.608]',0.490,86.250,0.412,-
'[16:38:54.616]',0.490,84.375,0.408,-
'[16:38:54.624]',0.490,82.500,0.400,-
'[16:38:54.632]',0.494,81.562,0.392,-
'[16:38:54.640]',0.510,79.687,0.384,-
'[16:38:54.648]',0.525,76.875,0.376,-
'[16:38:54.656]',0.533,75.000,0.373,-
'[16:38:54.664]',0.545,73.125,0.365,-
'[16:38:54.672]',0.549,70.312,0.361,-
'[16:38:54.680]',0.557,67.500,0.357,-
'[16:38:54.688]',0.561,65.625,0.357,-
'[16:38:54.696]',0.541,62.812,0.357,-
'[16:38:54.704]',0.510,60.937,0.361,-
'[16:38:54.712]',0.486,59.062,0.369,-
'[16:38:54.720]',0.443,58.125,0.376,-
'[16:38:54.728]',0.424,56.250,0.388,-
'[16:38:54.736]',0.424,55.312,0.404,-
'[16:38:54.744]',0.424,55.312,0.420,-
'[16:38:54.752]',0.431,54.375,0.435,-
'[16:38:54.760]',0.431,54.375,0.451,-
'[16:38:54.768]',0.424,53.437,0.463,-
'[16:38:54.776]',0.431,53.437,0.478,-
'[16:38:54.784]',0.490,53.437,0.490,-
'[16:38:54.792]',0.639,53.437,0.502,-
'[16:38:54.800]',0.808,53.437,0.514,-
'[16:38:54.808]',0.867,53.437,0.522,-
'[16:38:54.816]',0.847,53.437,0.529,-
'[16:38:54.824]',0.808,53.437,0.537,-
'[16:38:54.832]',0.741,52.500,0.541,-
'[16:38:54.840]',0.647,52.500,0.549,-
'[16:38:54.848]',0.557,52.500,0.553,-
'[16:38:54.856]',0.478,52.500,0.553,-
'[16:38:54.864]',0.439,51.562,0.557,-
'[16:38:54.872]',0.424,51.562,0.557,-
'[16:38:54.880]',0.424,51.562,0.557,-
'[16:38:54.888]',0.420,50.625,0.553,-
'[16:38:54.896]',0.420,50.625,0.553,-
'[16:38:54.904]',0.416,49.687,0.549,-
'[16:38:54.912]',0.420,49.687,0.545,-
'[16:38:54.920]',0.420,48.750,0.537,-
'[16:38:54.928]',0.424,48.750,0.533,-
'[16:38:54.936]',0.424,47.812,0.525,-
'[16:38:54.944]',0.431,47.812,0.514,-
'[16:38:54.952]',0.435,46.875,0.506,-
'[16:38:54.960]',0.435,46.875,0.494,-
'[16:38:54.968]',0.435,45.937,0.486,-
'[16:38:54.976]',0.439,45.937,0.475,-
'[16:38:54.984]',0.443,45.000,0.463,-
'[16:38:54.992]',0.451,45.000,0.451,-
'[16:38:55.000]',0.455,45.000,0.435,-
'[16:38:55.008]',0.459,44.062,0.427,-
'[16:38:55.016]',0.467,45.000,0.416,-
'[16:38:55.024]',0.471,46.875,0.408,-
'[16:38:55.032]',0.475,51.562,0.396,-
'[16:38:55.040]',0.478,58.125,0.384,-
'[16:38:55.048]',0.486,67.500,0.373,-
'[16:38:55.056]',0.490,76.875,0.361,-
'[16:38:55.064]',0.494,86.250,0.349,-
'[16:38:55.072]',0.494,94.687,0.337,-
'[16:38:55.080]',0.498,101.250,0.329,-
'[16:38:55.088]',0.494,105.937,0.322,-
'[16:38:55.096]',0.490,109.687,0.310,-
'[16:38:55.104]',0.486,111.562,0.306,-
'[16:38:55.112]',0.478,111.562,0.298,-
'[16:38:55.120]',0.471,110.625,0.294,-
'[16:38:55.128]',0.471,108.750,0.286,-
'[16:38:55.136]',0.467,106.875,0.282,-
'[16:38:55.144]',0.467,104.062,0.275,-
'[16:38:55.152]',0.467,102.187,0.267,-
'[16:38:55.160]',0.467,99.375,0.263,-
'[16:38:55.168]',0.467,97.500,0.255,-
'[16:38:55.176]',0.467,95.625,0.251,-
'[16:38:55.184]',0.471,93.750,0.243,-
'[16:38:55.192]',0.471,91.875,0.239,-
'[16:38:55.200]',0.471,90.937,0.235,-
'[16:38:55.208]',0.475,89.062,0.231,-
'[16:38:55.216]',0.471,87.187,0.227,-
'[16:38:55.224]',0.475,86.250,0.224,-
'[16:38:55.232]',0.471,84.375,0.216,-
'[16:38:55.240]',0.471,82.500,0.212,-
'[16:38:55.248]',0.475,81.562,0.208,-
'[16:38:55.256]',0.486,78.750,0.200,-
'[16:38:55.264]',0.498,76.875,0.196,-
'[16:38:55.272]',0.510,75.000,0.192,-
'[16:38:55.280]',0.525,72.187,0.188,-
'[16:38:55.288]',0.529,70.312,0.188,-
'[16:38:55.296]',0.533,67.500,0.188,-
'[16:38:55.304]',0.541,64.687,0.192,-
'[16:38:55.312]',0.529,62.812,0.200,-
'[16:38:55.320]',0.506,60.000,0.208,-
'[16:38:55.328]',0.475,59.062,0.216,-
'[16:38:55.336]',0.435,57.187,0.231,-
'[16:38:55.344]',0.408,56.250,0.247,-
'[16:38:55.352]',0.400,55.312,0.263,-
'[16:38:55.360]',0.400,54.375,0.282,-
'[16:38:55.368]',0.400,54.375,0.302,-
'[16:38:55.376]',0.404,53.437,0.322,-
'[16:38:55.384]',0.404,53.437,0.341,-
'[16:38:55.392]',0.400,53.437,0.357,-
'[16:38:55.400]',0.424,53.437,0.373,-
'[16:38:55.408]',0.529,53.437,0.384,-
'[16:38:55.416]',0.706,53.437,0.396,-
'[16:38:55.424]',0.827,53.437,0.404,-
'[16:38:55.432]',0.839,53.437,0.412,-
'[16:38:55.440]',0.812,53.437,0.420,-
'[16:38:55.448]',0.757,52.500,0.424,-
'[16:38:55.456]',0.671,52.500,0.431,-
'[16:38:55.464]',0.565,52.500,0.435,-
'[16:38:55.472]',0.478,52.500,0.439,-
'[16:38:55.480]',0.431,51.562,0.443,-
'[16:38:55.488]',0.400,51.562,0.447,-
'[16:38:55.496]',0.396,51.562,0.451,-
'[16:38:55.504]',0.384,50.625,0.451,-
'[16:38:55.512]',0.384,50.625,0.451,-
'[16:38:55.520]',0.384,49.687,0.451,-
'[16:38:55.528]',0.396,49.687,0.451,-
'[16:38:55.536]',0.396,48.750,0.451,-
'[16:38:55.544]',0.400,48.750,0.447,-
'[16:38:55.552]',0.400,47.812,0.447,-
'[16:38:55.560]',0.400,47.812,0.443,-
'[16:38:55.568]',0.404,46.875,0.435,-
'[16:38:55.576]',0.416,46.875,0.427,-
'[16:38:55.584]',0.420,45.937,0.424,-
'[16:38:55.592]',0.424,45.937,0.416,-
'[16:38:55.600]',0.424,45.000,0.408,-
'[16:38:55.608]',0.424,45.000,0.400,-
'[16:38:55.616]',0.435,44.062,0.392,-
'[16:38:55.624]',0.439,44.062,0.384,-
'[16:38:55.632]',0.443,44.062,0.376,-
'[16:38:55.640]',0.451,45.000,0.369,-
'[16:38:55.648]',0.455,47.812,0.361,-
'[16:38:55.656]',0.459,53.437,0.353,-
'[16:38:55.664]',0.467,61.875,0.341,-
'[16:38:55.672]',0.471,71.250,0.333,-
'[16:38:55.680]',0.471,81.562,0.329,-
'[16:38:55.688]',0.478,90.000,0.322,-
'[16:38:55.696]',0.478,97.500,0.314,-
'[16:38:55.704]',0.478,103.125,0.310,-
'[16:38:55.712]',0.478,107.812,0.306,-
'[16:38:55.720]',0.475,109.687,0.302,-
'[16:38:55.728]',0.471,111.562,0.294,-
'[16:38:55.736]',0.471,110.625,0.290,-
'[16:38:55.744]',0.467,109.687,0.286,-
'[16:38:55.752]',0.467,107.812,0.278,-
'[16:38:55.760]',0.459,105.000,0.275,-
'[16:38:55.768]',0.459,103.125,0.267,-
'[16:38:55.776]',0.467,100.312,0.263,-
'[16:38:55.784]',0.467,98.437,0.259,-
'[16:38:55.792]',0.471,95.625,0.255,-
'[16:38:55.800]',0.471,93.750,0.251,-
'[16:38:55.808]',0.471,91.875,0.247,-
'[16:38:55.816]',0.471,90.000,0.243,-
'[16:38:55.824]',0.471,88.125,0.243,-
'[16:38:55.832]',0.471,87.187,0.239,-
'[16:38:55.840]',0.471,85.312,0.235,-
'[16:38:55.848]',0.471,83.437,0.231,-
'[16:38:55.856]',0.471,82.500,0.227,-
'[16:38:55.864]',0.471,80.625,0.220,-
'[16:38:55.872]',0.475,78.750,0.216,-
'[16:38:55.880]',0.486,75.937,0.212,-
'[16:38:55.888]',0.498,74.062,0.208,-
'[16:38:55.896]',0.514,72.187,0.208,-
'[16:38:55.904]',0.525,69.375,0.208,-
'[16:38:55.912]',0.529,66.562,0.208,-
'[16:38:55.920]',0.533,63.750,0.212,-
'[16:38:55.928]',0.541,61.875,0.216,-
'[16:38:55.936]',0.522,60.000,0.220,-
'[16:38:55.944]',0.494,58.125,0.231,-
'[16:38:55.952]',0.455,57.187,0.243,-
'[16:38:55.960]',0.420,56.250,0.259,-
'[16:38:55.968]',0.400,55.312,0.278,-
'[16:38:55.976]',0.396,54.375,0.298,-
'[16:38:55.984]',0.396,54.375,0.322,-
'[16:38:55.992]',0.396,53.437,0.341,-
'[16:38:56.000]',0.396,53.437,0.361,-
'[16:38:56.008]',0.388,53.437,0.376,-
'[16:38:56.016]',0.396,53.437,0.392,-
'[16:38:56.024]',0.443,53.437,0.412,-
'[16:38:56.032]',0.580,53.437,0.427,-
'[16:38:56.040]',0.745,53.437,0.443,-
'[16:38:56.048]',0.827,53.437,0.459,-
'[16:38:56.056]',0.831,53.437,0.471,-
'[16:38:56.064]',0.800,52.500,0.482,-
'[16:38:56.072]',0.741,52.500,0.494,-
'[16:38:56.080]',0.639,52.500,0.502,-
'[16:38:56.088]',0.533,52.500,0.510,-
'[16:38:56.096]',0.455,51.562,0.514,-
'[16:38:56.104]',0.420,51.562,0.518,-
'[16:38:56.112]',0.400,51.562,0.518,-
'[16:38:56.120]',0.396,50.625,0.522,-
'[16:38:56.128]',0.388,50.625,0.522,-
'[16:38:56.136]',0.384,49.687,0.522,-
'[16:38:56.144]',0.388,49.687,0.518,-
'[16:38:56.152]',0.396,48.750,0.514,-
'[16:38:56.160]',0.396,48.750,0.510,-
'[16:38:56.168]',0.396,47.812,0.510,-
'[16:38:56.176]',0.400,47.812,0.510,-
'[16:38:56.184]',0.400,46.875,0.506,-
'[16:38:56.192]',0.404,46.875,0.502,-
'[16:38:56.200]',0.416,45.937,0.494,-
'[16:38:56.208]',0.416,45.937,0.486,-
'[16:38:56.216]',0.416,45.000,0.478,-
'[16:38:56.224]',0.416,45.000,0.471,-
'[16:38:56.232]',0.420,44.062,0.463,-
'[16:38:56.240]',0.424,44.062,0.455,-
'[16:38:56.248]',0.435,44.062,0.447,-
'[16:38:56.256]',0.439,44.062,0.435,-
'[16:38:56.264]',0.443,45.000,0.427,-
'[16:38:56.272]',0.451,48.750,0.420,-
'[16:38:56.280]',0.451,55.312,0.412,-
'[16:38:56.288]',0.455,62.812,0.404,-
'[16:38:56.296]',0.459,73.125,0.396,-
'[16:38:56.304]',0.467,82.500,0.388,-
'[16:38:56.312]',0.467,91.875,0.384,-
'[16:38:56.320]',0.471,98.437,0.380,-
'[16:38:56.328]',0.471,104.062,0.373,-
'[16:38:56.336]',0.471,107.812,0.369,-
'[16:38:56.344]',0.467,109.687,0.361,-
'[16:38:56.352]',0.467,110.625,0.357,-
'[16:38:56.360]',0.459,110.625,0.353,-
'[16:38:56.368]',0.459,108.750,0.349,-
'[16:38:56.376]',0.459,106.875,0.341,-
'[16:38:56.384]',0.459,104.062,0.337,-
'[16:38:56.392]',0.459,101.250,0.333,-
'[16:38:56.400]',0.459,98.437,0.333,-
'[16:38:56.408]',0.459,96.562,0.329,-
'[16:38:56.416]',0.459,93.750,0.325,-
'[16:38:56.424]',0.459,91.875,0.325,-
'[16:38:56.432]',0.459,90.000,0.322,-
'[16:38:56.440]',0.459,88.125,0.318,-
'[16:38:56.448]',0.467,86.250,0.314,-
'[16:38:56.456]',0.467,85.312,0.310,-
'[16:38:56.464]',0.459,83.437,0.306,-
'[16:38:56.472]',0.459,81.562,0.306,-
'[16:38:56.480]',0.459,79.687,0.302,-
'[16:38:56.488]',0.459,77.812,0.298,-
'[16:38:56.496]',0.467,75.937,0.294,-
'[16:38:56.504]',0.478,74.062,0.294,-
'[16:38:56.512]',0.498,72.187,0.294,-
'[16:38:56.520]',0.514,69.375,0.290,-
'[16:38:56.528]',0.525,66.562,0.290,-
'[16:38:56.536]',0.529,64.687,0.290,-
'[16:38:56.544]',0.533,61.875,0.294,-
'[16:38:56.552]',0.525,60.000,0.298,-
'[16:38:56.560]',0.506,59.062,0.306,-
'[16:38:56.568]',0.475,57.187,0.318,-
'[16:38:56.576]',0.435,56.250,0.329,-
'[16:38:56.584]',0.400,55.312,0.345,-
'[16:38:56.592]',0.384,54.375,0.361,-
'[16:38:56.600]',0.384,54.375,0.380,-
'[16:38:56.608]',0.388,54.375,0.396,-
'[16:38:56.616]',0.396,53.437,0.412,-
'[16:38:56.624]',0.396,53.437,0.431,-
'[16:38:56.632]',0.384,53.437,0.447,-
