'Time','I','II','III','AVR','V','MCL','RESP','PLETH','ABP'
'[16:11:02.448]',-,0.555,-,0.439,0.365,-,-,0.291,-
'[16:11:02.456]',-,0.540,-,0.454,0.365,-,-,0.289,-
'[16:11:02.464]',-,0.535,-,0.471,0.365,-,-,0.287,-
'[16:11:02.472]',-,0.540,-,0.461,0.365,-,-,0.285,-
'[16:11:02.480]',-,0.545,-,0.449,0.359,-,-,0.284,-
'[16:11:02.488]',-,0.565,-,0.434,0.365,-,-,0.283,-
'[16:11:02.496]',-,0.580,-,0.425,0.371,-,-,0.280,-
'[16:11:02.504]',-,0.555,-,0.449,0.359,-,-,0.277,-
'[16:11:02.512]',-,0.520,-,0.490,0.349,-,-,0.275,-
'[16:11:02.520]',-,0.510,-,0.500,0.349,-,-,0.273,-
'[16:11:02.528]',-,0.515,-,0.490,0.355,-,-,0.273,-
'[16:11:02.536]',-,0.525,-,0.471,0.355,-,-,0.275,-
'[16:11:02.544]',-,0.540,-,0.454,0.365,-,-,0.280,-
'[16:11:02.552]',-,0.555,-,0.444,0.371,-,-,0.288,-
'[16:11:02.560]',-,0.555,-,0.439,0.371,-,-,0.301,-
'[16:11:02.568]',-,0.555,-,0.434,0.365,-,-,0.321,-
'[16:11:02.576]',-,0.540,-,0.444,0.365,-,-,0.345,-
'[16:11:02.584]',-,0.520,-,0.471,0.359,-,-,0.373,-
'[16:11:02.592]',-,0.525,-,0.476,0.359,-,-,0.406,-
'[16:11:02.600]',-,0.540,-,0.454,0.371,-,-,0.439,-
'[16:11:02.608]',-,0.545,-,0.454,0.365,-,-,0.472,-
'[16:11:02.616]',-,0.530,-,0.476,0.359,-,-,0.504,-
'[16:11:02.624]',-,0.530,-,0.471,0.359,-,-,0.532,-
'[16:11:02.632]',-,0.535,-,0.466,0.355,-,-,0.554,-
'[16:11:02.640]',-,0.535,-,0.454,0.355,-,-,0.579,-
'[16:11:02.648]',-,0.555,-,0.444,0.371,-,-,0.603,-
'[16:11:02.656]',-,0.560,-,0.454,0.375,-,-,0.626,-
'[16:11:02.664]',-,0.540,-,0.476,0.380,-,-,0.646,-
'[16:11:02.672]',-,0.555,-,0.466,0.380,-,-,0.666,-
'[16:11:02.680]',-,0.580,-,0.439,0.375,-,-,0.682,-
'[16:11:02.688]',-,0.590,-,0.430,0.365,-,-,0.699,-
'[16:11:02.696]',-,0.590,-,0.415,0.355,-,-,0.714,-
'[16:11:02.704]',-,0.611,-,0.395,0.359,-,-,0.726,-
'[16:11:02.712]',-,0.595,-,0.410,0.349,-,-,0.737,-
'[16:11:02.720]',-,0.545,-,0.454,0.345,-,-,0.746,-
'[16:11:02.728]',-,0.505,-,0.495,0.335,-,-,0.752,-
'[16:11:02.736]',-,0.475,-,0.515,0.329,-,-,0.755,-
'[16:11:02.744]',-,0.465,-,0.524,0.324,-,-,0.757,-
'[16:11:02.752]',-,0.465,-,0.524,0.324,-,-,0.758,-
'[16:11:02.760]',-,0.470,-,0.520,0.320,-,-,0.756,-
'[16:11:02.768]',-,0.495,-,0.495,0.324,-,-,0.752,-
'[16:11:02.776]',-,0.510,-,0.485,0.329,-,-,0.746,-
'[16:11:02.784]',-,0.490,-,0.495,0.324,-,-,0.737,-
'[16:11:02.792]',-,0.470,-,0.515,0.324,-,-,0.726,-
'[16:11:02.800]',-,0.460,-,0.520,0.335,-,-,0.714,-
'[16:11:02.808]',-,0.475,-,0.524,0.324,-,-,0.699,-
'[16:11:02.816]',-,0.590,-,0.466,0.275,-,-,0.682,-
'[16:11:02.824]',-,0.825,-,0.325,0.233,-,-,0.668,-
'[16:11:02.832]',-,0.921,-,0.265,0.224,-,-,0.653,-
'[16:11:02.840]',-,0.670,-,0.410,0.269,-,-,0.638,-
'[16:11:02.848]',-,0.310,-,0.635,0.339,-,-,0.624,-
'[16:11:02.856]',-,0.145,-,0.740,0.449,-,-,0.610,-
'[16:11:02.864]',-,0.140,-,0.745,0.580,-,-,0.597,-
'[16:11:02.872]',-,0.195,-,0.720,0.671,-,-,0.586,-
'[16:11:02.880]',-,0.225,-,0.709,0.696,-,-,0.574,-
'[16:11:02.888]',-,0.290,-,0.660,0.561,-,-,0.560,-
'[16:11:02.896]',-,0.375,-,0.595,0.390,-,-,0.548,-
'[16:11:02.904]',-,0.445,-,0.534,0.310,-,-,0.540,-
'[16:11:02.912]',-,0.495,-,0.490,0.300,-,-,0.530,-
'[16:11:02.920]',-,0.500,-,0.480,0.300,-,-,0.520,-
'[16:11:02.928]',-,0.495,-,0.485,0.290,-,-,0.511,-
'[16:11:02.936]',-,0.495,-,0.490,0.284,-,-,0.502,-
'[16:11:02.944]',-,0.510,-,0.476,0.278,-,-,0.494,-
'[16:11:02.952]',-,0.525,-,0.461,0.284,-,-,0.485,-
'[16:11:02.960]',-,0.540,-,0.444,0.294,-,-,0.475,-
'[16:11:02.968]',-,0.555,-,0.430,0.300,-,-,0.466,-
'[16:11:02.976]',-,0.535,-,0.444,0.294,-,-,0.457,-
'[16:11:02.984]',-,0.505,-,0.476,0.284,-,-,0.448,-
'[16:11:02.992]',-,0.495,-,0.490,0.284,-,-,0.439,-
'[16:11:03.000]',-,0.500,-,0.490,0.284,-,-,0.431,-
'[16:11:03.008]',-,0.510,-,0.476,0.290,-,-,0.423,-
'[16:11:03.016]',-,0.520,-,0.461,0.290,-,-,0.416,-
'[16:11:03.024]',-,0.520,-,0.466,0.290,-,-,0.411,-
'[16:11:03.032]',-,0.520,-,0.471,0.290,-,-,0.406,-
'[16:11:03.040]',-,0.530,-,0.454,0.290,-,-,0.401,-
'[16:11:03.048]',-,0.515,-,0.466,0.284,-,-,0.394,-
'[16:11:03.056]',-,0.500,-,0.480,0.284,-,-,0.388,-
'[16:11:03.064]',-,0.490,-,0.490,0.284,-,-,0.382,-
'[16:11:03.072]',-,0.480,-,0.495,0.278,-,-,0.375,-
'[16:11:03.080]',-,0.490,-,0.476,0.278,-,-,0.369,-
'[16:11:03.088]',-,0.470,-,0.490,0.269,-,-,0.362,-
'[16:11:03.096]',-,0.440,-,0.529,0.259,-,-,0.355,-
'[16:11:03.104]',-,0.425,-,0.539,0.255,-,-,0.348,-
'[16:11:03.112]',-,0.430,-,0.534,0.259,-,-,0.340,-
'[16:11:03.120]',-,0.435,-,0.534,0.259,-,-,0.332,-
'[16:11:03.128]',-,0.420,-,0.546,0.255,-,-,0.327,-
'[16:11:03.136]',-,0.405,-,0.566,0.249,-,-,0.324,-
'[16:11:03.144]',-,0.410,-,0.570,0.249,-,-,0.320,-
'[16:11:03.152]',-,0.425,-,0.556,0.259,-,-,0.316,-
'[16:11:03.160]',-,0.445,-,0.539,0.275,-,-,0.312,-
'[16:11:03.168]',-,0.465,-,0.520,0.290,-,-,0.307,-
'[16:11:03.176]',-,0.490,-,0.495,0.310,-,-,0.303,-
'[16:11:03.184]',-,0.515,-,0.476,0.339,-,-,0.299,-
'[16:11:03.192]',-,0.535,-,0.461,0.355,-,-,0.295,-
'[16:11:03.200]',-,0.530,-,0.471,0.365,-,-,0.291,-
'[16:11:03.208]',-,0.510,-,0.495,0.365,-,-,0.287,-
'[16:11:03.216]',-,0.510,-,0.500,0.371,-,-,0.284,-
'[16:11:03.224]',-,0.540,-,0.461,0.384,-,-,0.283,-
'[16:11:03.232]',-,0.560,-,0.444,0.390,-,-,0.282,-
'[16:11:03.240]',-,0.545,-,0.449,0.380,-,-,0.280,-
'[16:11:03.248]',-,0.535,-,0.466,0.375,-,-,0.277,-
'[16:11:03.256]',-,0.540,-,0.461,0.375,-,-,0.275,-
'[16:11:03.264]',-,0.550,-,0.449,0.380,-,-,0.273,-
'[16:11:03.272]',-,0.555,-,0.449,0.375,-,-,0.270,-
'[16:11:03.280]',-,0.565,-,0.444,0.375,-,-,0.266,-
'[16:11:03.288]',-,0.570,-,0.439,0.375,-,-,0.263,-
'[16:11:03.296]',-,0.550,-,0.449,0.375,-,-,0.260,-
'[16:11:03.304]',-,0.530,-,0.476,0.365,-,-,0.257,-
'[16:11:03.312]',-,0.530,-,0.480,0.365,-,-,0.255,-
'[16:11:03.320]',-,0.550,-,0.454,0.371,-,-,0.255,-
'[16:11:03.328]',-,0.570,-,0.434,0.371,-,-,0.258,-
'[16:11:03.336]',-,0.580,-,0.425,0.375,-,-,0.264,-
'[16:11:03.344]',-,0.565,-,0.434,0.375,-,-,0.274,-
'[16:11:03.352]',-,0.550,-,0.449,0.375,-,-,0.288,-
'[16:11:03.360]',-,0.540,-,0.471,0.371,-,-,0.310,-
'[16:11:03.368]',-,0.540,-,0.471,0.359,-,-,0.336,-
'[16:11:03.376]',-,0.545,-,0.461,0.355,-,-,0.367,-
'[16:11:03.384]',-,0.535,-,0.471,0.355,-,-,0.399,-
'[16:11:03.392]',-,0.530,-,0.480,0.355,-,-,0.432,-
'[16:11:03.400]',-,0.530,-,0.476,0.355,-,-,0.465,-
'[16:11:03.408]',-,0.535,-,0.471,0.365,-,-,0.498,-
'[16:11:03.416]',-,0.535,-,0.466,0.365,-,-,0.527,-
'[16:11:03.424]',-,0.535,-,0.461,0.359,-,-,0.551,-
'[16:11:03.432]',-,0.540,-,0.461,0.359,-,-,0.572,-
'[16:11:03.440]',-,0.540,-,0.461,0.365,-,-,0.593,-
'[16:11:03.448]',-,0.555,-,0.454,0.375,-,-,0.615,-
'[16:11:03.456]',-,0.565,-,0.449,0.384,-,-,0.635,-
'[16:11:03.464]',-,0.555,-,0.461,0.390,-,-,0.655,-
'[16:11:03.472]',-,0.565,-,0.466,0.390,-,-,0.674,-
'[16:11:03.480]',-,0.590,-,0.430,0.384,-,-,0.692,-
'[16:11:03.488]',-,0.595,-,0.425,0.375,-,-,0.708,-
'[16:11:03.496]',-,0.570,-,0.434,0.365,-,-,0.722,-
'[16:11:03.504]',-,0.555,-,0.449,0.355,-,-,0.736,-
'[16:11:03.512]',-,0.540,-,0.461,0.349,-,-,0.746,-
'[16:11:03.520]',-,0.530,-,0.466,0.355,-,-,0.754,-
'[16:11:03.528]',-,0.515,-,0.471,0.365,-,-,0.758,-
'[16:11:03.536]',-,0.490,-,0.500,0.355,-,-,0.758,-
'[16:11:03.544]',-,0.470,-,0.515,0.349,-,-,0.758,-
'[16:11:03.552]',-,0.480,-,0.500,0.349,-,-,0.756,-
'[16:11:03.560]',-,0.490,-,0.490,0.345,-,-,0.753,-
'[16:11:03.568]',-,0.490,-,0.495,0.349,-,-,0.747,-
'[16:11:03.576]',-,0.480,-,0.500,0.349,-,-,0.739,-
'[16:11:03.584]',-,0.480,-,0.505,0.349,-,-,0.728,-
'[16:11:03.592]',-,0.475,-,0.515,0.349,-,-,0.716,-
'[16:11:03.600]',-,0.460,-,0.524,0.365,-,-,0.701,-
'[16:11:03.608]',-,0.490,-,0.515,0.371,-,-,0.684,-
'[16:11:03.616]',-,0.630,-,0.430,0.314,-,-,0.667,-
'[16:11:03.624]',-,0.825,-,0.310,0.275,-,-,0.650,-
'[16:11:03.632]',-,0.860,-,0.290,0.269,-,-,0.634,-
'[16:11:03.640]',-,0.530,-,0.510,0.320,-,-,0.618,-
'[16:11:03.648]',-,0.250,-,0.680,0.390,-,-,0.602,-
'[16:11:03.656]',-,0.164,-,0.725,0.494,-,-,0.587,-
'[16:11:03.664]',-,0.185,-,0.715,0.600,-,-,0.574,-
'[16:11:03.672]',-,0.209,-,0.715,0.665,-,-,0.561,-
'[16:11:03.680]',-,0.235,-,0.705,0.676,-,-,0.548,-
'[16:11:03.688]',-,0.295,-,0.656,0.539,-,-,0.537,-
'[16:11:03.696]',-,0.380,-,0.590,0.390,-,-,0.525,-
'[16:11:03.704]',-,0.460,-,0.520,0.329,-,-,0.514,-
'[16:11:03.712]',-,0.500,-,0.476,0.329,-,-,0.504,-
'[16:11:03.720]',-,0.505,-,0.476,0.314,-,-,0.496,-
'[16:11:03.728]',-,0.500,-,0.480,0.310,-,-,0.487,-
'[16:11:03.736]',-,0.510,-,0.480,0.314,-,-,0.478,-
'[16:11:03.744]',-,0.500,-,0.485,0.314,-,-,0.468,-
'[16:11:03.752]',-,0.500,-,0.490,0.314,-,-,0.458,-
'[16:11:03.760]',-,0.515,-,0.471,0.320,-,-,0.449,-
'[16:11:03.768]',-,0.540,-,0.449,0.329,-,-,0.439,-
'[16:11:03.776]',-,0.545,-,0.444,0.329,-,-,0.429,-
'[16:11:03.784]',-,0.510,-,0.476,0.314,-,-,0.421,-
'[16:11:03.792]',-,0.490,-,0.495,0.310,-,-,0.413,-
'[16:11:03.800]',-,0.495,-,0.490,0.314,-,-,0.406,-
'[16:11:03.808]',-,0.505,-,0.476,0.314,-,-,0.398,-
'[16:11:03.816]',-,0.525,-,0.461,0.314,-,-,0.390,-
'[16:11:03.824]',-,0.535,-,0.454,0.314,-,-,0.384,-
'[16:11:03.832]',-,0.515,-,0.466,0.310,-,-,0.377,-
'[16:11:03.840]',-,0.500,-,0.480,0.310,-,-,0.370,-
'[16:11:03.848]',-,0.500,-,0.480,0.304,-,-,0.362,-
'[16:11:03.856]',-,0.495,-,0.490,0.300,-,-,0.355,-
'[16:11:03.864]',-,0.475,-,0.510,0.300,-,-,0.348,-
'[16:11:03.872]',-,0.470,-,0.515,0.300,-,-,0.342,-
'[16:11:03.880]',-,0.480,-,0.505,0.300,-,-,0.336,-
'[16:11:03.888]',-,0.475,-,0.500,0.284,-,-,0.330,-
'[16:11:03.896]',-,0.465,-,0.515,0.278,-,-,0.326,-
'[16:11:03.904]',-,0.460,-,0.524,0.275,-,-,0.321,-
'[16:11:03.912]',-,0.445,-,0.539,0.269,-,-,0.315,-
'[16:11:03.920]',-,0.420,-,0.566,0.269,-,-,0.311,-
'[16:11:03.928]',-,0.415,-,0.570,0.265,-,-,0.308,-
'[16:11:03.936]',-,0.430,-,0.556,0.265,-,-,0.303,-
'[16:11:03.944]',-,0.425,-,0.556,0.265,-,-,0.299,-
'[16:11:03.952]',-,0.430,-,0.546,0.275,-,-,0.294,-
'[16:11:03.960]',-,0.470,-,0.520,0.294,-,-,0.291,-
'[16:11:03.968]',-,0.495,-,0.500,0.310,-,-,0.287,-
'[16:11:03.976]',-,0.515,-,0.485,0.324,-,-,0.283,-
'[16:11:03.984]',-,0.535,-,0.461,0.345,-,-,0.280,-
'[16:11:03.992]',-,0.550,-,0.449,0.365,-,-,0.275,-
'[16:11:04.000]',-,0.555,-,0.449,0.380,-,-,0.270,-
'[16:11:04.008]',-,0.545,-,0.466,0.380,-,-,0.265,-
'[16:11:04.016]',-,0.530,-,0.480,0.390,-,-,0.260,-
'[16:11:04.024]',-,0.530,-,0.471,0.390,-,-,0.258,-
'[16:11:04.032]',-,0.540,-,0.454,0.390,-,-,0.256,-
'[16:11:04.040]',-,0.540,-,0.461,0.384,-,-,0.255,-
'[16:11:04.048]',-,0.535,-,0.471,0.380,-,-,0.252,-
'[16:11:04.056]',-,0.535,-,0.476,0.380,-,-,0.249,-
'[16:11:04.064]',-,0.550,-,0.454,0.375,-,-,0.247,-
'[16:11:04.072]',-,0.570,-,0.434,0.375,-,-,0.244,-
'[16:11:04.080]',-,0.575,-,0.430,0.380,-,-,0.240,-
'[16:11:04.088]',-,0.565,-,0.434,0.380,-,-,0.237,-
'[16:11:04.096]',-,0.560,-,0.444,0.375,-,-,0.233,-
'[16:11:04.104]',-,0.560,-,0.439,0.380,-,-,0.229,-
'[16:11:04.112]',-,0.570,-,0.430,0.380,-,-,0.226,-
'[16:11:04.120]',-,0.575,-,0.430,0.380,-,-,0.226,-
'[16:11:04.128]',-,0.560,-,0.444,0.380,-,-,0.228,-
'[16:11:04.136]',-,0.555,-,0.449,0.380,-,-,0.233,-
'[16:11:04.144]',-,0.560,-,0.444,0.384,-,-,0.241,-
'[16:11:04.152]',-,0.575,-,0.434,0.384,-,-,0.255,-
'[16:11:04.160]',-,0.580,-,0.430,0.380,-,-,0.275,-
'[16:11:04.168]',-,0.560,-,0.439,0.375,-,-,0.300,-
'[16:11:04.176]',-,0.525,-,0.471,0.371,-,-,0.329,-
'[16:11:04.184]',-,0.520,-,0.476,0.371,-,-,0.361,-
'[16:11:04.192]',-,0.540,-,0.461,0.371,-,-,0.394,-
'[16:11:04.200]',-,0.555,-,0.449,0.365,-,-,0.427,-
'[16:11:04.208]',-,0.560,-,0.444,0.365,-,-,0.459,-
'[16:11:04.216]',-,0.555,-,0.444,0.365,-,-,0.491,-
'[16:11:04.224]',-,0.545,-,0.449,0.365,-,-,0.515,-
'[16:11:04.232]',-,0.545,-,0.454,0.365,-,-,0.537,-
'[16:11:04.240]',-,0.555,-,0.444,0.375,-,-,0.559,-
'[16:11:04.248]',-,0.570,-,0.434,0.380,-,-,0.582,-
'[16:11:04.256]',-,0.575,-,0.434,0.380,-,-,0.603,-
'[16:11:04.264]',-,0.575,-,0.444,0.384,-,-,0.623,-
'[16:11:04.272]',-,0.570,-,0.449,0.390,-,-,0.641,-
'[16:11:04.280]',-,0.595,-,0.434,0.390,-,-,0.659,-
'[16:11:04.288]',-,0.611,-,0.415,0.384,-,-,0.674,-
'[16:11:04.296]',-,0.615,-,0.410,0.371,-,-,0.688,-
'[16:11:04.304]',-,0.600,-,0.415,0.365,-,-,0.700,-
'[16:11:04.312]',-,0.575,-,0.434,0.355,-,-,0.710,-
'[16:11:04.320]',-,0.550,-,0.449,0.345,-,-,0.717,-
'[16:11:04.328]',-,0.545,-,0.454,0.339,-,-,0.719,-
'[16:11:04.336]',-,0.540,-,0.454,0.345,-,-,0.723,-
'[16:11:04.344]',-,0.535,-,0.454,0.345,-,-,0.725,-
'[16:11:04.352]',-,0.520,-,0.471,0.339,-,-,0.725,-
'[16:11:04.360]',-,0.500,-,0.490,0.335,-,-,0.722,-
'[16:11:04.368]',-,0.495,-,0.495,0.335,-,-,0.717,-
'[16:11:04.376]',-,0.505,-,0.476,0.339,-,-,0.711,-
'[16:11:04.384]',-,0.525,-,0.454,0.345,-,-,0.700,-
'[16:11:04.392]',-,0.530,-,0.461,0.345,-,-,0.687,-
'[16:11:04.400]',-,0.500,-,0.485,0.349,-,-,0.672,-
'[16:11:04.408]',-,0.485,-,0.505,0.355,-,-,0.655,-
'[16:11:04.416]',-,0.555,-,0.471,0.320,-,-,0.636,-
'[16:11:04.424]',-,0.746,-,0.360,0.269,-,-,0.621,-
'[16:11:04.432]',-,0.895,-,0.265,0.245,-,-,0.605,-
'[16:11:04.440]',-,0.770,-,0.340,0.265,-,-,0.589,-
'[16:11:04.448]',-,0.460,-,0.534,0.324,-,-,0.574,-
'[16:11:04.456]',-,0.245,-,0.670,0.420,-,-,0.559,-
'[16:11:04.464]',-,0.200,-,0.705,0.539,-,-,0.545,-
'[16:11:04.472]',-,0.220,-,0.695,0.641,-,-,0.534,-
'[16:11:04.480]',-,0.245,-,0.685,0.676,-,-,0.523,-
'[16:11:04.488]',-,0.285,-,0.660,0.629,-,-,0.513,-
'[16:11:04.496]',-,0.355,-,0.605,0.480,-,-,0.504,-
'[16:11:04.504]',-,0.435,-,0.551,0.349,-,-,0.496,-
'[16:11:04.512]',-,0.485,-,0.505,0.310,-,-,0.487,-
'[16:11:04.520]',-,0.510,-,0.476,0.304,-,-,0.479,-
'[16:11:04.528]',-,0.525,-,0.461,0.300,-,-,0.472,-
'[16:11:04.536]',-,0.535,-,0.454,0.300,-,-,0.464,-
'[16:11:04.544]',-,0.540,-,0.454,0.300,-,-,0.457,-
'[16:11:04.552]',-,0.545,-,0.444,0.300,-,-,0.448,-
'[16:11:04.560]',-,0.555,-,0.439,0.294,-,-,0.439,-
'[16:11:04.568]',-,0.545,-,0.444,0.300,-,-,0.431,-
'[16:11:04.576]',-,0.525,-,0.461,0.300,-,-,0.422,-
'[16:11:04.584]',-,0.520,-,0.471,0.294,-,-,0.414,-
'[16:11:04.592]',-,0.525,-,0.471,0.300,-,-,0.408,-
'[16:11:04.600]',-,0.530,-,0.471,0.304,-,-,0.400,-
'[16:11:04.608]',-,0.530,-,0.461,0.300,-,-,0.393,-
'[16:11:04.616]',-,0.540,-,0.454,0.300,-,-,0.386,-
'[16:11:04.624]',-,0.535,-,0.454,0.304,-,-,0.381,-
'[16:11:04.632]',-,0.520,-,0.461,0.300,-,-,0.377,-
'[16:11:04.640]',-,0.520,-,0.466,0.290,-,-,0.372,-
'[16:11:04.648]',-,0.515,-,0.471,0.290,-,-,0.368,-
'[16:11:04.656]',-,0.515,-,0.466,0.294,-,-,0.364,-
'[16:11:04.664]',-,0.520,-,0.466,0.290,-,-,0.359,-
'[16:11:04.672]',-,0.525,-,0.466,0.284,-,-,0.354,-
'[16:11:04.680]',-,0.525,-,0.466,0.284,-,-,0.350,-
'[16:11:04.688]',-,0.505,-,0.480,0.278,-,-,0.346,-
'[16:11:04.696]',-,0.470,-,0.510,0.265,-,-,0.342,-
'[16:11:04.704]',-,0.450,-,0.529,0.255,-,-,0.338,-
'[16:11:04.712]',-,0.435,-,0.539,0.245,-,-,0.335,-
'[16:11:04.720]',-,0.435,-,0.546,0.245,-,-,0.332,-
'[16:11:04.728]',-,0.445,-,0.539,0.245,-,-,0.330,-
'[16:11:04.736]',-,0.455,-,0.534,0.249,-,-,0.328,-
'[16:11:04.744]',-,0.465,-,0.524,0.255,-,-,0.326,-
'[16:11:04.752]',-,0.470,-,0.520,0.255,-,-,0.323,-
'[16:11:04.760]',-,0.480,-,0.510,0.259,-,-,0.320,-
'[16:11:04.768]',-,0.495,-,0.495,0.275,-,-,0.317,-
'[16:11:04.776]',-,0.510,-,0.490,0.290,-,-,0.315,-
'[16:11:04.784]',-,0.520,-,0.480,0.310,-,-,0.312,-
'[16:11:04.792]',-,0.525,-,0.476,0.324,-,-,0.310,-
'[16:11:04.800]',-,0.535,-,0.471,0.339,-,-,0.307,-
'[16:11:04.808]',-,0.550,-,0.449,0.355,-,-,0.304,-
'[16:11:04.816]',-,0.560,-,0.439,0.365,-,-,0.301,-
'[16:11:04.824]',-,0.565,-,0.439,0.365,-,-,0.299,-
'[16:11:04.832]',-,0.565,-,0.439,0.365,-,-,0.296,-
'[16:11:04.840]',-,0.565,-,0.434,0.365,-,-,0.293,-
'[16:11:04.848]',-,0.560,-,0.434,0.365,-,-,0.289,-
'[16:11:04.856]',-,0.560,-,0.434,0.365,-,-,0.286,-
'[16:11:04.864]',-,0.560,-,0.439,0.359,-,-,0.284,-
'[16:11:04.872]',-,0.570,-,0.434,0.359,-,-,0.282,-
'[16:11:04.880]',-,0.575,-,0.434,0.359,-,-,0.279,-
'[16:11:04.888]',-,0.560,-,0.444,0.359,-,-,0.276,-
'[16:11:04.896]',-,0.560,-,0.449,0.359,-,-,0.273,-
'[16:11:04.904]',-,0.565,-,0.434,0.365,-,-,0.270,-
'[16:11:04.912]',-,0.570,-,0.430,0.365,-,-,0.267,-
'[16:11:04.920]',-,0.565,-,0.434,0.365,-,-,0.267,-
'[16:11:04.928]',-,0.565,-,0.434,0.359,-,-,0.267,-
'[16:11:04.936]',-,0.560,-,0.439,0.355,-,-,0.272,-
'[16:11:04.944]',-,0.555,-,0.444,0.355,-,-,0.278,-
'[16:11:04.952]',-,0.560,-,0.439,0.355,-,-,0.285,-
'[16:11:04.960]',-,0.550,-,0.449,0.349,-,-,0.299,-
'[16:11:04.968]',-,0.540,-,0.454,0.349,-,-,0.319,-
'[16:11:04.976]',-,0.540,-,0.461,0.349,-,-,0.344,-
'[16:11:04.984]',-,0.535,-,0.461,0.355,-,-,0.372,-
'[16:11:04.992]',-,0.540,-,0.454,0.365,-,-,0.403,-
'[16:11:05.000]',-,0.545,-,0.449,0.365,-,-,0.435,-
'[16:11:05.008]',-,0.535,-,0.461,0.359,-,-,0.466,-
'[16:11:05.016]',-,0.525,-,0.471,0.355,-,-,0.497,-
'[16:11:05.024]',-,0.530,-,0.461,0.359,-,-,0.521,-
'[16:11:05.032]',-,0.535,-,0.454,0.359,-,-,0.542,-
'[16:11:05.040]',-,0.535,-,0.454,0.355,-,-,0.563,-
'[16:11:05.048]',-,0.540,-,0.449,0.355,-,-,0.584,-
'[16:11:05.056]',-,0.555,-,0.444,0.365,-,-,0.603,-
'[16:11:05.064]',-,0.565,-,0.444,0.375,-,-,0.621,-
'[16:11:05.072]',-,0.555,-,0.466,0.384,-,-,0.637,-
'[16:11:05.080]',-,0.565,-,0.471,0.390,-,-,0.653,-
'[16:11:05.088]',-,0.595,-,0.430,0.375,-,-,0.668,-
'[16:11:05.096]',-,0.605,-,0.415,0.359,-,-,0.679,-
'[16:11:05.104]',-,0.600,-,0.410,0.349,-,-,0.690,-
'[16:11:05.112]',-,0.600,-,0.405,0.349,-,-,0.698,-
'[16:11:05.120]',-,0.575,-,0.425,0.345,-,-,0.704,-
'[16:11:05.128]',-,0.525,-,0.476,0.335,-,-,0.706,-
'[16:11:05.136]',-,0.490,-,0.500,0.329,-,-,0.709,-
'[16:11:05.144]',-,0.480,-,0.505,0.329,-,-,0.710,-
'[16:11:05.152]',-,0.480,-,0.500,0.329,-,-,0.710,-
'[16:11:05.160]',-,0.480,-,0.500,0.329,-,-,0.707,-
'[16:11:05.168]',-,0.495,-,0.490,0.335,-,-,0.702,-
'[16:11:05.176]',-,0.510,-,0.476,0.339,-,-,0.695,-
'[16:11:05.184]',-,0.520,-,0.466,0.345,-,-,0.684,-
'[16:11:05.192]',-,0.505,-,0.476,0.335,-,-,0.672,-
'[16:11:05.200]',-,0.480,-,0.505,0.335,-,-,0.657,-
'[16:11:05.208]',-,0.465,-,0.515,0.345,-,-,0.640,-
'[16:11:05.216]',-,0.485,-,0.520,0.349,-,-,0.623,-
'[16:11:05.224]',-,0.605,-,0.444,0.284,-,-,0.606,-
'[16:11:05.232]',-,0.831,-,0.315,0.233,-,-,0.589,-
'[16:11:05.240]',-,0.905,-,0.270,0.220,-,-,0.573,-
'[16:11:05.248]',-,0.635,-,0.449,0.259,-,-,0.557,-
'[16:11:05.256]',-,0.295,-,0.651,0.339,-,-,0.542,-
'[16:11:05.264]',-,0.155,-,0.730,0.461,-,-,0.527,-
'[16:11:05.272]',-,0.150,-,0.720,0.590,-,-,0.515,-
'[16:11:05.280]',-,0.220,-,0.690,0.690,-,-,0.505,-
'[16:11:05.288]',-,0.250,-,0.670,0.710,-,-,0.497,-
'[16:11:05.296]',-,0.299,-,0.640,0.575,-,-,0.489,-
'[16:11:05.304]',-,0.380,-,0.580,0.404,-,-,0.482,-
'[16:11:05.312]',-,0.445,-,0.534,0.329,-,-,0.475,-
'[16:11:05.320]',-,0.465,-,0.520,0.304,-,-,0.468,-
'[16:11:05.328]',-,0.475,-,0.505,0.300,-,-,0.462,-
'[16:11:05.336]',-,0.495,-,0.490,0.300,-,-,0.457,-
'[16:11:05.344]',-,0.500,-,0.490,0.300,-,-,0.450,-
'[16:11:05.352]',-,0.500,-,0.490,0.300,-,-,0.444,-
'[16:11:05.360]',-,0.505,-,0.480,0.300,-,-,0.437,-
'[16:11:05.368]',-,0.510,-,0.480,0.300,-,-,0.431,-
'[16:11:05.376]',-,0.510,-,0.476,0.304,-,-,0.425,-
'[16:11:05.384]',-,0.515,-,0.471,0.304,-,-,0.419,-
'[16:11:05.392]',-,0.515,-,0.471,0.304,-,-,0.413,-
'[16:11:05.400]',-,0.520,-,0.466,0.304,-,-,0.408,-
'[16:11:05.408]',-,0.525,-,0.461,0.304,-,-,0.402,-
'[16:11:05.416]',-,0.530,-,0.454,0.300,-,-,0.395,-
'[16:11:05.424]',-,0.510,-,0.476,0.290,-,-,0.389,-
'[16:11:05.432]',-,0.490,-,0.500,0.278,-,-,0.384,-
'[16:11:05.440]',-,0.480,-,0.510,0.278,-,-,0.378,-
'[16:11:05.448]',-,0.490,-,0.495,0.278,-,-,0.373,-
'[16:11:05.456]',-,0.495,-,0.490,0.278,-,-,0.368,-
