"'Time','II','PLETH','ABP'"
"'[21:57:51.456]',0.559,0.780,65.625"
"'[21:57:51.464]',0.504,0.773,65.625"
"'[21:57:51.472]',0.535,0.761,64.844"
"'[21:57:51.480]',0.543,0.749,64.062"
"'[21:57:51.488]',0.496,0.737,63.281"
"'[21:57:51.496]',0.535,0.722,62.500"
"'[21:57:51.504]',0.496,0.710,62.500"
"'[21:57:51.512]',0.543,0.710,61.719"
"'[21:57:51.520]',0.512,0.702,60.938"
"'[21:57:51.528]',0.528,0.686,60.156"
"'[21:57:51.536]',0.433,0.675,60.156"
"'[21:57:51.544]',0.701,0.659,59.375"
"'[21:57:51.552]',1.370,0.647,58.594"
"'[21:57:51.560]',1.504,0.635,58.594"
"'[21:57:51.568]',1.504,0.624,57.812"
"'[21:57:51.576]',0.866,0.612,57.812"
"'[21:57:51.584]',0.457,0.604,57.031"
"'[21:57:51.592]',0.433,0.596,57.031"
"'[21:57:51.600]',0.417,0.584,57.031"
"'[21:57:51.608]',0.512,0.580,57.031"
"'[21:57:51.616]',0.504,0.569,56.250"
"'[21:57:51.624]',0.543,0.561,56.250"
"'[21:57:51.632]',0.512,0.553,56.250"
"'[21:57:51.640]',0.559,0.545,56.250"
"'[21:57:51.648]',0.528,0.537,56.250"
"'[21:57:51.656]',0.567,0.529,55.469"
"'[21:57:51.664]',0.528,0.522,55.469"
"'[21:57:51.672]',0.583,0.514,54.688"
"'[21:57:51.680]',0.559,0.502,54.688"
"'[21:57:51.688]',0.598,0.494,54.688"
"'[21:57:51.696]',0.606,0.486,53.906"
"'[21:57:51.704]',0.575,0.475,53.906"
"'[21:57:51.712]',0.614,0.467,53.125"
"'[21:57:51.720]',0.598,0.455,53.125"
"'[21:57:51.728]',0.654,0.447,52.344"
"'[21:57:51.736]',0.614,0.439,52.344"
"'[21:57:51.744]',0.661,0.427,52.344"
"'[21:57:51.752]',0.638,0.420,51.562"
"'[21:57:51.760]',0.693,0.412,51.562"
"'[21:57:51.768]',0.669,0.404,51.562"
"'[21:57:51.776]',0.740,0.396,50.781"
"'[21:57:51.784]',0.724,0.388,51.562"
"'[21:57:51.792]',0.780,0.380,51.562"
"'[21:57:51.800]',0.764,0.376,52.344"
"'[21:57:51.808]',0.835,0.369,54.688"
"'[21:57:51.816]',0.811,0.361,57.812"
"'[21:57:51.824]',0.874,0.357,63.281"
"'[21:57:51.832]',0.850,0.349,69.531"
"'[21:57:51.840]',0.906,0.345,76.562"
"'[21:57:51.848]',0.866,0.337,84.375"
"'[21:57:51.856]',0.898,0.333,91.406"
"'[21:57:51.864]',0.835,0.325,97.656"
"'[21:57:51.872]',0.850,0.318,103.125"
"'[21:57:51.880]',0.764,0.314,107.812"
"'[21:57:51.888]',0.748,0.306,110.938"
"'[21:57:51.896]',0.677,0.302,113.281"
"'[21:57:51.904]',0.654,0.294,114.062"
"'[21:57:51.912]',0.598,0.290,114.844"
"'[21:57:51.920]',0.583,0.286,114.844"
"'[21:57:51.928]',0.598,0.278,114.844"
"'[21:57:51.936]',0.543,0.275,114.062"
"'[21:57:51.944]',0.583,0.271,114.062"
"'[21:57:51.952]',0.543,0.267,113.281"
"'[21:57:51.960]',0.583,0.267,112.500"
"'[21:57:51.968]',0.535,0.263,110.938"
"'[21:57:51.976]',0.575,0.267,110.156"
"'[21:57:51.984]',0.551,0.271,109.375"
"'[21:57:51.992]',0.591,0.275,107.812"
"'[21:57:52.000]',0.567,0.286,107.031"
"'[21:57:52.008]',0.598,0.302,105.469"
"'[21:57:52.016]',0.559,0.318,104.688"
"'[21:57:52.024]',0.598,0.341,103.125"
"'[21:57:52.032]',0.559,0.369,101.562"
"'[21:57:52.040]',0.598,0.400,99.219"
"'[21:57:52.048]',0.567,0.431,96.875"
"'[21:57:52.056]',0.614,0.467,93.750"
"'[21:57:52.064]',0.567,0.502,91.406"
"'[21:57:52.072]',0.606,0.533,87.500"
"'[21:57:52.080]',0.567,0.569,84.375"
"'[21:57:52.088]',0.591,0.600,81.250"
"'[21:57:52.096]',0.567,0.631,78.906"
"'[21:57:52.104]',0.598,0.659,76.562"
"'[21:57:52.112]',0.598,0.682,75.000"
"'[21:57:52.120]',0.567,0.706,73.438"
"'[21:57:52.128]',0.606,0.725,72.656"
"'[21:57:52.136]',0.575,0.741,71.875"
"'[21:57:52.144]',0.654,0.753,71.094"
"'[21:57:52.152]',0.622,0.765,70.312"
"'[21:57:52.160]',0.693,0.773,70.312"
"'[21:57:52.168]',0.661,0.780,70.312"
"'[21:57:52.176]',0.701,0.788,70.312"
"'[21:57:52.184]',0.638,0.792,69.531"
"'[21:57:52.192]',0.654,0.796,69.531"
"'[21:57:52.200]',0.591,0.796,68.750"
"'[21:57:52.208]',0.614,0.796,68.750"
"'[21:57:52.216]',0.567,0.796,67.969"
"'[21:57:52.224]',0.583,0.792,67.188"
"'[21:57:52.232]',0.535,0.788,67.188"
"'[21:57:52.240]',0.559,0.780,66.406"
"'[21:57:52.248]',0.512,0.773,65.625"
"'[21:57:52.256]',0.551,0.765,64.844"
"'[21:57:52.264]',0.512,0.753,64.844"
"'[21:57:52.272]',0.551,0.741,64.062"
"'[21:57:52.280]',0.512,0.729,63.281"
"'[21:57:52.288]',0.559,0.714,62.500"
"'[21:57:52.296]',0.528,0.698,61.719"
"'[21:57:52.304]',0.543,0.686,61.719"
"'[21:57:52.312]',0.472,0.671,60.938"
"'[21:57:52.320]',0.441,0.659,60.156"
"'[21:57:52.328]',0.937,0.643,60.156"
"'[21:57:52.336]',1.504,0.631,59.375"
"'[21:57:52.344]',1.504,0.620,59.375"
"'[21:57:52.352]',1.394,0.612,58.594"
"'[21:57:52.360]',0.646,0.600,58.594"
"'[21:57:52.368]',0.433,0.592,57.812"
"'[21:57:52.376]',0.457,0.584,57.812"
"'[21:57:52.384]',0.449,0.573,57.812"
"'[21:57:52.392]',0.543,0.565,57.812"
"'[21:57:52.400]',0.528,0.557,57.031"
"'[21:57:52.408]',0.559,0.549,57.031"
"'[21:57:52.416]',0.535,0.541,57.031"
"'[21:57:52.424]',0.575,0.533,57.031"
"'[21:57:52.432]',0.543,0.525,56.250"
"'[21:57:52.440]',0.591,0.518,56.250"
"'[21:57:52.448]',0.559,0.506,56.250"
"'[21:57:52.456]',0.598,0.502,55.469"
"'[21:57:52.464]',0.567,0.490,55.469"
"'[21:57:52.472]',0.622,0.482,54.688"
"'[21:57:52.480]',0.598,0.471,54.688"
"'[21:57:52.488]',0.646,0.463,53.906"
"'[21:57:52.496]',0.614,0.455,53.906"
"'[21:57:52.504]',0.661,0.443,53.125"
"'[21:57:52.512]',0.638,0.435,53.125"
"'[21:57:52.520]',0.685,0.424,52.344"
"'[21:57:52.528]',0.677,0.416,52.344"
"'[21:57:52.536]',0.709,0.408,52.344"
"'[21:57:52.544]',0.724,0.400,51.562"
"'[21:57:52.552]',0.701,0.392,51.562"
"'[21:57:52.560]',0.764,0.384,51.562"
"'[21:57:52.568]',0.748,0.380,51.562"
"'[21:57:52.576]',0.803,0.373,52.344"
"'[21:57:52.584]',0.780,0.365,53.125"
"'[21:57:52.592]',0.850,0.357,55.469"
"'[21:57:52.600]',0.827,0.353,59.375"
"'[21:57:52.608]',0.882,0.345,64.844"
"'[21:57:52.616]',0.866,0.341,71.094"
"'[21:57:52.624]',0.913,0.333,78.906"
"'[21:57:52.632]',0.882,0.329,85.938"
"'[21:57:52.640]',0.906,0.325,92.969"
"'[21:57:52.648]',0.850,0.318,100.000"
"'[21:57:52.656]',0.858,0.314,104.688"
"'[21:57:52.664]',0.772,0.306,108.594"
"'[21:57:52.672]',0.764,0.302,111.719"
"'[21:57:52.680]',0.677,0.294,113.281"
"'[21:57:52.688]',0.661,0.290,114.062"
"'[21:57:52.696]',0.614,0.286,114.844"
"'[21:57:52.704]',0.622,0.278,114.844"
"'[21:57:52.712]',0.575,0.275,114.062"
"'[21:57:52.720]',0.598,0.271,113.281"
"'[21:57:52.728]',0.606,0.267,112.500"
"'[21:57:52.736]',0.559,0.267,111.719"
"'[21:57:52.744]',0.606,0.267,110.938"
"'[21:57:52.752]',0.559,0.267,110.156"
"'[21:57:52.760]',0.606,0.271,109.375"
"'[21:57:52.768]',0.559,0.275,107.812"
"'[21:57:52.776]',0.614,0.286,107.031"
"'[21:57:52.784]',0.575,0.302,105.469"
"'[21:57:52.792]',0.614,0.318,104.688"
"'[21:57:52.800]',0.575,0.341,103.125"
"'[21:57:52.808]',0.614,0.365,100.781"
"'[21:57:52.816]',0.583,0.388,99.219"
"'[21:57:52.824]',0.622,0.392,96.875"
"'[21:57:52.832]',0.583,0.408,94.531"
"'[21:57:52.840]',0.622,0.439,91.406"
"'[21:57:52.848]',0.583,0.475,88.281"
"'[21:57:52.856]',0.614,0.510,85.156"
"'[21:57:52.864]',0.583,0.545,82.031"
"'[21:57:52.872]',0.606,0.576,78.906"
"'[21:57:52.880]',0.567,0.608,76.562"
"'[21:57:52.888]',0.614,0.639,75.000"
"'[21:57:52.896]',0.598,0.667,73.438"
"'[21:57:52.904]',0.654,0.690,72.656"
"'[21:57:52.912]',0.630,0.710,71.875"
"'[21:57:52.920]',0.693,0.729,71.094"
"'[21:57:52.928]',0.685,0.745,70.312"
"'[21:57:52.936]',0.717,0.757,70.312"
"'[21:57:52.944]',0.724,0.769,70.312"
"'[21:57:52.952]',0.669,0.776,70.312"
"'[21:57:52.960]',0.622,0.780,69.531"
"'[21:57:52.968]',0.598,0.788,69.531"
"'[21:57:52.976]',0.638,0.788,68.750"
"'[21:57:52.984]',0.583,0.792,68.750"
"'[21:57:52.992]',0.598,0.792,67.969"
"'[21:57:53.000]',0.559,0.792,67.969"
"'[21:57:53.008]',0.567,0.788,67.188"
"'[21:57:53.016]',0.512,0.784,66.406"
"'[21:57:53.024]',0.551,0.780,65.625"
"'[21:57:53.032]',0.528,0.773,65.625"
"'[21:57:53.040]',0.567,0.761,64.844"
"'[21:57:53.048]',0.528,0.753,64.062"
"'[21:57:53.056]',0.567,0.741,63.281"
"'[21:57:53.064]',0.535,0.725,62.500"
"'[21:57:53.072]',0.559,0.714,62.500"
"'[21:57:53.080]',0.472,0.698,61.719"
"'[21:57:53.088]',0.472,0.686,60.938"
"'[21:57:53.096]',0.921,0.671,60.938"
"'[21:57:53.104]',1.504,0.659,60.156"
"'[21:57:53.112]',1.504,0.643,59.375"
"'[21:57:53.120]',1.425,0.631,59.375"
"'[21:57:53.128]',0.654,0.620,58.594"
"'[21:57:53.136]',0.465,0.608,58.594"
"'[21:57:53.144]',0.457,0.600,58.594"
"'[21:57:53.152]',0.504,0.588,57.812"
"'[21:57:53.160]',0.543,0.580,57.812"
"'[21:57:53.168]',0.535,0.573,57.812"
"'[21:57:53.176]',0.575,0.565,57.812"
"'[21:57:53.184]',0.535,0.557,57.812"
"'[21:57:53.192]',0.583,0.549,57.031"
"'[21:57:53.200]',0.551,0.541,57.031"
"'[21:57:53.208]',0.591,0.533,57.031"
"'[21:57:53.216]',0.575,0.525,56.250"
"'[21:57:53.224]',0.606,0.518,56.250"
"'[21:57:53.232]',0.583,0.506,55.469"
"'[21:57:53.240]',0.630,0.498,55.469"
"'[21:57:53.248]',0.614,0.490,54.688"
"'[21:57:53.256]',0.654,0.478,54.688"
"'[21:57:53.264]',0.622,0.471,53.906"
"'[21:57:53.272]',0.685,0.463,53.906"
"'[21:57:53.280]',0.654,0.451,53.125"
"'[21:57:53.288]',0.701,0.443,53.125"
"'[21:57:53.296]',0.677,0.435,52.344"
"'[21:57:53.304]',0.732,0.424,52.344"
"'[21:57:53.312]',0.709,0.416,52.344"
"'[21:57:53.320]',0.756,0.408,52.344"
"'[21:57:53.328]',0.748,0.400,52.344"
"'[21:57:53.336]',0.803,0.392,52.344"
"'[21:57:53.344]',0.787,0.384,52.344"
"'[21:57:53.352]',0.827,0.376,53.906"
"'[21:57:53.360]',0.850,0.369,55.469"
"'[21:57:53.368]',0.835,0.365,59.375"
"'[21:57:53.376]',0.890,0.357,64.062"
"'[21:57:53.384]',0.874,0.353,70.312"
"'[21:57:53.392]',0.921,0.345,77.344"
"'[21:57:53.400]',0.890,0.341,84.375"
"'[21:57:53.408]',0.921,0.333,91.406"
"'[21:57:53.416]',0.866,0.329,97.656"
"'[21:57:53.424]',0.874,0.322,103.125"
"'[21:57:53.432]',0.787,0.318,107.812"
"'[21:57:53.440]',0.756,0.314,110.156"
"'[21:57:53.448]',0.677,0.306,112.500"
"'[21:57:53.456]',0.685,0.302,113.281"
"'[21:57:53.464]',0.614,0.294,113.281"
"'[21:57:53.472]',0.638,0.290,113.281"
"'[21:57:53.480]',0.583,0.282,113.281"
"'[21:57:53.488]',0.614,0.278,112.500"
"'[21:57:53.496]',0.583,0.275,110.938"
"'[21:57:53.504]',0.622,0.271,110.156"
"'[21:57:53.512]',0.567,0.267,109.375"
"'[21:57:53.520]',0.614,0.267,108.594"
"'[21:57:53.528]',0.583,0.267,107.031"
"'[21:57:53.536]',0.614,0.267,106.250"
"'[21:57:53.544]',0.622,0.275,105.469"
"'[21:57:53.552]',0.583,0.282,103.906"
"'[21:57:53.560]',0.630,0.298,103.125"
"'[21:57:53.568]',0.598,0.314,101.562"
"'[21:57:53.576]',0.622,0.333,99.219"
"'[21:57:53.584]',0.591,0.361,97.656"
"'[21:57:53.592]',0.622,0.388,95.312"
"'[21:57:53.600]',0.598,0.420,92.188"
"'[21:57:53.608]',0.630,0.455,89.062"
"'[21:57:53.616]',0.598,0.486,85.938"
"'[21:57:53.624]',0.630,0.522,82.812"
"'[21:57:53.632]',0.591,0.553,80.469"
"'[21:57:53.640]',0.622,0.588,77.344"
"'[21:57:53.648]',0.591,0.616,75.781"
"'[21:57:53.656]',0.622,0.647,73.438"
"'[21:57:53.664]',0.583,0.671,72.656"
"'[21:57:53.672]',0.646,0.690,71.875"
"'[21:57:53.680]',0.630,0.710,71.094"
"'[21:57:53.688]',0.693,0.725,70.312"
"'[21:57:53.696]',0.677,0.741,70.312"
"'[21:57:53.704]',0.724,0.749,69.531"
"'[21:57:53.712]',0.701,0.757,69.531"
"'[21:57:53.720]',0.724,0.765,69.531"
"'[21:57:53.728]',0.654,0.769,69.531"
"'[21:57:53.736]',0.638,0.773,68.750"
"'[21:57:53.744]',0.646,0.776,68.750"
"'[21:57:53.752]',0.614,0.776,67.969"
"'[21:57:53.760]',0.638,0.776,67.969"
"'[21:57:53.768]',0.583,0.773,67.188"
"'[21:57:53.776]',0.614,0.769,66.406"
"'[21:57:53.784]',0.551,0.765,66.406"
"'[21:57:53.792]',0.583,0.757,65.625"
"'[21:57:53.800]',0.551,0.749,64.844"
"'[21:57:53.808]',0.575,0.737,64.062"
"'[21:57:53.816]',0.551,0.725,64.062"
"'[21:57:53.824]',0.583,0.714,63.281"
"'[21:57:53.832]',0.559,0.698,62.500"
"'[21:57:53.840]',0.598,0.686,61.719"
"'[21:57:53.848]',0.535,0.671,60.938"
"'[21:57:53.856]',0.512,0.659,60.938"
"'[21:57:53.864]',0.583,0.643,60.156"
"'[21:57:53.872]',1.142,0.631,59.375"
"'[21:57:53.880]',1.504,0.620,59.375"
"'[21:57:53.888]',1.504,0.608,58.594"
"'[21:57:53.896]',1.157,0.596,58.594"
"'[21:57:53.904]',0.622,0.588,57.812"
"'[21:57:53.912]',0.457,0.576,57.812"
"'[21:57:53.920]',0.520,0.569,57.812"
"'[21:57:53.928]',0.535,0.561,57.031"
"'[21:57:53.936]',0.583,0.553,57.031"
"'[21:57:53.944]',0.591,0.545,57.031"
"'[21:57:53.952]',0.551,0.537,57.031"
"'[21:57:53.960]',0.598,0.529,57.031"
"'[21:57:53.968]',0.567,0.522,56.250"
"'[21:57:53.976]',0.614,0.514,56.250"
"'[21:57:53.984]',0.591,0.506,56.250"
"'[21:57:53.992]',0.622,0.498,56.250"
"'[21:57:54.000]',0.606,0.490,55.469"
"'[21:57:54.008]',0.654,0.478,55.469"
"'[21:57:54.016]',0.630,0.471,54.688"
"'[21:57:54.024]',0.669,0.459,54.688"
"'[21:57:54.032]',0.646,0.451,53.906"
"'[21:57:54.040]',0.701,0.443,53.906"
"'[21:57:54.048]',0.677,0.431,53.125"
"'[21:57:54.056]',0.717,0.424,53.125"
"'[21:57:54.064]',0.701,0.416,52.344"
"'[21:57:54.072]',0.748,0.404,52.344"
"'[21:57:54.080]',0.724,0.396,51.562"
"'[21:57:54.088]',0.780,0.388,51.562"
"'[21:57:54.096]',0.772,0.380,51.562"
"'[21:57:54.104]',0.819,0.373,51.562"
"'[21:57:54.112]',0.803,0.365,51.562"
"'[21:57:54.120]',0.850,0.361,52.344"
"'[21:57:54.128]',0.866,0.353,53.125"
"'[21:57:54.136]',0.906,0.345,55.469"
"'[21:57:54.144]',0.898,0.341,59.375"
"'[21:57:54.152]',0.929,0.333,64.062"
"'[21:57:54.160]',0.937,0.329,71.094"
"'[21:57:54.168]',0.906,0.322,78.125"
"'[21:57:54.176]',0.953,0.318,85.156"
"'[21:57:54.184]',0.913,0.314,92.188"
"'[21:57:54.192]',0.929,0.306,98.438"
"'[21:57:54.200]',0.866,0.302,103.906"
"'[21:57:54.208]',0.827,0.298,107.812"
"'[21:57:54.216]',0.764,0.290,110.156"
"'[21:57:54.224]',0.772,0.286,111.719"
"'[21:57:54.232]',0.685,0.278,112.500"
"'[21:57:54.240]',0.701,0.275,113.281"
"'[21:57:54.248]',0.638,0.271,112.500"
"'[21:57:54.256]',0.661,0.263,112.500"
"'[21:57:54.264]',0.622,0.259,111.719"
"'[21:57:54.272]',0.654,0.255,110.938"
"'[21:57:54.280]',0.614,0.251,109.375"
"'[21:57:54.288]',0.654,0.251,108.594"
"'[21:57:54.296]',0.614,0.251,107.031"
"'[21:57:54.304]',0.654,0.255,106.250"
"'[21:57:54.312]',0.622,0.259,105.469"
"'[21:57:54.320]',0.661,0.267,103.906"
"'[21:57:54.328]',0.622,0.278,102.344"
"'[21:57:54.336]',0.669,0.294,101.562"
"'[21:57:54.344]',0.630,0.318,100.000"
"'[21:57:54.352]',0.654,0.337,97.656"
"'[21:57:54.360]',0.638,0.369,95.312"
"'[21:57:54.368]',0.669,0.400,92.969"
"'[21:57:54.376]',0.677,0.431,89.844"
"'[21:57:54.384]',0.638,0.463,86.719"
"'[21:57:54.392]',0.669,0.502,83.594"
"'[21:57:54.400]',0.622,0.533,80.469"
"'[21:57:54.408]',0.654,0.565,78.125"
"'[21:57:54.416]',0.614,0.600,75.781"
"'[21:57:54.424]',0.654,0.624,74.219"
"'[21:57:54.432]',0.614,0.651,72.656"
"'[21:57:54.440]',0.654,0.675,71.875"
"'[21:57:54.448]',0.638,0.694,71.094"
"'[21:57:54.456]',0.709,0.710,70.312"
"'[21:57:54.464]',0.693,0.722,69.531"
"'[21:57:54.472]',0.764,0.733,69.531"
"'[21:57:54.480]',0.732,0.741,69.531"
"'[21:57:54.488]',0.780,0.749,68.750"
"'[21:57:54.496]',0.717,0.757,68.750"
"'[21:57:54.504]',0.724,0.757,67.969"
"'[21:57:54.512]',0.654,0.761,67.969"
"'[21:57:54.520]',0.685,0.761,67.188"
"'[21:57:54.528]',0.646,0.761,66.406"
"'[21:57:54.536]',0.654,0.757,65.625"
"'[21:57:54.544]',0.614,0.753,65.625"
"'[21:57:54.552]',0.622,0.749,64.844"
"'[21:57:54.560]',0.598,0.741,64.062"
"'[21:57:54.568]',0.583,0.733,63.281"
"'[21:57:54.576]',0.622,0.722,62.500"
"'[21:57:54.584]',0.583,0.710,61.719"
"'[21:57:54.592]',0.614,0.698,60.938"
"'[21:57:54.600]',0.583,0.686,60.156"
"'[21:57:54.608]',0.614,0.671,59.375"
"'[21:57:54.616]',0.583,0.659,58.594"
"'[21:57:54.624]',0.598,0.643,57.812"
"'[21:57:54.632]',0.520,0.631,57.812"
"'[21:57:54.640]',0.835,0.616,57.031"
"'[21:57:54.648]',1.433,0.604,56.250"
"'[21:57:54.656]',1.504,0.596,56.250"
"'[21:57:54.664]',1.504,0.584,55.469"
"'[21:57:54.672]',0.874,0.573,55.469"
"'[21:57:54.680]',0.520,0.565,54.688"
"'[21:57:54.688]',0.504,0.557,54.688"
"'[21:57:54.696]',0.528,0.545,54.688"
"'[21:57:54.704]',0.606,0.537,54.688"
"'[21:57:54.712]',0.583,0.529,54.688"
"'[21:57:54.720]',0.622,0.522,53.906"
"'[21:57:54.728]',0.591,0.514,53.906"
"'[21:57:54.736]',0.630,0.502,53.906"
"'[21:57:54.744]',0.606,0.494,53.125"
"'[21:57:54.752]',0.646,0.482,53.125"
"'[21:57:54.760]',0.630,0.475,53.125"
"'[21:57:54.768]',0.654,0.463,52.344"
"'[21:57:54.776]',0.669,0.451,52.344"
"'[21:57:54.784]',0.638,0.439,51.562"
"'[21:57:54.792]',0.677,0.427,51.562"
"'[21:57:54.800]',0.654,0.416,50.781"
"'[21:57:54.808]',0.701,0.404,50.781"
"'[21:57:54.816]',0.677,0.392,50.781"
"'[21:57:54.824]',0.732,0.380,50.000"
"'[21:57:54.832]',0.701,0.369,50.000"
"'[21:57:54.840]',0.748,0.357,49.219"
"'[21:57:54.848]',0.732,0.345,49.219"
"'[21:57:54.856]',0.780,0.337,48.438"
"'[21:57:54.864]',0.764,0.325,48.438"
"'[21:57:54.872]',0.819,0.314,48.438"
"'[21:57:54.880]',0.803,0.306,48.438"
"'[21:57:54.888]',0.866,0.298,48.438"
"'[21:57:54.896]',0.850,0.286,49.219"
"'[21:57:54.904]',0.906,0.278,50.000"
"'[21:57:54.912]',0.890,0.271,52.344"
"'[21:57:54.920]',0.945,0.267,55.469"
"'[21:57:54.928]',0.913,0.259,60.156"
"'[21:57:54.936]',0.961,0.251,66.406"
"'[21:57:54.944]',0.921,0.243,72.656"
"'[21:57:54.952]',0.945,0.239,79.688"
"'[21:57:54.960]',0.906,0.231,86.719"
"'[21:57:54.968]',0.913,0.227,92.969"
"'[21:57:54.976]',0.850,0.220,98.438"
"'[21:57:54.984]',0.819,0.216,103.125"
"'[21:57:54.992]',0.764,0.208,106.250"
"'[21:57:55.000]',0.724,0.204,107.812"
"'[21:57:55.008]',0.732,0.196,108.594"
"'[21:57:55.016]',0.661,0.192,108.594"
"'[21:57:55.024]',0.685,0.188,108.594"
"'[21:57:55.032]',0.630,0.184,107.812"
"'[21:57:55.040]',0.669,0.176,107.031"
"'[21:57:55.048]',0.630,0.176,106.250"
"'[21:57:55.056]',0.661,0.173,105.469"
"'[21:57:55.064]',0.630,0.176,103.906"
"'[21:57:55.072]',0.669,0.176,103.125"
"'[21:57:55.080]',0.630,0.188,101.562"
"'[21:57:55.088]',0.669,0.196,100.781"
"'[21:57:55.096]',0.630,0.208,99.219"
"'[21:57:55.104]',0.677,0.227,98.438"
"'[21:57:55.112]',0.638,0.251,96.875"
"'[21:57:55.120]',0.677,0.275,94.531"
"'[21:57:55.128]',0.646,0.306,92.969"
"'[21:57:55.136]',0.685,0.337,90.625"
"'[21:57:55.144]',0.646,0.376,87.500"
"'[21:57:55.152]',0.685,0.416,85.156"
"'[21:57:55.160]',0.646,0.455,82.031"
"'[21:57:55.168]',0.638,0.494,78.906"
"'[21:57:55.176]',0.669,0.529,75.781"
"'[21:57:55.184]',0.638,0.569,73.438"
"'[21:57:55.192]',0.669,0.600,71.094"
"'[21:57:55.200]',0.622,0.631,69.531"
"'[21:57:55.208]',0.677,0.659,68.750"
"'[21:57:55.216]',0.654,0.682,67.188"
"'[21:57:55.224]',0.724,0.702,66.406"
"'[21:57:55.232]',0.701,0.718,66.406"
"'[21:57:55.240]',0.756,0.733,65.625"
"'[21:57:55.248]',0.724,0.741,65.625"
"'[21:57:55.256]',0.764,0.753,65.625"
"'[21:57:55.264]',0.693,0.761,65.625"
"'[21:57:55.272]',0.701,0.765,65.625"
"'[21:57:55.280]',0.638,0.769,64.844"
"'[21:57:55.288]',0.669,0.769,64.844"
"'[21:57:55.296]',0.606,0.769,64.062"
"'[21:57:55.304]',0.638,0.769,64.062"
"'[21:57:55.312]',0.591,0.765,63.281"
"'[21:57:55.320]',0.614,0.761,63.281"
"'[21:57:55.328]',0.567,0.753,62.500"
"'[21:57:55.336]',0.598,0.745,61.719"
"'[21:57:55.344]',0.559,0.733,60.938"
"'[21:57:55.352]',0.598,0.725,60.938"
"'[21:57:55.360]',0.567,0.710,60.156"
"'[21:57:55.368]',0.606,0.698,59.375"
"'[21:57:55.376]',0.614,0.686,58.594"
"'[21:57:55.384]',0.559,0.671,57.812"
"'[21:57:55.392]',0.496,0.659,57.812"
"'[21:57:55.400]',0.638,0.643,57.031"
"'[21:57:55.408]',1.205,0.631,56.250"
"'[21:57:55.416]',1.504,0.620,56.250"
"'[21:57:55.424]',1.504,0.608,55.469"
"'[21:57:55.432]',1.189,0.600,55.469"
"'[21:57:55.440]',0.614,0.588,54.688"
"'[21:57:55.448]',0.441,0.580,54.688"
"'[21:57:55.456]',0.496,0.573,54.688"
"'[21:57:55.464]',0.488,0.565,53.906"
"'[21:57:55.472]',0.583,0.557,53.906"
"'[21:57:55.480]',0.567,0.549,53.906"
"'[21:57:55.488]',0.598,0.545,53.906"
"'[21:57:55.496]',0.559,0.537,53.125"
"'[21:57:55.504]',0.606,0.529,53.125"
"'[21:57:55.512]',0.583,0.522,53.125"
"'[21:57:55.520]',0.622,0.514,53.125"
"'[21:57:55.528]',0.598,0.506,52.344"
"'[21:57:55.536]',0.646,0.498,52.344"
"'[21:57:55.544]',0.606,0.486,52.344"
"'[21:57:55.552]',0.646,0.478,51.562"
"'[21:57:55.560]',0.622,0.471,51.562"
"'[21:57:55.568]',0.669,0.463,50.781"
"'[21:57:55.576]',0.646,0.451,50.781"
"'[21:57:55.584]',0.685,0.443,50.781"
"'[21:57:55.592]',0.693,0.431,50.000"
"'[21:57:55.600]',0.669,0.424,50.000"
"'[21:57:55.608]',0.709,0.416,49.219"
"'[21:57:55.616]',0.685,0.408,49.219"
"'[21:57:55.624]',0.748,0.400,49.219"
"'[21:57:55.632]',0.724,0.392,48.438"
"'[21:57:55.640]',0.780,0.384,48.438"
"'[21:57:55.648]',0.756,0.376,48.438"
"'[21:57:55.656]',0.819,0.369,49.219"
"'[21:57:55.664]',0.803,0.365,49.219"
"'[21:57:55.672]',0.866,0.357,51.562"
"'[21:57:55.680]',0.843,0.349,53.906"
"'[21:57:55.688]',0.898,0.345,58.594"
"'[21:57:55.696]',0.874,0.337,64.062"
"'[21:57:55.704]',0.913,0.333,70.312"
"'[21:57:55.712]',0.866,0.329,78.125"
"'[21:57:55.720]',0.890,0.322,85.156"
"'[21:57:55.728]',0.835,0.318,91.406"
"'[21:57:55.736]',0.843,0.314,97.656"
"'[21:57:55.744]',0.764,0.306,102.344"
"'[21:57:55.752]',0.748,0.302,105.469"
"'[21:57:55.760]',0.685,0.298,107.812"
"'[21:57:55.768]',0.669,0.290,108.594"
"'[21:57:55.776]',0.622,0.286,109.375"
"'[21:57:55.784]',0.638,0.282,109.375"
"'[21:57:55.792]',0.598,0.275,108.594"
"'[21:57:55.800]',0.583,0.275,107.812"
"'[21:57:55.808]',0.614,0.271,107.031"
"'[21:57:55.816]',0.583,0.271,106.250"
"'[21:57:55.824]',0.622,0.271,105.469"
"'[21:57:55.832]',0.583,0.267,103.906"
"'[21:57:55.840]',0.614,0.267,103.125"
"'[21:57:55.848]',0.598,0.263,102.344"
"'[21:57:55.856]',0.622,0.267,100.781"
"'[21:57:55.864]',0.598,0.271,100.000"
"'[21:57:55.872]',0.638,0.275,98.438"
"'[21:57:55.880]',0.614,0.286,96.875"
"'[21:57:55.888]',0.638,0.298,95.312"
"'[21:57:55.896]',0.614,0.318,92.969"
"'[21:57:55.904]',0.646,0.337,90.625"
"'[21:57:55.912]',0.606,0.365,87.500"
"'[21:57:55.920]',0.638,0.392,84.375"
