'Time','II','AVR','V','RESP','PLETH','ABP','CVP','ICP'
'[03:45:05.728]',0.240,0.635,1.115,0.976,2.045,65.109,-,-
'[03:45:05.736]',0.265,0.615,1.120,0.982,2.035,65.158,-,-
'[03:45:05.744]',0.290,0.610,1.120,0.988,2.025,65.842,-,-
'[03:45:05.752]',0.305,0.595,1.115,0.994,2.011,67.551,-,-
'[03:45:05.760]',0.330,0.585,1.100,0.997,1.993,70.726,-,-
'[03:45:05.768]',0.340,0.580,1.080,1.000,1.974,75.757,-,-
'[03:45:05.776]',0.355,0.565,1.045,1.000,1.954,82.351,-,-
'[03:45:05.784]',0.360,0.565,1.000,1.000,1.936,89.922,-,-
'[03:45:05.792]',0.360,0.565,0.960,1.000,1.921,98.030,-,-
'[03:45:05.800]',0.345,0.565,0.910,1.000,1.902,106.187,-,-
'[03:45:05.808]',0.325,0.575,0.870,1.000,1.884,113.611,-,-
'[03:45:05.816]',0.305,0.585,0.835,1.000,1.866,119.912,-,-
'[03:45:05.824]',0.275,0.595,0.810,1.000,1.850,124.552,-,-
'[03:45:05.832]',0.245,0.615,0.795,1.000,1.835,127.239,-,-
'[03:45:05.840]',0.225,0.625,0.785,0.996,1.825,127.972,-,-
'[03:45:05.848]',0.205,0.635,0.780,0.993,1.820,126.848,-,-
'[03:45:05.856]',0.190,0.635,0.785,0.986,1.815,124.357,-,-
'[03:45:05.864]',0.170,0.640,0.780,0.980,1.807,120.938,-,-
'[03:45:05.872]',0.155,0.650,0.785,0.973,1.802,116.933,-,-
'[03:45:05.880]',0.145,0.660,0.785,0.966,1.796,112.879,-,-
'[03:45:05.888]',0.145,0.660,0.785,0.956,1.791,108.922,-,-
'[03:45:05.896]',0.140,0.660,0.795,0.946,1.785,105.357,-,-
'[03:45:05.904]',0.130,0.660,0.800,0.935,1.777,102.426,-,-
'[03:45:05.912]',0.130,0.660,0.800,0.923,1.768,99.984,-,-
'[03:45:05.920]',0.130,0.670,0.800,0.910,1.759,98.177,-,-
'[03:45:05.928]',0.130,0.665,0.800,0.897,1.752,96.858,-,-
'[03:45:05.936]',0.135,0.660,0.800,0.884,1.746,95.979,-,-
'[03:45:05.944]',0.135,0.660,0.795,0.871,1.738,95.344,-,-
'[03:45:05.952]',0.140,0.660,0.795,0.858,1.729,94.806,-,-
'[03:45:05.960]',0.140,0.655,0.790,0.846,1.719,94.220,-,-
'[03:45:05.968]',0.145,0.660,0.795,0.834,1.712,93.488,-,-
'[03:45:05.976]',0.145,0.655,0.790,0.823,1.706,92.511,-,-
'[03:45:05.984]',0.140,0.655,0.790,0.811,1.700,91.094,-,-
'[03:45:05.992]',0.140,0.655,0.785,0.799,1.697,89.482,-,-
'[03:45:06.000]',0.140,0.655,0.785,0.787,1.693,87.724,-,-
'[03:45:06.008]',0.140,0.655,0.785,0.775,1.691,85.966,-,-
'[03:45:06.016]',0.140,0.655,0.780,0.764,1.693,84.354,-,-
'[03:45:06.024]',0.140,0.655,0.785,0.753,1.696,82.986,-,-
'[03:45:06.032]',0.135,0.655,0.780,0.743,1.703,81.912,-,-
'[03:45:06.040]',0.140,0.650,0.785,0.733,1.714,81.277,-,-
'[03:45:06.048]',0.135,0.650,0.780,0.723,1.731,80.935,-,-
'[03:45:06.056]',0.135,0.655,0.780,0.714,1.761,80.984,-,-
'[03:45:06.064]',0.140,0.655,0.785,0.703,1.800,81.277,-,-
'[03:45:06.072]',0.145,0.650,0.785,0.693,1.848,81.863,-,-
'[03:45:06.080]',0.160,0.640,0.810,0.683,1.901,82.595,-,-
'[03:45:06.088]',0.175,0.635,0.815,0.672,1.951,83.426,-,-
'[03:45:06.096]',0.190,0.625,0.835,0.661,1.998,84.158,-,-
'[03:45:06.104]',0.210,0.610,0.845,0.650,2.055,84.842,-,-
'[03:45:06.112]',0.240,0.580,0.805,0.640,2.115,85.428,-,-
'[03:45:06.120]',0.255,0.560,0.785,0.630,2.174,85.721,-,-
'[03:45:06.128]',0.265,0.555,0.780,0.620,2.228,85.721,-,-
'[03:45:06.136]',0.255,0.555,0.775,0.611,2.281,85.575,-,-
'[03:45:06.144]',0.230,0.570,0.760,0.602,2.329,85.184,-,-
'[03:45:06.152]',0.200,0.600,0.765,0.593,2.371,84.549,-,-
'[03:45:06.160]',0.170,0.630,0.765,0.583,2.405,83.816,-,-
'[03:45:06.168]',0.135,0.660,0.770,0.574,2.426,83.035,-,-
'[03:45:06.176]',0.125,0.665,0.765,0.566,2.437,82.156,-,-
'[03:45:06.184]',0.125,0.670,0.765,0.558,2.440,81.228,-,-
'[03:45:06.192]',0.125,0.670,0.765,0.551,2.439,80.300,-,-
'[03:45:06.200]',0.120,0.675,0.765,0.544,2.439,79.421,-,-
'[03:45:06.208]',0.125,0.675,0.770,0.536,2.439,78.541,-,-
'[03:45:06.216]',0.120,0.670,0.775,0.528,2.436,77.760,-,-
'[03:45:06.224]',0.135,0.680,0.790,0.520,2.435,76.978,-,-
'[03:45:06.232]',0.155,0.705,0.885,0.512,2.434,76.294,-,-
'[03:45:06.240]',0.415,0.520,0.950,0.504,2.428,75.611,-,-
'[03:45:06.248]',1.140,-0.070,0.125,0.496,2.420,74.927,-,-
'[03:45:06.256]',1.500,-0.500,-0.500,0.488,2.410,74.341,-,-
'[03:45:06.264]',1.100,-0.345,-0.500,0.480,2.394,73.852,-,-
'[03:45:06.272]',0.520,0.105,-0.430,0.472,2.375,73.413,-,-
'[03:45:06.280]',0.305,0.390,0.130,0.465,2.359,72.924,-,-
'[03:45:06.288]',0.180,0.570,0.585,0.458,2.343,72.533,-,-
'[03:45:06.296]',0.070,0.695,0.835,0.451,2.326,72.192,-,-
'[03:45:06.304]',0.030,0.755,0.915,0.444,2.306,71.850,-,-
'[03:45:06.312]',0.015,0.770,0.950,0.438,2.286,71.557,-,-
'[03:45:06.320]',0.005,0.780,0.965,0.431,2.264,71.312,-,-
'[03:45:06.328]',0.010,0.780,0.975,0.425,2.238,71.068,-,-
'[03:45:06.336]',0.015,0.775,0.980,0.419,2.212,70.873,-,-
'[03:45:06.344]',0.030,0.770,0.980,0.413,2.190,70.726,-,-
'[03:45:06.352]',0.030,0.760,0.980,0.407,2.170,70.629,-,-
'[03:45:06.360]',0.040,0.760,0.975,0.401,2.155,70.482,-,-
'[03:45:06.368]',0.050,0.755,0.980,0.395,2.144,70.287,-,-
'[03:45:06.376]',0.060,0.740,0.980,0.389,2.135,70.042,-,-
'[03:45:06.384]',0.070,0.740,0.985,0.382,2.131,69.749,-,-
'[03:45:06.392]',0.080,0.730,0.990,0.376,2.129,69.407,-,-
'[03:45:06.400]',0.090,0.725,0.990,0.369,2.128,69.066,-,-
'[03:45:06.408]',0.100,0.710,0.995,0.362,2.127,68.626,-,-
'[03:45:06.416]',0.110,0.710,0.995,0.355,2.127,68.235,-,-
'[03:45:06.424]',0.125,0.705,1.005,0.349,2.121,67.796,-,-
'[03:45:06.432]',0.130,0.695,1.015,0.343,2.111,67.356,-,-
'[03:45:06.440]',0.145,0.690,1.020,0.337,2.102,66.916,-,-
'[03:45:06.448]',0.155,0.680,1.035,0.331,2.089,66.526,-,-
'[03:45:06.456]',0.170,0.670,1.045,0.326,2.072,66.135,-,-
'[03:45:06.464]',0.195,0.660,1.065,0.321,2.054,65.744,-,-
'[03:45:06.472]',0.215,0.645,1.075,0.316,2.034,65.402,-,-
'[03:45:06.480]',0.235,0.635,1.090,0.311,2.015,65.158,-,-
'[03:45:06.488]',0.260,0.620,1.095,0.306,2.000,65.109,-,-
'[03:45:06.496]',0.285,0.605,1.100,0.302,1.987,65.158,-,-
'[03:45:06.504]',0.305,0.590,1.105,0.298,1.974,65.744,-,-
'[03:45:06.512]',0.330,0.580,1.095,0.295,1.962,67.112,-,-
'[03:45:06.520]',0.345,0.565,1.085,0.292,1.951,69.798,-,-
'[03:45:06.528]',0.360,0.565,1.065,0.288,1.940,74.194,-,-
'[03:45:06.536]',0.360,0.565,1.035,0.285,1.928,80.007,-,-
'[03:45:06.544]',0.360,0.560,0.995,0.281,1.911,86.845,-,-
'[03:45:06.552]',0.360,0.565,0.955,0.277,1.892,94.367,-,-
'[03:45:06.560]',0.340,0.570,0.915,0.273,1.873,102.035,-,-
'[03:45:06.568]',0.325,0.580,0.875,0.269,1.853,109.362,-,-
'[03:45:06.576]',0.300,0.590,0.845,0.265,1.837,115.663,-,-
'[03:45:06.584]',0.270,0.610,0.820,0.260,1.826,120.596,-,-
'[03:45:06.592]',0.245,0.620,0.810,0.256,1.820,123.820,-,-
'[03:45:06.600]',0.220,0.630,0.795,0.252,1.815,125.139,-,-
'[03:45:06.608]',0.195,0.640,0.785,0.247,1.807,124.699,-,-
'[03:45:06.616]',0.180,0.645,0.785,0.243,1.799,122.696,-,-
'[03:45:06.624]',0.165,0.660,0.785,0.238,1.789,119.668,-,-
'[03:45:06.632]',0.145,0.660,0.785,0.234,1.779,116.005,-,-
'[03:45:06.640]',0.140,0.665,0.785,0.228,1.769,112.000,-,-
'[03:45:06.648]',0.130,0.670,0.785,0.224,1.760,108.092,-,-
'[03:45:06.656]',0.130,0.675,0.795,0.219,1.750,104.429,-,-
'[03:45:06.664]',0.130,0.670,0.795,0.215,1.733,101.303,-,-
'[03:45:06.672]',0.125,0.670,0.800,0.211,1.713,98.616,-,-
'[03:45:06.680]',0.130,0.670,0.800,0.208,1.697,96.565,-,-
'[03:45:06.688]',0.125,0.670,0.800,0.204,1.687,94.904,-,-
'[03:45:06.696]',0.135,0.665,0.800,0.200,1.679,93.732,-,-
'[03:45:06.704]',0.140,0.660,0.800,0.197,1.670,92.853,-,-
'[03:45:06.712]',0.135,0.660,0.790,0.193,1.660,92.120,-,-
'[03:45:06.720]',0.130,0.665,0.785,0.190,1.650,91.436,-,-
'[03:45:06.728]',0.130,0.660,0.790,0.187,1.640,90.557,-,-
'[03:45:06.736]',0.135,0.660,0.790,0.184,1.630,89.482,-,-
'[03:45:06.744]',0.130,0.660,0.785,0.182,1.620,88.066,-,-
'[03:45:06.752]',0.130,0.660,0.785,0.180,1.609,86.405,-,-
'[03:45:06.760]',0.135,0.660,0.785,0.178,1.599,84.745,-,-
'[03:45:06.768]',0.135,0.660,0.785,0.176,1.588,83.133,-,-
'[03:45:06.776]',0.130,0.660,0.780,0.174,1.581,81.716,-,-
'[03:45:06.784]',0.130,0.660,0.785,0.173,1.580,80.593,-,-
'[03:45:06.792]',0.135,0.660,0.780,0.172,1.585,79.811,-,-
'[03:45:06.800]',0.130,0.660,0.785,0.171,1.591,79.372,-,-
'[03:45:06.808]',0.125,0.660,0.785,0.171,1.603,79.323,-,-
'[03:45:06.816]',0.130,0.660,0.785,0.171,1.622,79.616,-,-
'[03:45:06.824]',0.135,0.655,0.790,0.171,1.651,80.153,-,-
'[03:45:06.832]',0.145,0.655,0.805,0.171,1.697,80.935,-,-
'[03:45:06.840]',0.160,0.645,0.815,0.171,1.754,81.814,-,-
'[03:45:06.848]',0.170,0.640,0.835,0.171,1.815,82.693,-,-
'[03:45:06.856]',0.180,0.630,0.850,0.171,1.885,83.426,-,-
'[03:45:06.864]',0.215,0.600,0.830,0.171,1.958,84.061,-,-
'[03:45:06.872]',0.235,0.575,0.800,0.170,2.025,84.500,-,-
'[03:45:06.880]',0.240,0.565,0.785,0.170,2.085,84.696,-,-
'[03:45:06.888]',0.245,0.560,0.785,0.169,2.133,84.598,-,-
'[03:45:06.896]',0.220,0.570,0.765,0.169,2.172,84.305,-,-
'[03:45:06.904]',0.195,0.590,0.760,0.168,2.209,83.865,-,-
'[03:45:06.912]',0.170,0.620,0.765,0.168,2.243,83.230,-,-
'[03:45:06.920]',0.130,0.655,0.770,0.168,2.274,82.498,-,-
'[03:45:06.928]',0.115,0.670,0.765,0.168,2.299,81.667,-,-
'[03:45:06.936]',0.105,0.680,0.765,0.168,2.320,80.739,-,-
'[03:45:06.944]',0.110,0.680,0.770,0.168,2.335,79.860,-,-
'[03:45:06.952]',0.115,0.675,0.770,0.168,2.348,78.981,-,-
'[03:45:06.960]',0.110,0.675,0.770,0.168,2.360,78.199,-,-
'[03:45:06.968]',0.115,0.680,0.770,0.168,2.366,77.418,-,-
'[03:45:06.976]',0.115,0.680,0.780,0.167,2.363,76.685,-,-
'[03:45:06.984]',0.125,0.705,0.835,0.167,2.357,76.001,-,-
'[03:45:06.992]',0.200,0.720,0.940,0.166,2.348,75.366,-,-
'[03:45:07.000]',0.640,0.325,0.955,0.165,2.339,74.731,-,-
'[03:45:07.008]',1.500,-0.410,-0.320,0.165,2.329,74.194,-,-
'[03:45:07.016]',1.465,-0.500,-0.500,0.164,2.317,73.608,-,-
'[03:45:07.024]',0.795,-0.145,-0.500,0.163,2.302,73.120,-,-
'[03:45:07.032]',0.370,0.265,-0.215,0.162,2.284,72.680,-,-
'[03:45:07.040]',0.235,0.475,0.335,0.162,2.266,72.240,-,-
'[03:45:07.048]',0.105,0.645,0.720,0.161,2.246,71.850,-,-
'[03:45:07.056]',0.035,0.735,0.885,0.160,2.226,71.508,-,-
'[03:45:07.064]',0.005,0.770,0.935,0.160,2.205,71.117,-,-
'[03:45:07.072]',-0.005,0.780,0.950,0.159,2.183,70.873,-,-
'[03:45:07.080]',-0.005,0.790,0.970,0.159,2.160,70.531,-,-
'[03:45:07.088]',-0.005,0.790,0.975,0.159,2.139,70.287,-,-
'[03:45:07.096]',0.000,0.790,0.975,0.159,2.121,70.091,-,-
'[03:45:07.104]',0.010,0.780,0.975,0.160,2.109,69.945,-,-
'[03:45:07.112]',0.025,0.770,0.980,0.160,2.104,69.749,-,-
'[03:45:07.120]',0.030,0.760,0.975,0.161,2.101,69.505,-,-
'[03:45:07.128]',0.040,0.755,0.975,0.162,2.100,69.310,-,-
'[03:45:07.136]',0.050,0.755,0.975,0.163,2.099,69.066,-,-
'[03:45:07.144]',0.060,0.740,0.980,0.165,2.096,68.724,-,-
'[03:45:07.152]',0.070,0.735,0.985,0.166,2.089,68.431,-,-
'[03:45:07.160]',0.080,0.725,0.990,0.168,2.080,68.040,-,-
'[03:45:07.168]',0.090,0.720,0.995,0.171,2.071,67.698,-,-
'[03:45:07.176]',0.100,0.710,0.995,0.173,2.059,67.307,-,-
'[03:45:07.184]',0.110,0.710,1.005,0.175,2.047,66.916,-,-
'[03:45:07.192]',0.130,0.695,1.015,0.178,2.036,66.526,-,-
'[03:45:07.200]',0.145,0.690,1.025,0.180,2.023,66.184,-,-
'[03:45:07.208]',0.160,0.680,1.040,0.183,2.012,65.744,-,-
'[03:45:07.216]',0.170,0.670,1.050,0.186,1.998,65.353,-,-
'[03:45:07.224]',0.190,0.660,1.065,0.188,1.986,65.012,-,-
'[03:45:07.232]',0.210,0.645,1.075,0.191,1.975,64.718,-,-
'[03:45:07.240]',0.235,0.635,1.090,0.193,1.964,64.572,-,-
'[03:45:07.248]',0.255,0.620,1.095,0.195,1.953,64.572,-,-
'[03:45:07.256]',0.280,0.610,1.100,0.197,1.940,64.816,-,-
'[03:45:07.264]',0.300,0.595,1.095,0.198,1.927,65.549,-,-
'[03:45:07.272]',0.315,0.590,1.090,0.199,1.909,67.307,-,-
'[03:45:07.280]',0.335,0.580,1.075,0.199,1.890,70.482,-,-
'[03:45:07.288]',0.345,0.575,1.050,0.200,1.873,75.318,-,-
'[03:45:07.296]',0.350,0.575,1.015,0.200,1.856,81.570,-,-
'[03:45:07.304]',0.345,0.575,0.980,0.200,1.838,88.799,-,-
'[03:45:07.312]',0.335,0.580,0.940,0.199,1.818,96.467,-,-
'[03:45:07.320]',0.320,0.585,0.900,0.199,1.804,104.184,-,-
'[03:45:07.328]',0.300,0.595,0.865,0.198,1.794,111.365,-,-
'[03:45:07.336]',0.270,0.610,0.835,0.198,1.787,117.470,-,-
'[03:45:07.344]',0.240,0.625,0.810,0.197,1.780,121.915,-,-
'[03:45:07.352]',0.215,0.640,0.800,0.196,1.772,124.504,-,-
'[03:45:07.360]',0.195,0.645,0.785,0.194,1.762,125.139,-,-
'[03:45:07.368]',0.170,0.650,0.785,0.193,1.753,124.015,-,-
'[03:45:07.376]',0.160,0.660,0.785,0.191,1.743,121.573,-,-
'[03:45:07.384]',0.145,0.665,0.785,0.189,1.735,118.105,-,-
'[03:45:07.392]',0.135,0.670,0.795,0.187,1.729,114.100,-,-
'[03:45:07.400]',0.120,0.680,0.795,0.186,1.720,109.997,-,-
'[03:45:07.408]',0.115,0.680,0.795,0.184,1.712,105.992,-,-
'[03:45:07.416]',0.110,0.680,0.795,0.182,1.702,102.377,-,-
'[03:45:07.424]',0.110,0.680,0.795,0.181,1.692,99.251,-,-
'[03:45:07.432]',0.105,0.680,0.800,0.179,1.681,96.760,-,-
'[03:45:07.440]',0.110,0.670,0.795,0.178,1.671,94.806,-,-
'[03:45:07.448]',0.115,0.675,0.800,0.177,1.663,93.439,-,-
'[03:45:07.456]',0.115,0.675,0.805,0.176,1.657,92.364,-,-
'[03:45:07.464]',0.115,0.670,0.795,0.175,1.651,91.632,-,-
'[03:45:07.472]',0.120,0.670,0.795,0.175,1.645,91.045,-,-
'[03:45:07.480]',0.115,0.670,0.790,0.174,1.637,90.410,-,-
'[03:45:07.488]',0.120,0.670,0.790,0.175,1.631,89.678,-,-
'[03:45:07.496]',0.115,0.670,0.790,0.176,1.626,88.701,-,-
'[03:45:07.504]',0.110,0.670,0.790,0.177,1.618,87.284,-,-
'[03:45:07.512]',0.115,0.670,0.790,0.178,1.606,85.721,-,-
'[03:45:07.520]',0.110,0.670,0.790,0.181,1.592,84.110,-,-
'[03:45:07.528]',0.105,0.670,0.790,0.183,1.581,82.693,-,-
'[03:45:07.536]',0.110,0.670,0.785,0.186,1.569,81.472,-,-
'[03:45:07.544]',0.105,0.675,0.785,0.189,1.558,80.593,-,-
'[03:45:07.552]',0.100,0.675,0.785,0.192,1.550,80.007,-,-
'[03:45:07.560]',0.100,0.675,0.785,0.195,1.549,79.762,-,-
'[03:45:07.568]',0.105,0.670,0.785,0.198,1.559,79.860,-,-
'[03:45:07.576]',0.110,0.670,0.785,0.201,1.585,80.251,-,-
'[03:45:07.584]',0.110,0.670,0.800,0.206,1.618,80.935,-,-
'[03:45:07.592]',0.125,0.660,0.815,0.210,1.660,81.716,-,-
'[03:45:07.600]',0.145,0.650,0.825,0.216,1.715,82.595,-,-
'[03:45:07.608]',0.150,0.645,0.845,0.222,1.777,83.475,-,-
'[03:45:07.616]',0.170,0.630,0.855,0.227,1.849,84.158,-,-
'[03:45:07.624]',0.195,0.600,0.810,0.233,1.928,84.696,-,-
'[03:45:07.632]',0.205,0.590,0.790,0.239,2.002,84.989,-,-
'[03:45:07.640]',0.210,0.585,0.785,0.244,2.067,85.135,-,-
'[03:45:07.648]',0.200,0.590,0.785,0.251,2.126,84.989,-,-
'[03:45:07.656]',0.175,0.605,0.775,0.258,2.179,84.696,-,-
'[03:45:07.664]',0.150,0.630,0.770,0.267,2.223,84.110,-,-
'[03:45:07.672]',0.125,0.655,0.780,0.275,2.258,83.475,-,-
'[03:45:07.680]',0.090,0.680,0.775,0.285,2.282,82.693,-,-
'[03:45:07.688]',0.085,0.685,0.770,0.294,2.295,81.863,-,-
'[03:45:07.696]',0.080,0.690,0.775,0.305,2.307,80.984,-,-
'[03:45:07.704]',0.085,0.690,0.775,0.316,2.319,80.104,-,-
'[03:45:07.712]',0.080,0.690,0.780,0.326,2.329,79.323,-,-
'[03:45:07.720]',0.080,0.685,0.780,0.336,2.337,78.492,-,-
'[03:45:07.728]',0.080,0.685,0.780,0.345,2.344,77.809,-,-
'[03:45:07.736]',0.090,0.705,0.800,0.355,2.347,77.125,-,-
'[03:45:07.744]',0.110,0.725,0.900,0.366,2.343,76.441,-,-
'[03:45:07.752]',0.390,0.525,0.960,0.377,2.336,75.855,-,-
'[03:45:07.760]',1.215,-0.115,0.035,0.390,2.327,75.318,-,-
'[03:45:07.768]',1.500,-0.500,-0.500,0.402,2.319,74.731,-,-
'[03:45:07.776]',1.100,-0.305,-0.500,0.414,2.306,74.243,-,-
'[03:45:07.784]',0.460,0.185,-0.335,0.425,2.289,73.803,-,-
'[03:45:07.792]',0.245,0.445,0.210,0.437,2.271,73.364,-,-
'[03:45:07.800]',0.115,0.615,0.630,0.448,2.248,72.973,-,-
'[03:45:07.808]',0.020,0.730,0.860,0.461,2.227,72.533,-,-
'[03:45:07.816]',-0.020,0.775,0.930,0.473,2.211,72.192,-,-
'[03:45:07.824]',-0.040,0.790,0.960,0.486,2.198,71.850,-,-
'[03:45:07.832]',-0.040,0.800,0.975,0.500,2.187,71.557,-,-
'[03:45:07.840]',-0.040,0.800,0.980,0.514,2.171,71.312,-,-
'[03:45:07.848]',-0.030,0.790,0.980,0.529,2.150,71.117,-,-
'[03:45:07.856]',-0.015,0.780,0.985,0.543,2.131,70.922,-,-
'[03:45:07.864]',-0.005,0.780,0.985,0.558,2.114,70.726,-,-
'[03:45:07.872]',0.005,0.765,0.980,0.570,2.101,70.531,-,-
'[03:45:07.880]',0.015,0.760,0.985,0.583,2.092,70.384,-,-
'[03:45:07.888]',0.030,0.755,0.985,0.595,2.082,70.091,-,-
'[03:45:07.896]',0.035,0.750,0.990,0.607,2.074,69.847,-,-
'[03:45:07.904]',0.045,0.745,0.995,0.619,2.070,69.554,-,-
'[03:45:07.912]',0.055,0.730,0.995,0.632,2.068,69.310,-,-
'[03:45:07.920]',0.070,0.730,0.995,0.645,2.067,68.968,-,-
'[03:45:07.928]',0.075,0.720,0.995,0.658,2.067,68.675,-,-
'[03:45:07.936]',0.085,0.715,1.010,0.671,2.067,68.382,-,-
'[03:45:07.944]',0.100,0.710,1.020,0.683,2.067,67.991,-,-
'[03:45:07.952]',0.110,0.700,1.035,0.695,2.065,67.698,-,-
'[03:45:07.960]',0.125,0.695,1.050,0.707,2.058,67.307,-,-
'[03:45:07.968]',0.135,0.685,1.065,0.719,2.047,66.965,-,-
'[03:45:07.976]',0.155,0.680,1.085,0.731,2.031,66.623,-,-
'[03:45:07.984]',0.170,0.670,1.100,0.743,2.016,66.281,-,-
'[03:45:07.992]',0.200,0.660,1.110,0.756,2.003,66.135,-,-
'[03:45:08.000]',0.220,0.640,1.120,0.769,1.988,66.037,-,-
'[03:45:08.008]',0.245,0.625,1.125,0.783,1.974,66.233,-,-
'[03:45:08.016]',0.270,0.615,1.125,0.796,1.961,67.063,-,-
'[03:45:08.024]',0.290,0.605,1.115,0.810,1.947,68.870,-,-
'[03:45:08.032]',0.300,0.595,1.100,0.822,1.933,72.192,-,-
'[03:45:08.040]',0.315,0.590,1.075,0.833,1.920,77.223,-,-
'[03:45:08.048]',0.330,0.585,1.040,0.843,1.908,83.719,-,-
'[03:45:08.056]',0.335,0.575,1.000,0.853,1.897,91.094,-,-
'[03:45:08.064]',0.335,0.575,0.955,0.862,1.884,99.007,-,-
'[03:45:08.072]',0.315,0.580,0.905,0.871,1.870,106.871,-,-
'[03:45:08.080]',0.300,0.585,0.870,0.879,1.857,114.100,-,-
'[03:45:08.088]',0.275,0.600,0.835,0.887,1.844,120.156,-,-
'[03:45:08.096]',0.250,0.615,0.810,0.893,1.826,124.552,-,-
'[03:45:08.104]',0.225,0.620,0.800,0.900,1.810,127.044,-,-
'[03:45:08.112]',0.205,0.635,0.790,0.905,1.798,127.630,-,-
'[03:45:08.120]',0.185,0.640,0.785,0.910,1.786,126.506,-,-
'[03:45:08.128]',0.170,0.640,0.785,0.914,1.775,124.015,-,-
'[03:45:08.136]',0.155,0.650,0.785,0.919,1.767,120.547,-,-
'[03:45:08.144]',0.140,0.660,0.785,0.922,1.763,116.689,-,-
'[03:45:08.152]',0.130,0.665,0.795,0.925,1.759,112.635,-,-
'[03:45:08.160]',0.125,0.665,0.800,0.928,1.756,108.727,-,-
'[03:45:08.168]',0.120,0.665,0.800,0.930,1.755,105.161,-,-
'[03:45:08.176]',0.120,0.665,0.800,0.932,1.749,102.133,-,-
'[03:45:08.184]',0.120,0.670,0.805,0.934,1.746,99.691,-,-
'[03:45:08.192]',0.120,0.665,0.805,0.935,1.745,97.884,-,-
'[03:45:08.200]',0.120,0.660,0.810,0.936,1.739,96.418,-,-
'[03:45:08.208]',0.120,0.660,0.805,0.937,1.731,95.490,-,-
'[03:45:08.216]',0.125,0.665,0.805,0.939,1.721,94.806,-,-
'[03:45:08.224]',0.125,0.660,0.800,0.940,1.712,94.318,-,-
'[03:45:08.232]',0.125,0.660,0.800,0.941,1.702,93.781,-,-
'[03:45:08.240]',0.125,0.660,0.795,0.942,1.692,93.097,-,-
'[03:45:08.248]',0.125,0.660,0.795,0.943,1.681,92.120,-,-
'[03:45:08.256]',0.130,0.660,0.790,0.944,1.671,90.850,-,-
'[03:45:08.264]',0.135,0.660,0.790,0.945,1.661,89.287,-,-
'[03:45:08.272]',0.130,0.660,0.785,0.945,1.650,87.724,-,-
'[03:45:08.280]',0.125,0.655,0.785,0.945,1.645,86.161,-,-
'[03:45:08.288]',0.130,0.660,0.785,0.943,1.648,84.745,-,-
'[03:45:08.296]',0.130,0.655,0.785,0.942,1.654,83.572,-,-
'[03:45:08.304]',0.135,0.655,0.785,0.939,1.663,82.595,-,-
'[03:45:08.312]',0.130,0.655,0.785,0.937,1.673,82.058,-,-
'[03:45:08.320]',0.130,0.660,0.780,0.933,1.687,81.814,-,-
'[03:45:08.328]',0.130,0.660,0.785,0.929,1.716,81.912,-,-
'[03:45:08.336]',0.130,0.660,0.785,0.924,1.755,82.302,-,-
'[03:45:08.344]',0.145,0.655,0.800,0.919,1.803,82.840,-,-
'[03:45:08.352]',0.160,0.640,0.815,0.913,1.860,83.621,-,-
'[03:45:08.360]',0.175,0.630,0.835,0.908,1.928,84.354,-,-
'[03:45:08.368]',0.190,0.620,0.850,0.902,2.000,85.038,-,-
'[03:45:08.376]',0.220,0.590,0.830,0.896,2.072,85.624,-,-
'[03:45:08.384]',0.240,0.575,0.800,0.890,2.131,85.966,-,-
'[03:45:08.392]',0.245,0.565,0.790,0.883,2.179,86.161,-,-
'[03:45:08.400]',0.260,0.560,0.785,0.875,2.229,86.112,-,-
'[03:45:08.408]',0.240,0.565,0.775,0.867,2.280,85.819,-,-
'[03:45:08.416]',0.215,0.590,0.765,0.859,2.326,85.379,-,-
'[03:45:08.424]',0.185,0.610,0.770,0.851,2.364,84.745,-,-
'[03:45:08.432]',0.150,0.645,0.780,0.843,2.396,84.012,-,-
'[03:45:08.440]',0.130,0.660,0.770,0.835,2.417,83.133,-,-
'[03:45:08.448]',0.125,0.660,0.770,0.826,2.428,82.253,-,-
'[03:45:08.456]',0.130,0.660,0.770,0.817,2.433,81.277,-,-
'[03:45:08.464]',0.130,0.660,0.770,0.808,2.436,80.349,-,-
'[03:45:08.472]',0.130,0.660,0.775,0.798,2.437,79.421,-,-
'[03:45:08.480]',0.130,0.660,0.775,0.788,2.435,78.541,-,-
'[03:45:08.488]',0.135,0.660,0.780,0.778,2.431,77.809,-,-
'[03:45:08.496]',0.145,0.695,0.820,0.767,2.427,77.027,-,-
'[03:45:08.504]',0.245,0.700,0.950,0.757,2.419,76.343,-,-
'[03:45:08.512]',0.705,0.285,0.645,0.747,2.411,75.757,-,-
'[03:45:08.520]',1.500,-0.470,-0.455,0.738,2.401,75.171,-,-
'[03:45:08.528]',1.475,-0.500,-0.500,0.730,2.391,74.634,-,-
'[03:45:08.536]',0.795,-0.130,-0.500,0.722,2.381,74.097,-,-
'[03:45:08.544]',0.375,0.280,-0.125,0.714,2.370,73.657,-,-
'[03:45:08.552]',0.245,0.475,0.395,0.705,2.361,73.315,-,-
'[03:45:08.560]',0.120,0.640,0.745,0.697,2.345,72.924,-,-
'[03:45:08.568]',0.045,0.725,0.895,0.688,2.325,72.533,-,-
'[03:45:08.576]',0.025,0.755,0.940,0.679,2.301,72.192,-,-
