'Time','II','PLETH','ABP','III'
'[03:55:38.016]',0.289,0.510,65.625,-
'[03:55:38.024]',0.297,0.510,66.562,-
'[03:55:38.032]',0.312,0.510,68.438,-
'[03:55:38.040]',0.320,0.510,71.250,-
'[03:55:38.048]',0.328,0.510,77.812,-
'[03:55:38.056]',0.336,0.510,85.312,-
'[03:55:38.064]',0.359,0.510,94.688,-
'[03:55:38.072]',0.375,0.510,102.188,-
'[03:55:38.080]',0.367,0.510,107.812,-
'[03:55:38.088]',0.352,0.510,111.562,-
'[03:55:38.096]',0.320,0.510,114.375,-
'[03:55:38.104]',0.281,0.502,117.188,-
'[03:55:38.112]',0.266,0.502,120.000,-
'[03:55:38.120]',0.250,0.502,121.875,-
'[03:55:38.128]',0.242,0.502,123.750,-
'[03:55:38.136]',0.242,0.502,124.688,-
'[03:55:38.144]',0.242,0.502,125.625,-
'[03:55:38.152]',0.234,0.502,125.625,-
'[03:55:38.160]',0.242,0.502,125.625,-
'[03:55:38.168]',0.234,0.502,124.688,-
'[03:55:38.176]',0.234,0.502,123.750,-
'[03:55:38.184]',0.234,0.490,121.875,-
'[03:55:38.192]',0.234,0.490,120.000,-
'[03:55:38.200]',0.234,0.490,118.125,-
'[03:55:38.208]',0.242,0.490,115.312,-
'[03:55:38.216]',0.250,0.490,112.500,-
'[03:55:38.224]',0.266,0.482,108.750,-
'[03:55:38.232]',0.281,0.482,104.062,-
'[03:55:38.240]',0.289,0.482,99.375,-
'[03:55:38.248]',0.297,0.475,94.688,-
'[03:55:38.256]',0.312,0.475,90.938,-
'[03:55:38.264]',0.305,0.475,88.125,-
'[03:55:38.272]',0.273,0.475,87.188,-
'[03:55:38.280]',0.234,0.467,86.250,-
'[03:55:38.288]',0.203,0.467,85.312,-
'[03:55:38.296]',0.188,0.467,85.312,-
'[03:55:38.304]',0.172,0.467,84.375,-
'[03:55:38.312]',0.164,0.467,83.438,-
'[03:55:38.320]',0.164,0.467,82.500,-
'[03:55:38.328]',0.172,0.467,81.562,-
'[03:55:38.336]',0.180,0.467,81.562,-
'[03:55:38.344]',0.227,0.467,80.625,-
'[03:55:38.352]',0.266,0.467,79.688,-
'[03:55:38.360]',0.234,0.467,79.688,-
'[03:55:38.368]',0.195,0.475,78.750,-
'[03:55:38.376]',0.188,0.475,78.750,-
'[03:55:38.384]',0.062,0.475,78.750,-
'[03:55:38.392]',-0.148,0.475,77.812,-
'[03:55:38.400]',-0.219,0.482,76.875,-
'[03:55:38.408]',-0.125,0.482,76.875,-
'[03:55:38.416]',0.016,0.490,75.938,-
'[03:55:38.424]',0.109,0.490,75.938,-
'[03:55:38.432]',0.156,0.502,75.000,-
'[03:55:38.440]',0.195,0.502,75.000,-
'[03:55:38.448]',0.211,0.502,75.000,-
'[03:55:38.456]',0.211,0.502,75.000,-
'[03:55:38.464]',0.211,0.502,74.062,-
'[03:55:38.472]',0.211,0.510,74.062,-
'[03:55:38.480]',0.211,0.510,73.125,-
'[03:55:38.488]',0.211,0.510,73.125,-
'[03:55:38.496]',0.227,0.518,72.188,-
'[03:55:38.504]',0.227,0.518,71.250,-
'[03:55:38.512]',0.227,0.518,70.312,-
'[03:55:38.520]',0.227,0.518,70.312,-
'[03:55:38.528]',0.227,0.518,69.375,-
'[03:55:38.536]',0.227,0.518,69.375,-
'[03:55:38.544]',0.234,0.525,68.438,-
'[03:55:38.552]',0.234,0.525,68.438,-
'[03:55:38.560]',0.242,0.525,67.500,-
'[03:55:38.568]',0.242,0.525,67.500,-
'[03:55:38.576]',0.250,0.525,67.500,-
'[03:55:38.584]',0.258,0.525,67.500,-
'[03:55:38.592]',0.266,0.525,67.500,-
'[03:55:38.600]',0.266,0.525,68.438,-
'[03:55:38.608]',0.266,0.525,70.312,-
'[03:55:38.616]',0.281,0.518,74.062,-
'[03:55:38.624]',0.297,0.518,79.688,-
'[03:55:38.632]',0.312,0.518,88.125,-
'[03:55:38.640]',0.320,0.518,96.562,-
'[03:55:38.648]',0.336,0.518,105.000,-
'[03:55:38.656]',0.328,0.518,110.625,-
'[03:55:38.664]',0.312,0.518,114.375,-
'[03:55:38.672]',0.289,0.518,118.125,-
'[03:55:38.680]',0.266,0.510,120.938,-
'[03:55:38.688]',0.227,0.510,122.812,-
'[03:55:38.696]',0.211,0.510,125.625,-
'[03:55:38.704]',0.195,0.510,127.500,-
'[03:55:38.712]',0.188,0.510,128.438,-
'[03:55:38.720]',0.188,0.510,129.375,-
'[03:55:38.728]',0.188,0.502,129.375,-
'[03:55:38.736]',0.188,0.502,129.375,-
'[03:55:38.744]',0.188,0.502,128.438,-
'[03:55:38.752]',0.188,0.502,127.500,-
'[03:55:38.760]',0.195,0.502,125.625,-
'[03:55:38.768]',0.195,0.502,123.750,-
'[03:55:38.776]',0.188,0.502,121.875,-
'[03:55:38.784]',0.195,0.502,120.000,-
'[03:55:38.792]',0.211,0.490,116.250,-
'[03:55:38.800]',0.227,0.490,113.438,-
'[03:55:38.808]',0.242,0.490,108.750,-
'[03:55:38.816]',0.250,0.490,104.062,-
'[03:55:38.824]',0.266,0.482,99.375,-
'[03:55:38.832]',0.266,0.482,95.625,-
'[03:55:38.840]',0.273,0.482,91.875,-
'[03:55:38.848]',0.242,0.482,90.000,-
'[03:55:38.856]',0.203,0.482,89.062,-
'[03:55:38.864]',0.172,0.475,89.062,-
'[03:55:38.872]',0.148,0.475,88.125,-
'[03:55:38.880]',0.141,0.475,87.188,-
'[03:55:38.888]',0.141,0.475,86.250,-
'[03:55:38.896]',0.141,0.475,85.312,-
'[03:55:38.904]',0.141,0.475,84.375,-
'[03:55:38.912]',0.156,0.475,83.438,-
'[03:55:38.920]',0.203,0.475,82.500,-
'[03:55:38.928]',0.250,0.475,82.500,-
'[03:55:38.936]',0.250,0.482,81.562,-
'[03:55:38.944]',0.227,0.482,81.562,-
'[03:55:38.952]',0.211,0.482,80.625,-
'[03:55:38.960]',0.094,0.490,80.625,-
'[03:55:38.968]',-0.133,0.490,79.688,-
'[03:55:38.976]',-0.227,0.502,79.688,-
'[03:55:38.984]',-0.133,0.502,78.750,-
'[03:55:38.992]',0.000,0.502,77.812,-
'[03:55:39.000]',0.102,0.502,77.812,-
'[03:55:39.008]',0.148,0.510,76.875,-
'[03:55:39.016]',0.180,0.510,76.875,-
'[03:55:39.024]',0.188,0.518,76.875,-
'[03:55:39.032]',0.195,0.518,75.938,-
'[03:55:39.040]',0.195,0.525,75.938,-
'[03:55:39.048]',0.203,0.525,75.000,-
'[03:55:39.056]',0.203,0.525,75.000,-
'[03:55:39.064]',0.211,0.533,74.062,-
'[03:55:39.072]',0.211,0.533,73.125,-
'[03:55:39.080]',0.211,0.533,73.125,-
'[03:55:39.088]',0.227,0.533,72.188,-
'[03:55:39.096]',0.234,0.541,71.250,-
'[03:55:39.104]',0.242,0.541,71.250,-
'[03:55:39.112]',0.242,0.541,70.312,-
'[03:55:39.120]',0.242,0.541,70.312,-
'[03:55:39.128]',0.242,0.541,69.375,-
'[03:55:39.136]',0.250,0.541,69.375,-
'[03:55:39.144]',0.258,0.541,69.375,-
'[03:55:39.152]',0.266,0.541,68.438,-
'[03:55:39.160]',0.266,0.541,68.438,-
'[03:55:39.168]',0.273,0.541,68.438,-
'[03:55:39.176]',0.281,0.541,69.375,-
'[03:55:39.184]',0.297,0.541,71.250,-
'[03:55:39.192]',0.312,0.541,75.938,-
'[03:55:39.200]',0.320,0.541,83.438,-
'[03:55:39.208]',0.336,0.541,91.875,-
'[03:55:39.216]',0.352,0.541,101.250,-
'[03:55:39.224]',0.367,0.541,109.688,-
'[03:55:39.232]',0.375,0.533,115.312,-
'[03:55:39.240]',0.367,0.533,119.062,-
'[03:55:39.248]',0.344,0.533,122.812,-
'[03:55:39.256]',0.320,0.533,125.625,-
'[03:55:39.264]',0.297,0.533,127.500,-
'[03:55:39.272]',0.281,0.533,130.312,-
'[03:55:39.280]',0.266,0.525,132.188,-
'[03:55:39.288]',0.266,0.525,133.125,-
'[03:55:39.296]',0.258,0.525,134.062,-
'[03:55:39.304]',0.250,0.525,134.062,-
'[03:55:39.312]',0.250,0.525,133.125,-
'[03:55:39.320]',0.250,0.518,133.125,-
'[03:55:39.328]',0.250,0.518,132.188,-
'[03:55:39.336]',0.250,0.518,130.312,-
'[03:55:39.344]',0.250,0.518,129.375,-
'[03:55:39.352]',0.250,0.510,126.562,-
'[03:55:39.360]',0.266,0.510,124.688,-
'[03:55:39.368]',0.266,0.510,121.875,-
'[03:55:39.376]',0.281,0.502,118.125,-
'[03:55:39.384]',0.297,0.502,113.438,-
'[03:55:39.392]',0.297,0.502,108.750,-
'[03:55:39.400]',0.312,0.502,103.125,-
'[03:55:39.408]',0.336,0.502,98.438,-
'[03:55:39.416]',0.336,0.502,94.688,-
'[03:55:39.424]',0.312,0.502,92.812,-
'[03:55:39.432]',0.273,0.502,90.938,-
'[03:55:39.440]',0.242,0.502,90.000,-
'[03:55:39.448]',0.219,0.502,89.062,-
'[03:55:39.456]',0.211,0.502,88.125,-
'[03:55:39.464]',0.211,0.502,87.188,-
'[03:55:39.472]',0.211,0.502,86.250,-
'[03:55:39.480]',0.211,0.502,85.312,-
'[03:55:39.488]',0.219,0.502,84.375,-
'[03:55:39.496]',0.250,0.502,84.375,-
'[03:55:39.504]',0.312,0.502,83.438,-
'[03:55:39.512]',0.320,0.502,82.500,-
'[03:55:39.520]',0.281,0.502,82.500,-
'[03:55:39.528]',0.266,0.510,81.562,-
'[03:55:39.536]',0.172,0.510,80.625,-
'[03:55:39.544]',-0.055,0.518,80.625,-
'[03:55:39.552]',-0.180,0.518,79.688,-
'[03:55:39.560]',-0.109,0.525,78.750,-
'[03:55:39.568]',0.039,0.525,78.750,-
'[03:55:39.576]',0.141,0.533,77.812,-
'[03:55:39.584]',0.195,0.533,77.812,-
'[03:55:39.592]',0.227,0.541,77.812,-
'[03:55:39.600]',0.242,0.541,76.875,-
'[03:55:39.608]',0.250,0.549,76.875,-
'[03:55:39.616]',0.266,0.549,75.938,-
'[03:55:39.624]',0.266,0.549,75.000,-
'[03:55:39.632]',0.273,0.557,75.000,-
'[03:55:39.640]',0.273,0.557,74.062,-
'[03:55:39.648]',0.273,0.557,73.125,-
'[03:55:39.656]',0.281,0.569,73.125,-
'[03:55:39.664]',0.281,0.569,72.188,-
'[03:55:39.672]',0.281,0.569,71.250,-
'[03:55:39.680]',0.289,0.569,71.250,-
'[03:55:39.688]',0.289,0.569,70.312,-
'[03:55:39.696]',0.297,0.576,69.375,-
'[03:55:39.704]',0.297,0.576,69.375,-
'[03:55:39.712]',0.305,0.576,68.438,-
'[03:55:39.720]',0.305,0.576,68.438,-
'[03:55:39.728]',0.312,0.576,68.438,-
'[03:55:39.736]',0.312,0.576,67.500,-
'[03:55:39.744]',0.320,0.576,67.500,-
'[03:55:39.752]',0.320,0.576,68.438,-
'[03:55:39.760]',0.336,0.569,69.375,-
'[03:55:39.768]',0.344,0.569,72.188,-
'[03:55:39.776]',0.359,0.569,77.812,-
'[03:55:39.784]',0.367,0.569,85.312,-
'[03:55:39.792]',0.375,0.569,94.688,-
'[03:55:39.800]',0.391,0.569,104.062,-
'[03:55:39.808]',0.398,0.569,110.625,-
'[03:55:39.816]',0.391,0.557,115.312,-
'[03:55:39.824]',0.367,0.557,118.125,-
'[03:55:39.832]',0.336,0.557,120.938,-
'[03:55:39.840]',0.312,0.557,123.750,-
'[03:55:39.848]',0.297,0.549,126.562,-
'[03:55:39.856]',0.297,0.549,128.438,-
'[03:55:39.864]',0.289,0.549,129.375,-
'[03:55:39.872]',0.281,0.549,130.312,-
'[03:55:39.880]',0.273,0.541,131.250,-
'[03:55:39.888]',0.273,0.541,130.312,-
'[03:55:39.896]',0.273,0.541,130.312,-
'[03:55:39.904]',0.273,0.541,129.375,-
'[03:55:39.912]',0.273,0.533,127.500,-
'[03:55:39.920]',0.273,0.533,125.625,-
'[03:55:39.928]',0.281,0.533,123.750,-
'[03:55:39.936]',0.289,0.525,121.875,-
'[03:55:39.944]',0.297,0.525,119.062,-
'[03:55:39.952]',0.297,0.518,115.312,-
'[03:55:39.960]',0.312,0.518,110.625,-
'[03:55:39.968]',0.312,0.518,105.938,-
'[03:55:39.976]',0.320,0.510,101.250,-
'[03:55:39.984]',0.336,0.510,96.562,-
'[03:55:39.992]',0.344,0.510,92.812,-
'[03:55:40.000]',0.328,0.510,90.938,-
'[03:55:40.008]',0.305,0.502,89.062,-
'[03:55:40.016]',0.266,0.502,88.125,-
'[03:55:40.024]',0.242,0.502,88.125,-
'[03:55:40.032]',0.227,0.502,87.188,-
'[03:55:40.040]',0.227,0.502,86.250,-
'[03:55:40.048]',0.227,0.502,85.312,-
'[03:55:40.056]',0.211,0.502,84.375,-
'[03:55:40.064]',0.219,0.502,83.438,-
'[03:55:40.072]',0.250,0.502,82.500,-
'[03:55:40.080]',0.305,0.502,81.562,-
'[03:55:40.088]',0.320,0.502,81.562,-
'[03:55:40.096]',0.273,0.502,80.625,-
'[03:55:40.104]',0.242,0.510,80.625,-
'[03:55:40.112]',0.188,0.510,79.688,-
'[03:55:40.120]',-0.008,0.518,79.688,-
'[03:55:40.128]',-0.172,0.518,78.750,-
'[03:55:40.136]',-0.188,0.518,77.812,-
'[03:55:40.144]',-0.016,0.525,77.812,-
'[03:55:40.152]',0.109,0.525,76.875,-
'[03:55:40.160]',0.188,0.533,76.875,-
'[03:55:40.168]',0.219,0.533,76.875,-
'[03:55:40.176]',0.234,0.541,75.938,-
'[03:55:40.184]',0.242,0.541,75.938,-
'[03:55:40.192]',0.250,0.541,75.000,-
'[03:55:40.200]',0.250,0.549,75.000,-
'[03:55:40.208]',0.258,0.549,74.062,-
'[03:55:40.216]',0.266,0.549,74.062,-
'[03:55:40.224]',0.266,0.549,73.125,-
'[03:55:40.232]',0.266,0.549,72.188,-
'[03:55:40.240]',0.266,0.557,71.250,-
'[03:55:40.248]',0.266,0.557,70.312,-
'[03:55:40.256]',0.266,0.557,69.375,-
'[03:55:40.264]',0.273,0.557,68.438,-
'[03:55:40.272]',0.281,0.557,68.438,-
'[03:55:40.280]',0.289,0.557,68.438,-
'[03:55:40.288]',0.289,0.557,68.438,-
'[03:55:40.296]',0.289,0.557,68.438,-
'[03:55:40.304]',0.297,0.557,67.500,-
'[03:55:40.312]',0.297,0.557,67.500,-
'[03:55:40.320]',0.297,0.557,67.500,-
'[03:55:40.328]',0.312,0.557,67.500,-
'[03:55:40.336]',0.312,0.557,68.438,-
'[03:55:40.344]',0.320,0.557,70.312,-
'[03:55:40.352]',0.320,0.549,74.062,-
'[03:55:40.360]',0.336,0.549,80.625,-
'[03:55:40.368]',0.352,0.549,89.062,-
'[03:55:40.376]',0.367,0.549,97.500,-
'[03:55:40.384]',0.375,0.549,105.000,-
'[03:55:40.392]',0.367,0.549,110.625,-
'[03:55:40.400]',0.352,0.541,114.375,-
'[03:55:40.408]',0.328,0.541,117.188,-
'[03:55:40.416]',0.312,0.541,120.000,-
'[03:55:40.424]',0.289,0.541,122.812,-
'[03:55:40.432]',0.273,0.533,124.688,-
'[03:55:40.440]',0.266,0.533,125.625,-
'[03:55:40.448]',0.250,0.533,126.562,-
'[03:55:40.456]',0.250,0.533,127.500,-
'[03:55:40.464]',0.250,0.525,127.500,-
'[03:55:40.472]',0.266,0.525,126.562,-
'[03:55:40.480]',0.266,0.525,125.625,-
'[03:55:40.488]',0.258,0.518,124.688,-
'[03:55:40.496]',0.250,0.518,122.812,-
'[03:55:40.504]',0.250,0.518,120.000,-
'[03:55:40.512]',0.250,0.518,118.125,-
'[03:55:40.520]',0.250,0.510,115.312,-
'[03:55:40.528]',0.266,0.510,111.562,-
'[03:55:40.536]',0.273,0.510,106.875,-
'[03:55:40.544]',0.297,0.502,102.188,-
'[03:55:40.552]',0.312,0.502,97.500,-
'[03:55:40.560]',0.312,0.502,93.750,-
'[03:55:40.568]',0.320,0.502,90.938,-
'[03:55:40.576]',0.312,0.502,89.062,-
'[03:55:40.584]',0.281,0.502,88.125,-
'[03:55:40.592]',0.242,0.490,87.188,-
'[03:55:40.600]',0.211,0.490,87.188,-
'[03:55:40.608]',0.203,0.490,86.250,-
'[03:55:40.616]',0.203,0.490,85.312,-
'[03:55:40.624]',0.195,0.490,83.438,-
'[03:55:40.632]',0.188,0.482,82.500,-
'[03:55:40.640]',0.188,0.482,81.562,-
'[03:55:40.648]',0.219,0.482,80.625,-
'[03:55:40.656]',0.273,0.482,80.625,-
'[03:55:40.664]',0.305,0.490,79.688,-
'[03:55:40.672]',0.273,0.490,79.688,-
'[03:55:40.680]',0.242,0.490,78.750,-
'[03:55:40.688]',0.195,0.490,77.812,-
'[03:55:40.696]',0.016,0.502,76.875,-
'[03:55:40.704]',-0.180,0.502,76.875,-
'[03:55:40.712]',-0.211,0.502,76.875,-
'[03:55:40.720]',-0.062,0.502,75.938,-
'[03:55:40.728]',0.070,0.502,75.938,-
'[03:55:40.736]',0.141,0.510,75.000,-
'[03:55:40.744]',0.188,0.510,74.062,-
'[03:55:40.752]',0.211,0.518,74.062,-
'[03:55:40.760]',0.227,0.518,73.125,-
'[03:55:40.768]',0.227,0.525,73.125,-
'[03:55:40.776]',0.234,0.525,73.125,-
'[03:55:40.784]',0.242,0.525,73.125,-
'[03:55:40.792]',0.250,0.525,72.188,-
'[03:55:40.800]',0.250,0.533,72.188,-
'[03:55:40.808]',0.250,0.533,71.250,-
'[03:55:40.816]',0.258,0.533,70.312,-
'[03:55:40.824]',0.266,0.533,70.312,-
'[03:55:40.832]',0.273,0.533,69.375,-
'[03:55:40.840]',0.281,0.533,69.375,-
'[03:55:40.848]',0.281,0.533,69.375,-
'[03:55:40.856]',0.289,0.533,68.438,-
'[03:55:40.864]',0.297,0.533,67.500,-
'[03:55:40.872]',0.297,0.533,67.500,-
'[03:55:40.880]',0.289,0.533,66.562,-
'[03:55:40.888]',0.289,0.533,66.562,-
'[03:55:40.896]',0.289,0.533,66.562,-
'[03:55:40.904]',0.297,0.533,66.562,-
'[03:55:40.912]',0.297,0.533,67.500,-
'[03:55:40.920]',0.312,0.533,69.375,-
'[03:55:40.928]',0.312,0.533,73.125,-
'[03:55:40.936]',0.320,0.533,79.688,-
'[03:55:40.944]',0.336,0.533,88.125,-
'[03:55:40.952]',0.352,0.525,97.500,-
'[03:55:40.960]',0.367,0.525,105.000,-
'[03:55:40.968]',0.359,0.525,109.688,-
'[03:55:40.976]',0.344,0.525,113.438,-
'[03:55:40.984]',0.312,0.525,116.250,-
'[03:55:40.992]',0.289,0.518,119.062,-
'[03:55:41.000]',0.273,0.518,120.938,-
'[03:55:41.008]',0.266,0.518,123.750,-
'[03:55:41.016]',0.250,0.518,125.625,-
'[03:55:41.024]',0.242,0.510,126.562,-
'[03:55:41.032]',0.242,0.510,127.500,-
'[03:55:41.040]',0.242,0.510,127.500,-
'[03:55:41.048]',0.250,0.502,126.562,-
'[03:55:41.056]',0.250,0.502,125.625,-
'[03:55:41.064]',0.250,0.502,123.750,-
'[03:55:41.072]',0.250,0.502,122.812,-
'[03:55:41.080]',0.250,0.502,120.938,-
'[03:55:41.088]',0.250,0.502,119.062,-
'[03:55:41.096]',0.258,0.502,116.250,-
'[03:55:41.104]',0.266,0.490,113.438,-
'[03:55:41.112]',0.281,0.490,108.750,-
'[03:55:41.120]',0.289,0.490,104.062,-
'[03:55:41.128]',0.297,0.482,99.375,-
'[03:55:41.136]',0.305,0.482,94.688,-
'[03:55:41.144]',0.312,0.482,90.938,-
'[03:55:41.152]',0.312,0.482,89.062,-
'[03:55:41.160]',0.281,0.475,87.188,-
'[03:55:41.168]',0.242,0.475,86.250,-
'[03:55:41.176]',0.211,0.475,86.250,-
'[03:55:41.184]',0.195,0.475,85.312,-
'[03:55:41.192]',0.188,0.475,84.375,-
'[03:55:41.200]',0.180,0.475,83.438,-
'[03:55:41.208]',0.180,0.475,82.500,-
'[03:55:41.216]',0.180,0.475,81.562,-
'[03:55:41.224]',0.203,0.475,80.625,-
'[03:55:41.232]',0.250,0.475,79.688,-
'[03:55:41.240]',0.289,0.475,79.688,-
'[03:55:41.248]',0.266,0.475,78.750,-
'[03:55:41.256]',0.227,0.475,78.750,-
'[03:55:41.264]',0.211,0.482,77.812,-
'[03:55:41.272]',0.086,0.482,77.812,-
'[03:55:41.280]',-0.125,0.490,76.875,-
'[03:55:41.288]',-0.203,0.490,76.875,-
'[03:55:41.296]',-0.109,0.490,75.938,-
'[03:55:41.304]',0.039,0.502,75.938,-
'[03:55:41.312]',0.133,0.502,75.938,-
'[03:55:41.320]',0.188,0.502,75.000,-
'[03:55:41.328]',0.211,0.502,75.000,-
'[03:55:41.336]',0.227,0.502,75.000,-
'[03:55:41.344]',0.234,0.510,74.062,-
'[03:55:41.352]',0.242,0.510,74.062,-
'[03:55:41.360]',0.242,0.510,73.125,-
'[03:55:41.368]',0.250,0.518,73.125,-
'[03:55:41.376]',0.250,0.518,72.188,-
'[03:55:41.384]',0.250,0.518,72.188,-
'[03:55:41.392]',0.250,0.518,71.250,-
'[03:55:41.400]',0.250,0.525,70.312,-
'[03:55:41.408]',0.250,0.525,69.375,-
'[03:55:41.416]',0.266,0.525,69.375,-
'[03:55:41.424]',0.266,0.525,68.438,-
'[03:55:41.432]',0.266,0.525,68.438,-
'[03:55:41.440]',0.266,0.525,68.438,-
'[03:55:41.448]',0.266,0.525,67.500,-
'[03:55:41.456]',0.266,0.525,67.500,-
'[03:55:41.464]',0.266,0.525,66.562,-
'[03:55:41.472]',0.273,0.525,66.562,-
'[03:55:41.480]',0.281,0.525,66.562,-
'[03:55:41.488]',0.289,0.525,67.500,-
'[03:55:41.496]',0.297,0.525,68.438,-
'[03:55:41.504]',0.297,0.525,72.188,-
'[03:55:41.512]',0.312,0.525,77.812,-
'[03:55:41.520]',0.328,0.525,86.250,-
'[03:55:41.528]',0.352,0.518,95.625,-
'[03:55:41.536]',0.359,0.518,103.125,-
'[03:55:41.544]',0.359,0.518,108.750,-
'[03:55:41.552]',0.336,0.518,113.438,-
'[03:55:41.560]',0.320,0.518,116.250,-
'[03:55:41.568]',0.297,0.518,120.000,-
'[03:55:41.576]',0.273,0.510,122.812,-
'[03:55:41.584]',0.266,0.510,124.688,-
'[03:55:41.592]',0.250,0.510,126.562,-
'[03:55:41.600]',0.250,0.510,128.438,-
'[03:55:41.608]',0.250,0.502,128.438,-
'[03:55:41.616]',0.242,0.502,128.438,-
'[03:55:41.624]',0.242,0.502,128.438,-
'[03:55:41.632]',0.242,0.502,127.500,-
'[03:55:41.640]',0.242,0.502,126.562,-
'[03:55:41.648]',0.242,0.502,125.625,-
'[03:55:41.656]',0.242,0.502,123.750,-
'[03:55:41.664]',0.242,0.490,121.875,-
'[03:55:41.672]',0.242,0.490,119.062,-
'[03:55:41.680]',0.250,0.490,116.250,-
'[03:55:41.688]',0.266,0.490,112.500,-
'[03:55:41.696]',0.281,0.482,107.812,-
'[03:55:41.704]',0.297,0.482,103.125,-
'[03:55:41.712]',0.305,0.482,98.438,-
'[03:55:41.720]',0.312,0.482,93.750,-
'[03:55:41.728]',0.312,0.475,90.938,-
'[03:55:41.736]',0.289,0.475,89.062,-
'[03:55:41.744]',0.258,0.475,88.125,-
'[03:55:41.752]',0.219,0.475,87.188,-
'[03:55:41.760]',0.195,0.475,87.188,-
'[03:55:41.768]',0.188,0.475,86.250,-
'[03:55:41.776]',0.180,0.475,85.312,-
'[03:55:41.784]',0.180,0.475,84.375,-
'[03:55:41.792]',0.180,0.475,83.438,-
'[03:55:41.800]',0.188,0.475,82.500,-
'[03:55:41.808]',0.227,0.475,81.562,-
'[03:55:41.816]',0.281,0.475,80.625,-
'[03:55:41.824]',0.297,0.475,80.625,-
'[03:55:41.832]',0.250,0.482,79.688,-
'[03:55:41.840]',0.227,0.482,79.688,-
'[03:55:41.848]',0.125,0.482,79.688,-
'[03:55:41.856]',-0.070,0.490,78.750,-
'[03:55:41.864]',-0.211,0.490,78.750,-
'[03:55:41.872]',-0.164,0.502,77.812,-
'[03:55:41.880]',-0.016,0.502,77.812,-
'[03:55:41.888]',0.094,0.502,76.875,-
'[03:55:41.896]',0.156,0.502,76.875,-
'[03:55:41.904]',0.195,0.510,75.938,-
'[03:55:41.912]',0.211,0.510,75.938,-
'[03:55:41.920]',0.219,0.510,75.000,-
'[03:55:41.928]',0.227,0.518,75.000,-
'[03:55:41.936]',0.227,0.518,74.062,-
'[03:55:41.944]',0.227,0.525,73.125,-
'[03:55:41.952]',0.219,0.525,73.125,-
'[03:55:41.960]',0.211,0.525,72.188,-
'[03:55:41.968]',0.219,0.525,71.250,-
'[03:55:41.976]',0.227,0.533,70.312,-
'[03:55:41.984]',0.234,0.533,70.312,-
'[03:55:41.992]',0.242,0.533,69.375,-
'[03:55:42.000]',0.250,0.533,69.375,-
'[03:55:42.008]',0.250,0.533,68.438,-
'[03:55:42.016]',0.258,0.533,68.438,-
'[03:55:42.024]',0.250,0.533,67.500,-
'[03:55:42.032]',0.250,0.533,67.500,-
'[03:55:42.040]',0.258,0.533,66.562,-
'[03:55:42.048]',0.266,0.533,66.562,-
'[03:55:42.056]',0.266,0.533,66.562,-
'[03:55:42.064]',0.266,0.533,67.500,-
'[03:55:42.072]',0.281,0.533,68.438,-
'[03:55:42.080]',0.289,0.533,72.188,-
'[03:55:42.088]',0.297,0.533,77.812,-
'[03:55:42.096]',0.312,0.533,85.312,-
'[03:55:42.104]',0.336,0.533,94.688,-
'[03:55:42.112]',0.344,0.533,103.125,-
'[03:55:42.120]',0.344,0.525,109.688,-
'[03:55:42.128]',0.328,0.525,114.375,-
'[03:55:42.136]',0.312,0.525,118.125,-
'[03:55:42.144]',0.281,0.525,120.938,-
'[03:55:42.152]',0.258,0.525,123.750,-
'[03:55:42.160]',0.242,0.525,126.562,-
'[03:55:42.168]',0.227,0.518,128.438,-
'[03:55:42.176]',0.219,0.518,130.312,-
'[03:55:42.184]',0.211,0.518,131.250,-
'[03:55:42.192]',0.211,0.518,131.250,-
'[03:55:42.200]',0.211,0.510,130.312,-
'[03:55:42.208]',0.211,0.510,130.312,-
'[03:55:42.216]',0.211,0.510,129.375,-
'[03:55:42.224]',0.227,0.510,127.500,-
'[03:55:42.232]',0.227,0.502,126.562,-
'[03:55:42.240]',0.227,0.502,124.688,-
'[03:55:42.248]',0.227,0.502,121.875,-
'[03:55:42.256]',0.234,0.502,119.062,-
'[03:55:42.264]',0.250,0.502,116.250,-
'[03:55:42.272]',0.266,0.502,111.562,-
'[03:55:42.280]',0.281,0.490,106.875,-
'[03:55:42.288]',0.297,0.490,102.188,-
'[03:55:42.296]',0.312,0.490,97.500,-
'[03:55:42.304]',0.312,0.482,93.750,-
'[03:55:42.312]',0.297,0.482,91.875,-
'[03:55:42.320]',0.266,0.482,90.000,-
'[03:55:42.328]',0.227,0.482,89.062,-
'[03:55:42.336]',0.203,0.482,89.062,-
'[03:55:42.344]',0.188,0.475,88.125,-
'[03:55:42.352]',0.172,0.475,87.188,-
'[03:55:42.360]',0.172,0.475,86.250,-
'[03:55:42.368]',0.172,0.475,85.312,-
'[03:55:42.376]',0.172,0.475,84.375,-
'[03:55:42.384]',0.203,0.482,83.438,-
'[03:55:42.392]',0.250,0.482,83.438,-
'[03:55:42.400]',0.273,0.482,82.500,-
'[03:55:42.408]',0.242,0.490,81.562,-
'[03:55:42.416]',0.234,0.490,81.562,-
'[03:55:42.424]',0.195,0.490,80.625,-
'[03:55:42.432]',0.000,0.502,80.625,-
'[03:55:42.440]',-0.188,0.502,79.688,-
'[03:55:42.448]',-0.203,0.502,79.688,-
'[03:55:42.456]',-0.047,0.502,78.750,-
'[03:55:42.464]',0.070,0.510,78.750,-
'[03:55:42.472]',0.141,0.510,77.812,-
