'Time','I','II','AVR','V','RESP','PLETH','ABP','CVP'
'[15:04:12.240]',-,0.530,0.570,0.425,0.935,2.154,69.398,-0.313
'[15:04:12.248]',-,0.540,0.560,0.410,0.913,2.145,69.046,-0.381
'[15:04:12.256]',-,0.550,0.545,0.400,0.890,2.131,68.929,-0.381
'[15:04:12.264]',-,0.570,0.530,0.380,0.869,2.116,69.163,-0.381
'[15:04:12.272]',-,0.585,0.515,0.365,0.848,2.097,69.925,-0.254
'[15:04:12.280]',-,0.615,0.490,0.340,0.826,2.073,71.215,-0.068
'[15:04:12.288]',-,0.640,0.465,0.315,0.803,2.050,73.794,0.059
'[15:04:12.296]',-,0.670,0.440,0.285,0.780,2.022,78.190,0.186
'[15:04:12.304]',-,0.700,0.415,0.255,0.757,1.989,84.520,0.117
'[15:04:12.312]',-,0.725,0.400,0.230,0.735,1.961,91.846,-0.127
'[15:04:12.320]',-,0.735,0.390,0.215,0.714,1.935,98.645,-0.567
'[15:04:12.328]',-,0.740,0.385,0.215,0.694,1.907,104.272,-1.065
'[15:04:12.336]',-,0.705,0.405,0.230,0.675,1.882,109.079,-1.446
'[15:04:12.344]',-,0.660,0.440,0.275,0.655,1.856,113.181,-1.690
'[15:04:12.352]',-,0.605,0.485,0.325,0.635,1.832,116.405,-1.758
'[15:04:12.360]',-,0.555,0.530,0.375,0.616,1.809,118.281,-1.631
'[15:04:12.368]',-,0.510,0.570,0.425,0.596,1.790,118.926,-1.446
'[15:04:12.376]',-,0.475,0.605,0.450,0.577,1.772,118.750,-1.377
'[15:04:12.384]',-,0.440,0.630,0.470,0.559,1.756,118.339,-1.377
'[15:04:12.392]',-,0.420,0.650,0.480,0.541,1.739,118.105,-1.504
'[15:04:12.400]',-,0.405,0.665,0.490,0.523,1.722,118.222,-1.690
'[15:04:12.408]',-,0.395,0.670,0.495,0.508,1.711,118.691,-1.817
'[15:04:12.416]',-,0.390,0.680,0.500,0.493,1.700,119.277,-1.944
'[15:04:12.424]',-,0.385,0.685,0.500,0.480,1.687,119.805,-2.003
'[15:04:12.432]',-,0.385,0.685,0.500,0.468,1.673,119.922,-2.003
'[15:04:12.440]',-,0.385,0.685,0.500,0.456,1.659,119.805,-2.003
'[15:04:12.448]',-,0.385,0.680,0.495,0.445,1.646,119.512,-2.071
'[15:04:12.456]',-,0.390,0.680,0.490,0.434,1.631,119.101,-2.257
'[15:04:12.464]',-,0.390,0.675,0.490,0.423,1.616,118.574,-2.501
'[15:04:12.472]',-,0.395,0.675,0.490,0.414,1.600,117.753,-2.813
'[15:04:12.480]',-,0.395,0.670,0.485,0.405,1.585,116.757,-2.999
'[15:04:12.488]',-,0.400,0.665,0.480,0.396,1.569,115.467,-2.999
'[15:04:12.496]',-,0.405,0.665,0.480,0.388,1.552,113.943,-2.999
'[15:04:12.504]',-,0.405,0.660,0.475,0.380,1.539,112.068,-2.999
'[15:04:12.512]',-,0.410,0.660,0.475,0.373,1.532,109.665,-2.999
'[15:04:12.520]',-,0.410,0.660,0.470,0.366,1.526,106.558,-2.999
'[15:04:12.528]',-,0.410,0.660,0.470,0.359,1.515,102.807,-2.999
'[15:04:12.536]',-,0.415,0.655,0.465,0.352,1.503,98.880,-2.999
'[15:04:12.544]',-,0.410,0.655,0.465,0.345,1.494,95.598,-2.999
'[15:04:12.552]',-,0.410,0.655,0.465,0.339,1.480,93.663,-2.999
'[15:04:12.560]',-,0.410,0.655,0.455,0.333,1.465,92.843,-2.999
'[15:04:12.568]',-,0.415,0.655,0.455,0.328,1.455,92.608,-2.999
'[15:04:12.576]',-,0.415,0.650,0.455,0.324,1.451,92.374,-2.999
'[15:04:12.584]',-,0.415,0.650,0.455,0.320,1.461,91.846,-2.999
'[15:04:12.592]',-,0.415,0.650,0.455,0.316,1.489,91.377,-2.999
'[15:04:12.600]',-,0.420,0.650,0.450,0.313,1.541,91.026,-2.999
'[15:04:12.608]',-,0.425,0.645,0.450,0.309,1.609,90.850,-2.999
'[15:04:12.616]',-,0.430,0.640,0.455,0.306,1.696,90.674,-2.999
'[15:04:12.624]',-,0.455,0.625,0.470,0.303,1.814,90.440,-2.999
'[15:04:12.632]',-,0.485,0.605,0.465,0.301,1.958,90.029,-2.813
'[15:04:12.640]',-,0.500,0.590,0.435,0.298,2.117,89.619,-2.628
'[15:04:12.648]',-,0.510,0.585,0.405,0.296,2.280,89.033,-2.384
'[15:04:12.656]',-,0.515,0.575,0.380,0.294,2.435,88.505,-2.130
'[15:04:12.664]',-,0.520,0.570,0.365,0.292,2.574,87.861,-1.817
'[15:04:12.672]',-,0.510,0.565,0.365,0.290,2.688,87.216,-1.631
'[15:04:12.680]',-,0.495,0.575,0.380,0.288,2.775,86.630,-1.446
'[15:04:12.688]',-,0.470,0.600,0.390,0.285,2.837,85.926,-1.250
'[15:04:12.696]',-,0.440,0.625,0.405,0.283,2.876,85.282,-1.192
'[15:04:12.704]',-,0.415,0.650,0.425,0.281,2.895,84.637,-1.133
'[15:04:12.712]',-,0.405,0.660,0.435,0.279,2.901,83.934,-1.133
'[15:04:12.720]',-,0.395,0.670,0.445,0.277,2.898,83.230,-1.192
'[15:04:12.728]',-,0.390,0.670,0.445,0.275,2.887,82.527,-1.250
'[15:04:12.736]',-,0.390,0.675,0.440,0.273,2.868,81.941,-1.377
'[15:04:12.744]',-,0.390,0.675,0.440,0.271,2.845,81.296,-1.504
'[15:04:12.752]',-,0.390,0.670,0.445,0.270,2.817,80.651,-1.631
'[15:04:12.760]',-,0.390,0.670,0.440,0.269,2.789,80.124,-1.690
'[15:04:12.768]',-,0.395,0.665,0.435,0.268,2.762,79.479,-1.690
'[15:04:12.776]',-,0.400,0.665,0.435,0.267,2.740,78.893,-1.631
'[15:04:12.784]',-,0.405,0.660,0.435,0.266,2.718,78.365,-1.631
'[15:04:12.792]',-,0.425,0.655,0.445,0.265,2.693,77.779,-1.563
'[15:04:12.800]',-,0.480,0.620,0.455,0.264,2.665,77.310,-1.563
'[15:04:12.808]',-,0.590,0.520,0.305,0.262,2.636,76.900,-1.504
'[15:04:12.816]',-,0.765,0.320,-0.035,0.261,2.604,76.548,-1.446
'[15:04:12.824]',-,0.930,0.105,-0.370,0.259,2.565,76.255,-1.319
'[15:04:12.832]',-,0.940,0.065,-0.415,0.257,2.524,75.904,-1.065
'[15:04:12.840]',-,0.590,0.415,0.075,0.255,2.477,75.552,-0.752
'[15:04:12.848]',-,0.365,0.715,0.435,0.253,2.425,75.200,-0.440
'[15:04:12.856]',-,0.305,0.805,0.545,0.251,2.370,74.849,-0.127
'[15:04:12.864]',-,0.345,0.760,0.535,0.249,2.317,74.438,0.117
'[15:04:12.872]',-,0.400,0.695,0.515,0.247,2.266,73.969,0.371
'[15:04:12.880]',-,0.435,0.660,0.510,0.246,2.220,73.501,0.498
'[15:04:12.888]',-,0.450,0.645,0.505,0.244,2.181,72.973,0.557
'[15:04:12.896]',-,0.455,0.640,0.500,0.243,2.146,72.446,0.498
'[15:04:12.904]',-,0.465,0.635,0.490,0.242,2.117,71.859,0.430
'[15:04:12.912]',-,0.470,0.625,0.485,0.241,2.098,71.273,0.313
'[15:04:12.920]',-,0.475,0.620,0.480,0.239,2.079,70.746,0.244
'[15:04:12.928]',-,0.480,0.615,0.475,0.238,2.063,70.160,0.117
'[15:04:12.936]',-,0.490,0.605,0.470,0.237,2.050,69.691,0.000
'[15:04:12.944]',-,0.500,0.595,0.465,0.235,2.044,69.163,-0.127
'[15:04:12.952]',-,0.510,0.590,0.455,0.234,2.041,68.753,-0.254
'[15:04:12.960]',-,0.515,0.580,0.450,0.233,2.039,68.225,-0.440
'[15:04:12.968]',-,0.530,0.575,0.440,0.232,2.036,67.756,-0.625
'[15:04:12.976]',-,0.540,0.570,0.425,0.232,2.031,67.288,-0.821
'[15:04:12.984]',-,0.545,0.560,0.410,0.231,2.024,66.936,-0.938
'[15:04:12.992]',-,0.560,0.550,0.400,0.231,2.017,66.760,-1.065
'[15:04:13.000]',-,0.570,0.535,0.385,0.230,2.005,66.936,-1.065
'[15:04:13.008]',-,0.590,0.520,0.370,0.230,1.991,67.522,-0.938
'[15:04:13.016]',-,0.610,0.500,0.350,0.229,1.976,68.753,-0.752
'[15:04:13.024]',-,0.640,0.475,0.325,0.229,1.956,70.980,-0.625
'[15:04:13.032]',-,0.670,0.450,0.295,0.228,1.935,75.024,-0.567
'[15:04:13.040]',-,0.700,0.425,0.265,0.227,1.911,81.120,-0.694
'[15:04:13.048]',-,0.730,0.400,0.235,0.226,1.888,88.564,-1.006
'[15:04:13.056]',-,0.750,0.385,0.215,0.226,1.863,95.715,-1.563
'[15:04:13.064]',-,0.760,0.375,0.200,0.226,1.839,101.752,-2.130
'[15:04:13.072]',-,0.750,0.380,0.200,0.225,1.817,106.734,-2.628
'[15:04:13.080]',-,0.715,0.400,0.225,0.224,1.798,111.247,-2.882
'[15:04:13.088]',-,0.670,0.440,0.265,0.224,1.780,114.998,-2.813
'[15:04:13.096]',-,0.615,0.485,0.310,0.223,1.763,117.402,-2.628
'[15:04:13.104]',-,0.565,0.530,0.365,0.222,1.751,118.515,-2.384
'[15:04:13.112]',-,0.525,0.570,0.405,0.221,1.741,118.574,-2.130
'[15:04:13.120]',-,0.485,0.605,0.435,0.221,1.727,118.281,-2.130
'[15:04:13.128]',-,0.455,0.630,0.460,0.220,1.713,118.164,-2.257
'[15:04:13.136]',-,0.435,0.645,0.475,0.220,1.697,118.515,-2.501
'[15:04:13.144]',-,0.425,0.660,0.480,0.219,1.681,119.043,-2.813
'[15:04:13.152]',-,0.415,0.665,0.485,0.218,1.666,119.805,-2.940
'[15:04:13.160]',-,0.410,0.665,0.490,0.217,1.649,120.449,-2.999
'[15:04:13.168]',-,0.410,0.670,0.485,0.216,1.633,120.860,-2.999
'[15:04:13.176]',-,0.410,0.670,0.485,0.215,1.617,121.094,-2.940
'[15:04:13.184]',-,0.410,0.670,0.485,0.214,1.601,121.094,-2.999
'[15:04:13.192]',-,0.410,0.665,0.480,0.213,1.585,120.977,-2.999
'[15:04:13.200]',-,0.410,0.665,0.480,0.212,1.569,120.625,-2.999
'[15:04:13.208]',-,0.415,0.665,0.480,0.211,1.557,120.039,-2.999
'[15:04:13.216]',-,0.420,0.660,0.480,0.209,1.548,119.219,-2.999
'[15:04:13.224]',-,0.425,0.655,0.475,0.208,1.541,118.222,-2.999
'[15:04:13.232]',-,0.430,0.655,0.475,0.207,1.533,116.933,-2.999
'[15:04:13.240]',-,0.430,0.655,0.470,0.206,1.524,115.350,-2.999
'[15:04:13.248]',-,0.435,0.650,0.470,0.205,1.516,113.357,-2.999
'[15:04:13.256]',-,0.435,0.645,0.465,0.204,1.508,110.778,-2.999
'[15:04:13.264]',-,0.440,0.645,0.465,0.204,1.500,107.555,-2.999
'[15:04:13.272]',-,0.445,0.645,0.460,0.204,1.492,103.686,-2.999
'[15:04:13.280]',-,0.440,0.645,0.455,0.204,1.484,99.700,-2.999
'[15:04:13.288]',-,0.445,0.645,0.455,0.204,1.473,96.242,-2.999
'[15:04:13.296]',-,0.445,0.645,0.455,0.204,1.462,94.015,-2.999
'[15:04:13.304]',-,0.445,0.645,0.450,0.204,1.457,92.901,-2.999
'[15:04:13.312]',-,0.440,0.645,0.450,0.204,1.454,92.491,-2.882
'[15:04:13.320]',-,0.440,0.640,0.450,0.204,1.455,92.139,-2.882
'[15:04:13.328]',-,0.440,0.640,0.450,0.205,1.471,91.612,-2.813
'[15:04:13.336]',-,0.445,0.640,0.445,0.206,1.509,91.202,-2.813
'[15:04:13.344]',-,0.445,0.635,0.445,0.207,1.576,90.909,-2.755
'[15:04:13.352]',-,0.450,0.625,0.450,0.208,1.674,90.791,-2.628
'[15:04:13.360]',-,0.470,0.610,0.465,0.210,1.804,90.615,-2.442
'[15:04:13.368]',-,0.505,0.590,0.455,0.211,1.961,90.381,-2.188
'[15:04:13.376]',-,0.520,0.575,0.425,0.212,2.137,90.029,-1.944
'[15:04:13.384]',-,0.530,0.570,0.395,0.213,2.318,89.619,-1.690
'[15:04:13.392]',-,0.540,0.555,0.365,0.214,2.493,89.092,-1.504
'[15:04:13.400]',-,0.545,0.550,0.350,0.215,2.653,88.564,-1.250
'[15:04:13.408]',-,0.535,0.550,0.355,0.216,2.776,87.919,-1.133
'[15:04:13.416]',-,0.520,0.560,0.370,0.217,2.868,87.275,-0.938
'[15:04:13.424]',-,0.490,0.585,0.385,0.217,2.946,86.630,-0.879
'[15:04:13.432]',-,0.460,0.615,0.400,0.218,3.003,85.926,-0.821
'[15:04:13.440]',-,0.430,0.635,0.420,0.219,3.040,85.223,-0.821
'[15:04:13.448]',-,0.420,0.655,0.430,0.220,3.061,84.520,-0.879
'[15:04:13.456]',-,0.410,0.660,0.435,0.220,3.066,83.875,-0.938
'[15:04:13.464]',-,0.410,0.665,0.435,0.221,3.062,83.172,-1.065
'[15:04:13.472]',-,0.405,0.665,0.435,0.221,3.053,82.527,-1.192
'[15:04:13.480]',-,0.405,0.665,0.435,0.222,3.042,81.882,-1.377
'[15:04:13.488]',-,0.405,0.660,0.435,0.222,3.029,81.237,-1.446
'[15:04:13.496]',-,0.410,0.660,0.435,0.223,3.013,80.593,-1.504
'[15:04:13.504]',-,0.410,0.660,0.435,0.223,2.992,80.007,-1.563
'[15:04:13.512]',-,0.410,0.660,0.430,0.224,2.891,79.420,-1.563
'[15:04:13.520]',-,0.415,0.655,0.430,0.224,2.749,78.834,-1.563
'[15:04:13.528]',-,0.430,0.655,0.440,0.224,2.667,78.307,-1.563
'[15:04:13.536]',-,0.485,0.625,0.445,0.224,2.614,77.838,-1.563
'[15:04:13.544]',-,0.590,0.530,0.325,0.224,2.575,77.428,-1.504
'[15:04:13.552]',-,0.750,0.335,-0.010,0.223,2.539,77.076,-1.446
'[15:04:13.560]',-,0.920,0.109,-0.366,0.223,2.502,76.724,-1.377
'[15:04:13.568]',-,0.940,0.060,-0.431,0.223,2.463,76.431,-1.192
'[15:04:13.576]',-,0.610,0.380,0.024,0.222,2.418,76.021,-0.938
'[15:04:13.584]',-,0.380,0.695,0.415,0.222,2.367,75.669,-0.567
'[15:04:13.592]',-,0.315,0.805,0.540,0.222,2.313,75.259,-0.195
'[15:04:13.600]',-,0.345,0.765,0.530,0.221,2.258,74.790,0.186
'[15:04:13.608]',-,0.405,0.695,0.515,0.220,2.208,74.380,0.430
'[15:04:13.616]',-,0.445,0.650,0.510,0.220,2.163,73.852,0.498
'[15:04:13.624]',-,0.460,0.640,0.500,0.219,2.114,73.325,0.430
'[15:04:13.632]',-,0.470,0.635,0.495,0.218,2.070,72.797,0.371
'[15:04:13.640]',-,0.475,0.625,0.490,0.216,2.033,72.211,0.244
'[15:04:13.648]',-,0.485,0.615,0.480,0.215,2.002,71.684,0.117
'[15:04:13.656]',-,0.490,0.610,0.475,0.215,1.977,71.097,0.000
'[15:04:13.664]',-,0.495,0.610,0.470,0.214,1.957,70.570,-0.068
'[15:04:13.672]',-,0.500,0.600,0.465,0.213,1.943,70.042,-0.127
'[15:04:13.680]',-,0.510,0.595,0.455,0.213,1.936,69.632,-0.254
'[15:04:13.688]',-,0.515,0.590,0.445,0.213,1.934,69.105,-0.381
'[15:04:13.696]',-,0.525,0.580,0.435,0.213,1.932,68.694,-0.567
'[15:04:13.704]',-,0.535,0.575,0.430,0.213,1.931,68.225,-0.752
'[15:04:13.712]',-,0.545,0.570,0.420,0.213,1.931,67.815,-0.938
'[15:04:13.720]',-,0.555,0.555,0.410,0.212,1.927,67.405,-1.133
'[15:04:13.728]',-,0.565,0.550,0.395,0.212,1.917,67.229,-1.192
'[15:04:13.736]',-,0.575,0.535,0.380,0.211,1.904,67.405,-1.133
'[15:04:13.744]',-,0.590,0.520,0.365,0.211,1.888,67.932,-1.006
'[15:04:13.752]',-,0.610,0.500,0.345,0.210,1.864,68.987,-0.879
'[15:04:13.760]',-,0.635,0.480,0.320,0.210,1.838,71.039,-0.752
'[15:04:13.768]',-,0.665,0.455,0.290,0.210,1.812,74.673,-0.752
'[15:04:13.776]',-,0.695,0.430,0.255,0.210,1.788,80.475,-0.879
'[15:04:13.784]',-,0.720,0.410,0.230,0.210,1.764,87.743,-1.250
'[15:04:13.792]',-,0.740,0.385,0.210,0.210,1.742,95.011,-1.690
'[15:04:13.800]',-,0.750,0.380,0.195,0.210,1.719,101.166,-2.315
'[15:04:13.808]',-,0.740,0.385,0.190,0.210,1.701,106.324,-2.755
'[15:04:13.816]',-,0.710,0.405,0.215,0.210,1.684,110.778,-2.999
'[15:04:13.824]',-,0.660,0.445,0.255,0.211,1.665,114.647,-2.940
'[15:04:13.832]',-,0.610,0.485,0.305,0.211,1.644,117.343,-2.696
'[15:04:13.840]',-,0.560,0.530,0.360,0.211,1.623,118.691,-2.442
'[15:04:13.848]',-,0.520,0.570,0.400,0.211,1.601,118.867,-2.315
'[15:04:13.856]',-,0.485,0.605,0.435,0.211,1.581,118.632,-2.384
'[15:04:13.864]',-,0.460,0.630,0.460,0.211,1.563,118.515,-2.628
'[15:04:13.872]',-,0.440,0.645,0.470,0.210,1.547,118.808,-2.940
'[15:04:13.880]',-,0.425,0.660,0.480,0.210,1.532,119.336,-2.999
'[15:04:13.888]',-,0.415,0.665,0.485,0.210,1.516,119.981,-2.999
'[15:04:13.896]',-,0.410,0.670,0.485,0.210,1.501,120.508,-2.999
'[15:04:13.904]',-,0.410,0.670,0.485,0.210,1.491,120.801,-2.999
'[15:04:13.912]',-,0.410,0.670,0.485,0.209,1.481,120.977,-2.999
'[15:04:13.920]',-,0.410,0.675,0.485,0.209,1.469,121.036,-2.999
'[15:04:13.928]',-,0.410,0.675,0.485,0.208,1.456,120.977,-2.999
'[15:04:13.936]',-,0.410,0.675,0.485,0.207,1.442,120.684,-2.999
'[15:04:13.944]',-,0.415,0.670,0.480,0.206,1.427,120.098,-2.999
'[15:04:13.952]',-,0.420,0.670,0.480,0.206,1.413,119.277,-2.999
'[15:04:13.960]',-,0.425,0.665,0.475,0.205,1.398,118.281,-2.999
'[15:04:13.968]',-,0.425,0.665,0.470,0.204,1.383,116.991,-2.999
'[15:04:13.976]',-,0.430,0.660,0.470,0.203,1.369,115.350,-2.999
'[15:04:13.984]',-,0.430,0.660,0.465,0.203,1.356,113.357,-2.999
'[15:04:13.992]',-,0.435,0.655,0.465,0.202,1.347,110.661,-2.999
'[15:04:14.000]',-,0.435,0.650,0.460,0.202,1.343,107.379,-2.999
'[15:04:14.008]',-,0.440,0.650,0.455,0.202,1.341,103.452,-2.999
'[15:04:14.016]',-,0.435,0.650,0.455,0.202,1.338,99.407,-2.999
'[15:04:14.024]',-,0.435,0.650,0.450,0.202,1.333,96.125,-2.999
'[15:04:14.032]',-,0.440,0.650,0.450,0.203,1.326,94.074,-2.999
'[15:04:14.040]',-,0.440,0.650,0.445,0.203,1.318,93.136,-2.999
'[15:04:14.048]',-,0.440,0.650,0.445,0.203,1.310,92.726,-2.940
'[15:04:14.056]',-,0.440,0.645,0.445,0.204,1.310,92.315,-2.813
'[15:04:14.064]',-,0.445,0.645,0.445,0.204,1.323,91.729,-2.755
'[15:04:14.072]',-,0.445,0.645,0.440,0.204,1.355,91.319,-2.696
'[15:04:14.080]',-,0.445,0.645,0.440,0.205,1.415,91.026,-2.628
'[15:04:14.088]',-,0.445,0.645,0.440,0.205,1.506,90.850,-2.442
'[15:04:14.096]',-,0.450,0.640,0.445,0.206,1.624,90.674,-2.257
'[15:04:14.104]',-,0.460,0.635,0.455,0.207,1.741,90.381,-2.003
'[15:04:14.112]',-,0.490,0.610,0.465,0.208,1.863,90.029,-1.758
'[15:04:14.120]',-,0.515,0.590,0.445,0.210,2.007,89.619,-1.504
'[15:04:14.128]',-,0.530,0.580,0.415,0.211,2.156,89.033,-1.319
'[15:04:14.136]',-,0.540,0.575,0.385,0.213,2.298,88.505,-1.133
'[15:04:14.144]',-,0.545,0.560,0.360,0.215,2.424,87.861,-1.006
'[15:04:14.152]',-,0.540,0.555,0.360,0.217,2.532,87.216,-0.879
'[15:04:14.160]',-,0.530,0.560,0.365,0.219,2.614,86.630,-0.821
'[15:04:14.168]',-,0.505,0.575,0.380,0.220,2.668,85.926,-0.752
'[15:04:14.176]',-,0.475,0.605,0.390,0.222,2.700,85.282,-0.821
'[15:04:14.184]',-,0.445,0.630,0.405,0.223,2.714,84.637,-0.879
'[15:04:14.192]',-,0.430,0.650,0.425,0.225,2.716,83.992,-1.065
'[15:04:14.200]',-,0.415,0.660,0.430,0.226,2.713,83.347,-1.192
'[15:04:14.208]',-,0.410,0.665,0.435,0.227,2.704,82.644,-1.377
'[15:04:14.216]',-,0.410,0.665,0.435,0.227,2.688,82.058,-1.446
'[15:04:14.224]',-,0.410,0.665,0.435,0.228,2.670,81.413,-1.446
'[15:04:14.232]',-,0.410,0.665,0.435,0.229,2.649,80.769,-1.446
'[15:04:14.240]',-,0.410,0.665,0.435,0.230,2.630,80.241,-1.504
'[15:04:14.248]',-,0.415,0.665,0.435,0.230,2.612,79.655,-1.504
'[15:04:14.256]',-,0.420,0.660,0.435,0.231,2.594,79.069,-1.504
'[15:04:14.264]',-,0.425,0.655,0.430,0.231,2.575,78.483,-1.504
'[15:04:14.272]',-,0.430,0.655,0.435,0.231,2.551,77.897,-1.563
'[15:04:14.280]',-,0.455,0.640,0.450,0.231,2.525,77.486,-1.563
'[15:04:14.288]',-,0.525,0.590,0.420,0.230,2.494,77.076,-1.563
'[15:04:14.296]',-,0.655,0.445,0.190,0.229,2.456,76.666,-1.504
'[15:04:14.304]',-,0.835,0.220,-0.191,0.228,2.416,76.314,-1.446
'[15:04:14.312]',-,0.930,0.065,-0.415,0.227,2.372,75.962,-1.250
'[15:04:14.320]',-,0.760,0.210,-0.205,0.226,2.320,75.669,-1.065
'[15:04:14.328]',-,0.480,0.555,0.240,0.226,2.260,75.376,-0.821
'[15:04:14.336]',-,0.335,0.775,0.500,0.225,2.200,75.024,-0.508
'[15:04:14.344]',-,0.320,0.805,0.540,0.225,2.143,74.673,-0.127
'[15:04:14.352]',-,0.375,0.735,0.520,0.224,2.088,74.321,0.117
'[15:04:14.360]',-,0.425,0.680,0.510,0.223,2.040,73.794,0.313
'[15:04:14.368]',-,0.445,0.655,0.510,0.223,2.000,73.325,0.430
'[15:04:14.376]',-,0.455,0.645,0.500,0.222,1.965,72.739,0.371
'[15:04:14.384]',-,0.470,0.635,0.490,0.221,1.936,72.152,0.313
'[15:04:14.392]',-,0.475,0.625,0.480,0.220,1.914,71.625,0.186
'[15:04:14.400]',-,0.480,0.625,0.475,0.219,1.895,71.097,0.059
'[15:04:14.408]',-,0.490,0.615,0.470,0.219,1.881,70.570,-0.068
'[15:04:14.416]',-,0.495,0.615,0.465,0.219,1.868,70.042,-0.127
'[15:04:14.424]',-,0.495,0.610,0.455,0.218,1.858,69.573,-0.254
'[15:04:14.432]',-,0.510,0.600,0.445,0.218,1.849,69.105,-0.313
'[15:04:14.440]',-,0.515,0.595,0.435,0.218,1.842,68.636,-0.508
'[15:04:14.448]',-,0.520,0.590,0.430,0.218,1.834,68.108,-0.694
'[15:04:14.456]',-,0.530,0.580,0.425,0.218,1.822,67.698,-0.879
'[15:04:14.464]',-,0.540,0.570,0.410,0.218,1.811,67.229,-1.065
'[15:04:14.472]',-,0.550,0.560,0.395,0.219,1.803,66.877,-1.192
'[15:04:14.480]',-,0.555,0.550,0.385,0.219,1.791,66.819,-1.319
'[15:04:14.488]',-,0.565,0.535,0.370,0.219,1.774,67.053,-1.377
'[15:04:14.496]',-,0.580,0.520,0.350,0.219,1.755,67.756,-1.377
'[15:04:14.504]',-,0.610,0.500,0.325,0.220,1.737,69.046,-1.377
'[15:04:14.512]',-,0.635,0.475,0.300,0.220,1.721,71.625,-1.504
'[15:04:14.520]',-,0.660,0.450,0.270,0.220,1.702,76.138,-1.690
'[15:04:14.528]',-,0.690,0.425,0.240,0.221,1.681,82.644,-2.071
'[15:04:14.536]',-,0.710,0.400,0.210,0.221,1.660,90.029,-2.696
'[15:04:14.544]',-,0.720,0.395,0.195,0.221,1.636,96.711,-2.999
'[15:04:14.552]',-,0.725,0.390,0.195,0.222,1.610,102.279,-2.999
'[15:04:14.560]',-,0.710,0.395,0.200,0.222,1.586,106.968,-2.999
'[15:04:14.568]',-,0.675,0.420,0.225,0.223,1.562,111.189,-2.999
'[15:04:14.576]',-,0.625,0.465,0.265,0.223,1.540,114.471,-2.999
'[15:04:14.584]',-,0.570,0.510,0.320,0.223,1.520,116.405,-2.999
'[15:04:14.592]',-,0.530,0.550,0.370,0.224,1.503,117.050,-2.999
'[15:04:14.600]',-,0.495,0.585,0.410,0.224,1.490,116.874,-2.999
'[15:04:14.608]',-,0.465,0.615,0.440,0.225,1.475,116.405,-2.999
'[15:04:14.616]',-,0.450,0.635,0.455,0.225,1.458,116.229,-2.999
'[15:04:14.624]',-,0.445,0.645,0.470,0.225,1.443,116.288,-2.999
'[15:04:14.632]',-,0.430,0.655,0.475,0.226,1.428,116.698,-2.999
'[15:04:14.640]',-,0.430,0.660,0.475,0.226,1.414,117.109,-2.999
'[15:04:14.648]',-,0.430,0.660,0.475,0.227,1.403,117.284,-2.999
'[15:04:14.656]',-,0.430,0.660,0.475,0.228,1.389,117.343,-2.999
'[15:04:14.664]',-,0.430,0.660,0.475,0.229,1.375,117.226,-2.999
'[15:04:14.672]',-,0.435,0.660,0.475,0.231,1.361,117.109,-2.999
'[15:04:14.680]',-,0.435,0.660,0.470,0.233,1.348,116.874,-2.999
'[15:04:14.688]',-,0.435,0.660,0.470,0.235,1.336,116.405,-2.999
'[15:04:14.696]',-,0.440,0.655,0.470,0.237,1.323,115.760,-2.999
'[15:04:14.704]',-,0.445,0.650,0.465,0.240,1.313,114.881,-2.999
'[15:04:14.712]',-,0.450,0.650,0.465,0.243,1.306,113.650,-2.999
'[15:04:14.720]',-,0.450,0.645,0.460,0.246,1.298,112.185,-2.999
'[15:04:14.728]',-,0.455,0.640,0.455,0.248,1.290,110.251,-2.999
'[15:04:14.736]',-,0.455,0.640,0.450,0.251,1.283,107.672,-2.999
'[15:04:14.744]',-,0.465,0.640,0.450,0.256,1.276,104.507,-2.999
'[15:04:14.752]',-,0.465,0.640,0.450,0.261,1.267,100.521,-2.999
'[15:04:14.760]',-,0.465,0.635,0.445,0.268,1.253,96.301,-2.999
'[15:04:14.768]',-,0.465,0.635,0.440,0.274,1.235,92.432,-2.999
'[15:04:14.776]',-,0.470,0.635,0.435,0.282,1.214,89.795,-2.999
'[15:04:14.784]',-,0.470,0.635,0.435,0.290,1.195,88.623,-2.999
'[15:04:14.792]',-,0.465,0.635,0.435,0.299,1.180,88.212,-2.999
'[15:04:14.800]',-,0.465,0.625,0.435,0.308,1.174,87.978,-2.999
'[15:04:14.808]',-,0.470,0.625,0.430,0.316,1.181,87.568,-2.999
'[15:04:14.816]',-,0.470,0.625,0.430,0.324,1.202,86.981,-2.999
'[15:04:14.824]',-,0.465,0.630,0.425,0.333,1.248,86.688,-2.999
'[15:04:14.832]',-,0.465,0.625,0.425,0.341,1.322,86.630,-2.999
'[15:04:14.840]',-,0.475,0.620,0.435,0.351,1.419,86.630,-2.999
'[15:04:14.848]',-,0.495,0.605,0.445,0.361,1.538,86.513,-2.999
'[15:04:14.856]',-,0.525,0.585,0.450,0.371,1.674,86.220,-2.999
'[15:04:14.864]',-,0.550,0.565,0.415,0.382,1.822,85.809,-2.999
'[15:04:14.872]',-,0.565,0.555,0.385,0.391,1.971,85.340,-2.999
'[15:04:14.880]',-,0.575,0.545,0.355,0.400,2.109,84.871,-2.999
'[15:04:14.888]',-,0.570,0.540,0.345,0.409,2.233,84.285,-2.999
'[15:04:14.896]',-,0.560,0.545,0.345,0.418,2.334,83.758,-2.999
