'Time','II','AVR','V','RESP','PLETH','ABP','CVP','ICP'
'[20:48:15.880]',0.305,0.440,1.010,0.498,1.295,80.104,14.868,-
'[20:48:15.888]',0.285,0.465,0.995,0.492,1.357,78.444,15.122,-
'[20:48:15.896]',0.305,0.445,1.015,0.486,1.420,76.734,15.308,-
'[20:48:15.904]',0.280,0.475,1.020,0.480,1.484,75.415,15.308,-
'[20:48:15.912]',0.300,0.450,1.000,0.474,1.543,74.927,15.122,-
'[20:48:15.920]',0.275,0.470,1.020,0.469,1.597,75.464,14.936,-
'[20:48:15.928]',0.270,0.475,1.000,0.463,1.646,76.490,14.809,-
'[20:48:15.936]',0.285,0.455,1.020,0.457,1.688,77.027,15.063,-
'[20:48:15.944]',0.260,0.480,1.000,0.452,1.726,76.734,15.435,-
'[20:48:15.952]',0.275,0.460,1.020,0.447,1.756,76.099,15.620,-
'[20:48:15.960]',0.245,0.490,1.000,0.442,1.779,75.562,15.435,-
'[20:48:15.968]',0.280,0.460,1.020,0.437,1.802,74.976,14.995,-
'[20:48:15.976]',0.250,0.490,0.995,0.432,1.824,74.292,14.751,-
'[20:48:15.984]',0.280,0.470,1.015,0.426,1.845,73.510,14.936,-
'[20:48:15.992]',0.245,0.495,0.995,0.420,1.862,72.729,15.493,-
'[20:48:16.000]',0.280,0.460,1.005,0.414,1.875,72.094,16.060,-
'[20:48:16.008]',0.260,0.475,0.995,0.408,1.884,71.557,16.060,-
'[20:48:16.016]',0.270,0.460,1.020,0.402,1.891,71.068,15.620,-
'[20:48:16.024]',0.255,0.480,1.000,0.395,1.894,70.238,15.063,-
'[20:48:16.032]',0.275,0.455,1.030,0.388,1.893,68.968,14.868,-
'[20:48:16.040]',0.240,0.495,1.000,0.380,1.891,67.307,15.181,-
'[20:48:16.048]',0.290,0.450,1.020,0.372,1.887,65.744,15.806,-
'[20:48:16.056]',0.255,0.480,1.000,0.363,1.882,64.865,16.187,-
'[20:48:16.064]',0.275,0.460,1.020,0.354,1.876,64.670,16.245,-
'[20:48:16.072]',0.255,0.480,1.000,0.343,1.871,64.621,16.001,-
'[20:48:16.080]',0.280,0.460,1.010,0.334,1.864,64.279,15.747,-
'[20:48:16.088]',0.255,0.485,1.015,0.323,1.855,63.742,15.806,-
'[20:48:16.096]',0.275,0.470,1.000,0.313,1.846,63.253,16.118,-
'[20:48:16.104]',0.270,0.475,1.015,0.303,1.835,63.058,16.431,-
'[20:48:16.112]',0.295,0.455,1.010,0.294,1.821,63.351,16.431,-
'[20:48:16.120]',0.290,0.445,1.035,0.286,1.806,64.181,16.187,-
'[20:48:16.128]',0.310,0.470,1.020,0.277,1.791,65.305,16.001,-
'[20:48:16.136]',0.325,0.440,1.025,0.269,1.771,66.379,16.060,-
'[20:48:16.144]',0.300,0.460,0.990,0.261,1.751,66.965,16.372,-
'[20:48:16.152]',0.330,0.425,0.995,0.253,1.732,66.819,16.744,-
'[20:48:16.160]',0.285,0.465,0.965,0.245,1.716,65.988,16.939,-
'[20:48:16.168]',0.340,0.420,0.975,0.239,1.695,64.914,16.998,-
'[20:48:16.176]',0.325,0.435,0.975,0.233,1.671,64.035,16.939,-
'[20:48:16.184]',0.350,0.410,0.990,0.228,1.645,63.448,16.998,-
'[20:48:16.192]',0.300,0.450,0.980,0.223,1.619,63.009,17.125,-
'[20:48:16.200]',0.305,0.450,1.000,0.219,1.591,62.716,17.369,-
'[20:48:16.208]',0.260,0.485,0.990,0.215,1.565,62.618,17.877,-
'[20:48:16.216]',0.275,0.470,1.020,0.211,1.542,62.618,18.502,-
'[20:48:16.224]',0.230,0.510,1.000,0.207,1.520,62.569,18.932,-
'[20:48:16.232]',0.245,0.490,1.015,0.204,1.500,62.472,18.932,-
'[20:48:16.240]',0.230,0.515,1.000,0.200,1.484,62.423,18.248,-
'[20:48:16.248]',0.255,0.480,1.015,0.197,1.473,62.130,17.369,-
'[20:48:16.256]',0.230,0.510,1.000,0.194,1.465,61.446,16.685,-
'[20:48:16.264]',0.240,0.490,1.035,0.191,1.456,60.176,16.685,-
'[20:48:16.272]',0.145,0.560,1.075,0.188,1.445,58.759,17.125,-
'[20:48:16.280]',0.135,0.515,1.110,0.186,1.432,57.490,17.623,-
'[20:48:16.288]',0.330,0.450,1.010,0.183,1.415,56.757,17.877,-
'[20:48:16.296]',0.670,0.225,0.845,0.180,1.398,56.561,17.750,-
'[20:48:16.304]',1.105,-0.045,0.540,0.177,1.379,56.464,17.437,-
'[20:48:16.312]',1.395,-0.210,0.390,0.173,1.362,56.366,17.310,-
'[20:48:16.320]',1.210,-0.085,0.510,0.170,1.345,56.122,17.564,-
'[20:48:16.328]',0.770,0.175,0.735,0.167,1.328,55.878,18.189,-
'[20:48:16.336]',0.390,0.405,0.920,0.164,1.312,55.926,18.688,-
'[20:48:16.344]',0.260,0.485,1.000,0.161,1.295,56.610,18.815,-
'[20:48:16.352]',0.175,0.530,1.040,0.158,1.283,57.734,18.561,-
'[20:48:16.360]',0.150,0.555,1.050,0.155,1.272,58.759,18.375,-
'[20:48:16.368]',0.155,0.540,1.070,0.152,1.258,59.248,18.375,-
'[20:48:16.376]',0.115,0.570,1.050,0.149,1.242,59.248,18.561,-
'[20:48:16.384]',0.135,0.545,1.070,0.146,1.225,58.857,18.688,-
'[20:48:16.392]',0.110,0.575,1.055,0.142,1.209,58.222,18.688,-
'[20:48:16.400]',0.130,0.555,1.070,0.139,1.196,57.587,18.561,-
'[20:48:16.408]',0.105,0.575,1.060,0.135,1.185,57.099,18.502,-
'[20:48:16.416]',0.120,0.550,1.075,0.132,1.175,56.806,18.561,-
'[20:48:16.424]',0.095,0.580,1.060,0.129,1.168,56.757,18.688,-
'[20:48:16.432]',0.135,0.550,1.070,0.126,1.164,56.659,18.746,-
'[20:48:16.440]',0.105,0.580,1.050,0.124,1.162,56.659,18.746,-
'[20:48:16.448]',0.125,0.560,1.070,0.121,1.164,56.610,18.619,-
'[20:48:16.456]',0.110,0.570,1.050,0.119,1.168,56.415,18.375,-
'[20:48:16.464]',0.135,0.545,1.070,0.117,1.170,56.220,18.062,-
'[20:48:16.472]',0.115,0.570,1.045,0.115,1.172,55.780,17.681,-
'[20:48:16.480]',0.150,0.545,1.065,0.113,1.174,55.096,17.369,-
'[20:48:16.488]',0.135,0.560,1.050,0.111,1.175,54.119,17.183,-
'[20:48:16.496]',0.155,0.540,1.045,0.110,1.177,52.849,17.056,-
'[20:48:16.504]',0.140,0.560,1.070,0.108,1.181,51.775,16.939,-
'[20:48:16.512]',0.135,0.565,1.045,0.107,1.186,51.384,16.626,-
'[20:48:16.520]',0.170,0.535,1.055,0.105,1.190,51.726,16.187,-
'[20:48:16.528]',0.150,0.550,1.040,0.103,1.193,52.605,15.747,-
'[20:48:16.536]',0.180,0.530,1.060,0.100,1.197,54.217,15.435,-
'[20:48:16.544]',0.160,0.550,1.040,0.098,1.202,57.441,15.181,-
'[20:48:16.552]',0.195,0.515,1.060,0.096,1.208,63.009,14.995,-
'[20:48:16.560]',0.170,0.545,1.035,0.093,1.214,71.068,14.751,-
'[20:48:16.568]',0.215,0.510,1.050,0.091,1.217,80.690,14.311,-
'[20:48:16.576]',0.200,0.530,1.030,0.088,1.217,90.166,13.813,-
'[20:48:16.584]',0.230,0.500,1.045,0.086,1.215,98.323,13.373,-
'[20:48:16.592]',0.220,0.520,1.020,0.084,1.211,104.429,13.119,-
'[20:48:16.600]',0.255,0.490,1.035,0.082,1.206,108.825,13.061,-
'[20:48:16.608]',0.250,0.505,1.010,0.080,1.201,112.000,13.002,-
'[20:48:16.616]',0.300,0.460,1.020,0.078,1.196,114.539,12.807,-
'[20:48:16.624]',0.285,0.480,1.000,0.076,1.191,116.786,12.494,-
'[20:48:16.632]',0.310,0.460,1.015,0.074,1.185,118.984,12.123,-
'[20:48:16.640]',0.295,0.475,0.985,0.072,1.179,120.987,11.810,-
'[20:48:16.648]',0.335,0.440,1.000,0.070,1.178,122.696,11.752,-
'[20:48:16.656]',0.300,0.470,0.975,0.069,1.179,124.259,11.752,-
'[20:48:16.664]',0.325,0.450,0.990,0.067,1.176,125.676,11.683,-
'[20:48:16.672]',0.295,0.475,0.970,0.066,1.174,126.946,11.498,-
'[20:48:16.680]',0.310,0.455,0.980,0.064,1.173,127.923,11.244,-
'[20:48:16.688]',0.290,0.475,0.970,0.062,1.172,128.509,11.127,-
'[20:48:16.696]',0.300,0.460,0.965,0.060,1.231,128.704,11.185,-
'[20:48:16.704]',0.270,0.485,0.985,0.058,1.320,128.558,11.371,-
'[20:48:16.712]',0.275,0.500,0.970,0.056,1.364,128.069,11.498,-
'[20:48:16.720]',0.250,0.480,0.975,0.054,1.386,127.483,11.439,-
'[20:48:16.728]',0.240,0.510,0.960,0.052,1.397,126.848,11.185,-
'[20:48:16.736]',0.265,0.485,0.975,0.050,1.403,126.506,11.000,-
'[20:48:16.744]',0.245,0.500,0.955,0.049,1.408,126.506,11.058,-
'[20:48:16.752]',0.250,0.485,0.975,0.048,1.415,126.604,11.371,-
'[20:48:16.760]',0.215,0.515,0.960,0.047,1.423,126.604,11.683,-
'[20:48:16.768]',0.240,0.490,0.980,0.047,1.429,126.262,11.810,-
'[20:48:16.776]',0.215,0.515,0.965,0.047,1.434,125.676,11.752,-
'[20:48:16.784]',0.240,0.485,0.980,0.047,1.439,124.992,11.683,-
'[20:48:16.792]',0.215,0.515,0.955,0.048,1.445,124.308,11.752,-
'[20:48:16.800]',0.235,0.495,0.975,0.049,1.452,123.624,12.064,-
'[20:48:16.808]',0.210,0.515,0.960,0.050,1.463,122.843,12.377,-
'[20:48:16.816]',0.230,0.490,0.975,0.051,1.483,121.866,12.436,-
'[20:48:16.824]',0.205,0.515,0.955,0.053,1.510,120.547,12.309,-
'[20:48:16.832]',0.255,0.480,0.965,0.054,1.547,118.984,12.064,-
'[20:48:16.840]',0.215,0.515,0.950,0.057,1.595,117.324,11.996,-
'[20:48:16.848]',0.230,0.495,0.975,0.060,1.644,115.419,12.182,-
'[20:48:16.856]',0.205,0.520,0.955,0.065,1.694,113.221,12.494,-
'[20:48:16.864]',0.230,0.495,0.975,0.069,1.755,110.730,12.690,-
'[20:48:16.872]',0.215,0.515,0.950,0.076,1.824,107.799,12.690,-
'[20:48:16.880]',0.250,0.485,0.970,0.082,1.899,104.575,12.436,-
'[20:48:16.888]',0.225,0.500,0.955,0.090,1.980,100.912,12.123,-
'[20:48:16.896]',0.255,0.475,0.950,0.098,2.065,97.200,11.937,-
'[20:48:16.904]',0.230,0.500,0.970,0.106,2.154,93.439,11.937,-
'[20:48:16.912]',0.250,0.480,0.950,0.114,2.245,89.922,11.937,-
'[20:48:16.920]',0.260,0.475,0.970,0.122,2.336,87.040,11.810,-
'[20:48:16.928]',0.235,0.500,0.950,0.130,2.424,84.842,11.498,-
'[20:48:16.936]',0.265,0.475,0.960,0.138,2.511,83.426,11.185,-
'[20:48:16.944]',0.240,0.500,0.945,0.147,2.596,82.498,10.873,-
'[20:48:16.952]',0.255,0.485,0.955,0.157,2.666,81.814,10.814,-
'[20:48:16.960]',0.235,0.500,0.940,0.166,2.728,81.130,10.746,-
'[20:48:16.968]',0.255,0.475,0.955,0.175,2.797,80.446,10.687,-
'[20:48:16.976]',0.240,0.495,0.945,0.184,2.866,79.665,10.374,-
'[20:48:16.984]',0.255,0.475,0.955,0.192,2.935,78.883,10.062,-
'[20:48:16.992]',0.235,0.500,0.940,0.201,3.002,78.004,9.876,-
'[20:48:17.000]',0.260,0.475,0.955,0.209,3.061,77.125,9.808,-
'[20:48:17.008]',0.225,0.500,0.940,0.217,3.113,76.246,9.876,-
'[20:48:17.016]',0.280,0.465,0.965,0.225,3.161,75.464,9.993,-
'[20:48:17.024]',0.265,0.480,0.950,0.233,3.202,74.731,9.935,-
'[20:48:17.032]',0.280,0.460,0.960,0.241,3.239,74.048,9.808,-
'[20:48:17.040]',0.270,0.475,0.930,0.249,3.273,73.364,9.622,-
'[20:48:17.048]',0.305,0.440,0.935,0.256,3.295,72.729,9.622,-
'[20:48:17.056]',0.280,0.465,0.905,0.263,3.309,72.094,9.681,-
'[20:48:17.064]',0.300,0.440,0.925,0.269,3.324,71.508,9.876,-
'[20:48:17.072]',0.285,0.460,0.925,0.275,3.338,70.873,9.993,-
'[20:48:17.080]',0.305,0.435,0.940,0.279,3.352,70.238,10.062,-
'[20:48:17.088]',0.245,0.485,0.920,0.284,3.361,69.603,10.062,-
'[20:48:17.096]',0.230,0.475,0.935,0.288,3.365,69.066,10.247,-
'[20:48:17.104]',0.235,0.510,0.950,0.292,3.367,68.431,10.501,-
'[20:48:17.112]',0.200,0.505,0.945,0.295,3.368,67.844,10.746,-
'[20:48:17.120]',0.205,0.525,0.970,0.298,3.369,67.307,11.000,-
'[20:48:17.128]',0.180,0.535,0.955,0.301,3.365,66.721,11.127,-
'[20:48:17.136]',0.205,0.505,0.970,0.304,3.355,66.184,11.244,-
'[20:48:17.144]',0.180,0.530,0.950,0.306,3.338,65.695,11.439,-
'[20:48:17.152]',0.205,0.505,0.975,0.308,3.315,65.256,11.752,-
'[20:48:17.160]',0.180,0.530,0.955,0.310,3.285,64.914,12.123,-
'[20:48:17.168]',0.125,0.525,1.015,0.311,3.247,64.670,12.436,-
'[20:48:17.176]',0.085,0.590,1.050,0.314,3.200,64.425,12.621,-
'[20:48:17.184]',0.250,0.485,1.020,0.316,3.150,64.181,12.621,-
'[20:48:17.192]',0.540,0.315,0.850,0.318,3.095,63.937,12.690,-
'[20:48:17.200]',0.995,0.025,0.595,0.320,3.036,63.546,12.807,-
'[20:48:17.208]',1.270,-0.125,0.400,0.322,2.978,63.155,13.119,-
'[20:48:17.216]',1.295,-0.145,0.470,0.324,2.923,62.814,13.373,-
'[20:48:17.224]',0.715,0.200,0.665,0.326,2.872,62.423,13.500,-
'[20:48:17.232]',0.335,0.430,0.875,0.328,2.819,62.130,13.500,-
'[20:48:17.240]',0.170,0.540,0.950,0.330,2.763,61.739,13.500,-
'[20:48:17.248]',0.155,0.540,1.000,0.333,2.713,61.495,13.618,-
'[20:48:17.256]',0.115,0.575,0.990,0.334,2.664,61.153,13.813,-
'[20:48:17.264]',0.105,0.570,1.020,0.337,2.612,60.860,13.999,-
'[20:48:17.272]',0.065,0.595,1.000,0.338,2.558,60.616,13.999,-
'[20:48:17.280]',0.090,0.575,1.020,0.341,2.504,60.322,13.813,-
'[20:48:17.288]',0.075,0.595,1.025,0.342,2.452,59.981,13.686,-
'[20:48:17.296]',0.095,0.575,1.010,0.343,2.402,59.590,13.686,-
'[20:48:17.304]',0.050,0.600,1.025,0.345,2.354,59.248,13.813,-
'[20:48:17.312]',0.045,0.605,1.020,0.346,2.306,58.906,13.999,-
'[20:48:17.320]',0.080,0.575,1.030,0.348,2.257,58.564,14.057,-
'[20:48:17.328]',0.070,0.595,1.010,0.350,2.209,58.124,13.999,-
'[20:48:17.336]',0.095,0.570,1.030,0.352,2.166,57.587,13.813,-
'[20:48:17.344]',0.060,0.605,1.020,0.355,2.125,57.099,13.745,-
'[20:48:17.352]',0.090,0.570,1.035,0.358,2.091,56.610,13.930,-
'[20:48:17.360]',0.075,0.595,1.010,0.361,2.061,56.122,14.126,-
'[20:48:17.368]',0.090,0.575,1.025,0.364,2.029,55.633,14.243,-
'[20:48:17.376]',0.065,0.600,1.015,0.367,2.002,55.194,14.184,-
'[20:48:17.384]',0.100,0.565,1.030,0.370,1.977,54.803,13.930,-
'[20:48:17.392]',0.080,0.590,1.015,0.372,1.952,54.510,13.618,-
'[20:48:17.400]',0.105,0.570,1.025,0.374,1.931,54.119,13.432,-
'[20:48:17.408]',0.060,0.605,1.015,0.376,1.912,53.729,13.373,-
'[20:48:17.416]',0.105,0.570,1.025,0.378,1.894,53.484,13.246,-
'[20:48:17.424]',0.110,0.575,1.015,0.379,1.878,53.435,13.002,-
'[20:48:17.432]',0.125,0.555,1.030,0.381,1.862,53.777,12.563,-
'[20:48:17.440]',0.090,0.585,1.015,0.383,1.847,55.194,11.996,-
'[20:48:17.448]',0.120,0.560,1.035,0.384,1.835,58.173,11.371,-
'[20:48:17.456]',0.115,0.570,1.010,0.386,1.825,63.351,11.000,-
'[20:48:17.464]',0.165,0.535,1.020,0.386,1.812,70.531,10.746,-
'[20:48:17.472]',0.160,0.545,1.000,0.387,1.798,78.590,10.687,-
'[20:48:17.480]',0.185,0.520,1.010,0.387,1.783,85.966,10.560,-
'[20:48:17.488]',0.160,0.540,1.000,0.387,1.767,91.729,10.374,-
'[20:48:17.496]',0.190,0.515,1.005,0.386,1.752,95.881,10.247,-
'[20:48:17.504]',0.205,0.520,0.985,0.386,1.734,99.154,10.062,-
'[20:48:17.512]',0.235,0.495,0.980,0.383,1.714,102.182,9.935,-
'[20:48:17.520]',0.240,0.500,1.000,0.381,1.696,105.161,9.749,-
'[20:48:17.528]',0.270,0.475,0.975,0.377,1.683,108.092,9.564,-
'[20:48:17.536]',0.280,0.470,0.965,0.374,1.669,111.071,9.437,-
'[20:48:17.544]',0.265,0.480,0.955,0.370,1.654,113.758,9.437,-
'[20:48:17.552]',0.280,0.460,0.975,0.366,1.646,115.858,9.495,-
'[20:48:17.560]',0.255,0.490,0.950,0.361,1.638,117.421,9.564,-
'[20:48:17.568]',0.280,0.465,0.970,0.357,1.627,118.545,9.622,-
'[20:48:17.576]',0.255,0.485,0.950,0.352,1.617,119.619,9.622,-
'[20:48:17.584]',0.265,0.470,0.965,0.347,1.608,120.596,9.681,-
'[20:48:17.592]',0.220,0.500,0.950,0.341,1.600,121.573,9.876,-
'[20:48:17.600]',0.230,0.480,0.980,0.335,1.588,122.354,10.120,-
'[20:48:17.608]',0.200,0.515,0.970,0.330,1.575,123.038,10.433,-
'[20:48:17.616]',0.215,0.500,0.985,0.324,1.562,123.624,10.560,-
'[20:48:17.624]',0.205,0.510,0.965,0.319,1.547,123.917,10.619,-
'[20:48:17.632]',0.225,0.495,0.980,0.313,1.531,124.113,10.687,-
'[20:48:17.640]',0.185,0.520,0.970,0.308,1.514,124.015,10.814,-
'[20:48:17.648]',0.195,0.510,0.985,0.302,1.506,123.624,11.127,-
'[20:48:17.656]',0.175,0.530,0.970,0.297,1.502,123.038,11.498,-
'[20:48:17.664]',0.205,0.500,0.990,0.292,1.497,122.501,11.810,-
'[20:48:17.672]',0.160,0.540,0.975,0.287,1.490,122.159,11.937,-
'[20:48:17.680]',0.175,0.520,0.995,0.282,1.482,122.013,11.869,-
'[20:48:17.688]',0.165,0.535,0.975,0.278,1.474,121.817,11.810,-
'[20:48:17.696]',0.200,0.505,0.985,0.274,1.470,121.426,11.869,-
'[20:48:17.704]',0.165,0.535,0.995,0.270,1.472,120.938,12.123,-
'[20:48:17.712]',0.195,0.510,0.975,0.267,1.479,120.254,12.436,-
'[20:48:17.720]',0.205,0.505,0.995,0.265,1.493,119.228,12.563,-
'[20:48:17.728]',0.175,0.525,0.975,0.262,1.511,117.812,12.563,-
'[20:48:17.736]',0.210,0.495,0.995,0.260,1.536,115.907,12.494,-
'[20:48:17.744]',0.175,0.525,0.975,0.258,1.570,113.611,12.436,-
'[20:48:17.752]',0.195,0.510,0.995,0.257,1.608,110.925,12.563,-
'[20:48:17.760]',0.180,0.525,0.975,0.255,1.649,107.994,12.748,-
'[20:48:17.768]',0.210,0.500,0.995,0.254,1.695,105.113,12.807,-
'[20:48:17.776]',0.195,0.520,0.975,0.253,1.751,102.280,12.748,-
'[20:48:17.784]',0.215,0.500,1.000,0.252,1.816,99.544,12.563,-
'[20:48:17.792]',0.190,0.520,0.980,0.251,1.888,96.760,12.436,-
'[20:48:17.800]',0.210,0.500,0.995,0.250,1.967,93.927,12.377,-
'[20:48:17.808]',0.205,0.510,0.975,0.250,2.049,91.045,12.436,-
'[20:48:17.816]',0.240,0.485,0.985,0.251,2.134,88.359,12.494,-
'[20:48:17.824]',0.210,0.510,0.970,0.251,2.224,86.112,12.309,-
'[20:48:17.832]',0.220,0.500,1.000,0.251,2.314,84.354,11.996,-
'[20:48:17.840]',0.190,0.525,0.975,0.252,2.402,83.035,11.625,-
'[20:48:17.848]',0.215,0.490,0.995,0.252,2.477,82.058,11.312,-
'[20:48:17.856]',0.205,0.505,0.970,0.252,2.543,81.130,11.127,-
'[20:48:17.864]',0.240,0.480,0.985,0.251,2.612,80.055,11.000,-
'[20:48:17.872]',0.230,0.495,0.970,0.251,2.679,78.932,10.746,-
'[20:48:17.880]',0.260,0.470,0.985,0.250,2.747,77.760,10.374,-
'[20:48:17.888]',0.225,0.500,0.995,0.249,2.811,76.636,10.062,-
'[20:48:17.896]',0.255,0.470,0.990,0.247,2.873,75.562,9.935,-
'[20:48:17.904]',0.240,0.480,1.015,0.246,2.932,74.634,9.876,-
'[20:48:17.912]',0.260,0.465,0.990,0.244,2.988,73.803,9.935,-
'[20:48:17.920]',0.280,0.450,0.980,0.243,3.044,73.168,9.993,-
'[20:48:17.928]',0.280,0.460,0.965,0.240,3.097,72.631,9.876,-
'[20:48:17.936]',0.290,0.440,0.980,0.238,3.143,72.094,9.681,-
'[20:48:17.944]',0.255,0.470,0.960,0.234,3.174,71.654,9.681,-
'[20:48:17.952]',0.290,0.450,0.975,0.231,3.196,71.361,9.935,-
'[20:48:17.960]',0.280,0.465,0.955,0.227,3.216,71.166,10.306,-
'[20:48:17.968]',0.285,0.455,0.975,0.223,3.234,70.824,10.687,-
'[20:48:17.976]',0.225,0.495,0.965,0.218,3.246,70.238,10.931,-
'[20:48:17.984]',0.230,0.485,1.000,0.214,3.253,69.359,11.058,-
'[20:48:17.992]',0.190,0.520,0.995,0.208,3.256,68.382,11.127,-
'[20:48:18.000]',0.205,0.505,1.015,0.202,3.258,67.503,11.312,-
'[20:48:18.008]',0.170,0.530,0.990,0.195,3.257,66.819,11.752,-
'[20:48:18.016]',0.200,0.510,1.005,0.189,3.250,66.281,12.250,-
'[20:48:18.024]',0.170,0.535,0.985,0.183,3.239,65.793,12.748,-
'[20:48:18.032]',0.205,0.500,1.000,0.177,3.222,65.402,13.002,-
'[20:48:18.040]',0.155,0.540,0.995,0.171,3.197,65.060,13.061,-
'[20:48:18.048]',0.100,0.560,1.065,0.165,3.170,64.670,13.188,-
'[20:48:18.056]',0.060,0.590,1.095,0.159,3.139,64.572,13.500,-
'[20:48:18.064]',0.295,0.450,1.040,0.153,3.100,64.621,13.872,-
'[20:48:18.072]',0.615,0.270,0.850,0.146,3.053,64.914,14.311,-
'[20:48:18.080]',1.065,-0.020,0.580,0.139,3.002,65.256,14.555,-
'[20:48:18.088]',1.285,-0.135,0.425,0.133,2.949,65.695,14.555,-
'[20:48:18.096]',1.075,-0.030,0.530,0.127,2.893,65.842,14.555,-
'[20:48:18.104]',0.585,0.270,0.755,0.122,2.834,65.793,14.624,-
'[20:48:18.112]',0.270,0.460,0.935,0.117,2.773,65.353,14.809,-
'[20:48:18.120]',0.155,0.535,0.995,0.112,2.714,64.621,15.063,-
'[20:48:18.128]',0.120,0.560,1.025,0.107,2.652,63.546,15.249,-
'[20:48:18.136]',0.085,0.555,1.040,0.103,2.587,62.130,15.249,-
'[20:48:18.144]',0.105,0.580,1.025,0.098,2.526,60.469,15.122,-
'[20:48:18.152]',0.125,0.550,1.045,0.095,2.470,59.053,14.995,-
'[20:48:18.160]',0.060,0.590,1.030,0.091,2.415,57.929,15.063,-
'[20:48:18.168]',0.075,0.580,1.050,0.089,2.365,57.245,15.122,-
'[20:48:18.176]',0.065,0.590,1.035,0.086,2.316,57.001,15.181,-
'[20:48:18.184]',0.090,0.570,1.055,0.083,2.268,57.001,15.181,-
'[20:48:18.192]',0.065,0.590,1.035,0.081,2.222,57.099,15.122,-
'[20:48:18.200]',0.090,0.570,1.045,0.079,2.182,57.245,15.122,-
'[20:48:18.208]',0.065,0.590,1.030,0.078,2.147,57.294,15.181,-
'[20:48:18.216]',0.075,0.580,1.055,0.077,2.111,57.294,15.376,-
'[20:48:18.224]',0.050,0.600,1.030,0.076,2.076,57.245,15.562,-
'[20:48:18.232]',0.075,0.580,1.045,0.076,2.043,57.001,15.689,-
'[20:48:18.240]',0.065,0.590,1.025,0.075,2.013,56.806,15.689,-
'[20:48:18.248]',0.095,0.565,1.045,0.075,1.990,56.610,15.562,-
'[20:48:18.256]',0.080,0.590,1.020,0.076,1.971,56.366,15.435,-
'[20:48:18.264]',0.110,0.560,1.040,0.076,1.953,56.073,15.308,-
'[20:48:18.272]',0.085,0.580,1.020,0.077,1.940,55.731,15.181,-
'[20:48:18.280]',0.100,0.565,1.045,0.078,1.931,55.438,14.995,-
'[20:48:18.288]',0.115,0.560,1.020,0.078,1.924,55.047,14.682,-
'[20:48:18.296]',0.095,0.575,1.030,0.079,1.916,54.803,14.243,-
'[20:48:18.304]',0.120,0.560,1.020,0.081,1.906,54.852,13.872,-
'[20:48:18.312]',0.105,0.570,1.030,0.082,1.897,55.633,13.432,-
'[20:48:18.320]',0.130,0.545,1.040,0.084,1.888,57.734,13.061,-
'[20:48:18.328]',0.110,0.570,1.015,0.086,1.877,61.788,12.621,-
'[20:48:18.336]',0.135,0.545,1.040,0.088,1.867,68.235,12.309,-
'[20:48:18.344]',0.120,0.560,1.020,0.090,1.860,76.294,11.996,-
'[20:48:18.352]',0.165,0.525,1.040,0.092,1.853,84.598,11.810,-
'[20:48:18.360]',0.160,0.545,1.000,0.094,1.842,91.632,11.683,-
'[20:48:18.368]',0.210,0.505,1.010,0.096,1.828,97.004,11.625,-
'[20:48:18.376]',0.195,0.520,0.990,0.098,1.813,101.010,11.498,-
'[20:48:18.384]',0.225,0.495,1.000,0.100,1.799,104.282,11.439,-
'[20:48:18.392]',0.240,0.510,0.980,0.102,1.783,107.115,11.312,-
'[20:48:18.400]',0.280,0.470,0.990,0.105,1.767,109.802,11.127,-
'[20:48:18.408]',0.255,0.495,0.970,0.108,1.752,112.439,11.000,-
'[20:48:18.416]',0.280,0.470,0.985,0.110,1.736,114.930,10.931,-
'[20:48:18.424]',0.275,0.480,0.960,0.113,1.720,117.128,11.000,-
'[20:48:18.432]',0.295,0.460,0.975,0.116,1.705,119.131,11.185,-
'[20:48:18.440]',0.275,0.480,0.955,0.119,1.691,120.889,11.439,-
'[20:48:18.448]',0.300,0.450,0.975,0.122,1.682,122.452,11.683,-
'[20:48:18.456]',0.260,0.485,0.955,0.125,1.673,123.820,11.869,-
'[20:48:18.464]',0.280,0.460,0.975,0.128,1.654,124.797,11.996,-
'[20:48:18.472]',0.250,0.495,0.960,0.131,1.627,125.578,12.123,-
'[20:48:18.480]',0.255,0.475,0.975,0.134,1.593,125.920,12.309,-
'[20:48:18.488]',0.230,0.500,0.965,0.137,1.557,126.115,12.494,-
'[20:48:18.496]',0.240,0.485,0.985,0.140,1.520,126.115,12.748,-
'[20:48:18.504]',0.215,0.505,0.990,0.142,1.484,126.067,12.875,-
'[20:48:18.512]',0.245,0.480,0.975,0.145,1.450,125.920,13.002,-
'[20:48:18.520]',0.220,0.500,0.995,0.148,1.421,125.725,13.188,-
'[20:48:18.528]',0.210,0.505,0.975,0.151,1.399,125.432,13.305,-
'[20:48:18.536]',0.230,0.485,0.990,0.156,1.380,124.992,13.373,-
'[20:48:18.544]',0.210,0.505,0.975,0.160,1.369,124.504,13.500,-
'[20:48:18.552]',0.230,0.490,0.990,0.165,1.361,123.869,13.618,-
'[20:48:18.560]',0.210,0.510,0.970,0.171,1.349,123.283,13.686,-
'[20:48:18.568]',0.230,0.500,0.980,0.176,1.337,122.599,13.686,-
'[20:48:18.576]',0.200,0.520,0.970,0.182,1.329,121.817,13.686,-
'[20:48:18.584]',0.220,0.500,0.980,0.187,1.327,120.938,13.686,-
'[20:48:18.592]',0.215,0.515,0.970,0.193,1.334,120.010,13.686,-
