'Time','PLETH','II','ABP'
'[00:25:17.608 1]',0.443,0.039,55.625
'[00:25:17.616 1]',0.443,0.047,55.625
'[00:25:17.624 1]',0.451,0.055,55.312
'[00:25:17.632 1]',0.459,0.055,55.312
'[00:25:17.640 1]',0.459,0.055,55.000
'[00:25:17.648 1]',0.467,0.071,55.000
'[00:25:17.656 1]',0.467,0.173,54.688
'[00:25:17.664 1]',0.467,0.370,54.375
'[00:25:17.672 1]',0.467,0.370,54.062
'[00:25:17.680 1]',0.467,0.094,53.750
'[00:25:17.688 1]',0.467,-0.118,53.438
'[00:25:17.696 1]',0.467,-0.142,53.125
'[00:25:17.704 1]',0.467,-0.102,52.812
'[00:25:17.712 1]',0.467,-0.063,52.500
'[00:25:17.720 1]',0.459,-0.047,52.188
'[00:25:17.728 1]',0.459,-0.031,51.875
'[00:25:17.736 1]',0.459,-0.047,51.875
'[00:25:17.744 1]',0.451,-0.039,51.562
'[00:25:17.752 1]',0.451,-0.047,51.250
'[00:25:17.760 1]',0.443,-0.039,50.938
'[00:25:17.768 1]',0.443,-0.047,50.938
'[00:25:17.776 1]',0.431,-0.031,50.625
'[00:25:17.784 1]',0.431,-0.024,50.312
'[00:25:17.792 1]',0.431,-0.008,50.312
'[00:25:17.800 1]',0.431,0.008,50.000
'[00:25:17.808 1]',0.431,0.024,49.688
'[00:25:17.816 1]',0.424,0.039,49.688
'[00:25:17.824 1]',0.424,0.039,49.375
'[00:25:17.832 1]',0.416,0.039,49.375
'[00:25:17.840 1]',0.416,0.024,49.062
'[00:25:17.848 1]',0.408,0.024,49.062
'[00:25:17.856 1]',0.408,0.008,49.062
'[00:25:17.864 1]',0.400,0.008,48.750
'[00:25:17.872 1]',0.400,-0.008,48.750
'[00:25:17.880 1]',0.392,0.000,48.438
'[00:25:17.888 1]',0.392,-0.016,48.438
'[00:25:17.896 1]',0.384,0.008,48.438
'[00:25:17.904 1]',0.384,0.000,49.375
'[00:25:17.912 1]',0.384,0.008,51.250
'[00:25:17.920 1]',0.376,0.008,54.375
'[00:25:17.928 1]',0.376,0.024,59.375
'[00:25:17.936 1]',0.365,0.008,65.625
'[00:25:17.944 1]',0.365,0.024,72.188
'[00:25:17.952 1]',0.357,0.008,78.750
'[00:25:17.960 1]',0.357,0.008,84.062
'[00:25:17.968 1]',0.349,0.024,88.750
'[00:25:17.976 1]',0.349,0.024,92.188
'[00:25:17.984 1]',0.341,0.024,94.688
'[00:25:17.992 1]',0.341,0.016,96.875
'[00:25:18.000 1]',0.333,0.039,98.750
'[00:25:18.008 1]',0.333,0.055,100.000
'[00:25:18.016 1]',0.325,0.055,100.938
'[00:25:18.024 1]',0.325,0.055,101.250
'[00:25:18.032 1]',0.318,0.039,101.562
'[00:25:18.040 1]',0.318,0.039,101.562
'[00:25:18.048 1]',0.318,0.024,100.938
'[00:25:18.056 1]',0.306,0.008,100.000
'[00:25:18.064 1]',0.306,0.008,98.750
'[00:25:18.072 1]',0.306,-0.016,97.188
'[00:25:18.080 1]',0.298,-0.008,95.000
'[00:25:18.088 1]',0.298,-0.016,92.500
'[00:25:18.096 1]',0.298,-0.016,89.688
'[00:25:18.104 1]',0.290,-0.031,86.562
'[00:25:18.112 1]',0.290,-0.016,82.812
'[00:25:18.120 1]',0.290,-0.031,79.062
'[00:25:18.128 1]',0.282,-0.024,75.312
'[00:25:18.136 1]',0.282,-0.008,72.188
'[00:25:18.144 1]',0.282,0.087,69.375
'[00:25:18.152 1]',0.282,0.283,67.500
'[00:25:18.160 1]',0.282,0.386,66.250
'[00:25:18.168 1]',0.282,0.205,65.625
'[00:25:18.176 1]',0.290,-0.016,65.000
'[00:25:18.184 1]',0.290,-0.063,64.688
'[00:25:18.192 1]',0.298,-0.047,64.375
'[00:25:18.200 1]',0.306,-0.024,64.062
'[00:25:18.208 1]',0.318,-0.024,63.750
'[00:25:18.216 1]',0.325,-0.016,63.125
'[00:25:18.224 1]',0.341,-0.031,62.812
'[00:25:18.232 1]',0.349,-0.024,62.500
'[00:25:18.240 1]',0.365,-0.047,62.188
'[00:25:18.248 1]',0.384,-0.047,61.875
'[00:25:18.256 1]',0.392,-0.055,61.250
'[00:25:18.264 1]',0.408,-0.047,60.938
'[00:25:18.272 1]',0.424,-0.047,60.312
'[00:25:18.280 1]',0.443,-0.031,60.000
'[00:25:18.288 1]',0.451,-0.047,59.688
'[00:25:18.296 1]',0.467,-0.039,59.375
'[00:25:18.304 1]',0.482,-0.047,58.750
'[00:25:18.312 1]',0.490,-0.031,58.438
'[00:25:18.320 1]',0.502,-0.031,58.438
'[00:25:18.328 1]',0.510,-0.008,58.125
'[00:25:18.336 1]',0.518,-0.008,57.812
'[00:25:18.344 1]',0.525,0.024,57.812
'[00:25:18.352 1]',0.533,0.024,57.500
'[00:25:18.360 1]',0.541,0.039,57.188
'[00:25:18.368 1]',0.541,0.055,56.875
'[00:25:18.376 1]',0.549,0.047,56.562
'[00:25:18.384 1]',0.549,0.031,56.562
'[00:25:18.392 1]',0.549,0.024,56.250
'[00:25:18.400 1]',0.549,0.008,56.250
'[00:25:18.408 1]',0.549,0.024,56.562
'[00:25:18.416 1]',0.549,0.024,57.812
'[00:25:18.424 1]',0.549,0.000,60.000
'[00:25:18.432 1]',0.549,0.000,63.438
'[00:25:18.440 1]',0.549,0.008,67.812
'[00:25:18.448 1]',0.549,-0.008,72.812
'[00:25:18.456 1]',0.549,-0.031,78.125
'[00:25:18.464 1]',0.541,-0.024,82.500
'[00:25:18.472 1]',0.541,-0.031,86.562
'[00:25:18.480 1]',0.541,-0.024,89.688
'[00:25:18.488 1]',0.533,-0.016,91.875
'[00:25:18.496 1]',0.533,-0.008,93.750
'[00:25:18.504 1]',0.533,0.000,95.312
'[00:25:18.512 1]',0.525,0.024,96.250
'[00:25:18.520 1]',0.525,0.039,96.562
'[00:25:18.528 1]',0.525,0.063,96.875
'[00:25:18.536 1]',0.518,0.055,96.562
'[00:25:18.544 1]',0.518,0.055,95.938
'[00:25:18.552 1]',0.518,0.039,95.000
'[00:25:18.560 1]',0.510,0.039,93.438
'[00:25:18.568 1]',0.510,0.008,91.562
'[00:25:18.576 1]',0.502,0.008,89.375
'[00:25:18.584 1]',0.502,0.000,86.562
'[00:25:18.592 1]',0.502,0.008,83.125
'[00:25:18.600 1]',0.502,-0.016,79.688
'[00:25:18.608 1]',0.490,-0.024,75.938
'[00:25:18.616 1]',0.490,-0.016,72.500
'[00:25:18.624 1]',0.490,-0.031,69.688
'[00:25:18.632 1]',0.482,-0.016,67.500
'[00:25:18.640 1]',0.482,-0.031,65.938
'[00:25:18.648 1]',0.482,-0.016,65.000
'[00:25:18.656 1]',0.475,-0.016,64.375
'[00:25:18.664 1]',0.475,-0.008,63.750
'[00:25:18.672 1]',0.475,-0.016,63.438
'[00:25:18.680 1]',0.475,0.008,63.125
'[00:25:18.688 1]',0.475,0.024,62.500
'[00:25:18.696 1]',0.475,0.039,62.188
'[00:25:18.704 1]',0.482,0.024,62.188
'[00:25:18.712 1]',0.482,0.031,61.875
'[00:25:18.720 1]',0.482,0.031,61.562
'[00:25:18.728 1]',0.490,0.079,61.250
'[00:25:18.736 1]',0.502,0.205,60.938
'[00:25:18.744 1]',0.502,0.362,60.625
'[00:25:18.752 1]',0.510,0.244,60.312
'[00:25:18.760 1]',0.518,0.024,60.000
'[00:25:18.768 1]',0.525,-0.150,59.688
'[00:25:18.776 1]',0.533,-0.165,59.375
'[00:25:18.784 1]',0.541,-0.110,59.062
'[00:25:18.792 1]',0.549,-0.063,58.750
'[00:25:18.800 1]',0.549,-0.047,58.438
'[00:25:18.808 1]',0.557,-0.055,58.125
'[00:25:18.816 1]',0.569,-0.047,57.812
'[00:25:18.824 1]',0.576,-0.063,57.500
'[00:25:18.832 1]',0.576,-0.031,57.500
'[00:25:18.840 1]',0.584,-0.047,57.188
'[00:25:18.848 1]',0.584,-0.016,56.875
'[00:25:18.856 1]',0.584,0.000,56.562
'[00:25:18.864 1]',0.592,0.016,56.250
'[00:25:18.872 1]',0.592,0.008,55.938
'[00:25:18.880 1]',0.592,0.024,55.625
'[00:25:18.888 1]',0.592,0.008,55.312
'[00:25:18.896 1]',0.592,0.016,55.000
'[00:25:18.904 1]',0.584,0.008,54.688
'[00:25:18.912 1]',0.584,0.024,54.375
'[00:25:18.920 1]',0.584,0.008,54.062
'[00:25:18.928 1]',0.584,0.000,54.062
'[00:25:18.936 1]',0.576,-0.016,53.750
'[00:25:18.944 1]',0.576,-0.008,53.438
'[00:25:18.952 1]',0.576,-0.008,53.125
'[00:25:18.960 1]',0.576,0.008,53.125
'[00:25:18.968 1]',0.569,0.008,52.812
'[00:25:18.976 1]',0.569,0.016,52.812
'[00:25:18.984 1]',0.557,0.024,53.438
'[00:25:18.992 1]',0.557,0.039,54.688
'[00:25:19.000 1]',0.549,0.047,56.875
'[00:25:19.008 1]',0.549,0.039,60.938
'[00:25:19.016 1]',0.541,0.047,65.938
'[00:25:19.024 1]',0.541,0.039,71.875
'[00:25:19.032 1]',0.533,0.063,77.812
'[00:25:19.040 1]',0.533,0.055,83.438
'[00:25:19.048 1]',0.525,0.055,88.125
'[00:25:19.056 1]',0.518,0.039,91.875
'[00:25:19.064 1]',0.518,0.024,94.688
'[00:25:19.072 1]',0.510,0.008,97.188
'[00:25:19.080 1]',0.502,0.008,98.750
'[00:25:19.088 1]',0.502,0.000,100.312
'[00:25:19.096 1]',0.502,0.008,101.250
'[00:25:19.104 1]',0.502,-0.008,101.875
'[00:25:19.112 1]',0.490,0.008,102.188
'[00:25:19.120 1]',0.490,0.000,101.875
'[00:25:19.128 1]',0.482,0.008,101.562
'[00:25:19.136 1]',0.482,-0.008,100.938
'[00:25:19.144 1]',0.475,0.000,99.688
'[00:25:19.152 1]',0.475,-0.008,98.438
'[00:25:19.160 1]',0.467,0.039,96.562
'[00:25:19.168 1]',0.467,0.110,94.375
'[00:25:19.176 1]',0.459,0.307,91.562
'[00:25:19.184 1]',0.459,0.378,88.438
'[00:25:19.192 1]',0.451,0.150,84.688
'[00:25:19.200 1]',0.451,-0.063,80.938
'[00:25:19.208 1]',0.443,-0.071,77.188
'[00:25:19.216 1]',0.443,-0.024,74.062
'[00:25:19.224 1]',0.443,-0.008,71.250
'[00:25:19.232 1]',0.431,-0.016,69.062
'[00:25:19.240 1]',0.431,-0.016,67.500
'[00:25:19.248 1]',0.431,-0.016,66.875
'[00:25:19.256 1]',0.431,-0.024,66.250
'[00:25:19.264 1]',0.431,-0.008,65.938
'[00:25:19.272 1]',0.443,-0.016,65.312
'[00:25:19.280 1]',0.443,-0.016,65.000
'[00:25:19.288 1]',0.451,-0.031,64.688
'[00:25:19.296 1]',0.459,-0.024,64.375
'[00:25:19.304 1]',0.467,-0.039,64.062
'[00:25:19.312 1]',0.475,-0.031,63.750
'[00:25:19.320 1]',0.482,-0.039,63.125
'[00:25:19.328 1]',0.490,-0.024,62.812
'[00:25:19.336 1]',0.502,-0.031,62.500
'[00:25:19.344 1]',0.510,-0.024,61.875
'[00:25:19.352 1]',0.518,-0.024,61.562
'[00:25:19.360 1]',0.533,-0.008,61.250
'[00:25:19.368 1]',0.541,0.000,60.625
'[00:25:19.376 1]',0.549,-0.008,60.312
'[00:25:19.384 1]',0.569,0.008,60.000
'[00:25:19.392 1]',0.576,0.024,59.688
'[00:25:19.400 1]',0.584,0.031,59.375
'[00:25:19.408 1]',0.592,0.039,59.375
'[00:25:19.416 1]',0.600,0.047,59.062
'[00:25:19.424 1]',0.608,0.039,59.062
'[00:25:19.432 1]',0.616,0.031,59.062
'[00:25:19.440 1]',0.627,0.024,59.688
'[00:25:19.448 1]',0.635,0.016,60.938
'[00:25:19.456 1]',0.635,0.008,63.438
'[00:25:19.464 1]',0.643,0.000,66.875
'[00:25:19.472 1]',0.643,-0.008,71.250
'[00:25:19.480 1]',0.643,-0.008,75.938
'[00:25:19.488 1]',0.651,-0.016,80.625
'[00:25:19.496 1]',0.651,-0.008,84.375
'[00:25:19.504 1]',0.651,-0.016,87.500
'[00:25:19.512 1]',0.643,-0.008,90.000
'[00:25:19.520 1]',0.643,-0.008,91.875
'[00:25:19.528 1]',0.643,0.016,93.125
'[00:25:19.536 1]',0.643,0.016,94.062
'[00:25:19.544 1]',0.643,0.039,94.688
'[00:25:19.552 1]',0.635,0.039,94.375
'[00:25:19.560 1]',0.635,0.047,93.750
'[00:25:19.568 1]',0.635,0.039,92.812
'[00:25:19.576 1]',0.635,0.031,90.938
'[00:25:19.584 1]',0.627,0.016,89.062
'[00:25:19.592 1]',0.627,0.024,86.250
'[00:25:19.600 1]',0.616,0.008,83.438
'[00:25:19.608 1]',0.616,0.008,80.000
'[00:25:19.616 1]',0.616,0.000,76.562
'[00:25:19.624 1]',0.608,-0.008,73.125
'[00:25:19.632 1]',0.608,-0.016,70.000
'[00:25:19.640 1]',0.608,-0.024,67.812
'[00:25:19.648 1]',0.600,-0.016,66.250
'[00:25:19.656 1]',0.600,-0.024,65.000
'[00:25:19.664 1]',0.600,-0.016,64.062
'[00:25:19.672 1]',0.592,-0.024,63.750
'[00:25:19.680 1]',0.592,-0.008,63.125
'[00:25:19.688 1]',0.592,0.008,62.812
'[00:25:19.696 1]',0.592,0.024,62.188
'[00:25:19.704 1]',0.592,0.024,61.875
'[00:25:19.712 1]',0.592,0.039,61.875
'[00:25:19.720 1]',0.592,0.008,61.562
'[00:25:19.728 1]',0.592,0.008,61.250
'[00:25:19.736 1]',0.600,-0.016,60.938
'[00:25:19.744 1]',0.600,-0.016,60.625
'[00:25:19.752 1]',0.608,-0.039,60.625
'[00:25:19.760 1]',0.608,-0.031,60.312
'[00:25:19.768 1]',0.616,-0.031,60.000
'[00:25:19.776 1]',0.627,-0.016,59.688
'[00:25:19.784 1]',0.635,-0.008,59.688
'[00:25:19.792 1]',0.635,-0.016,59.375
'[00:25:19.800 1]',0.643,-0.008,59.062
'[00:25:19.808 1]',0.651,-0.008,58.750
'[00:25:19.816 1]',0.659,0.024,58.438
'[00:25:19.824 1]',0.659,0.126,58.125
'[00:25:19.832 1]',0.667,0.331,57.812
'[00:25:19.840 1]',0.667,0.378,57.500
'[00:25:19.848 1]',0.667,0.150,57.188
'[00:25:19.856 1]',0.667,-0.071,56.875
'[00:25:19.864 1]',0.667,-0.110,56.562
'[00:25:19.872 1]',0.667,-0.071,56.250
'[00:25:19.880 1]',0.659,-0.024,55.938
'[00:25:19.888 1]',0.659,-0.024,55.625
'[00:25:19.896 1]',0.659,-0.031,55.312
'[00:25:19.904 1]',0.651,-0.039,55.000
'[00:25:19.912 1]',0.651,-0.031,55.000
'[00:25:19.920 1]',0.643,-0.047,54.688
'[00:25:19.928 1]',0.635,-0.039,54.375
'[00:25:19.936 1]',0.635,-0.055,54.062
'[00:25:19.944 1]',0.627,-0.047,54.062
'[00:25:19.952 1]',0.616,-0.055,53.750
'[00:25:19.960 1]',0.616,-0.031,53.750
'[00:25:19.968 1]',0.608,-0.039,53.438
'[00:25:19.976 1]',0.600,-0.031,53.125
'[00:25:19.984 1]',0.600,-0.016,53.125
'[00:25:19.992 1]',0.592,-0.016,52.812
'[00:25:20.000 1]',0.584,0.000,52.500
'[00:25:20.008 1]',0.584,0.016,52.188
'[00:25:20.016 1]',0.576,0.024,52.188
'[00:25:20.024 1]',0.569,0.016,51.875
'[00:25:20.032 1]',0.569,0.039,51.562
'[00:25:20.040 1]',0.557,0.024,51.250
'[00:25:20.048 1]',0.549,0.008,50.938
'[00:25:20.056 1]',0.549,0.008,50.938
'[00:25:20.064 1]',0.541,0.008,51.250
'[00:25:20.072 1]',0.533,0.008,51.875
'[00:25:20.080 1]',0.533,0.024,53.438
'[00:25:20.088 1]',0.525,0.016,56.250
'[00:25:20.096 1]',0.525,0.031,60.938
'[00:25:20.104 1]',0.525,0.024,66.562
'[00:25:20.112 1]',0.518,0.039,72.812
'[00:25:20.120 1]',0.518,0.039,79.062
'[00:25:20.128 1]',0.510,0.039,84.375
'[00:25:20.136 1]',0.510,0.008,88.750
'[00:25:20.144 1]',0.502,0.024,92.500
'[00:25:20.152 1]',0.502,0.008,95.312
'[00:25:20.160 1]',0.502,0.031,97.812
'[00:25:20.168 1]',0.490,0.024,99.688
'[00:25:20.176 1]',0.490,0.039,101.250
'[00:25:20.184 1]',0.482,0.047,102.188
'[00:25:20.192 1]',0.482,0.071,102.812
'[00:25:20.200 1]',0.475,0.079,103.125
'[00:25:20.208 1]',0.467,0.063,103.125
'[00:25:20.216 1]',0.467,0.079,102.500
'[00:25:20.224 1]',0.459,0.039,101.875
'[00:25:20.232 1]',0.459,0.008,100.938
'[00:25:20.240 1]',0.451,0.008,99.375
'[00:25:20.248 1]',0.451,-0.008,97.500
'[00:25:20.256 1]',0.443,-0.016,95.312
'[00:25:20.264 1]',0.443,0.008,92.812
'[00:25:20.272 1]',0.431,-0.016,89.688
'[00:25:20.280 1]',0.431,-0.008,85.938
'[00:25:20.288 1]',0.424,-0.016,82.188
'[00:25:20.296 1]',0.424,-0.016,78.438
'[00:25:20.304 1]',0.424,-0.024,75.000
'[00:25:20.312 1]',0.424,-0.016,72.188
'[00:25:20.320 1]',0.424,-0.016,70.312
'[00:25:20.328 1]',0.424,0.000,68.750
'[00:25:20.336 1]',0.424,-0.016,67.812
'[00:25:20.344 1]',0.424,0.000,67.188
'[00:25:20.352 1]',0.424,0.008,66.562
'[00:25:20.360 1]',0.431,0.047,66.250
'[00:25:20.368 1]',0.443,0.055,65.625
'[00:25:20.376 1]',0.451,0.055,65.312
'[00:25:20.384 1]',0.459,0.039,65.000
'[00:25:20.392 1]',0.467,0.039,64.688
'[00:25:20.400 1]',0.475,0.008,64.375
'[00:25:20.408 1]',0.482,0.016,64.062
'[00:25:20.416 1]',0.502,0.008,63.750
'[00:25:20.424 1]',0.502,0.000,63.125
'[00:25:20.432 1]',0.518,0.008,62.812
'[00:25:20.440 1]',0.525,-0.008,62.500
'[00:25:20.448 1]',0.541,-0.008,61.875
'[00:25:20.456 1]',0.549,-0.016,61.562
'[00:25:20.464 1]',0.557,-0.016,61.250
'[00:25:20.472 1]',0.576,-0.016,60.938
'[00:25:20.480 1]',0.584,-0.016,60.625
'[00:25:20.488 1]',0.584,-0.016,60.312
'[00:25:20.496 1]',0.592,-0.016,60.000
'[00:25:20.504 1]',0.600,-0.016,59.688
'[00:25:20.512 1]',0.608,0.000,59.375
'[00:25:20.520 1]',0.616,-0.016,59.062
'[00:25:20.528 1]',0.627,0.008,58.750
'[00:25:20.536 1]',0.635,0.000,58.438
'[00:25:20.544 1]',0.643,0.039,58.125
'[00:25:20.552 1]',0.651,0.079,57.812
'[00:25:20.560 1]',0.651,0.260,57.500
'[00:25:20.568 1]',0.659,0.417,56.875
'[00:25:20.576 1]',0.659,0.315,56.562
'[00:25:20.584 1]',0.667,0.087,56.250
'[00:25:20.592 1]',0.667,-0.055,55.938
'[00:25:20.600 1]',0.667,-0.063,55.625
'[00:25:20.608 1]',0.667,-0.031,55.312
'[00:25:20.616 1]',0.667,-0.016,55.312
'[00:25:20.624 1]',0.667,-0.016,55.000
'[00:25:20.632 1]',0.667,-0.031,54.688
'[00:25:20.640 1]',0.667,-0.039,54.375
'[00:25:20.648 1]',0.667,-0.047,54.062
'[00:25:20.656 1]',0.667,-0.063,53.750
'[00:25:20.664 1]',0.667,-0.047,53.438
'[00:25:20.672 1]',0.659,-0.063,53.125
'[00:25:20.680 1]',0.659,-0.063,52.812
'[00:25:20.688 1]',0.659,-0.063,52.500
'[00:25:20.696 1]',0.651,-0.047,52.188
'[00:25:20.704 1]',0.651,-0.063,51.875
'[00:25:20.712 1]',0.643,-0.047,51.562
'[00:25:20.720 1]',0.643,-0.047,51.250
'[00:25:20.728 1]',0.635,-0.031,50.938
'[00:25:20.736 1]',0.627,-0.031,50.312
'[00:25:20.744 1]',0.627,-0.008,50.000
'[00:25:20.752 1]',0.616,0.008,49.688
'[00:25:20.760 1]',0.616,0.039,49.375
'[00:25:20.768 1]',0.608,0.039,49.062
'[00:25:20.776 1]',0.600,0.063,48.750
'[00:25:20.784 1]',0.592,0.071,48.438
'[00:25:20.792 1]',0.584,0.079,48.438
'[00:25:20.800 1]',0.584,0.055,48.438
'[00:25:20.808 1]',0.576,0.055,48.750
'[00:25:20.816 1]',0.576,0.055,49.688
'[00:25:20.824 1]',0.569,0.055,51.250
'[00:25:20.832 1]',0.569,0.039,54.062
'[00:25:20.840 1]',0.557,0.031,58.438
'[00:25:20.848 1]',0.557,0.039,63.438
'[00:25:20.856 1]',0.549,0.008,69.062
'[00:25:20.864 1]',0.549,0.000,74.375
'[00:25:20.872 1]',0.541,-0.016,79.062
'[00:25:20.880 1]',0.541,-0.016,83.125
'[00:25:20.888 1]',0.533,-0.024,86.562
'[00:25:20.896 1]',0.533,-0.016,89.062
'[00:25:20.904 1]',0.525,-0.016,91.562
'[00:25:20.912 1]',0.525,0.008,93.125
'[00:25:20.920 1]',0.518,-0.008,94.375
'[00:25:20.928 1]',0.518,0.008,95.312
'[00:25:20.936 1]',0.510,-0.008,95.938
'[00:25:20.944 1]',0.510,0.008,96.250
'[00:25:20.952 1]',0.502,0.016,96.250
'[00:25:20.960 1]',0.502,0.047,95.938
'[00:25:20.968 1]',0.502,0.063,95.312
'[00:25:20.976 1]',0.502,0.094,94.375
'[00:25:20.984 1]',0.490,0.071,92.812
'[00:25:20.992 1]',0.490,0.063,90.938
'[00:25:21.000 1]',0.482,0.039,88.750
'[00:25:21.008 1]',0.482,0.039,85.938
'[00:25:21.016 1]',0.475,0.008,82.812
'[00:25:21.024 1]',0.467,0.008,79.062
'[00:25:21.032 1]',0.467,-0.016,75.625
'[00:25:21.040 1]',0.459,-0.016,71.875
'[00:25:21.048 1]',0.459,-0.016,68.750
'[00:25:21.056 1]',0.451,-0.024,66.250
'[00:25:21.064 1]',0.451,-0.008,64.375
'[00:25:21.072 1]',0.451,-0.031,63.125
'[00:25:21.080 1]',0.451,-0.024,62.188
'[00:25:21.088 1]',0.451,-0.039,61.562
'[00:25:21.096 1]',0.451,-0.031,60.938
'[00:25:21.104 1]',0.451,-0.039,60.625
'[00:25:21.112 1]',0.459,-0.016,60.312
'[00:25:21.120 1]',0.459,-0.024,60.000
'[00:25:21.128 1]',0.467,-0.016,59.688
'[00:25:21.136 1]',0.475,-0.016,59.375
'[00:25:21.144 1]',0.482,0.000,59.062
'[00:25:21.152 1]',0.490,-0.008,58.750
'[00:25:21.160 1]',0.502,0.024,58.438
'[00:25:21.168 1]',0.502,0.031,58.125
'[00:25:21.176 1]',0.510,0.047,57.812
'[00:25:21.184 1]',0.518,0.055,57.500
'[00:25:21.192 1]',0.533,0.118,57.188
'[00:25:21.200 1]',0.541,0.244,57.188
'[00:25:21.208 1]',0.549,0.441,56.875
'[00:25:21.216 1]',0.557,0.354,56.562
'[00:25:21.224 1]',0.569,0.134,56.250
'[00:25:21.232 1]',0.576,-0.087,55.938
'[00:25:21.240 1]',0.584,-0.118,55.625
'[00:25:21.248 1]',0.592,-0.094,55.312
'[00:25:21.256 1]',0.600,-0.071,55.000
'[00:25:21.264 1]',0.608,-0.063,54.688
'[00:25:21.272 1]',0.608,-0.071,54.375
'[00:25:21.280 1]',0.616,-0.063,54.062
'[00:25:21.288 1]',0.616,-0.071,53.750
'[00:25:21.296 1]',0.616,-0.063,53.438
'[00:25:21.304 1]',0.627,-0.071,53.125
'[00:25:21.312 1]',0.627,-0.063,52.812
'[00:25:21.320 1]',0.627,-0.063,52.500
'[00:25:21.328 1]',0.616,-0.047,52.188
'[00:25:21.336 1]',0.616,-0.047,51.875
'[00:25:21.344 1]',0.616,-0.031,51.562
'[00:25:21.352 1]',0.616,-0.016,51.250
'[00:25:21.360 1]',0.608,0.008,50.938
'[00:25:21.368 1]',0.608,0.008,50.938
'[00:25:21.376 1]',0.608,0.039,50.625
'[00:25:21.384 1]',0.600,0.039,50.312
'[00:25:21.392 1]',0.600,0.063,50.312
'[00:25:21.400 1]',0.600,0.063,50.000
'[00:25:21.408 1]',0.592,0.055,49.688
'[00:25:21.416 1]',0.592,0.031,49.688
'[00:25:21.424 1]',0.584,0.039,49.375
'[00:25:21.432 1]',0.584,0.031,49.375
'[00:25:21.440 1]',0.576,0.024,49.062
'[00:25:21.448 1]',0.576,0.024,49.062
'[00:25:21.456 1]',0.569,0.008,48.750
'[00:25:21.464 1]',0.569,0.024,49.062
'[00:25:21.472 1]',0.557,0.008,49.688
'[00:25:21.480 1]',0.549,0.008,51.562
'[00:25:21.488 1]',0.549,0.008,54.375
'[00:25:21.496 1]',0.541,0.008,58.125
'[00:25:21.504 1]',0.533,-0.008,63.125
'[00:25:21.512 1]',0.525,0.008,68.125
'[00:25:21.520 1]',0.525,0.008,72.812
'[00:25:21.528 1]',0.518,0.008,77.188
'[00:25:21.536 1]',0.510,-0.039,80.625
'[00:25:21.544 1]',0.502,-0.031,83.750
'[00:25:21.552 1]',0.502,-0.039,85.938
'[00:25:21.560 1]',0.502,-0.031,87.812
'[00:25:21.568 1]',0.490,-0.031,89.062
'[00:25:21.576 1]',0.482,-0.016,90.000
'[00:25:21.584 1]',0.482,-0.039,90.625
'[00:25:21.592 1]',0.475,-0.047,90.625
'[00:25:21.600 1]',0.467,-0.063,90.625
'[00:25:21.608 1]',0.459,-0.063,90.000
'[00:25:21.616 1]',0.459,-0.087,89.062
'[00:25:21.624 1]',0.451,-0.087,87.500
'[00:25:21.632 1]',0.443,-0.102,85.938
'[00:25:21.640 1]',0.443,-0.102,83.750
'[00:25:21.648 1]',0.431,-0.102,80.938
'[00:25:21.656 1]',0.424,-0.110,77.812
'[00:25:21.664 1]',0.424,-0.087,74.688
'[00:25:21.672 1]',0.416,-0.094,71.250
'[00:25:21.680 1]',0.408,-0.087,67.812
'[00:25:21.688 1]',0.400,-0.087,65.000
'[00:25:21.696 1]',0.400,-0.079,62.500
'[00:25:21.704 1]',0.392,-0.063,60.938
'[00:25:21.712 1]',0.392,-0.031,60.000
'[00:25:21.720 1]',0.384,-0.039,59.688
'[00:25:21.728 1]',0.384,-0.024,59.375
'[00:25:21.736 1]',0.376,-0.016,58.750
'[00:25:21.744 1]',0.376,-0.008,58.438
'[00:25:21.752 1]',0.376,-0.024,58.125
'[00:25:21.760 1]',0.376,-0.024,57.812
'[00:25:21.768 1]',0.376,-0.031,57.500
'[00:25:21.776 1]',0.384,-0.024,57.188
'[00:25:21.784 1]',0.384,-0.031,56.875
'[00:25:21.792 1]',0.392,0.000,56.875
'[00:25:21.800 1]',0.400,0.079,56.562
'[00:25:21.808 1]',0.400,0.276,56.250
'[00:25:21.816 1]',0.408,0.339,55.938
'[00:25:21.824 1]',0.416,0.134,55.625
'[00:25:21.832 1]',0.424,-0.102,55.312
'[00:25:21.840 1]',0.431,-0.157,55.000
'[00:25:21.848 1]',0.443,-0.134,54.688
'[00:25:21.856 1]',0.451,-0.094,54.375
'[00:25:21.864 1]',0.451,-0.071,54.375
'[00:25:21.872 1]',0.459,-0.063,54.062
'[00:25:21.880 1]',0.467,-0.047,54.062
'[00:25:21.888 1]',0.467,-0.031,53.750
'[00:25:21.896 1]',0.475,-0.016,53.750
'[00:25:21.904 1]',0.475,-0.016,53.438
'[00:25:21.912 1]',0.482,-0.008,53.125
'[00:25:21.920 1]',0.482,-0.008,52.812
'[00:25:21.928 1]',0.482,0.008,52.812
'[00:25:21.936 1]',0.482,0.008,52.500
'[00:25:21.944 1]',0.482,0.008,52.188
'[00:25:21.952 1]',0.482,-0.016,51.875
'[00:25:21.960 1]',0.482,-0.016,51.562
'[00:25:21.968 1]',0.482,-0.016,51.562
'[00:25:21.976 1]',0.482,-0.016,51.250
'[00:25:21.984 1]',0.475,-0.031,50.938
