'Time','II','III','MCL','RESP','PLETH','ABP'
'[11:13:14.504]',-0.005,0.245,1.020,0.324,1.457,77.662
'[11:13:14.512]',-0.005,0.250,1.025,0.325,1.422,77.779
'[11:13:14.520]',-0.005,0.255,1.030,0.326,1.392,77.779
'[11:13:14.528]',-0.005,0.255,1.040,0.328,1.361,77.662
'[11:13:14.536]',-0.015,0.260,1.040,0.331,1.331,77.428
'[11:13:14.544]',-0.021,0.260,1.045,0.333,1.305,77.076
'[11:13:14.552]',-0.030,0.255,1.045,0.336,1.280,76.724
'[11:13:14.560]',-0.045,0.260,1.050,0.338,1.256,76.724
'[11:13:14.568]',-0.065,0.245,1.045,0.341,1.235,77.545
'[11:13:14.576]',-0.086,0.245,1.045,0.343,1.215,80.300
'[11:13:14.584]',-0.106,0.235,1.035,0.346,1.198,85.868
'[11:13:14.592]',-0.120,0.230,1.025,0.348,1.185,94.777
'[11:13:14.600]',-0.135,0.230,1.020,0.351,1.173,106.734
'[11:13:14.608]',-0.146,0.240,1.015,0.353,1.164,120.274
'[11:13:14.616]',-0.146,0.245,1.005,0.355,1.159,133.989
'[11:13:14.624]',-0.135,0.265,1.000,0.357,1.157,146.063
'[11:13:14.632]',-0.120,0.275,0.990,0.359,1.156,154.972
'[11:13:14.640]',-0.090,0.295,0.990,0.360,1.156,160.072
'[11:13:14.648]',-0.070,0.310,0.985,0.362,1.157,161.010
'[11:13:14.656]',-0.050,0.315,0.990,0.362,1.161,158.372
'[11:13:14.664]',-0.041,0.315,0.985,0.363,1.168,152.980
'[11:13:14.672]',-0.025,0.310,0.985,0.364,1.177,145.946
'[11:13:14.680]',-0.021,0.300,0.980,0.365,1.189,138.033
'[11:13:14.688]',-0.015,0.295,0.975,0.365,1.200,130.003
'[11:13:14.696]',-0.010,0.290,0.975,0.366,1.215,122.325
'[11:13:14.704]',-0.015,0.285,0.975,0.366,1.231,115.116
'[11:13:14.712]',-0.015,0.275,0.975,0.366,1.245,108.610
'[11:13:14.720]',-0.021,0.270,0.970,0.366,1.259,102.924
'[11:13:14.728]',-0.021,0.275,0.960,0.366,1.273,98.059
'[11:13:14.736]',-0.021,0.270,0.960,0.366,1.286,94.015
'[11:13:14.744]',-0.025,0.270,0.965,0.366,1.299,90.674
'[11:13:14.752]',-0.025,0.265,0.960,0.367,1.311,88.154
'[11:13:14.760]',-0.035,0.265,0.960,0.368,1.321,86.278
'[11:13:14.768]',-0.041,0.260,0.960,0.368,1.327,84.989
'[11:13:14.776]',-0.050,0.260,0.955,0.369,1.329,84.109
'[11:13:14.784]',-0.050,0.255,0.955,0.370,1.326,83.465
'[11:13:14.792]',-0.050,0.265,0.960,0.370,1.318,83.054
'[11:13:14.800]',-0.055,0.255,0.955,0.371,1.315,82.761
'[11:13:14.808]',-0.061,0.255,0.965,0.371,1.326,82.410
'[11:13:14.816]',-0.065,0.255,0.960,0.372,1.356,82.292
'[11:13:14.824]',-0.065,0.260,0.965,0.372,1.413,82.410
'[11:13:14.832]',-0.065,0.255,0.965,0.372,1.520,82.996
'[11:13:14.840]',-0.070,0.260,0.955,0.372,1.676,84.168
'[11:13:14.848]',-0.070,0.255,0.955,0.372,1.876,85.985
'[11:13:14.856]',-0.075,0.260,0.960,0.372,2.102,88.271
'[11:13:14.864]',-0.070,0.255,0.955,0.372,2.329,91.202
'[11:13:14.872]',-0.065,0.260,0.960,0.372,2.535,94.249
'[11:13:14.880]',-0.075,0.265,0.965,0.371,2.696,97.473
'[11:13:14.888]',-0.075,0.260,0.960,0.371,2.802,100.697
'[11:13:14.896]',-0.070,0.265,0.960,0.370,2.848,103.628
'[11:13:14.904]',-0.070,0.260,0.960,0.369,2.838,106.089
'[11:13:14.912]',-0.070,0.265,0.960,0.368,2.793,108.141
'[11:13:14.920]',-0.070,0.260,0.960,0.367,2.721,109.489
'[11:13:14.928]',-0.055,0.265,0.965,0.366,2.624,110.134
'[11:13:14.936]',-0.030,0.275,0.975,0.365,2.509,110.075
'[11:13:14.944]',-0.000,0.295,1.010,0.362,2.388,109.254
'[11:13:14.952]',0.015,0.300,1.020,0.360,2.264,107.848
'[11:13:14.960]',0.020,0.300,1.025,0.356,2.143,106.031
'[11:13:14.968]',0.020,0.320,1.035,0.353,2.029,103.803
'[11:13:14.976]',-0.005,0.305,1.000,0.349,1.924,101.342
'[11:13:14.984]',-0.021,0.290,0.970,0.345,1.827,98.821
'[11:13:14.992]',-0.025,0.275,0.950,0.341,1.743,96.184
'[11:13:15.000]',-0.045,0.270,0.945,0.337,1.671,93.605
'[11:13:15.008]',-0.055,0.270,0.945,0.333,1.612,91.202
'[11:13:15.016]',-0.075,0.255,0.945,0.328,1.569,88.857
'[11:13:15.024]',-0.081,0.255,0.950,0.323,1.537,86.747
'[11:13:15.032]',-0.086,0.255,0.945,0.319,1.507,84.813
'[11:13:15.040]',-0.081,0.255,0.945,0.315,1.482,83.054
'[11:13:15.048]',-0.086,0.255,0.945,0.311,1.462,81.530
'[11:13:15.056]',-0.081,0.255,0.950,0.307,1.447,80.182
'[11:13:15.064]',-0.081,0.240,0.935,0.303,1.435,79.010
'[11:13:15.072]',-0.000,0.235,0.995,0.300,1.430,78.014
'[11:13:15.080]',0.215,0.435,1.100,0.297,1.434,77.135
'[11:13:15.088]',0.630,0.895,1.115,0.293,1.448,76.373
'[11:13:15.096]',1.146,1.501,1.205,0.290,1.473,75.728
'[11:13:15.104]',0.625,1.391,0.970,0.288,1.510,75.200
'[11:13:15.112]',-0.180,0.805,0.670,0.285,1.548,74.731
'[11:13:15.120]',-0.301,0.475,0.650,0.283,1.590,74.380
'[11:13:15.128]',-0.220,0.285,0.860,0.282,1.643,74.087
'[11:13:15.136]',-0.155,0.210,0.935,0.280,1.699,73.969
'[11:13:15.144]',-0.115,0.180,0.970,0.279,1.753,73.852
'[11:13:15.152]',-0.100,0.175,0.980,0.277,1.802,73.852
'[11:13:15.160]',-0.095,0.175,0.990,0.276,1.842,73.969
'[11:13:15.168]',-0.086,0.175,1.000,0.276,1.870,74.087
'[11:13:15.176]',-0.075,0.180,1.000,0.276,1.885,74.380
'[11:13:15.184]',-0.070,0.180,1.000,0.276,1.885,74.731
'[11:13:15.192]',-0.061,0.190,1.000,0.276,1.872,75.083
'[11:13:15.200]',-0.055,0.190,1.000,0.276,1.848,75.552
'[11:13:15.208]',-0.050,0.200,1.005,0.277,1.815,75.962
'[11:13:15.216]',-0.050,0.200,1.005,0.277,1.779,76.490
'[11:13:15.224]',-0.050,0.210,1.015,0.277,1.739,76.959
'[11:13:15.232]',-0.041,0.215,1.020,0.277,1.690,77.486
'[11:13:15.240]',-0.035,0.220,1.025,0.277,1.637,77.897
'[11:13:15.248]',-0.030,0.225,1.025,0.277,1.584,78.365
'[11:13:15.256]',-0.025,0.235,1.030,0.277,1.532,78.658
'[11:13:15.264]',-0.015,0.240,1.030,0.276,1.482,78.893
'[11:13:15.272]',-0.021,0.245,1.035,0.276,1.433,79.127
'[11:13:15.280]',-0.010,0.255,1.040,0.275,1.386,79.303
'[11:13:15.288]',-0.010,0.255,1.040,0.274,1.342,79.303
'[11:13:15.296]',-0.010,0.260,1.045,0.273,1.302,79.186
'[11:13:15.304]',-0.010,0.265,1.045,0.272,1.265,78.893
'[11:13:15.312]',-0.015,0.265,1.050,0.272,1.238,78.483
'[11:13:15.320]',-0.021,0.260,1.055,0.271,1.215,77.897
'[11:13:15.328]',-0.025,0.270,1.060,0.270,1.192,77.369
'[11:13:15.336]',-0.035,0.270,1.070,0.269,1.170,77.193
'[11:13:15.344]',-0.050,0.265,1.070,0.267,1.152,77.897
'[11:13:15.352]',-0.070,0.255,1.065,0.266,1.136,80.593
'[11:13:15.360]',-0.090,0.250,1.060,0.264,1.123,86.220
'[11:13:15.368]',-0.106,0.250,1.050,0.262,1.111,95.246
'[11:13:15.376]',-0.120,0.245,1.045,0.259,1.101,107.086
'[11:13:15.384]',-0.135,0.245,1.035,0.256,1.092,120.684
'[11:13:15.392]',-0.135,0.265,1.030,0.254,1.087,134.165
'[11:13:15.400]',-0.126,0.275,1.020,0.251,1.085,146.005
'[11:13:15.408]',-0.110,0.295,1.015,0.248,1.087,154.797
'[11:13:15.416]',-0.090,0.315,1.010,0.246,1.093,159.720
'[11:13:15.424]',-0.065,0.330,1.010,0.244,1.102,160.599
'[11:13:15.432]',-0.045,0.330,1.000,0.241,1.111,158.079
'[11:13:15.440]',-0.030,0.335,1.000,0.239,1.121,152.804
'[11:13:15.448]',-0.021,0.320,1.000,0.237,1.132,146.005
'[11:13:15.456]',-0.010,0.310,0.990,0.235,1.143,138.444
'[11:13:15.464]',-0.000,0.295,0.985,0.233,1.153,130.765
'[11:13:15.472]',-0.000,0.295,0.980,0.232,1.164,123.439
'[11:13:15.480]',-0.000,0.275,0.980,0.231,1.177,116.698
'[11:13:15.488]',-0.005,0.270,0.980,0.230,1.190,110.661
'[11:13:15.496]',-0.005,0.265,0.975,0.229,1.203,105.445
'[11:13:15.504]',-0.010,0.260,0.975,0.229,1.217,100.931
'[11:13:15.512]',-0.010,0.260,0.970,0.229,1.230,97.297
'[11:13:15.520]',-0.015,0.255,0.970,0.229,1.240,94.367
'[11:13:15.528]',-0.021,0.260,0.965,0.229,1.249,92.198
'[11:13:15.536]',-0.021,0.250,0.960,0.230,1.255,90.557
'[11:13:15.544]',-0.025,0.245,0.955,0.231,1.257,89.443
'[11:13:15.552]',-0.030,0.250,0.955,0.231,1.253,88.740
'[11:13:15.560]',-0.030,0.255,0.960,0.232,1.243,88.271
'[11:13:15.568]',-0.035,0.250,0.955,0.233,1.230,88.037
'[11:13:15.576]',-0.035,0.245,0.950,0.233,1.220,87.802
'[11:13:15.584]',-0.041,0.250,0.950,0.235,1.224,87.509
'[11:13:15.592]',-0.045,0.245,0.950,0.236,1.258,87.157
'[11:13:15.600]',-0.045,0.245,0.950,0.238,1.335,87.040
'[11:13:15.608]',-0.045,0.245,0.950,0.241,1.461,87.216
'[11:13:15.616]',-0.045,0.245,0.950,0.242,1.605,87.919
'[11:13:15.624]',-0.045,0.250,0.950,0.244,1.771,89.092
'[11:13:15.632]',-0.045,0.245,0.950,0.246,1.982,90.791
'[11:13:15.640]',-0.045,0.250,0.950,0.247,2.206,92.901
'[11:13:15.648]',-0.045,0.250,0.950,0.248,2.413,95.363
'[11:13:15.656]',-0.045,0.250,0.950,0.249,2.581,98.001
'[11:13:15.664]',-0.045,0.250,0.950,0.249,2.694,100.638
'[11:13:15.672]',-0.045,0.250,0.950,0.250,2.749,103.041
'[11:13:15.680]',-0.045,0.255,0.950,0.250,2.749,105.151
'[11:13:15.688]',-0.045,0.250,0.950,0.250,2.704,106.851
'[11:13:15.696]',-0.041,0.245,0.950,0.250,2.626,108.024
'[11:13:15.704]',-0.025,0.255,0.955,0.249,2.527,108.610
'[11:13:15.712]',-0.005,0.265,0.975,0.248,2.428,108.551
'[11:13:15.720]',0.024,0.285,1.000,0.247,2.331,107.848
'[11:13:15.728]',0.040,0.290,1.005,0.246,2.227,106.675
'[11:13:15.736]',0.044,0.280,1.010,0.245,2.121,105.034
'[11:13:15.744]',0.044,0.310,1.020,0.243,2.018,103.100
'[11:13:15.752]',0.010,0.295,0.985,0.241,1.921,100.990
'[11:13:15.760]',-0.000,0.275,0.965,0.238,1.833,98.763
'[11:13:15.768]',-0.015,0.265,0.940,0.236,1.758,96.418
'[11:13:15.776]',-0.025,0.260,0.930,0.234,1.694,94.191
'[11:13:15.784]',-0.041,0.255,0.925,0.232,1.641,91.964
'[11:13:15.792]',-0.061,0.250,0.940,0.231,1.598,89.912
'[11:13:15.800]',-0.075,0.245,0.940,0.230,1.566,87.978
'[11:13:15.808]',-0.075,0.245,0.935,0.228,1.542,86.220
'[11:13:15.816]',-0.075,0.240,0.935,0.227,1.530,84.696
'[11:13:15.824]',-0.075,0.245,0.930,0.225,1.525,83.230
'[11:13:15.832]',-0.075,0.245,0.940,0.224,1.515,81.941
'[11:13:15.840]',-0.075,0.220,0.930,0.222,1.504,80.769
'[11:13:15.848]',0.015,0.245,0.985,0.221,1.497,79.772
'[11:13:15.856]',0.275,0.475,1.105,0.219,1.493,78.834
'[11:13:15.864]',0.715,0.960,1.150,0.217,1.497,78.072
'[11:13:15.872]',1.171,1.501,1.245,0.216,1.509,77.369
'[11:13:15.880]',0.495,1.326,0.975,0.215,1.532,76.724
'[11:13:15.888]',-0.186,0.800,0.710,0.215,1.563,76.197
'[11:13:15.896]',-0.281,0.470,0.700,0.214,1.603,75.669
'[11:13:15.904]',-0.205,0.265,0.870,0.214,1.648,75.259
'[11:13:15.912]',-0.140,0.195,0.930,0.213,1.688,74.966
'[11:13:15.920]',-0.115,0.175,0.960,0.213,1.723,74.731
'[11:13:15.928]',-0.100,0.160,0.975,0.213,1.759,74.614
'[11:13:15.936]',-0.100,0.155,0.975,0.213,1.790,74.556
'[11:13:15.944]',-0.095,0.155,0.975,0.213,1.814,74.556
'[11:13:15.952]',-0.090,0.155,0.975,0.213,1.829,74.614
'[11:13:15.960]',-0.081,0.165,0.980,0.214,1.834,74.790
'[11:13:15.968]',-0.081,0.165,0.985,0.214,1.828,75.083
'[11:13:15.976]',-0.075,0.175,0.980,0.214,1.811,75.493
'[11:13:15.984]',-0.075,0.175,0.990,0.214,1.785,75.845
'[11:13:15.992]',-0.075,0.180,0.995,0.215,1.752,76.255
'[11:13:16.000]',-0.075,0.185,1.000,0.215,1.714,76.666
'[11:13:16.008]',-0.075,0.195,1.000,0.215,1.672,77.135
'[11:13:16.016]',-0.065,0.200,1.005,0.216,1.633,77.486
'[11:13:16.024]',-0.055,0.205,1.010,0.216,1.597,77.779
'[11:13:16.032]',-0.045,0.210,1.015,0.217,1.558,78.131
'[11:13:16.040]',-0.041,0.225,1.020,0.217,1.517,78.365
'[11:13:16.048]',-0.041,0.225,1.020,0.218,1.478,78.483
'[11:13:16.056]',-0.041,0.235,1.025,0.218,1.439,78.541
'[11:13:16.064]',-0.041,0.245,1.035,0.219,1.402,78.483
'[11:13:16.072]',-0.041,0.255,1.045,0.219,1.368,78.307
'[11:13:16.080]',-0.045,0.255,1.045,0.220,1.336,78.014
'[11:13:16.088]',-0.041,0.265,1.060,0.220,1.307,77.545
'[11:13:16.096]',-0.050,0.265,1.065,0.220,1.283,77.076
'[11:13:16.104]',-0.050,0.270,1.070,0.220,1.261,76.548
'[11:13:16.112]',-0.065,0.265,1.070,0.219,1.244,76.490
'[11:13:16.120]',-0.081,0.265,1.075,0.219,1.230,77.428
'[11:13:16.128]',-0.095,0.260,1.070,0.219,1.214,80.358
'[11:13:16.136]',-0.110,0.255,1.070,0.218,1.198,86.278
'[11:13:16.144]',-0.135,0.245,1.065,0.218,1.186,95.480
'[11:13:16.152]',-0.146,0.250,1.050,0.218,1.176,107.379
'[11:13:16.160]',-0.155,0.255,1.045,0.218,1.169,120.860
'[11:13:16.168]',-0.155,0.265,1.040,0.218,1.164,134.223
'[11:13:16.176]',-0.146,0.280,1.035,0.219,1.162,146.005
'[11:13:16.184]',-0.126,0.300,1.025,0.219,1.162,154.679
'[11:13:16.192]',-0.106,0.320,1.020,0.219,1.164,159.486
'[11:13:16.200]',-0.081,0.325,1.015,0.219,1.168,160.365
'[11:13:16.208]',-0.075,0.330,1.000,0.220,1.175,157.727
'[11:13:16.216]',-0.055,0.325,1.000,0.220,1.183,152.569
'[11:13:16.224]',-0.045,0.320,1.000,0.220,1.191,145.594
'[11:13:16.232]',-0.030,0.305,0.995,0.220,1.200,137.975
'[11:13:16.240]',-0.030,0.295,0.995,0.221,1.211,130.296
'[11:13:16.248]',-0.030,0.280,0.985,0.221,1.223,122.911
'[11:13:16.256]',-0.030,0.275,0.980,0.221,1.236,116.171
'[11:13:16.264]',-0.035,0.260,0.980,0.222,1.248,110.075
'[11:13:16.272]',-0.041,0.250,0.970,0.222,1.260,104.683
'[11:13:16.280]',-0.041,0.245,0.970,0.223,1.271,100.169
'[11:13:16.288]',-0.045,0.250,0.970,0.224,1.282,96.360
'[11:13:16.296]',-0.050,0.240,0.960,0.226,1.289,93.370
'[11:13:16.304]',-0.055,0.245,0.955,0.228,1.295,91.084
'[11:13:16.312]',-0.050,0.235,0.955,0.231,1.301,89.443
'[11:13:16.320]',-0.055,0.235,0.955,0.234,1.304,88.212
'[11:13:16.328]',-0.055,0.240,0.950,0.237,1.302,87.509
'[11:13:16.336]',-0.061,0.240,0.945,0.242,1.293,86.981
'[11:13:16.344]',-0.065,0.240,0.950,0.246,1.282,86.630
'[11:13:16.352]',-0.070,0.240,0.955,0.249,1.273,86.220
'[11:13:16.360]',-0.070,0.245,0.955,0.253,1.277,85.868
'[11:13:16.368]',-0.070,0.235,0.950,0.257,1.307,85.399
'[11:13:16.376]',-0.075,0.240,0.955,0.260,1.375,85.164
'[11:13:16.384]',-0.075,0.235,0.950,0.263,1.492,85.223
'[11:13:16.392]',-0.075,0.230,0.940,0.267,1.658,85.868
'[11:13:16.400]',-0.075,0.230,0.945,0.269,1.862,86.981
'[11:13:16.408]',-0.075,0.240,0.950,0.272,2.055,88.681
'[11:13:16.416]',-0.075,0.230,0.945,0.275,2.234,90.733
'[11:13:16.424]',-0.070,0.235,0.950,0.278,2.419,93.194
'[11:13:16.432]',-0.065,0.230,0.950,0.281,2.578,95.773
'[11:13:16.440]',-0.070,0.245,0.950,0.283,2.692,98.411
'[11:13:16.448]',-0.070,0.245,0.950,0.286,2.754,100.990
'[11:13:16.456]',-0.065,0.245,0.950,0.289,2.763,103.217
'[11:13:16.464]',-0.070,0.245,0.950,0.291,2.729,105.093
'[11:13:16.472]',-0.055,0.250,0.955,0.294,2.661,106.441
'[11:13:16.480]',-0.030,0.260,0.970,0.296,2.570,107.203
'[11:13:16.488]',-0.005,0.275,1.000,0.298,2.465,107.320
'[11:13:16.496]',0.004,0.280,1.010,0.299,2.354,106.793
'[11:13:16.504]',0.015,0.285,1.015,0.301,2.241,105.738
'[11:13:16.512]',0.024,0.305,1.025,0.301,2.144,104.214
'[11:13:16.520]',-0.000,0.310,1.005,0.303,2.056,102.338
'[11:13:16.528]',-0.021,0.280,0.975,0.303,1.967,100.228
'[11:13:16.536]',-0.025,0.270,0.960,0.304,1.884,97.942
'[11:13:16.544]',-0.041,0.265,0.940,0.305,1.809,95.598
'[11:13:16.552]',-0.050,0.270,0.940,0.305,1.745,93.253
'[11:13:16.560]',-0.065,0.255,0.940,0.306,1.692,90.967
'[11:13:16.568]',-0.075,0.250,0.945,0.306,1.650,88.798
'[11:13:16.576]',-0.081,0.255,0.945,0.307,1.618,86.747
'[11:13:16.584]',-0.075,0.250,0.950,0.308,1.593,84.871
'[11:13:16.592]',-0.075,0.255,0.950,0.309,1.574,83.172
'[11:13:16.600]',-0.075,0.250,0.950,0.310,1.558,81.589
'[11:13:16.608]',-0.075,0.255,0.940,0.312,1.547,80.182
'[11:13:16.616]',-0.021,0.230,0.975,0.313,1.539,78.893
'[11:13:16.624]',0.165,0.365,1.085,0.315,1.531,77.838
'[11:13:16.632]',0.540,0.745,1.155,0.316,1.527,76.841
'[11:13:16.640]',1.115,1.406,1.245,0.318,1.529,76.021
'[11:13:16.648]',1.196,1.501,1.250,0.320,1.540,75.318
'[11:13:16.656]',-0.025,0.925,0.760,0.322,1.560,74.673
'[11:13:16.664]',-0.301,0.535,0.660,0.323,1.591,74.087
'[11:13:16.672]',-0.236,0.330,0.825,0.325,1.630,73.676
'[11:13:16.680]',-0.160,0.225,0.915,0.326,1.676,73.383
'[11:13:16.688]',-0.120,0.200,0.965,0.327,1.724,73.149
'[11:13:16.696]',-0.106,0.180,0.975,0.329,1.769,73.032
'[11:13:16.704]',-0.100,0.175,0.985,0.330,1.811,73.032
'[11:13:16.712]',-0.095,0.175,0.990,0.331,1.844,73.090
'[11:13:16.720]',-0.086,0.175,0.995,0.333,1.865,73.325
'[11:13:16.728]',-0.081,0.185,0.995,0.334,1.882,73.559
'[11:13:16.736]',-0.075,0.185,0.995,0.336,1.890,73.911
'[11:13:16.744]',-0.070,0.190,1.000,0.338,1.888,74.380
'[11:13:16.752]',-0.061,0.195,1.000,0.339,1.875,74.849
'[11:13:16.760]',-0.061,0.200,1.000,0.341,1.854,75.435
'[11:13:16.768]',-0.050,0.195,1.000,0.342,1.825,75.962
'[11:13:16.776]',-0.050,0.205,1.000,0.344,1.790,76.607
'[11:13:16.784]',-0.041,0.210,1.000,0.345,1.751,77.193
'[11:13:16.792]',-0.030,0.215,1.005,0.346,1.709,77.662
'[11:13:16.800]',-0.025,0.220,1.010,0.347,1.665,78.190
'[11:13:16.808]',-0.025,0.225,1.015,0.348,1.626,78.600
'[11:13:16.816]',-0.025,0.225,1.015,0.350,1.590,78.893
'[11:13:16.824]',-0.025,0.240,1.020,0.351,1.552,79.245
'[11:13:16.832]',-0.025,0.240,1.020,0.353,1.513,79.362
'[11:13:16.840]',-0.025,0.250,1.025,0.355,1.474,79.362
'[11:13:16.848]',-0.025,0.250,1.030,0.356,1.436,79.245
'[11:13:16.856]',-0.025,0.265,1.045,0.358,1.401,78.893
'[11:13:16.864]',-0.025,0.260,1.045,0.360,1.369,78.541
'[11:13:16.872]',-0.030,0.260,1.045,0.362,1.339,78.131
'[11:13:16.880]',-0.050,0.250,1.050,0.364,1.314,77.779
'[11:13:16.888]',-0.065,0.255,1.050,0.366,1.291,78.014
'[11:13:16.896]',-0.086,0.245,1.045,0.367,1.273,79.479
'[11:13:16.904]',-0.100,0.245,1.040,0.369,1.257,83.289
'[11:13:16.912]',-0.120,0.230,1.025,0.371,1.246,90.264
'[11:13:16.920]',-0.140,0.230,1.020,0.373,1.239,100.404
'[11:13:16.928]',-0.146,0.225,1.010,0.375,1.233,113.006
'[11:13:16.936]',-0.155,0.230,1.000,0.376,1.227,126.487
'[11:13:16.944]',-0.151,0.245,0.995,0.377,1.223,139.264
'[11:13:16.952]',-0.135,0.270,0.990,0.379,1.222,149.697
'[11:13:16.960]',-0.115,0.295,0.990,0.379,1.224,156.672
'[11:13:16.968]',-0.090,0.305,0.985,0.380,1.228,159.720
'[11:13:16.976]',-0.065,0.320,0.990,0.380,1.235,159.017
'[11:13:16.984]',-0.050,0.320,0.985,0.381,1.244,155.031
'[11:13:16.992]',-0.035,0.310,0.985,0.381,1.256,148.935
'[11:13:17.000]',-0.025,0.305,0.980,0.380,1.268,141.609
'[11:13:17.008]',-0.025,0.300,0.980,0.379,1.279,133.813
'[11:13:17.016]',-0.021,0.290,0.975,0.379,1.291,126.135
'[11:13:17.024]',-0.021,0.285,0.975,0.377,1.306,118.867
'[11:13:17.032]',-0.015,0.275,0.970,0.376,1.322,112.185
'[11:13:17.040]',-0.021,0.280,0.970,0.375,1.337,106.265
'[11:13:17.048]',-0.015,0.270,0.970,0.373,1.352,101.107
'[11:13:17.056]',-0.015,0.270,0.970,0.372,1.366,96.770
'[11:13:17.064]',-0.021,0.270,0.960,0.370,1.377,93.253
'[11:13:17.072]',-0.025,0.270,0.960,0.369,1.388,90.381
'[11:13:17.080]',-0.025,0.260,0.955,0.368,1.396,88.212
'[11:13:17.088]',-0.030,0.265,0.960,0.367,1.400,86.688
'[11:13:17.096]',-0.035,0.260,0.955,0.366,1.399,85.633
'[11:13:17.104]',-0.045,0.265,0.965,0.366,1.392,84.813
'[11:13:17.112]',-0.045,0.260,0.955,0.365,1.383,84.227
'[11:13:17.120]',-0.050,0.260,0.960,0.364,1.376,83.758
'[11:13:17.128]',-0.050,0.255,0.960,0.364,1.372,83.289
'[11:13:17.136]',-0.055,0.250,0.960,0.363,1.383,82.996
'[11:13:17.144]',-0.055,0.260,0.965,0.363,1.419,82.820
'[11:13:17.152]',-0.061,0.255,0.960,0.362,1.496,82.996
'[11:13:17.160]',-0.065,0.260,0.960,0.362,1.618,83.758
'[11:13:17.168]',-0.061,0.255,0.960,0.361,1.785,85.106
'[11:13:17.176]',-0.065,0.260,0.965,0.361,1.985,87.040
'[11:13:17.184]',-0.065,0.255,0.960,0.361,2.198,89.502
'[11:13:17.192]',-0.065,0.260,0.960,0.360,2.402,92.315
'[11:13:17.200]',-0.061,0.260,0.955,0.360,2.574,95.363
'[11:13:17.208]',-0.055,0.265,0.955,0.360,2.691,98.528
'[11:13:17.216]',-0.061,0.255,0.955,0.359,2.757,101.635
'[11:13:17.224]',-0.055,0.265,0.960,0.358,2.782,104.390
'[11:13:17.232]',-0.050,0.260,0.960,0.356,2.764,106.675
'[11:13:17.240]',-0.050,0.270,0.965,0.355,2.710,108.434
'[11:13:17.248]',-0.050,0.270,0.970,0.353,2.625,109.430
'[11:13:17.256]',-0.045,0.275,0.975,0.351,2.522,109.782
'[11:13:17.264]',-0.010,0.285,0.990,0.348,2.410,109.489
'[11:13:17.272]',0.020,0.300,1.015,0.345,2.293,108.492
'[11:13:17.280]',0.024,0.305,1.020,0.341,2.178,106.910
'[11:13:17.288]',0.030,0.310,1.025,0.337,2.066,104.917
'[11:13:17.296]',0.035,0.325,1.035,0.333,1.962,102.631
'[11:13:17.304]',0.010,0.315,1.005,0.328,1.865,100.111
'[11:13:17.312]',-0.000,0.295,0.975,0.324,1.786,97.532
'[11:13:17.320]',-0.010,0.285,0.955,0.321,1.721,95.070
'[11:13:17.328]',-0.025,0.280,0.950,0.317,1.662,92.550
'[11:13:17.336]',-0.030,0.280,0.950,0.314,1.609,90.264
'[11:13:17.344]',-0.050,0.270,0.955,0.311,1.565,87.978
'[11:13:17.352]',-0.065,0.265,0.955,0.308,1.528,85.926
'[11:13:17.360]',-0.065,0.270,0.950,0.304,1.498,84.109
'[11:13:17.368]',-0.065,0.270,0.950,0.301,1.473,82.410
'[11:13:17.376]',-0.055,0.270,0.950,0.298,1.454,81.003
'[11:13:17.384]',-0.050,0.270,0.955,0.295,1.439,79.714
'[11:13:17.392]',-0.050,0.250,0.950,0.292,1.429,78.600
'[11:13:17.400]',0.050,0.280,1.015,0.290,1.426,77.662
'[11:13:17.408]',0.295,0.505,1.115,0.288,1.430,76.783
'[11:13:17.416]',0.750,1.005,1.135,0.286,1.443,76.021
'[11:13:17.424]',1.196,1.501,1.220,0.285,1.466,75.435
'[11:13:17.432]',0.480,1.305,0.925,0.284,1.500,74.849
'[11:13:17.440]',-0.205,0.755,0.670,0.283,1.543,74.438
'[11:13:17.448]',-0.285,0.455,0.755,0.282,1.594,74.087
'[11:13:17.456]',-0.191,0.285,0.885,0.281,1.649,73.852
'[11:13:17.464]',-0.120,0.220,0.950,0.280,1.704,73.735
'[11:13:17.472]',-0.095,0.200,0.975,0.279,1.755,73.676
'[11:13:17.480]',-0.081,0.185,0.985,0.278,1.799,73.676
'[11:13:17.488]',-0.075,0.185,0.990,0.276,1.834,73.794
'[11:13:17.496]',-0.070,0.180,0.990,0.275,1.856,73.969
'[11:13:17.504]',-0.061,0.190,1.000,0.273,1.865,74.321
'[11:13:17.512]',-0.061,0.185,1.000,0.272,1.863,74.614
'[11:13:17.520]',-0.055,0.190,1.000,0.271,1.852,74.966
'[11:13:17.528]',-0.045,0.195,1.005,0.270,1.830,75.493
'[11:13:17.536]',-0.041,0.200,1.010,0.270,1.799,75.962
'[11:13:17.544]',-0.035,0.205,1.015,0.269,1.761,76.490
'[11:13:17.552]',-0.030,0.215,1.020,0.268,1.717,76.959
'[11:13:17.560]',-0.030,0.220,1.020,0.268,1.669,77.486
'[11:13:17.568]',-0.025,0.225,1.020,0.267,1.620,77.897
'[11:13:17.576]',-0.025,0.235,1.030,0.266,1.572,78.307
'[11:13:17.584]',-0.015,0.235,1.035,0.264,1.524,78.658
'[11:13:17.592]',-0.015,0.245,1.035,0.263,1.478,78.893
'[11:13:17.600]',-0.005,0.245,1.035,0.261,1.433,79.127
'[11:13:17.608]',-0.010,0.255,1.045,0.260,1.397,79.245
