'Time','II','AVR','V','RESP','PLETH','ABP','LAP'
'[18:22:49.032]',0.530,0.615,0.380,0.264,2.079,74.292,37.004
'[18:22:49.040]',0.425,0.625,0.435,0.280,2.076,73.999,37.004
'[18:22:49.048]',0.400,0.605,0.450,0.297,2.072,73.657,37.004
'[18:22:49.056]',0.405,0.590,0.535,0.313,2.070,73.510,37.004
'[18:22:49.064]',0.375,0.590,0.535,0.329,2.069,73.364,37.004
'[18:22:49.072]',0.385,0.575,0.610,0.348,2.064,73.217,37.004
'[18:22:49.080]',0.400,0.560,0.595,0.366,2.056,73.217,37.004
'[18:22:49.088]',0.415,0.545,0.625,0.387,2.052,73.168,37.004
'[18:22:49.096]',0.410,0.540,0.585,0.407,2.050,73.168,37.004
'[18:22:49.104]',0.400,0.560,0.605,0.428,2.049,73.120,37.004
'[18:22:49.112]',0.390,0.575,0.585,0.450,2.048,73.071,37.004
'[18:22:49.120]',0.405,0.555,0.620,0.471,2.048,72.973,37.004
'[18:22:49.128]',0.435,0.520,0.635,0.493,2.042,72.875,37.004
'[18:22:49.136]',0.440,0.515,0.665,0.512,2.034,72.680,37.004
'[18:22:49.144]',0.445,0.500,0.675,0.532,2.030,72.387,37.004
'[18:22:49.152]',0.470,0.485,0.620,0.550,2.023,71.996,37.004
'[18:22:49.160]',0.495,0.465,0.575,0.568,2.015,71.508,37.004
'[18:22:49.168]',0.490,0.475,0.535,0.586,2.008,70.970,37.004
'[18:22:49.176]',0.475,0.505,0.540,0.605,1.999,70.433,37.004
'[18:22:49.184]',0.490,0.480,0.480,0.624,1.992,69.847,37.004
'[18:22:49.192]',0.535,0.430,0.515,0.643,1.983,69.310,37.004
'[18:22:49.200]',0.565,0.405,0.505,0.660,1.974,68.821,37.004
'[18:22:49.208]',0.600,0.390,0.565,0.678,1.966,68.382,37.004
'[18:22:49.216]',0.650,0.340,0.555,0.694,1.957,68.040,37.004
'[18:22:49.224]',0.700,0.300,0.610,0.710,1.950,67.698,37.004
'[18:22:49.232]',0.720,0.295,0.590,0.728,1.946,67.356,37.004
'[18:22:49.240]',0.720,0.300,0.630,0.746,1.942,67.161,37.004
'[18:22:49.248]',0.725,0.290,0.600,0.765,1.935,67.356,37.004
'[18:22:49.256]',0.710,0.295,0.635,0.784,1.926,68.626,37.004
'[18:22:49.264]',0.680,0.320,0.595,0.804,1.916,71.850,37.004
'[18:22:49.272]',0.645,0.360,0.630,0.823,1.903,78.248,37.004
'[18:22:49.280]',0.605,0.400,0.585,0.843,1.890,87.968,37.004
'[18:22:49.288]',0.575,0.420,0.610,0.862,1.875,100.423,37.004
'[18:22:49.296]',0.530,0.475,0.580,0.880,1.856,113.807,37.004
'[18:22:49.304]',0.495,0.515,0.605,0.898,1.840,126.750,37.004
'[18:22:49.312]',0.485,0.505,0.570,0.914,1.823,138.327,37.004
'[18:22:49.320]',0.465,0.520,0.585,0.931,1.807,147.998,37.004
'[18:22:49.328]',0.430,0.540,0.550,0.947,1.795,155.373,37.004
'[18:22:49.336]',0.415,0.565,0.540,0.963,1.780,160.062,37.004
'[18:22:49.344]',0.415,0.570,0.570,0.979,1.768,161.674,37.004
'[18:22:49.352]',0.425,0.560,0.555,0.994,1.762,160.502,37.004
'[18:22:49.360]',0.435,0.545,0.595,0.997,1.760,157.034,37.004
'[18:22:49.368]',0.445,0.540,0.565,1.000,1.758,152.198,37.004
'[18:22:49.376]',0.440,0.550,0.610,1.000,1.755,146.435,37.004
'[18:22:49.384]',0.425,0.545,0.585,1.000,1.748,140.427,37.004
'[18:22:49.392]',0.430,0.550,0.625,1.000,1.739,134.566,37.004
'[18:22:49.400]',0.445,0.545,0.600,1.000,1.755,129.095,37.004
'[18:22:49.408]',0.445,0.545,0.650,1.000,1.785,124.162,37.004
'[18:22:49.416]',0.455,0.535,0.625,1.000,1.803,119.912,37.004
'[18:22:49.424]',0.460,0.540,0.680,1.000,1.813,116.298,37.004
'[18:22:49.432]',0.450,0.540,0.655,1.000,1.819,113.367,37.004
'[18:22:49.440]',0.445,0.540,0.685,1.000,1.822,110.974,37.004
'[18:22:49.448]',0.440,0.545,0.665,1.000,1.821,109.069,37.004
'[18:22:49.456]',0.445,0.555,0.725,1.000,1.815,107.359,37.004
'[18:22:49.464]',0.445,0.540,0.705,1.000,1.806,105.845,37.004
'[18:22:49.472]',0.455,0.540,0.755,1.000,1.798,104.380,37.004
'[18:22:49.480]',0.465,0.535,0.720,1.000,1.788,102.817,37.004
'[18:22:49.488]',0.460,0.530,0.735,1.000,1.780,101.010,37.004
'[18:22:49.496]',0.460,0.525,0.685,1.000,1.776,98.909,37.004
'[18:22:49.504]',0.465,0.520,0.700,1.000,1.774,96.565,37.004
'[18:22:49.512]',0.445,0.540,0.655,1.000,1.773,93.976,37.004
'[18:22:49.520]',0.445,0.545,0.665,1.000,1.773,91.485,37.004
'[18:22:49.528]',0.440,0.545,0.635,1.000,1.770,89.385,37.004
'[18:22:49.536]',0.445,0.540,0.630,1.000,1.763,87.919,37.004
'[18:22:49.544]',0.440,0.555,0.655,1.000,1.758,86.991,37.004
'[18:22:49.552]',0.435,0.560,0.620,1.000,1.755,86.698,37.004
'[18:22:49.560]',0.445,0.540,0.650,1.000,1.756,86.698,37.004
'[18:22:49.568]',0.450,0.530,0.605,1.000,1.764,87.138,37.004
'[18:22:49.576]',0.455,0.525,0.635,1.000,1.782,87.871,37.004
'[18:22:49.584]',0.445,0.545,0.600,1.000,1.805,88.799,37.004
'[18:22:49.592]',0.450,0.540,0.630,1.000,1.836,89.922,37.004
'[18:22:49.600]',0.445,0.545,0.590,1.000,1.871,91.045,37.004
'[18:22:49.608]',0.445,0.550,0.625,1.000,1.910,92.071,37.004
'[18:22:49.616]',0.480,0.515,0.605,1.000,1.945,92.804,37.004
'[18:22:49.624]',0.520,0.475,0.660,1.000,1.978,93.341,37.004
'[18:22:49.632]',0.520,0.470,0.630,1.000,2.016,93.634,37.004
'[18:22:49.640]',0.505,0.460,0.635,1.000,2.055,93.536,37.004
'[18:22:49.648]',0.520,0.445,0.570,1.000,2.096,93.243,37.004
'[18:22:49.656]',0.530,0.440,0.590,1.000,2.129,92.755,37.004
'[18:22:49.664]',0.500,0.490,0.540,1.000,2.156,92.071,37.004
'[18:22:49.672]',0.450,0.515,0.555,1.000,2.180,91.094,37.004
'[18:22:49.680]',0.420,0.540,0.500,1.000,2.199,90.117,37.004
'[18:22:49.688]',0.425,0.535,0.535,1.000,2.217,88.994,37.004
'[18:22:49.696]',0.430,0.560,0.520,1.000,2.232,87.871,37.004
'[18:22:49.704]',0.400,0.580,0.550,1.000,2.243,86.747,37.004
'[18:22:49.712]',0.405,0.565,0.515,1.000,2.252,85.624,37.004
'[18:22:49.720]',0.390,0.595,0.540,1.000,2.259,84.549,37.004
'[18:22:49.728]',0.400,0.600,0.530,1.000,2.268,83.572,37.004
'[18:22:49.736]',0.415,0.575,0.555,1.000,2.278,82.595,37.004
'[18:22:49.744]',0.405,0.590,0.565,1.000,2.287,81.667,37.004
'[18:22:49.752]',0.405,0.575,0.540,1.000,2.292,80.739,37.004
'[18:22:49.760]',0.425,0.565,0.580,1.000,2.289,79.860,37.004
'[18:22:49.768]',0.440,0.550,0.565,1.000,2.283,79.030,37.004
'[18:22:49.776]',0.420,0.570,0.630,1.000,2.278,78.297,37.004
'[18:22:49.784]',0.440,0.575,0.615,1.000,2.275,77.564,37.004
'[18:22:49.792]',0.540,0.435,0.620,1.000,2.271,76.881,37.004
'[18:22:49.800]',0.870,0.115,0.395,1.000,2.263,76.197,37.004
'[18:22:49.808]',1.200,-0.130,0.245,1.000,2.259,75.611,37.004
'[18:22:49.816]',0.985,0.115,0.200,1.000,2.257,75.122,37.004
'[18:22:49.824]',0.735,0.490,0.420,1.000,2.251,74.634,37.004
'[18:22:49.832]',0.635,0.590,0.475,1.000,2.243,74.194,37.004
'[18:22:49.840]',0.505,0.605,0.530,1.000,2.234,73.803,37.004
'[18:22:49.848]',0.430,0.600,0.515,1.000,2.224,73.413,37.004
'[18:22:49.856]',0.400,0.605,0.575,1.000,2.214,73.071,37.004
'[18:22:49.864]',0.385,0.590,0.565,1.000,2.203,72.778,37.004
'[18:22:49.872]',0.380,0.575,0.630,1.000,2.194,72.631,37.004
'[18:22:49.880]',0.395,0.565,0.635,1.000,2.183,72.485,37.004
'[18:22:49.888]',0.405,0.560,0.670,1.000,2.175,72.436,37.004
'[18:22:49.896]',0.415,0.550,0.625,1.000,2.171,72.436,37.004
'[18:22:49.904]',0.405,0.560,0.635,1.000,2.169,72.436,37.004
'[18:22:49.912]',0.395,0.565,0.595,1.000,2.168,72.387,37.004
'[18:22:49.920]',0.415,0.550,0.630,1.000,2.165,72.289,37.004
'[18:22:49.928]',0.425,0.545,0.615,1.000,2.155,72.192,37.004
'[18:22:49.936]',0.425,0.540,0.650,1.000,2.143,71.996,37.004
'[18:22:49.944]',0.450,0.520,0.655,1.000,2.132,71.752,37.004
'[18:22:49.952]',0.460,0.510,0.615,1.000,2.124,71.410,37.004
'[18:22:49.960]',0.470,0.495,0.625,1.000,2.120,71.068,37.004
'[18:22:49.968]',0.485,0.480,0.555,1.000,2.118,70.531,37.004
'[18:22:49.976]',0.505,0.470,0.530,1.000,2.117,69.994,37.004
'[18:22:49.984]',0.515,0.465,0.500,1.000,2.116,69.407,37.004
'[18:22:49.992]',0.495,0.480,0.515,1.000,2.116,68.919,37.004
'[18:22:50.000]',0.530,0.455,0.470,1.000,2.113,68.382,37.004
'[18:22:50.008]',0.560,0.420,0.515,1.000,2.107,67.844,37.004
'[18:22:50.016]',0.600,0.380,0.495,1.000,2.098,67.405,37.004
'[18:22:50.024]',0.640,0.345,0.540,1.000,2.088,67.063,37.004
'[18:22:50.032]',0.675,0.310,0.520,1.000,2.078,66.721,37.004
'[18:22:50.040]',0.705,0.300,0.580,1.000,2.068,66.477,37.004
'[18:22:50.048]',0.710,0.300,0.560,1.000,2.061,66.477,37.004
'[18:22:50.056]',0.700,0.305,0.590,1.000,2.054,67.063,37.004
'[18:22:50.064]',0.695,0.315,0.555,1.000,2.045,68.919,37.004
'[18:22:50.072]',0.680,0.330,0.590,1.000,2.038,73.217,37.004
'[18:22:50.080]',0.630,0.380,0.535,1.000,2.035,80.788,37.004
'[18:22:50.088]',0.580,0.425,0.545,1.000,2.028,91.632,37.004
'[18:22:50.096]',0.560,0.435,0.500,1.000,2.020,104.429,37.004
'[18:22:50.104]',0.525,0.470,0.525,1.000,2.016,117.470,37.004
'[18:22:50.112]',0.470,0.525,0.480,1.000,2.014,129.632,37.004
'[18:22:50.120]',0.440,0.545,0.500,1.000,2.013,140.183,37.004
'[18:22:50.128]',0.425,0.560,0.470,1.000,2.007,148.730,37.004
'[18:22:50.136]',0.425,0.565,0.465,1.000,1.996,154.933,37.004
'[18:22:50.144]',0.425,0.565,0.495,1.000,1.982,158.304,37.004
'[18:22:50.152]',0.430,0.565,0.470,1.000,1.966,158.792,37.004
'[18:22:50.160]',0.430,0.565,0.505,1.000,1.946,156.692,37.004
'[18:22:50.168]',0.425,0.560,0.470,1.000,1.927,152.540,37.004
'[18:22:50.176]',0.445,0.535,0.500,1.000,1.906,147.265,37.004
'[18:22:50.184]',0.455,0.535,0.465,1.000,1.886,141.306,37.004
'[18:22:50.192]',0.445,0.545,0.495,0.993,1.868,135.249,37.004
'[18:22:50.200]',0.435,0.565,0.460,0.986,1.854,129.437,37.004
'[18:22:50.208]',0.445,0.550,0.495,0.976,1.842,124.113,37.004
'[18:22:50.216]',0.435,0.555,0.445,0.966,1.833,119.375,37.004
'[18:22:50.224]',0.440,0.560,0.460,0.954,1.826,115.321,37.004
'[18:22:50.232]',0.455,0.545,0.425,0.942,1.820,111.853,37.004
'[18:22:50.240]',0.460,0.540,0.445,0.928,1.817,108.971,37.004
'[18:22:50.248]',0.465,0.535,0.400,0.915,1.813,106.627,37.004
'[18:22:50.256]',0.455,0.540,0.430,0.902,1.808,104.575,37.004
'[18:22:50.264]',0.470,0.525,0.400,0.889,1.806,102.817,37.004
'[18:22:50.272]',0.465,0.535,0.440,0.877,1.807,101.107,37.004
'[18:22:50.280]',0.450,0.545,0.405,0.864,1.808,99.447,37.004
'[18:22:50.288]',0.445,0.540,0.440,0.850,1.808,97.688,37.004
'[18:22:50.296]',0.450,0.555,0.420,0.837,1.808,95.637,37.004
'[18:22:50.304]',0.470,0.535,0.465,0.824,1.804,93.341,37.004
'[18:22:50.312]',0.465,0.545,0.435,0.810,1.799,90.850,37.004
'[18:22:50.320]',0.445,0.560,0.455,0.798,1.794,88.408,37.004
'[18:22:50.328]',0.450,0.545,0.420,0.786,1.786,86.356,37.004
'[18:22:50.336]',0.455,0.535,0.440,0.775,1.779,84.793,37.004
'[18:22:50.344]',0.460,0.540,0.415,0.765,1.778,83.865,37.004
'[18:22:50.352]',0.465,0.535,0.405,0.755,1.783,83.475,37.004
'[18:22:50.360]',0.455,0.525,0.435,0.746,1.791,83.621,37.004
'[18:22:50.368]',0.445,0.550,0.405,0.737,1.800,84.061,37.004
'[18:22:50.376]',0.455,0.540,0.450,0.729,1.814,84.842,37.004
'[18:22:50.384]',0.455,0.535,0.415,0.722,1.835,85.917,37.004
'[18:22:50.392]',0.465,0.530,0.450,0.715,1.855,87.138,37.004
'[18:22:50.400]',0.450,0.550,0.415,0.710,1.876,88.408,37.004
'[18:22:50.408]',0.460,0.535,0.450,0.704,1.899,89.678,37.004
'[18:22:50.416]',0.490,0.510,0.425,0.700,1.924,90.752,37.004
'[18:22:50.424]',0.520,0.490,0.480,0.696,1.952,91.534,37.004
'[18:22:50.432]',0.525,0.465,0.445,0.692,1.986,92.169,37.004
'[18:22:50.440]',0.540,0.440,0.455,0.689,2.027,92.413,37.004
'[18:22:50.448]',0.540,0.435,0.385,0.686,2.071,92.413,37.004
'[18:22:50.456]',0.525,0.450,0.390,0.684,2.111,92.071,37.004
'[18:22:50.464]',0.495,0.480,0.350,0.682,2.145,91.436,37.004
'[18:22:50.472]',0.445,0.515,0.375,0.681,2.169,90.655,37.004
'[18:22:50.480]',0.440,0.530,0.350,0.680,2.187,89.678,37.004
'[18:22:50.488]',0.435,0.545,0.395,0.678,2.200,88.603,37.004
'[18:22:50.496]',0.405,0.575,0.360,0.677,2.212,87.431,37.004
'[18:22:50.504]',0.400,0.580,0.400,0.676,2.224,86.308,37.004
'[18:22:50.512]',0.425,0.555,0.385,0.674,2.233,85.184,37.004
'[18:22:50.520]',0.400,0.580,0.430,0.673,2.237,84.110,37.004
'[18:22:50.528]',0.415,0.590,0.420,0.671,2.239,83.133,37.004
'[18:22:50.536]',0.425,0.565,0.450,0.669,2.239,82.107,37.004
'[18:22:50.544]',0.400,0.600,0.430,0.666,2.240,81.130,37.004
'[18:22:50.552]',0.395,0.605,0.420,0.664,2.240,80.104,37.004
'[18:22:50.560]',0.415,0.580,0.445,0.661,2.238,79.225,37.004
'[18:22:50.568]',0.420,0.575,0.410,0.659,2.237,78.444,37.004
'[18:22:50.576]',0.405,0.600,0.485,0.656,2.236,77.613,37.004
'[18:22:50.584]',0.470,0.530,0.490,0.654,2.230,76.929,37.004
'[18:22:50.592]',0.610,0.370,0.390,0.651,2.222,76.294,37.004
'[18:22:50.600]',0.960,0.025,0.225,0.648,2.213,75.660,37.004
'[18:22:50.608]',1.220,-0.160,0.085,0.645,2.203,75.073,37.004
'[18:22:50.616]',0.880,0.205,0.060,0.643,2.194,74.536,37.004
'[18:22:50.624]',0.690,0.530,0.305,0.641,2.183,74.097,37.004
'[18:22:50.632]',0.595,0.615,0.375,0.639,2.175,73.755,37.004
'[18:22:50.640]',0.480,0.635,0.445,0.637,2.171,73.413,37.004
'[18:22:50.648]',0.425,0.595,0.435,0.636,2.169,73.071,37.004
'[18:22:50.656]',0.400,0.580,0.490,0.634,2.168,72.729,37.004
'[18:22:50.664]',0.405,0.565,0.485,0.633,2.168,72.533,37.004
'[18:22:50.672]',0.410,0.565,0.565,0.631,2.168,72.436,37.004
'[18:22:50.680]',0.395,0.570,0.535,0.630,2.165,72.387,37.004
'[18:22:50.688]',0.385,0.585,0.565,0.629,2.161,72.289,37.004
'[18:22:50.696]',0.395,0.575,0.515,0.628,2.159,72.387,37.004
'[18:22:50.704]',0.425,0.560,0.535,0.627,2.152,72.387,37.004
'[18:22:50.712]',0.425,0.555,0.485,0.626,2.145,72.387,37.004
'[18:22:50.720]',0.430,0.545,0.515,0.625,2.141,72.289,37.004
'[18:22:50.728]',0.430,0.540,0.495,0.624,2.136,72.192,37.004
'[18:22:50.736]',0.450,0.515,0.550,0.623,2.128,71.947,37.004
'[18:22:50.744]',0.460,0.515,0.560,0.622,2.122,71.605,37.004
'[18:22:50.752]',0.470,0.495,0.520,0.621,2.119,71.215,37.004
'[18:22:50.760]',0.490,0.485,0.530,0.620,2.117,70.873,37.004
'[18:22:50.768]',0.485,0.495,0.455,0.618,2.116,70.433,37.004
'[18:22:50.776]',0.490,0.495,0.400,0.616,2.116,69.945,37.004
'[18:22:50.784]',0.505,0.475,0.370,0.613,2.110,69.359,37.004
'[18:22:50.792]',0.535,0.445,0.380,0.610,2.100,68.870,37.004
'[18:22:50.800]',0.565,0.420,0.355,0.608,2.089,68.382,37.004
'[18:22:50.808]',0.600,0.390,0.410,0.606,2.076,67.796,37.004
'[18:22:50.816]',0.630,0.360,0.400,0.603,2.065,67.356,37.004
'[18:22:50.824]',0.660,0.340,0.460,0.602,2.059,66.916,37.004
'[18:22:50.832]',0.700,0.305,0.445,0.599,2.056,66.526,37.004
'[18:22:50.840]',0.720,0.295,0.500,0.596,2.055,66.281,37.004
'[18:22:50.848]',0.720,0.290,0.480,0.592,2.054,66.379,37.004
'[18:22:50.856]',0.735,0.275,0.520,0.589,2.048,67.063,37.004
'[18:22:50.864]',0.720,0.290,0.500,0.585,2.037,69.261,37.004
'[18:22:50.872]',0.685,0.325,0.540,0.581,2.026,73.999,37.004
'[18:22:50.880]',0.630,0.380,0.500,0.577,2.016,82.009,37.004
'[18:22:50.888]',0.590,0.420,0.535,0.572,2.006,92.999,37.004
'[18:22:50.896]',0.555,0.455,0.500,0.568,1.998,105.699,37.004
'[18:22:50.904]',0.515,0.490,0.525,0.564,1.994,118.447,37.004
'[18:22:50.912]',0.495,0.495,0.485,0.560,1.989,130.170,37.004
'[18:22:50.920]',0.465,0.535,0.515,0.556,1.979,140.329,37.004
'[18:22:50.928]',0.445,0.555,0.475,0.552,1.964,148.535,37.004
'[18:22:50.936]',0.440,0.560,0.470,0.547,1.945,154.299,37.004
'[18:22:50.944]',0.425,0.570,0.500,0.541,1.926,157.229,37.004
'[18:22:50.952]',0.440,0.555,0.475,0.536,1.906,157.229,37.004
'[18:22:50.960]',0.455,0.540,0.495,0.530,1.886,154.738,37.004
'[18:22:50.968]',0.445,0.545,0.460,0.524,1.868,150.293,37.004
'[18:22:50.976]',0.450,0.555,0.495,0.517,1.856,144.725,37.004
'[18:22:50.984]',0.445,0.555,0.475,0.510,1.848,138.766,37.004
'[18:22:50.992]',0.460,0.535,0.525,0.501,1.842,132.758,37.004
'[18:22:51.000]',0.475,0.525,0.515,0.492,1.839,127.044,37.004
'[18:22:51.008]',0.455,0.545,0.550,0.481,1.837,121.720,37.004
'[18:22:51.016]',0.450,0.550,0.515,0.469,1.836,117.030,37.004
'[18:22:51.024]',0.465,0.540,0.535,0.456,1.836,112.928,37.004
'[18:22:51.032]',0.480,0.525,0.490,0.443,1.836,109.508,37.004
'[18:22:51.040]',0.470,0.540,0.515,0.428,1.833,106.676,37.004
'[18:22:51.048]',0.465,0.550,0.485,0.414,1.829,104.380,37.004
'[18:22:51.056]',0.480,0.520,0.520,0.400,1.824,102.377,37.004
'[18:22:51.064]',0.485,0.515,0.490,0.386,1.819,100.668,37.004
'[18:22:51.072]',0.490,0.510,0.530,0.373,1.814,99.056,37.004
'[18:22:51.080]',0.455,0.540,0.500,0.360,1.811,97.346,37.004
'[18:22:51.088]',0.470,0.530,0.530,0.347,1.810,95.686,37.004
'[18:22:51.096]',0.470,0.540,0.505,0.333,1.807,93.683,37.004
'[18:22:51.104]',0.460,0.545,0.535,0.320,1.805,91.534,37.004
'[18:22:51.112]',0.465,0.540,0.500,0.307,1.804,89.238,37.004
'[18:22:51.120]',0.485,0.525,0.525,0.294,1.802,87.138,37.004
'[18:22:51.128]',0.460,0.545,0.480,0.282,1.798,85.477,37.004
'[18:22:51.136]',0.470,0.550,0.500,0.272,1.793,84.354,37.004
'[18:22:51.144]',0.480,0.520,0.470,0.261,1.791,83.865,37.004
'[18:22:51.152]',0.470,0.530,0.465,0.252,1.795,83.719,37.004
'[18:22:51.160]',0.450,0.560,0.495,0.243,1.802,84.012,37.004
'[18:22:51.168]',0.460,0.550,0.465,0.235,1.810,84.500,37.004
'[18:22:51.176]',0.455,0.555,0.510,0.227,1.820,85.282,37.004
'[18:22:51.184]',0.485,0.520,0.480,0.220,1.833,86.308,37.004
'[18:22:51.192]',0.470,0.520,0.515,0.214,1.848,87.431,37.004
'[18:22:51.200]',0.450,0.540,0.475,0.208,1.867,88.554,37.004
'[18:22:51.208]',0.465,0.530,0.525,0.202,1.890,89.678,37.004
'[18:22:51.216]',0.495,0.505,0.510,0.197,1.914,90.557,37.004
'[18:22:51.224]',0.530,0.475,0.565,0.193,1.941,91.192,37.004
'[18:22:51.232]',0.540,0.455,0.550,0.190,1.977,91.534,37.004
'[18:22:51.240]',0.530,0.460,0.580,0.187,2.015,91.632,37.004
'[18:22:51.248]',0.520,0.450,0.510,0.185,2.055,91.436,37.004
'[18:22:51.256]',0.540,0.445,0.520,0.183,2.096,90.948,37.004
'[18:22:51.264]',0.520,0.475,0.470,0.182,2.132,90.215,37.004
'[18:22:51.272]',0.510,0.465,0.485,0.181,2.157,89.434,37.004
'[18:22:51.280]',0.475,0.490,0.445,0.180,2.175,88.408,37.004
'[18:22:51.288]',0.465,0.500,0.475,0.180,2.190,87.382,37.004
'[18:22:51.296]',0.445,0.545,0.450,0.180,2.202,86.259,37.004
'[18:22:51.304]',0.420,0.575,0.475,0.179,2.213,85.135,37.004
'[18:22:51.312]',0.415,0.580,0.440,0.179,2.222,84.012,37.004
'[18:22:51.320]',0.425,0.565,0.470,0.180,2.229,82.840,37.004
'[18:22:51.328]',0.420,0.575,0.445,0.180,2.232,81.863,37.004
'[18:22:51.336]',0.415,0.570,0.490,0.180,2.231,80.886,37.004
'[18:22:51.344]',0.420,0.580,0.485,0.181,2.231,79.909,37.004
'[18:22:51.352]',0.440,0.555,0.520,0.181,2.233,79.127,37.004
'[18:22:51.360]',0.445,0.545,0.530,0.182,2.234,78.297,37.004
'[18:22:51.368]',0.445,0.560,0.495,0.183,2.235,77.564,37.004
'[18:22:51.376]',0.425,0.575,0.540,0.183,2.235,76.881,37.004
'[18:22:51.384]',0.420,0.585,0.575,0.184,2.230,76.246,37.004
'[18:22:51.392]',0.490,0.505,0.590,0.185,2.219,75.611,37.004
'[18:22:51.400]',0.705,0.260,0.405,0.186,2.203,75.073,37.004
'[18:22:51.408]',1.085,-0.095,0.225,0.186,2.188,74.536,37.004
'[18:22:51.416]',1.190,-0.160,0.110,0.187,2.178,74.048,37.004
'[18:22:51.424]',0.725,0.385,0.235,0.188,2.173,73.608,37.004
'[18:22:51.432]',0.660,0.570,0.370,0.189,2.170,73.217,37.004
'[18:22:51.440]',0.545,0.610,0.455,0.189,2.169,72.875,37.004
'[18:22:51.448]',0.460,0.595,0.450,0.190,2.169,72.533,37.004
'[18:22:51.456]',0.425,0.585,0.520,0.191,2.169,72.240,37.004
'[18:22:51.464]',0.410,0.585,0.515,0.192,2.169,72.045,37.004
'[18:22:51.472]',0.395,0.590,0.585,0.194,2.169,71.850,37.004
'[18:22:51.480]',0.400,0.575,0.575,0.195,2.163,71.752,37.004
'[18:22:51.488]',0.425,0.540,0.615,0.197,2.154,71.752,37.004
'[18:22:51.496]',0.425,0.540,0.565,0.199,2.150,71.752,37.004
'[18:22:51.504]',0.420,0.550,0.595,0.201,2.148,71.752,37.004
'[18:22:51.512]',0.400,0.565,0.550,0.203,2.147,71.752,37.004
'[18:22:51.520]',0.420,0.545,0.575,0.205,2.146,71.654,37.004
'[18:22:51.528]',0.430,0.540,0.560,0.207,2.139,71.605,37.004
'[18:22:51.536]',0.425,0.555,0.610,0.209,2.129,71.410,37.004
'[18:22:51.544]',0.430,0.540,0.595,0.211,2.124,71.215,37.004
'[18:22:51.552]',0.445,0.520,0.610,0.212,2.115,70.922,37.004
'[18:22:51.560]',0.465,0.505,0.575,0.214,2.105,70.531,37.004
'[18:22:51.568]',0.485,0.485,0.550,0.215,2.100,70.091,37.004
'[18:22:51.576]',0.515,0.460,0.510,0.216,2.097,69.603,37.004
'[18:22:51.584]',0.525,0.455,0.485,0.217,2.093,69.066,37.004
'[18:22:51.592]',0.540,0.445,0.490,0.218,2.084,68.479,37.004
'[18:22:51.600]',0.565,0.420,0.445,0.219,2.073,67.942,37.004
'[18:22:51.608]',0.585,0.400,0.485,0.220,2.062,67.356,37.004
'[18:22:51.616]',0.615,0.365,0.455,0.221,2.047,66.916,37.004
'[18:22:51.624]',0.650,0.345,0.505,0.222,2.027,66.526,37.004
'[18:22:51.632]',0.680,0.315,0.490,0.222,2.011,66.184,37.004
'[18:22:51.640]',0.710,0.295,0.535,0.223,1.996,65.842,37.004
'[18:22:51.648]',0.720,0.290,0.515,0.224,1.982,65.744,37.004
'[18:22:51.656]',0.730,0.285,0.565,0.224,1.976,66.037,37.004
'[18:22:51.664]',0.720,0.300,0.550,0.225,1.966,67.405,37.004
'[18:22:51.672]',0.695,0.320,0.580,0.225,1.955,70.922,37.004
'[18:22:51.680]',0.655,0.360,0.540,0.226,1.946,77.564,37.004
'[18:22:51.688]',0.615,0.400,0.565,0.226,1.935,87.626,37.004
'[18:22:51.696]',0.560,0.440,0.515,0.226,1.921,99.984,37.004
'[18:22:51.704]',0.535,0.465,0.540,0.226,1.901,113.172,37.004
'[18:22:51.712]',0.515,0.480,0.500,0.225,1.882,125.627,37.004
'[18:22:51.720]',0.490,0.505,0.535,0.225,1.863,136.666,37.004
'[18:22:51.728]',0.475,0.515,0.500,0.223,1.842,145.946,37.004
'[18:22:51.736]',0.465,0.525,0.525,0.221,1.821,152.980,37.004
'[18:22:51.744]',0.425,0.560,0.490,0.218,1.804,157.376,37.004
'[18:22:51.752]',0.425,0.565,0.525,0.215,1.794,158.743,37.004
'[18:22:51.760]',0.425,0.575,0.530,0.212,1.785,157.425,37.004
'[18:22:51.768]',0.445,0.545,0.500,0.209,1.781,153.908,37.004
'[18:22:51.776]',0.450,0.540,0.530,0.205,1.779,148.975,37.004
'[18:22:51.784]',0.430,0.565,0.495,0.202,1.775,143.357,37.004
'[18:22:51.792]',0.435,0.560,0.535,0.196,1.769,137.545,37.004
'[18:22:51.800]',0.445,0.565,0.505,0.190,1.761,131.781,37.004
'[18:22:51.808]',0.440,0.570,0.540,0.183,1.753,126.360,37.004
'[18:22:51.816]',0.445,0.550,0.500,0.176,1.746,121.475,37.004
'[18:22:51.824]',0.445,0.545,0.525,0.166,1.739,117.226,37.004
'[18:22:51.832]',0.455,0.540,0.490,0.157,1.733,113.611,37.004
'[18:22:51.840]',0.465,0.530,0.525,0.146,1.723,110.534,37.004
'[18:22:51.848]',0.475,0.520,0.490,0.135,1.716,108.043,37.004
'[18:22:51.856]',0.470,0.535,0.520,0.125,1.712,105.845,37.004
'[18:22:51.864]',0.450,0.550,0.495,0.116,1.710,104.038,37.004
'[18:22:51.872]',0.485,0.520,0.550,0.107,1.712,102.426,37.004
'[18:22:51.880]',0.495,0.505,0.530,0.099,1.713,100.912,37.004
'[18:22:51.888]',0.455,0.540,0.550,0.090,1.711,99.300,37.004
