'Time','I','II','AVR','V','RESP','PLETH','ABP','PAP','CVP'
'[15:28:54.272]',-,0.015,0.830,0.945,-0.097,2.435,92.315,30.049,15.308
'[15:28:54.280]',-,0.024,0.815,0.955,-0.095,2.388,91.612,29.549,15.493
'[15:28:54.288]',-,0.004,0.835,0.965,-0.094,2.341,90.967,29.254,15.562
'[15:28:54.296]',-,0.015,0.840,0.900,-0.093,2.291,90.381,29.117,15.435
'[15:28:54.304]',-,-0.010,0.870,0.840,-0.093,2.234,89.736,29.254,15.308
'[15:28:54.312]',-,-0.015,0.880,0.815,-0.092,2.166,89.092,29.367,15.249
'[15:28:54.320]',-,-0.000,0.860,0.820,-0.092,2.091,88.505,29.504,15.376
'[15:28:54.328]',-,-0.015,0.875,0.810,-0.091,2.007,87.919,29.504,15.493
'[15:28:54.336]',-,-0.005,0.860,0.830,-0.090,1.914,87.333,29.504,15.689
'[15:28:54.344]',-,-0.025,0.885,0.825,-0.090,1.815,86.864,29.367,15.874
'[15:28:54.352]',-,-0.015,0.875,0.845,-0.090,1.715,86.337,29.186,15.933
'[15:28:54.360]',-,-0.045,0.900,0.835,-0.090,1.616,85.809,29.004,15.874
'[15:28:54.368]',-,-0.035,0.895,0.845,-0.090,1.526,85.282,28.799,15.747
'[15:28:54.376]',-,-0.050,0.900,0.840,-0.090,1.448,84.813,28.618,15.620
'[15:28:54.384]',-,-0.045,0.830,1.005,-0.090,1.390,84.285,28.504,15.562
'[15:28:54.392]',-,0.075,0.680,1.100,-0.090,1.344,83.875,28.300,15.747
'[15:28:54.400]',-,0.390,0.475,0.920,-0.090,1.308,83.406,28.118,16.001
'[15:28:54.408]',-,0.605,0.400,0.385,-0.090,1.287,82.996,28.005,16.245
'[15:28:54.416]',-,0.415,0.650,0.210,-0.089,1.272,82.527,27.868,16.499
'[15:28:54.424]',-,0.140,0.890,0.175,-0.088,1.262,82.175,27.755,16.626
'[15:28:54.432]',-,0.015,0.950,0.325,-0.087,1.256,81.824,27.687,16.626
'[15:28:54.440]',-,-0.035,0.930,0.590,-0.086,1.251,81.413,27.550,16.558
'[15:28:54.448]',-,-0.025,0.905,0.770,-0.084,1.245,81.120,27.369,16.558
'[15:28:54.456]',-,-0.075,0.920,0.855,-0.083,1.238,80.710,26.937,16.744
'[15:28:54.464]',-,-0.065,0.910,0.890,-0.082,1.230,80.358,26.301,17.183
'[15:28:54.472]',-,-0.086,0.925,0.900,-0.081,1.223,80.007,25.552,17.681
'[15:28:54.480]',-,-0.065,0.910,0.910,-0.079,1.214,79.655,24.870,18.121
'[15:28:54.488]',-,-0.081,0.915,0.920,-0.079,1.208,79.362,24.507,18.502
'[15:28:54.496]',-,-0.075,0.910,0.915,-0.078,1.203,79.069,24.552,18.746
'[15:28:54.504]',-,-0.065,0.900,0.925,-0.076,1.196,78.658,25.052,18.873
'[15:28:54.512]',-,-0.075,0.910,0.920,-0.075,1.185,78.365,25.620,18.932
'[15:28:54.520]',-,-0.050,0.895,0.925,-0.074,1.173,78.072,26.188,18.932
'[15:28:54.528]',-,-0.065,0.905,0.920,-0.073,1.160,77.721,26.687,19.186
'[15:28:54.536]',-,-0.050,0.890,0.930,-0.071,1.148,77.369,27.119,19.440
'[15:28:54.544]',-,-0.061,0.900,0.915,-0.070,1.136,77.076,27.437,19.557
'[15:28:54.552]',-,-0.050,0.880,0.925,-0.070,1.123,76.724,27.687,19.498
'[15:28:54.560]',-,-0.055,0.890,0.920,-0.069,1.109,76.490,28.118,19.244
'[15:28:54.568]',-,-0.035,0.870,0.925,-0.068,1.095,76.314,28.618,18.873
'[15:28:54.576]',-,-0.050,0.875,0.920,-0.067,1.080,76.021,28.550,18.434
'[15:28:54.584]',-,-0.021,0.860,0.930,-0.065,1.070,75.845,27.369,18.248
'[15:28:54.592]',-,-0.025,0.870,0.920,-0.064,1.064,75.611,26.006,18.248
'[15:28:54.600]',-,-0.010,0.855,0.930,-0.062,1.055,75.376,25.438,18.502
'[15:28:54.608]',-,-0.025,0.860,0.925,-0.060,1.046,75.083,26.051,18.746
'[15:28:54.616]',-,0.004,0.835,0.920,-0.059,1.037,74.790,27.687,19.000
'[15:28:54.624]',-,-0.010,0.845,0.935,-0.057,1.030,74.556,30.117,19.127
'[15:28:54.632]',-,0.020,0.820,0.930,-0.056,1.024,74.731,32.933,19.059
'[15:28:54.640]',-,0.020,0.820,0.940,-0.054,1.020,75.786,35.931,18.873
'[15:28:54.648]',-,0.040,0.815,0.925,-0.054,1.015,78.541,38.816,18.561
'[15:28:54.656]',-,0.024,0.820,0.935,-0.053,1.011,83.582,41.382,18.375
'[15:28:54.664]',-,0.044,0.795,0.920,-0.052,1.009,90.850,43.494,18.248
'[15:28:54.672]',-,0.050,0.790,0.935,-0.051,1.008,99.583,45.175,18.121
'[15:28:54.680]',-,0.070,0.795,0.925,-0.051,1.008,108.492,46.493,17.935
'[15:28:54.688]',-,0.060,0.770,0.935,-0.051,1.012,116.347,47.560,17.681
'[15:28:54.696]',-,0.075,0.780,0.920,-0.051,1.018,122.735,48.446,17.252
'[15:28:54.704]',-,0.080,0.760,0.915,-0.051,1.022,128.011,49.059,16.744
'[15:28:54.712]',-,0.065,0.775,0.900,-0.051,1.030,132.406,49.627,16.245
'[15:28:54.720]',-,0.080,0.765,0.905,-0.051,1.038,136.158,50.058,15.874
'[15:28:54.728]',-,0.055,0.790,0.880,-0.051,1.044,139.264,50.444,15.689
'[15:28:54.736]',-,0.070,0.785,0.875,-0.051,1.056,141.491,50.740,15.620
'[15:28:54.744]',-,0.040,0.815,0.860,-0.051,1.070,143.133,50.990,15.620
'[15:28:54.752]',-,0.024,0.820,0.855,-0.051,1.081,144.305,51.308,15.562
'[15:28:54.760]',-,-0.000,0.850,0.830,-0.051,1.091,145.243,51.489,15.435
'[15:28:54.768]',-,-0.005,0.860,0.830,-0.051,1.101,146.005,51.694,15.308
'[15:28:54.776]',-,-0.035,0.895,0.820,-0.051,1.111,146.591,51.807,15.181
'[15:28:54.784]',-,-0.030,0.895,0.825,-0.051,1.124,147.060,51.739,15.181
'[15:28:54.792]',-,-0.061,0.915,0.815,-0.051,1.138,147.353,51.557,15.308
'[15:28:54.800]',-,-0.055,0.910,0.820,-0.051,1.152,147.587,51.239,15.620
'[15:28:54.808]',-,-0.075,0.935,0.825,-0.052,1.166,147.880,50.944,15.874
'[15:28:54.816]',-,-0.070,0.925,0.820,-0.053,1.179,148.173,50.740,16.060
'[15:28:54.824]',-,-0.090,0.945,0.830,-0.054,1.191,148.525,50.626,16.118
'[15:28:54.832]',-,-0.075,0.935,0.820,-0.054,1.200,148.877,50.558,16.060
'[15:28:54.840]',-,-0.090,0.945,0.830,-0.056,1.210,149.170,50.376,15.874
'[15:28:54.848]',-,-0.075,0.935,0.825,-0.057,1.218,149.346,50.127,15.806
'[15:28:54.856]',-,-0.090,0.945,0.835,-0.058,1.222,149.346,49.809,15.874
'[15:28:54.864]',-,-0.081,0.950,0.830,-0.059,1.222,149.228,49.491,16.060
'[15:28:54.872]',-,-0.095,0.940,0.850,-0.060,1.219,148.935,49.127,16.118
'[15:28:54.880]',-,-0.081,0.950,0.845,-0.061,1.214,148.349,48.696,16.187
'[15:28:54.888]',-,-0.095,0.945,0.855,-0.062,1.214,147.587,48.196,16.060
'[15:28:54.896]',-,-0.086,0.955,0.850,-0.064,1.220,146.532,47.696,15.874
'[15:28:54.904]',-,-0.081,0.940,0.860,-0.065,1.239,145.301,47.060,15.620
'[15:28:54.912]',-,-0.095,0.950,0.855,-0.067,1.281,143.719,46.379,15.435
'[15:28:54.920]',-,-0.075,0.940,0.870,-0.068,1.354,142.019,45.561,15.435
'[15:28:54.928]',-,-0.090,0.950,0.865,-0.069,1.460,139.850,44.562,15.562
'[15:28:54.936]',-,-0.075,0.930,0.875,-0.070,1.598,137.447,43.426,15.689
'[15:28:54.944]',-,-0.075,0.935,0.870,-0.071,1.761,134.517,41.927,15.689
'[15:28:54.952]',-,-0.065,0.920,0.880,-0.072,1.937,131.176,39.883,15.620
'[15:28:54.960]',-,-0.075,0.935,0.865,-0.073,2.152,127.307,37.317,15.493
'[15:28:54.968]',-,-0.055,0.915,0.875,-0.073,2.370,123.028,35.068,15.435
'[15:28:54.976]',-,-0.070,0.925,0.865,-0.074,2.509,118.398,34.568,15.493
'[15:28:54.984]',-,-0.050,0.915,0.875,-0.075,2.587,113.650,36.249,15.689
'[15:28:54.992]',-,-0.061,0.915,0.865,-0.075,2.668,109.196,39.111,16.001
'[15:28:55.000]',-,-0.045,0.900,0.875,-0.075,2.742,105.620,41.746,16.372
'[15:28:55.008]',-,-0.061,0.915,0.865,-0.074,2.789,103.452,43.313,16.626
'[15:28:55.016]',-,-0.045,0.905,0.860,-0.074,2.828,102.807,43.313,16.744
'[15:28:55.024]',-,-0.050,0.915,0.870,-0.073,2.857,103.159,42.177,16.744
'[15:28:55.032]',-,-0.035,0.895,0.850,-0.073,2.873,103.862,40.633,16.744
'[15:28:55.040]',-,-0.050,0.905,0.860,-0.073,2.880,104.155,39.179,16.871
'[15:28:55.048]',-,-0.030,0.895,0.850,-0.073,2.877,103.921,38.248,17.056
'[15:28:55.056]',-,-0.050,0.890,0.860,-0.072,2.865,103.452,37.680,17.252
'[15:28:55.064]',-,-0.030,0.900,0.850,-0.071,2.855,102.866,37.317,17.310
'[15:28:55.072]',-,-0.045,0.895,0.860,-0.070,2.840,102.338,37.067,17.252
'[15:28:55.080]',-,-0.030,0.900,0.850,-0.069,2.813,101.928,36.681,17.056
'[15:28:55.088]',-,-0.045,0.895,0.860,-0.068,2.787,101.283,36.363,16.685
'[15:28:55.096]',-,-0.050,0.905,0.850,-0.067,2.768,100.521,36.067,16.245
'[15:28:55.104]',-,-0.025,0.885,0.855,-0.065,2.747,99.700,35.818,16.001
'[15:28:55.112]',-,-0.050,0.900,0.850,-0.064,2.717,98.880,35.568,16.001
'[15:28:55.120]',-,-0.030,0.890,0.855,-0.063,2.686,98.059,35.318,16.060
'[15:28:55.128]',-,-0.041,0.895,0.850,-0.062,2.655,97.297,34.932,16.187
'[15:28:55.136]',-,-0.025,0.890,0.860,-0.062,2.624,96.535,34.432,16.245
'[15:28:55.144]',-,-0.041,0.900,0.850,-0.060,2.590,95.832,33.751,16.187
'[15:28:55.152]',-,-0.021,0.880,0.875,-0.059,2.554,95.070,32.933,16.118
'[15:28:55.160]',-,-0.025,0.865,0.895,-0.058,2.515,94.249,32.184,16.001
'[15:28:55.168]',-,0.004,0.845,0.925,-0.057,2.472,93.488,31.502,16.001
'[15:28:55.176]',-,-0.000,0.840,0.945,-0.056,2.428,92.726,31.048,15.933
'[15:28:55.184]',-,0.020,0.820,0.960,-0.055,2.382,92.022,30.866,15.874
'[15:28:55.192]',-,0.004,0.840,0.940,-0.054,2.327,91.377,30.798,15.806
'[15:28:55.200]',-,-0.000,0.845,0.895,-0.054,2.264,90.615,30.866,15.806
'[15:28:55.208]',-,-0.025,0.885,0.825,-0.053,2.193,89.971,30.798,16.001
'[15:28:55.216]',-,-0.000,0.870,0.815,-0.052,2.114,89.326,30.753,16.372
'[15:28:55.224]',-,-0.025,0.885,0.825,-0.051,2.028,88.681,30.503,16.939
'[15:28:55.232]',-,-0.010,0.865,0.810,-0.049,1.935,88.095,30.253,17.437
'[15:28:55.240]',-,-0.025,0.880,0.830,-0.049,1.840,87.509,29.935,17.877
'[15:28:55.248]',-,-0.021,0.890,0.825,-0.048,1.744,86.864,29.617,17.994
'[15:28:55.256]',-,-0.050,0.910,0.850,-0.048,1.655,86.278,29.435,17.877
'[15:28:55.264]',-,-0.045,0.895,0.845,-0.047,1.577,85.751,29.254,17.564
'[15:28:55.272]',-,-0.050,0.905,0.850,-0.047,1.517,85.223,29.186,17.125
'[15:28:55.280]',-,-0.045,0.890,0.840,-0.046,1.474,84.696,29.117,16.812
'[15:28:55.288]',-,-0.050,0.815,1.020,-0.046,1.441,84.168,29.049,16.626
'[15:28:55.296]',-,0.150,0.620,1.115,-0.046,1.417,83.582,28.799,16.499
'[15:28:55.304]',-,0.455,0.445,0.820,-0.046,1.404,83.113,28.550,16.431
'[15:28:55.312]',-,0.615,0.395,0.320,-0.045,1.397,82.586,28.300,16.372
'[15:28:55.320]',-,0.335,0.720,0.200,-0.045,1.394,82.234,28.118,16.372
'[15:28:55.328]',-,0.115,0.915,0.165,-0.044,1.391,81.824,28.005,16.431
'[15:28:55.336]',-,-0.010,0.960,0.375,-0.043,1.388,81.472,27.936,16.626
'[15:28:55.344]',-,-0.035,0.925,0.635,-0.043,1.384,81.120,27.800,17.056
'[15:28:55.352]',-,-0.030,0.915,0.795,-0.042,1.379,80.710,27.505,17.564
'[15:28:55.360]',-,-0.075,0.925,0.865,-0.042,1.372,80.358,27.005,18.121
'[15:28:55.368]',-,-0.061,0.915,0.900,-0.041,1.365,79.948,26.256,18.561
'[15:28:55.376]',-,-0.090,0.930,0.905,-0.040,1.358,79.538,25.438,18.873
'[15:28:55.384]',-,-0.075,0.910,0.915,-0.040,1.350,79.245,24.870,19.000
'[15:28:55.392]',-,-0.081,0.925,0.910,-0.038,1.338,79.010,24.757,18.932
'[15:28:55.400]',-,-0.065,0.910,0.920,-0.038,1.324,78.717,25.188,18.873
'[15:28:55.408]',-,-0.075,0.915,0.925,-0.037,1.306,78.483,25.938,18.932
'[15:28:55.416]',-,-0.065,0.900,0.915,-0.037,1.286,78.248,26.755,19.059
'[15:28:55.424]',-,-0.070,0.905,0.920,-0.036,1.266,77.897,27.300,19.244
'[15:28:55.432]',-,-0.050,0.890,0.925,-0.036,1.243,77.603,27.687,19.371
'[15:28:55.440]',-,-0.065,0.900,0.930,-0.036,1.220,77.369,27.936,19.371
'[15:28:55.448]',-,-0.050,0.885,0.915,-0.036,1.197,77.193,28.118,19.186
'[15:28:55.456]',-,-0.055,0.895,0.925,-0.036,1.176,76.959,28.300,18.932
'[15:28:55.464]',-,-0.041,0.875,0.920,-0.036,1.157,76.783,28.754,18.746
'[15:28:55.472]',-,-0.045,0.880,0.925,-0.036,1.144,76.607,29.186,18.561
'[15:28:55.480]',-,-0.025,0.865,0.920,-0.036,1.132,76.490,28.868,18.375
'[15:28:55.488]',-,-0.030,0.860,0.925,-0.036,1.117,76.314,27.550,18.375
'[15:28:55.496]',-,-0.015,0.865,0.920,-0.037,1.103,76.138,26.301,18.502
'[15:28:55.504]',-,-0.025,0.845,0.935,-0.037,1.090,75.786,26.256,18.873
'[15:28:55.512]',-,-0.005,0.850,0.925,-0.037,1.079,75.552,27.300,19.440
'[15:28:55.520]',-,-0.000,0.840,0.940,-0.037,1.068,75.259,29.254,20.124
'[15:28:55.528]',-,-0.005,0.845,0.925,-0.038,1.059,75.083,31.684,20.622
'[15:28:55.536]',-,0.020,0.820,0.945,-0.038,1.049,75.493,34.568,20.934
'[15:28:55.544]',-,0.010,0.825,0.930,-0.038,1.040,76.900,37.430,20.934
'[15:28:55.552]',-,0.030,0.805,0.940,-0.039,1.032,80.241,40.178,20.690
'[15:28:55.560]',-,0.024,0.815,0.925,-0.040,1.025,85.926,42.631,20.251
'[15:28:55.568]',-,0.044,0.795,0.940,-0.040,1.021,93.722,44.562,19.752
'[15:28:55.576]',-,0.040,0.800,0.925,-0.040,1.020,102.690,45.993,19.313
'[15:28:55.584]',-,0.065,0.775,0.935,-0.040,1.020,111.364,47.174,18.815
'[15:28:55.592]',-,0.055,0.775,0.925,-0.040,1.018,118.808,48.128,18.375
'[15:28:55.600]',-,0.070,0.765,0.920,-0.040,1.017,124.787,48.877,17.808
'[15:28:55.608]',-,0.065,0.775,0.915,-0.040,1.017,129.652,49.445,17.183
'[15:28:55.616]',-,0.080,0.765,0.910,-0.039,1.017,133.872,49.945,16.626
'[15:28:55.624]',-,0.060,0.775,0.895,-0.039,1.018,137.389,50.308,16.187
'[15:28:55.632]',-,0.065,0.780,0.880,-0.038,1.020,140.202,50.694,16.001
'[15:28:55.640]',-,0.040,0.800,0.865,-0.038,1.022,142.312,51.126,16.001
'[15:28:55.648]',-,0.035,0.810,0.855,-0.038,1.027,143.719,51.489,16.001
'[15:28:55.656]',-,0.004,0.840,0.845,-0.038,1.035,144.774,51.807,16.001
'[15:28:55.664]',-,-0.000,0.845,0.830,-0.038,1.043,145.594,51.989,15.933
'[15:28:55.672]',-,-0.025,0.875,0.825,-0.038,1.053,146.298,52.125,15.747
'[15:28:55.680]',-,-0.030,0.890,0.815,-0.038,1.065,146.767,52.057,15.689
'[15:28:55.688]',-,-0.055,0.910,0.825,-0.039,1.077,147.118,51.807,15.689
'[15:28:55.696]',-,-0.061,0.915,0.815,-0.040,1.090,147.294,51.489,15.874
'[15:28:55.704]',-,-0.081,0.925,0.820,-0.041,1.104,147.470,51.058,16.060
'[15:28:55.712]',-,-0.075,0.935,0.810,-0.042,1.119,147.763,50.558,16.118
'[15:28:55.720]',-,-0.086,0.930,0.825,-0.044,1.136,147.997,50.058,16.060
'[15:28:55.728]',-,-0.095,0.940,0.820,-0.045,1.152,148.291,49.491,15.933
'[15:28:55.736]',-,-0.090,0.950,0.825,-0.047,1.168,148.642,49.059,15.747
'[15:28:55.744]',-,-0.100,0.965,0.815,-0.049,1.182,148.759,48.627,15.620
'[15:28:55.752]',-,-0.090,0.945,0.825,-0.051,1.194,148.818,48.241,15.620
'[15:28:55.760]',-,-0.106,0.965,0.815,-0.052,1.201,148.759,47.810,15.747
'[15:28:55.768]',-,-0.095,0.955,0.825,-0.053,1.204,148.408,47.310,15.806
'[15:28:55.776]',-,-0.115,0.965,0.825,-0.054,1.206,147.880,46.810,15.806
'[15:28:55.784]',-,-0.095,0.955,0.835,-0.056,1.210,147.118,46.243,15.620
'[15:28:55.792]',-,-0.115,0.965,0.830,-0.057,1.220,146.180,45.493,15.376
'[15:28:55.800]',-,-0.095,0.950,0.845,-0.059,1.244,145.008,44.630,15.122
'[15:28:55.808]',-,-0.100,0.965,0.835,-0.061,1.293,143.484,43.744,14.995
'[15:28:55.816]',-,-0.095,0.955,0.850,-0.064,1.373,141.726,42.813,14.995
'[15:28:55.824]',-,-0.100,0.960,0.845,-0.065,1.487,139.674,41.677,14.936
'[15:28:55.832]',-,-0.081,0.945,0.835,-0.068,1.631,137.213,40.383,14.809
'[15:28:55.840]',-,-0.095,0.960,0.850,-0.070,1.799,134.517,38.748,14.555
'[15:28:55.848]',-,-0.075,0.940,0.840,-0.073,1.976,131.234,36.613,14.184
'[15:28:55.856]',-,-0.086,0.945,0.850,-0.075,2.152,127.483,33.751,13.813
'[15:28:55.864]',-,-0.061,0.925,0.830,-0.078,2.315,123.321,30.367,13.432
'[15:28:55.872]',-,-0.070,0.930,0.835,-0.080,2.442,118.750,27.800,13.188
'[15:28:55.880]',-,-0.050,0.915,0.840,-0.083,2.540,113.943,27.369,13.061
'[15:28:55.888]',-,-0.061,0.925,0.845,-0.086,2.630,109.079,29.117,13.061
'[15:28:55.896]',-,-0.050,0.930,0.830,-0.090,2.704,104.683,31.934,13.061
'[15:28:55.904]',-,-0.045,0.915,0.840,-0.093,2.761,101.283,34.364,12.934
'[15:28:55.912]',-,-0.050,0.920,0.825,-0.096,2.802,99.349,35.500,12.807
'[15:28:55.920]',-,-0.035,0.900,0.830,-0.099,2.829,98.880,35.068,12.621
'[15:28:55.928]',-,-0.050,0.915,0.825,-0.103,2.845,99.173,33.569,12.563
'[15:28:55.936]',-,-0.030,0.900,0.835,-0.106,2.850,99.525,31.616,12.563
'[15:28:55.944]',-,-0.045,0.910,0.825,-0.110,2.848,99.466,29.867,12.563
'[15:28:55.952]',-,-0.025,0.895,0.830,-0.114,2.840,98.997,28.550,12.436
'[15:28:55.960]',-,-0.045,0.905,0.825,-0.119,2.825,98.294,27.618,12.182
'[15:28:55.968]',-,-0.025,0.895,0.830,-0.123,2.807,97.590,26.937,11.752
'[15:28:55.976]',-,-0.035,0.905,0.825,-0.128,2.784,97.122,26.551,11.312
'[15:28:55.984]',-,-0.025,0.895,0.830,-0.132,2.759,96.535,26.369,11.000
'[15:28:55.992]',-,-0.041,0.905,0.825,-0.136,2.732,95.773,26.301,10.873
'[15:28:56.000]',-,-0.025,0.895,0.835,-0.139,2.705,94.777,26.256,10.873
'[15:28:56.008]',-,-0.035,0.900,0.825,-0.144,2.677,93.781,26.119,10.746
'[15:28:56.016]',-,-0.025,0.895,0.830,-0.148,2.649,92.843,25.870,10.560
'[15:28:56.024]',-,-0.045,0.905,0.835,-0.153,2.619,92.022,25.370,10.247
'[15:28:56.032]',-,-0.025,0.890,0.825,-0.158,2.587,91.319,24.688,9.808
'[15:28:56.040]',-,-0.045,0.900,0.840,-0.162,2.552,90.615,23.735,9.368
'[15:28:56.048]',-,-0.030,0.885,0.835,-0.166,2.515,89.912,22.803,9.124
'[15:28:56.056]',-,-0.035,0.880,0.870,-0.170,2.474,89.209,21.804,9.056
'[15:28:56.064]',-,-0.000,0.860,0.890,-0.175,2.430,88.505,20.986,8.997
'[15:28:56.072]',-,-0.000,0.855,0.910,-0.178,2.386,87.802,20.441,8.938
'[15:28:56.080]',-,0.020,0.835,0.925,-0.181,2.339,87.040,20.055,8.811
'[15:28:56.088]',-,-0.000,0.830,0.940,-0.184,2.284,86.278,19.942,8.626
'[15:28:56.096]',-,0.010,0.845,0.910,-0.188,2.222,85.575,19.873,8.430
'[15:28:56.104]',-,-0.005,0.865,0.845,-0.190,2.152,84.813,19.805,8.372
'[15:28:56.112]',-,-0.015,0.885,0.795,-0.192,2.072,84.109,19.737,8.430
'[15:28:56.120]',-,-0.000,0.870,0.800,-0.195,1.982,83.406,19.737,8.626
'[15:28:56.128]',-,-0.015,0.885,0.790,-0.197,1.884,82.820,19.737,8.870
'[15:28:56.136]',-,-0.010,0.870,0.810,-0.198,1.777,82.234,19.555,8.997
'[15:28:56.144]',-,-0.025,0.895,0.800,-0.199,1.667,81.589,19.237,8.997
'[15:28:56.152]',-,-0.021,0.890,0.815,-0.200,1.557,81.062,18.806,8.938
'[15:28:56.160]',-,-0.050,0.915,0.810,-0.200,1.455,80.475,18.374,9.124
'[15:28:56.168]',-,-0.041,0.905,0.820,-0.202,1.363,79.948,17.943,9.495
'[15:28:56.176]',-,-0.061,0.915,0.815,-0.203,1.293,79.362,17.625,9.876
'[15:28:56.184]',-,-0.050,0.880,0.920,-0.205,1.242,78.776,17.307,10.189
'[15:28:56.192]',-,-0.061,0.770,1.020,-0.206,1.200,78.307,17.193,10.306
'[15:28:56.200]',-,0.230,0.575,1.065,-0.209,1.167,77.779,17.057,10.189
'[15:28:56.208]',-,0.555,0.415,0.640,-0.211,1.141,77.369,17.125,9.808
'[15:28:56.216]',-,0.615,0.560,0.270,-0.213,1.119,76.900,17.307,9.437
'[15:28:56.224]',-,0.225,0.840,0.225,-0.216,1.099,76.548,17.557,9.124
'[15:28:56.232]',-,0.065,0.955,0.220,-0.217,1.079,76.197,17.738,8.997
'[15:28:56.240]',-,-0.050,0.975,0.460,-0.219,1.058,75.786,17.738,9.056
'[15:28:56.248]',-,-0.041,0.925,0.685,-0.221,1.033,75.435,17.489,9.183
'[15:28:56.256]',-,-0.075,0.935,0.805,-0.223,1.008,75.024,16.944,9.368
'[15:28:56.264]',-,-0.065,0.920,0.855,-0.225,0.981,74.731,16.058,9.495
'[15:28:56.272]',-,-0.086,0.935,0.865,-0.228,0.962,74.438,15.127,9.681
'[15:28:56.280]',-,-0.075,0.925,0.875,-0.231,0.945,74.028,14.309,9.876
'[15:28:56.288]',-,-0.090,0.930,0.880,-0.234,0.924,73.676,13.809,10.306
'[15:28:56.296]',-,-0.075,0.935,0.875,-0.236,0.901,73.325,13.809,10.873
'[15:28:56.304]',-,-0.090,0.920,0.885,-0.238,0.878,72.914,14.127,11.439
'[15:28:56.312]',-,-0.075,0.930,0.875,-0.239,0.855,72.563,14.809,11.869
'[15:28:56.320]',-,-0.081,0.915,0.885,-0.240,0.834,72.152,15.490,11.996
'[15:28:56.328]',-,-0.075,0.920,0.875,-0.241,0.812,71.801,16.126,11.996
'[15:28:56.336]',-,-0.065,0.910,0.890,-0.241,0.792,71.332,16.557,11.810
'[15:28:56.344]',-,-0.070,0.915,0.875,-0.241,0.770,70.980,16.739,11.683
'[15:28:56.352]',-,-0.050,0.895,0.895,-0.240,0.749,70.687,16.989,11.556
'[15:28:56.360]',-,-0.070,0.915,0.885,-0.239,0.727,70.394,17.738,11.556
'[15:28:56.368]',-,-0.050,0.895,0.895,-0.237,0.706,70.160,19.306,11.625
'[15:28:56.376]',-,-0.050,0.895,0.890,-0.235,0.691,69.984,21.191,11.556
'[15:28:56.384]',-,-0.035,0.885,0.890,-0.232,0.680,69.808,22.054,11.498
'[15:28:56.392]',-,-0.041,0.890,0.890,-0.228,0.665,69.632,20.805,11.439
'[15:28:56.400]',-,-0.030,0.875,0.900,-0.225,0.648,69.280,18.238,11.439
'[15:28:56.408]',-,-0.045,0.890,0.895,-0.222,0.630,68.929,16.171,11.556
'[15:28:56.416]',-,-0.021,0.870,0.890,-0.219,0.614,68.401,16.126,11.810
'[15:28:56.424]',-,-0.025,0.870,0.900,-0.214,0.599,67.991,17.875,12.064
'[15:28:56.432]',-,-0.010,0.850,0.895,-0.210,0.585,67.522,20.623,12.250
'[15:28:56.440]',-,-0.015,0.845,0.910,-0.205,0.570,67.405,23.735,12.309
'[15:28:56.448]',-,0.004,0.855,0.915,-0.200,0.557,67.991,26.937,12.064
'[15:28:56.456]',-,-0.000,0.840,0.905,-0.194,0.545,69.749,30.049,11.683
'[15:28:56.464]',-,0.020,0.850,0.900,-0.189,0.535,73.383,32.933,11.312
'[15:28:56.472]',-,0.015,0.835,0.905,-0.184,0.531,79.186,35.432,10.873
'[15:28:56.480]',-,0.024,0.840,0.895,-0.178,0.531,86.923,37.317,10.501
'[15:28:56.488]',-,0.030,0.820,0.905,-0.173,0.528,95.539,38.611,10.120
'[15:28:56.496]',-,0.024,0.815,0.890,-0.169,0.524,103.921,39.361,9.622
'[15:28:56.504]',-,0.050,0.805,0.895,-0.164,0.520,111.189,39.747,9.124
'[15:28:56.512]',-,0.055,0.815,0.870,-0.159,0.518,117.109,39.929,8.626
'[15:28:56.520]',-,0.040,0.800,0.875,-0.155,0.517,122.032,39.997,8.313
'[15:28:56.528]',-,0.035,0.820,0.850,-0.150,0.516,126.194,40.065,8.118
'[15:28:56.536]',-,0.040,0.835,0.850,-0.147,0.516,129.476,40.133,8.118
'[15:28:56.544]',-,0.010,0.855,0.835,-0.142,0.517,132.055,40.178,8.118
'[15:28:56.552]',-,-0.000,0.865,0.830,-0.139,0.519,133.872,40.247,8.118
'[15:28:56.560]',-,-0.015,0.890,0.815,-0.136,0.521,135.044,40.383,8.059
'[15:28:56.568]',-,-0.010,0.885,0.810,-0.134,0.523,135.923,40.428,7.932
'[15:28:56.576]',-,-0.050,0.925,0.800,-0.132,0.530,136.685,40.496,7.874
'[15:28:56.584]',-,-0.050,0.920,0.815,-0.130,0.539,137.389,40.496,7.874
'[15:28:56.592]',-,-0.090,0.955,0.810,-0.128,0.543,137.916,40.428,7.874
'[15:28:56.600]',-,-0.075,0.950,0.805,-0.127,0.547,138.385,40.428,7.874
'[15:28:56.608]',-,-0.100,0.965,0.820,-0.126,0.553,138.737,40.383,7.747
'[15:28:56.616]',-,-0.095,0.960,0.815,-0.126,0.561,139.030,40.383,7.620
'[15:28:56.624]',-,-0.106,0.970,0.835,-0.125,0.572,139.264,40.383,7.561
'[15:28:56.632]',-,-0.095,0.965,0.830,-0.126,0.585,139.440,40.178,7.688
'[15:28:56.640]',-,-0.106,0.980,0.840,-0.126,0.599,139.499,39.747,8.001
'[15:28:56.648]',-,-0.100,0.975,0.830,-0.126,0.616,139.499,38.997,8.372
